Houses Sold and For Sale by Stage of Construction - Seasonally Adjusted,,,,,,,,
,,,,,,,,
(Components may not add to total because of rounding.  Number of housing units in thousands.),,,,,,,,
,,,,,,,,
Year,Sold during period,,,,For Sale at end of period,,,
,,,,,,,,
, Total,Not,Under,Completed, Total,Not,Under,Completed
,, Started,Construction,,, Started,Construction,
Aug 2017,550,163,190,197,282,47,171,64
Sep 2017,622,174,227,221,283,48,171,64
Oct 2017,625,182,221,222,287,49,174,64
Nov 2017,718,244,242,232,288,48,177,63
Dec 2017,658,196,208,254,293,52,178,63
Jan 2018,610,164,223,223,292,52,177,63
Feb 2018,644,194,234,216,294,53,179,62
Mar 2018,680,197,244,239,296,54,181,61
Apr 2018,658,187,246,225,299,54,184,61
May 2018,680,179,244,257,301,53,189,59
Jun 2018,598,156,234,208,310,56,192,62
Jul 2018,600,186,225,189,315,56,193,66
Aug 2018,582,163,206,213,320,54,196,70
Sep 2018,584,169,206,209,327,56,200,71
Oct 2018,546,145,212,189,333,58,201,74
Nov 2018,618,190,200,228,335,60,200,75
Dec 2018,566,170,171,225,345,68,203,74
Jan 2019,628,165,210,253,344,59,209,76
Feb 2019,675,190,218,267,339,58,207,74
Mar 2019,721,188,247,286,335,57,202,76
Apr 2019,689,194,225,270,332,54,201,77
May 2019,619,162,208,249,334,54,201,79
Jun 2019,711,218,225,268,331,53,199,79
Jul 2019,636,171,226,239,331,54,196,81
Aug 2019,677,192,215,270,326,53,194,79
Sep 2019,706,203,243,260,324,51,195,78
Oct 2019,703,196,239,268,323,53,192,78
Nov 2019,700,181,240,279,323,56,191,76
Dec 2019,733,211,251,271,322,55,190,77
Jan 2020,756,215,265,276,322,54,193,75
Feb 2020,730,207,244,279,325,52,197,76
Mar 2020,623,151,217,255,328,57,197,74
Apr 2020,582,121,219,242,321,58,186,77
May 2020,704,157,266,281,312,62,176,74
Jun 2020,839,236,285,318,301,57,179,65
Jul 2020,972,273,347,352,291,57,176,58
Aug 2020,977,298,405,274,286,60,173,53
Sep 2020,971,308,340,323,286,62,177,47
Oct 2020,969,323,373,273,284,60,181,43
Nov 2020,865,292,353,220,290,65,183,42
Dec 2020,943,276,397,270,299,67,191,41
Jan 2021,993,317,413,263,302,75,187,40
Feb 2021,854,285,353,216,306,80,187,39
Mar 2021,917,279,387,251,304,79,191,34
Apr 2021,863,325,306,232,316,91,189,36
,,,,,,,,
Note: Estimates prior to 1999 include an upward adjustment of 3.3 percent made to account for ,,,,,,,,
houses sold and for sale in permit-issuing areas that will never have a permit authorization.,,,,,,,,
