Houses For Sale by Region and Months'  Supply at Current Sales Rate,,,,,,,,
,,,,,,,,
(Components may not add to total because of rounding.  Number of housing units in thousands.),,,,,,,,
,,,,,,,,
,Not Seasonally adjusted,,,,,,Seasonally adjusted ,
,For sale at end of period,,,,,Months',,Months'
Period,,,,,,Supply,For sale at,Supply
,United,North-,Mid-,South,West,at Current,end of,at Current
,States,east,West,,,sales rate1,period,sales rate1
Oct 2020,284,21,30,162,71,3.7,284,3.5
Nov 2020,290,23,32,163,72,4.8,290,4.0
Dec 2020,302,25,31,170,75,4.8,299,3.8
Jan 2021,300,26,30,169,75,3.9,302,3.6
Feb 2021,303,26,30,173,75,4.3,306,4.3
Mar 2021,306,26,31,168,80,3.6,304,4.0
Apr 2021,318,27,31,174,87,4.1,316,4.4
,,,,,,,,
1Ratio of houses for sale to houses sold.,,,,,,,,
,,,,,,,,
Note: Estimates prior to 1999 include an upward adjustment of 3.3 percent made to account for ,,,,,,,,
houses for sale in permit-issuing areas that will never have a permit authorization.,,,,,,,,
