Houses Sold and For Sale by Stage of Construction and Median Number of Months on Sales Market,,,,,,,,,
,,,,,,,,,
(Components may not add to total because of rounding.  Number of housing units in thousands.),,,,,,,,,
,,,,,,,,,
Year,Sold during period,,,,For Sale at end of period,,,,
,,,,,,,,,Median Number
, Total,Not,Under,Completed, Total,Not,Under,Completed,of months
,, Started,Construction,,, Started,Construction,,for sale1
Oct 2011,25,5,7,12,159,24,77,59,5.6
Nov 2011,23,6,6,11,156,24,73,59,5.3
Dec 2011,24,6,6,12,150,23,68,59,4.9
Jan 2012,23,7,7,10,148,23,68,56,5.3
Feb 2012,30,10,9,11,146,25,67,54,5.7
Mar 2012,34,11,10,13,144,25,70,49,6.0
Apr 2012,34,10,11,12,143,24,72,47,5.8
May 2012,35,9,13,12,144,26,75,44,5.7
Jun 2012,34,11,13,11,145,23,79,42,5.8
Jul 2012,33,10,11,12,142,23,81,39,6.4
Aug 2012,31,9,12,10,145,25,81,39,5.2
Sep 2012,30,10,11,10,146,22,85,39,4.4
Oct 2012,29,9,10,10,149,23,86,41,3.8
Nov 2012,28,8,10,10,150,24,84,42,3.4
Dec 2012,28,9,9,10,148,22,83,43,3.2
Jan 2013,32,10,11,11,148,22,84,43,3.3
Feb 2013,36,13,12,10,150,23,85,43,3.6
Mar 2013,41,14,14,13,152,24,87,42,3.7
Apr 2013,43,16,15,13,159,26,94,40,4.0
May 2013,40,12,14,13,162,29,97,36,4.5
Jun 2013,43,14,17,13,161,28,98,35,4.2
Jul 2013,33,10,13,9,172,32,103,36,3.7
Aug 2013,31,8,13,10,177,32,106,39,2.9
Sep 2013,31,10,11,10,185,36,109,40,3.0
Oct 2013,36,10,15,12,187,38,108,41,2.9
Nov 2013,32,9,11,11,185,33,110,42,3.1
Dec 2013,31,10,11,10,186,30,111,44,3.2
Jan 2014,33,11,12,10,188,31,110,47,3.2
Feb 2014,35,11,12,12,185,30,109,45,3.4
Mar 2014,39,14,14,11,187,31,108,48,3.3
Apr 2014,39,12,15,12,188,29,112,48,3.2
May 2014,43,14,16,14,191,30,115,47,3.4
Jun 2014,38,12,13,13,197,33,119,46,3.4
Jul 2014,35,11,13,11,206,33,126,47,3.3
Aug 2014,36,11,13,12,209,33,127,49,3.1
Sep 2014,37,11,14,12,213,34,127,52,3.0
Oct 2014,38,11,14,13,213,36,123,55,2.9
Nov 2014,31,10,11,10,212,33,121,58,3.0
Dec 2014,35,10,10,15,212,33,118,60,3.0
Jan 2015,39,12,13,15,206,36,113,58,3.2
Feb 2015,45,16,15,15,201,36,107,58,3.3
Mar 2015,46,15,15,16,202,38,111,52,3.8
Apr 2015,48,16,16,16,205,37,118,50,4.0
May 2015,47,15,17,15,207,37,122,49,3.9
Jun 2015,44,15,15,14,216,39,129,47,4.0
Jul 2015,43,14,15,14,219,38,136,45,3.5
Aug 2015,41,13,15,14,220,36,138,46,3.5
Sep 2015,35,11,13,11,227,36,142,50,3.2
Oct 2015,39,11,16,12,228,40,135,52,2.9
Nov 2015,36,12,12,11,232,36,140,55,3.0
Dec 2015,38,11,14,13,235,39,138,59,2.9
Jan 2016,39,13,14,12,235,36,139,60,3.3
Feb 2016,45,14,16,15,236,36,140,60,3.7
Mar 2016,50,17,18,15,240,38,143,58,4.0
Apr 2016,55,16,22,17,239,36,145,58,4.1
May 2016,53,19,17,17,238,37,144,57,3.8
Jun 2016,50,14,19,17,243,39,150,53,4.0
Jul 2016,54,14,23,17,236,37,145,54,3.6
Aug 2016,46,14,17,14,242,40,144,58,3.2
Sep 2016,44,13,17,14,248,42,148,59,3.0
Oct 2016,46,14,15,17,250,37,153,59,3.1
Nov 2016,40,10,15,15,252,37,154,61,3.2
Dec 2016,39,12,13,14,257,42,151,64,3.3
Jan 2017,45,15,15,15,259,45,150,64,3.2
Feb 2017,51,16,18,17,259,47,150,63,3.4
Mar 2017,61,19,21,21,263,50,153,60,3.6
Apr 2017,56,18,22,17,262,46,158,58,3.7
May 2017,57,21,19,18,269,49,160,60,3.1
Jun 2017,56,18,20,18,274,50,164,61,2.9
Jul 2017,48,14,18,16,275,44,170,61,2.8
Aug 2017,45,13,16,16,284,47,176,61,3.1
Sep 2017,50,14,19,17,285,47,175,63,3.2
Oct 2017,49,13,18,18,289,48,176,65,3.2
Nov 2017,50,16,17,17,292,47,181,65,3.4
Dec 2017,45,13,13,19,294,50,177,67,3.2
Jan 2018,48,14,17,17,294,52,174,68,3.3
Feb 2018,54,17,19,18,295,53,176,66,3.7
Mar 2018,66,19,24,23,293,56,175,62,3.9
Apr 2018,61,18,23,20,294,53,181,60,3.8
May 2018,62,17,23,23,299,54,188,57,3.7
Jun 2018,56,15,22,19,308,58,192,58,3.3
Jul 2018,52,16,20,16,313,55,197,61,3.1
Aug 2018,47,13,17,17,322,56,200,66,2.9
Sep 2018,46,13,17,16,326,53,204,69,2.9
Oct 2018,43,10,17,15,335,57,203,75,2.7
Nov 2018,44,13,14,17,341,60,203,77,3.0
Dec 2018,38,11,10,17,348,66,203,79,3.2
Jan 2019,49,13,16,19,349,60,207,82,3.2
Feb 2019,57,17,17,23,340,59,204,78,3.6
Mar 2019,68,18,24,27,331,58,196,77,3.6
Apr 2019,64,18,22,24,330,54,199,77,3.4
May 2019,56,15,19,22,334,57,199,77,3.5
Jun 2019,66,20,21,25,326,54,198,74,3.6
Jul 2019,55,15,20,20,327,53,199,76,3.4
Aug 2019,57,16,19,22,325,53,197,76,3.2
Sep 2019,56,17,19,21,322,49,199,75,3.5
Oct 2019,55,14,20,21,324,52,194,78,3.1
Nov 2019,50,12,16,21,325,54,193,78,3.2
Dec 2019,49,14,15,20,327,54,191,82,3.0
Jan 2020,59,17,21,21,329,57,191,81,3.4
Feb 2020,63,19,21,24,326,52,194,80,3.4
Mar 2020,59,14,20,25,328,59,193,76,3.4
Apr 2020,52,11,21,20,321,59,185,77,3.3
May 2020,64,15,25,24,308,62,173,72,3.6
Jun 2020,79,23,26,30,299,59,180,61,4.2
Jul 2020,85,23,32,29,290,58,177,55,4.3
Aug 2020,81,25,34,23,283,58,175,50,4.5
Sep 2020,77,25,27,25,286,61,181,45,4.5
Oct 2020,78,24,32,22,284,58,183,43,4.2
Nov 2020,61,21,23,17,290,61,186,43,4.0
Dec 2020,63,19,24,20,302,67,192,43,3.6
Jan 2021,77,25,32,20,300,73,184,42,3.2
Feb 2021,71,25,28,18,303,79,184,41,3.7
Mar 2021,86,26,36,24,306,83,188,35,4.6
Apr 2021,78,29,30,19,318,96,187,36,3.8
,,,,,,,,,
1Median number of months for sale since completion.,,,,,,,,,
,,,,,,,,,
Note: Estimates prior to 1999 include an upward adjustment of 3.3 percent made to account for ,,,,,,,,,
houses sold and for sale in permit-issuing areas that will never have a permit authorization.,,,,,,,,,
