" New Houses Sold in the United States, by Sales Price",,,,,,,,,,,
,,,,,,,,,,,
[Thousands of houses.  Components may not add to total because of rounding.],,,,,,,,,,,
,,,,,,,,,,,
Period,Total ,Under ,"$100,000 to ","$125,000 to ","$150,000 to "," $200,000 to  "," $250,000 to  ","$300,000 ",,,
Dec 2004,83 ,4 ,4 ,7 ,17 ,15 ,9 ,26 ,,,
Jan 2005,92 ,4 ,5 ,10 ,20 ,13 ,10 ,29 ,,,
Feb 2005,109 ,3 ,8 ,10 ,21 ,18 ,12 ,37 ,,,
Mar 2005,127 ,4 ,7 ,15 ,25 ,20 ,13 ,43 ,,,
Apr 2005,116 ,3 ,5 ,12 ,23 ,20 ,13 ,41 ,,,
May 2005,120 ,4 ,9 ,12 ,25 ,17 ,14 ,40 ,,,
Jun 2005,115 ,3 ,8 ,10 ,25 ,18 ,14 ,37 ,,,
Jul 2005,117 ,3 ,6 ,13 ,25 ,19 ,11 ,40 ,,,
Aug 2005,110 ,2 ,8 ,11 ,21 ,14 ,12 ,41 ,,,
Sep 2005,99 ,3 ,7 ,9 ,21 ,13 ,12 ,35 ,,,
Oct 2005,105 ,2 ,6 ,13 ,15 ,16 ,14 ,37 ,,,
Nov 2005,86 ,2 ,4 ,9 ,17 ,13 ,9 ,31 ,,,
Dec 2005,87 ,2 ,5 ,9 ,15 ,17 ,10 ,29 ,,,
