Houses Sold by Region,,,,,,,,,,
,,,,,,,,,,
(Components may not add to total because of rounding.  Number of housing units in thousands.),,,,,,,,,,
,,,,,,,,,,
Period,Sold during period,,,,,,,,,
,Not seasonally adjusted,,,,,Seasonally adjusted annual rate,,,,
,United,North-,Mid-,South,West,United,North-,Mid-,South,West
,States,east,West,,,States,east,West,,
Nov 2009,26,2,5,14,5,375,33,73,191,78
Dec 2009,24,3,3,13,5,352,39,50,182,81
Jan 2010,24,3,4,12,5,345,40,54,171,80
Feb 2010,27,2,4,13,7,336,31,51,166,88
Mar 2010,36,3,5,19,9,381,32,55,199,95
Apr 2010,41,4,5,21,10,422,34,55,231,102
May 2010,26,3,4,14,6,280,28,41,149,62
Jun 2010,28,3,4,16,5,305,34,45,170,56
Jul 2010,26,3,4,16,4,283,28,43,167,45
Aug 2010,23,3,3,12,6,282,30,31,153,68
Sep 2010,25,3,4,12,6,317,36,50,162,69
Oct 2010,23,3,3,13,4,291,31,39,172,49
Nov 2010,20,2,2,12,4,287,22,34,162,69
Dec 2010,23,2,3,12,6,326,22,36,168,100
Jan 2011,21,2,3,11,5,307,33,42,158,74
Feb 2011,22,1,2,13,5,270,18,30,162,60
Mar 2011,28,2,3,16,7,300,23,40,164,73
Apr 2011,30,3,4,16,8,310,25,41,166,78
May 2011,28,2,4,16,7,305,18,41,173,73
Jun 2011,28,1,5,16,6,301,16,46,170,69
Jul 2011,27,2,4,15,6,296,23,44,167,62
Aug 2011,25,2,5,13,5,299,24,48,163,64
Sep 2011,24,2,4,13,5,304,19,48,170,67
Oct 2011,25,2,4,13,7,316,19,50,165,82
Nov 2011,23,1,4,13,5,328,16,54,182,76
Dec 2011,24,1,4,13,5,341,20,58,178,85
Jan 2012,23,2,3,13,5,335,24,44,190,77
Feb 2012,30,2,4,16,8,366,27,50,196,93
Mar 2012,34,3,4,20,8,354,32,42,200,80
Apr 2012,34,3,5,16,10,354,29,49,181,95
May 2012,35,3,4,18,10,370,36,45,191,98
Jun 2012,34,1,5,18,10,360,16,49,188,107
Jul 2012,33,3,5,16,9,369,31,56,180,102
Aug 2012,31,2,5,14,9,375,27,54,187,107
Sep 2012,30,3,3,16,8,385,37,35,214,99
Oct 2012,29,2,4,14,8,358,25,51,175,107
Nov 2012,28,2,3,17,6,392,32,44,221,95
Dec 2012,28,2,3,16,6,399,30,48,222,99
Jan 2013,32,2,4,16,10,446,29,56,220,141
Feb 2013,36,3,5,17,11,447,37,69,211,130
Mar 2013,41,3,5,22,11,444,37,61,234,112
Apr 2013,43,3,6,24,10,441,29,60,251,101
May 2013,40,2,7,22,10,428,27,70,236,95
Jun 2013,43,3,6,23,11,470,35,57,259,119
Jul 2013,33,3,5,17,8,375,30,53,195,97
Aug 2013,31,3,5,16,7,381,31,61,207,82
Sep 2013,31,2,5,17,7,403,25,61,222,95
Oct 2013,36,2,6,21,7,444,31,64,260,89
Nov 2013,32,2,4,19,7,446,33,57,250,106
Dec 2013,31,2,4,18,7,433,23,61,252,97
Jan 2014,33,3,3,19,8,443,30,50,247,116
Feb 2014,35,2,4,21,8,420,23,57,251,89
Mar 2014,39,2,5,23,9,405,26,55,237,87
Apr 2014,39,2,7,21,9,403,21,63,225,94
May 2014,43,3,7,22,11,451,36,74,232,109
Jun 2014,38,2,5,21,10,418,26,54,233,105
Jul 2014,35,2,5,20,8,402,22,54,226,100
Aug 2014,36,3,5,19,10,456,30,54,246,126
Sep 2014,37,3,5,20,9,470,32,59,258,121
Oct 2014,38,2,6,21,9,476,25,64,266,121
Nov 2014,31,2,4,17,8,442,31,59,229,123
Dec 2014,35,2,4,20,9,497,31,56,285,125
Jan 2015,39,1,4,23,11,515,14,64,292,145
Feb 2015,45,2,4,28,12,540,28,53,327,132
Mar 2015,46,2,5,26,13,480,20,55,274,131
Apr 2015,48,1,7,28,12,502,12,64,302,124
May 2015,47,2,6,26,13,502,26,59,281,136
Jun 2015,44,2,6,24,11,480,27,61,273,119
Jul 2015,43,2,5,24,10,506,28,62,288,128
Aug 2015,41,3,5,23,10,518,32,62,298,126
Sep 2015,35,2,5,20,8,456,20,57,264,115
Oct 2015,39,3,5,22,9,482,33,60,269,120
Nov 2015,36,2,4,20,9,504,27,64,270,143
Dec 2015,38,2,5,21,10,546,30,73,295,148
Jan 2016,39,3,4,22,10,505,33,66,283,123
Feb 2016,45,2,4,26,13,517,28,56,292,141
Mar 2016,50,3,6,29,13,532,32,64,308,128
Apr 2016,55,4,6,31,14,576,39,59,331,147
May 2016,53,3,7,29,14,571,34,73,317,147
Jun 2016,50,3,7,28,12,557,28,79,321,129
Jul 2016,54,3,7,32,12,628,36,81,364,147
Aug 2016,46,2,6,26,12,575,22,69,340,144
Sep 2016,44,3,6,25,10,558,32,74,316,136
Oct 2016,46,3,6,27,11,575,36,70,329,140
Nov 2016,40,2,5,22,11,571,30,75,302,164
Dec 2016,39,3,4,21,11,561,37,67,297,160
Jan 2017,45,3,5,26,11,578,41,69,333,135
Feb 2017,51,2,6,28,14,601,31,82,336,152
Mar 2017,61,3,7,33,17,643,42,81,344,176
Apr 2017,56,4,7,31,14,604,38,71,345,150
May 2017,57,4,6,32,16,627,45,62,352,168
Jun 2017,56,4,6,30,16,612,42,69,329,172
Jul 2017,48,4,6,26,12,553,41,67,299,146
Aug 2017,45,3,6,24,11,550,33,71,308,138
Sep 2017,50,3,6,28,12,622,40,74,347,161
Oct 2017,49,3,6,28,11,625,44,74,362,145
Nov 2017,50,3,5,27,15,718,41,78,371,228
Dec 2017,45,2,4,25,13,658,36,65,362,195
Jan 2018,48,3,6,25,14,610,33,82,315,180
Feb 2018,54,3,6,30,15,644,41,76,362,165
Mar 2018,66,3,8,37,18,680,36,84,374,186
Apr 2018,61,3,9,33,16,658,32,88,371,167
May 2018,62,3,8,36,15,680,36,84,401,159
Jun 2018,56,4,6,31,14,598,45,70,333,150
Jul 2018,52,2,6,30,14,600,24,68,341,167
Aug 2018,47,3,6,26,13,582,31,71,322,158
Sep 2018,46,2,7,26,12,584,27,83,322,152
Oct 2018,43,2,5,24,12,546,24,63,306,153
Nov 2018,44,2,5,27,10,618,31,70,369,148
Dec 2018,38,2,4,24,9,566,27,62,352,125
Jan 2019,49,2,4,29,13,628,28,63,373,164
Feb 2019,57,3,6,33,16,675,33,73,394,175
Mar 2019,68,2,8,38,20,721,27,87,398,209
Apr 2019,64,3,7,34,20,689,33,69,378,209
May 2019,56,2,7,35,12,619,23,73,388,135
Jun 2019,66,2,6,39,18,711,25,63,429,194
Jul 2019,55,3,6,34,13,636,31,69,382,154
Aug 2019,57,3,5,34,15,677,32,64,402,179
Sep 2019,56,3,5,34,13,706,34,68,429,175
Oct 2019,55,2,6,33,15,703,23,70,419,191
Nov 2019,50,2,5,29,13,700,34,79,395,192
Dec 2019,49,3,5,27,14,733,39,83,399,212
Jan 2020,59,3,7,30,19,756,32,94,386,244
Feb 2020,63,4,6,34,19,730,43,81,396,210
Mar 2020,59,2,7,35,15,623,24,73,369,157
Apr 2020,52,2,8,29,14,582,22,75,338,147
May 2020,64,3,7,38,16,704,33,74,419,178
Jun 2020,79,5,8,47,20,839,52,86,488,213
Jul 2020,85,4,11,50,20,972,42,127,559,244
Aug 2020,81,4,8,48,21,977,46,96,578,257
Sep 2020,77,3,8,45,21,971,38,97,564,272
Oct 2020,78,3,9,44,22,969,41,113,540,275
Nov 2020,61,2,7,38,14,865,34,96,523,212
Dec 2020,63,3,7,37,16,943,41,112,553,237
Jan 2021,77,4,9,45,19,993,47,124,575,247
Feb 2021,71,3,9,39,20,854,39,113,479,223
Mar 2021,86,4,12,55,15,917,51,120,594,152
Apr 2021,78,4,11,47,15,863,44,110,545,164
,,,,,,,,,,
Note: Estimates prior to 1999 include an upward adjustment of 3.3 percent made to account for ,,,,,,,,,,
houses sold in permit-issuing areas that will never have a permit authorization.,,,,,,,,,,
