West Regional Housing Affordability Index,,,,,,,,,,,
Annual and Monthly 1989 - Present,,,,,,,,,,,
,,,,,,,,,,,
Existing Home Sales Program © 2019,,,,,,,,,,,
National Association of REALTORS ® Research Team,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,
,,,,,,,,,,,
, Med-Price ,Monthly, Princp.& ,Median,,,,,,,
, Single-Fam ,Mortgage, Interest ,as %, Family ,Qualifying,,Last,Last,,
, Home ,Rate*, Payment ,Income, Income ,Income**,Composite,Month,Year,,
,,,,,,,,,,,
1991.07," 152,400 ",9.45, 938 ,30.5,"37,226","45,040",82.1,84.8,81.4,,
1991.08," 142,300 ",9.01, 869 ,28.2,"37,338","41,718",88.7,82.1,90.2,,
1991.09," 148,200 ",8.81, 849 ,27.5,"37,449","40,762",90.9,88.7,86.2,,
1991.10," 146,400 ",8.62, 841 ,27.2,"37,561","40,362",91.9,90.9,86.9,,
1991.11," 136,700 ",8.36, 784 ,25.3,"37,673","37,628",98.7,91.9,88.4,,
1991.12," 144,300 ",8.16, 798 ,25.8,"37,786","38,303",97.0,98.7,89.1,,
1992.01," 148,900 ",8.36, 829 ,26.7,"37,898","39,784",93.8,97.0,84.4,,
1992.02," 145,400 ",8.65, 841 ,26.9,"38,012","40,353",92.8,93.8,87.5,,
1992.03," 144,000 ",8.59, 829 ,26.5,"38,125","39,805",94.5,92.8,85.7,,
1992.04," 142,900 ",8.58, 820 ,26.1,"38,239","39,352",95.9,94.5,81.4,,
1992.05," 144,800 ",8.38, 805 ,25.5,"38,353","38,661",98.0,95.9,82.9,,
1992.06," 143,900 ",8.13, 799 ,25.2,"38,468","38,367",99.2,98.0,84.8,,
1992.07," 142,300 ",7.83, 756 ,23.8,"38,540","36,289",105.3,99.2,82.1,,
1992.08," 132,300 ",7.64, 712 ,22.3,"38,569","34,160",112.2,105.3,88.7,,
1992.09," 143,800 ",7.49, 728 ,22.7,"38,599","34,924",110.2,112.2,90.9,,
1992.10," 143,600 ",7.73, 759 ,23.6,"38,628","36,408",106.1,110.2,91.9,,
1992.11," 133,800 ",7.98, 741 ,22.9,"38,658","35,548",109.1,106.1,98.7,,
1992.12," 140,400 ",7.78, 749 ,23.1,"38,688","35,950",108.3,109.1,97.0,,
1993.01," 141,200 ",7.51, 725 ,22.3,"38,717","34,778",111.9,108.3,93.8,,
1993.02," 138,600 ",7.23, 699 ,21.6,"38,747","33,568",115.9,111.9,92.8,,
1993.03," 141,700 ",7.16, 711 ,21.9,"38,777","34,139",113.9,115.9,94.5,,
