U.S. FIRST-TIME HOMEBUYER AFFORDABILITY,,,,,,,,,,,,,,,,,,,,,,,,
"Quarterly, 1989 - current",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Existing Home Sales Program © 2019,,,,,,,,,,,,,,,,,,,,,,,,
National Association of REALTORS ® Research Team,,,,,,,,,,,,,,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,,,,,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,,,,,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Starter,,,Effective,Interest,,Prime 1st Time,,First Time,Composite,,,,,,,,,,,,,,
,Home,10%,Loan,Interest,Rate +,Monthly,Median,Qualifying,Affordability,Affordability,Affordability,,,,,,,,,,,,,
,Price,Down,Amount,Rate,PMI,Payment,Income,Income,Index,Index,Gap,,,,,,,,,,,,,
1997,"109,700","10,970","98,730",7.68,7.93,720,"28,969","34,560",83.8,126.5,33.8%,,,,,,,,,,,,,
1998,"115,600","11,560","104,040",7.10,7.35,717,"30,379","34,416",88.3,133.2,33.7%,,,,,,,,,,,,,
1999,"120,000","12,000","108,000",7.33,7.58,761,"31,740","36,528",86.9,130.9,33.6%,,,,,,,,,,,,,
2000,"125,200","12,520","112,680",8.03,8.28,849,"32,976","40,752",80.9,121.9,33.6%,,,,,,,,,,,,,
2001,"133,100","13,310","119,790",7.03,7.28,820,"33,415","39,360",84.9,128.1,33.7%,,,,,,,,,,,,,
2002,"142,500","14,250","128,250",6.55,6.80,836,"33,592","40,128",83.7,126.4,33.8%,,,,,,,,,,,,,
2003,"153,200","15,320","137,880",5.74,5.99,826,"34,242","39,648",86.4,130.7,33.9%,,,,,,,,,,,,,
2004,"165,900","16,590","149,310",5.73,5.98,893,"35,140","42,864",82.0,123.9,33.8%,,,,,,,,,,,,,
2005,"186,200","18,620","167,580",5.91,6.16,"1,022","36,526","49,056",74.5,112.6,33.8%,,,,,,,,,,,,,
2006,"188,600","18,860","169,740",6.58,6.83,"1,110","37,965","53,280",71.3,107.6,33.7%,,,,,,,,,,,,,
2007,"185,200","18,520","166,680",6.52,6.77,"1,083","39,762","51,984",76.5,115.4,33.7%,,,,,,,,,,,,,
2008,"167,100","16,710","150,390",6.15,6.40,941,"41,188","45,168",91.2,137.8,33.8%,,,,,,,,,,,,,
2009,"146,300","14,630","131,670",5.14,5.39,739,"39,703","35,472",111.9,169.4,33.9%,,,,,,,,,,,,,
2010,"147,100","14,710","132,390",4.89,5.14,722,"39,396","34,656",113.7,172.0,33.9%,,,,,,,,,,,,,
2011,"141,300","14,130","127,170",4.67,4.92,676,"39,946","32,448",123.1,186.4,34.0%,,,,,,,,,,,,,
2012,"150,600","15,060","135,540",3.83,4.08,653,"40,643","31,344",129.7,196.5,34.0%,,,,,,,,,,,,,
2013,"167,800","16,780","151,020",4.00,4.25,743,"41,624","35,664",116.7,176.9,34.0%,,,,,,,,,,,,,
2014,"177,600","17,760","159,840",4.31,4.56,816,"$42,842","39,168",109.4,165.8,34.0%,,,,,,,,,,,,,
2015,"190,300","19,030","171,270",4.03,4.28,846,"$44,369","40,608",109.3,165.7,34.0%,,,,,,,,,,,,,
2016,"200,200","20,020","180,180",3.88,4.13,874,"$46,190","41,952",110.1,167.1,34.1%,,,,,,,,,,,,,
2017,"211,500","21,150","190,350",4.20,4.45,959,"$48,029","46,032",104.3,158.2,34.1%,,,,,,,,,,,,,
2018,"222,400","22,240","200,160",4.72,4.97,"1,071","$49,661","51,408",96.6,146.3,34.0%,,,,,,,,,,,,,
2019,"233,400","23,340","210,060",4.04,4.29,"1,038","51,323","49,824",103.0,156.1,34.0%,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
