UNITED STATES HOUSING AFFORDABILITY,,,,,,,,,,,,,,,,,,,,
Annual and Monthly 1989 - Present,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Existing Home Sales Program © 2019,,,,,,,,,,,,,,,,,,,,
National Association of REALTORS ® Research Team,,,,,,,,,,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
, Med-Price , Monthly , Princp.& ,Median,,,,,,,,,,,,,,,,
, Single-Fam , Mortgage , Interest ,as %, Family , Qualifying ,    Affordability Index,,,,,,,,,,,,,
, Home , Rate* , Payment ,Income, Income , Income** ,Composite, Fixed ,ARM,,,FIXDIR,,,,,ARMIR,,,
,,,,,,,,,,,,,,,,,,,,
2007.02," 212,400 ", 6.46 ," 1,070 ",21.3 ," 60,358 "," 51,360 ",117.5 , 117.4 ,119.1,,,6.47,"1,071.0",51408,117.4,,6.34,1056,50688,119.1
2007.03," 216,200 ", 6.38 ," 1,080 ",21.4 ," 60,664 "," 51,840 ",117.0 , 116.7 ,119.2,,,6.41,"1,083.0",51984,116.7,,6.21,1060,50880,119.2
2007.04," 219,300 ", 6.34 ," 1,091 ",21.5 ," 60,777 "," 52,368 ",116.1 , 115.8 ,118.3,,,6.36,"1,093.0",52464,115.8,,6.16,1070,51360,118.3
2007.05," 221,900 ", 6.43 ," 1,114 ",22.0 ," 60,889 "," 53,472 ",113.9 , 113.7 ,115.8,,,6.45,"1,116.0",53568,113.7,,6.27,1095,52560,115.8
2007.06," 229,200 ", 6.63 ," 1,175 ",23.1 ," 60,951 "," 56,400 ",108.1 , 107.8 ,110.3,,,6.66,"1,178.0",56544,107.8,,6.43,1151,55248,110.3
2007.07," 228,500 ", 6.80 ," 1,192 ",23.4 ," 61,151 "," 57,216 ",106.9 , 106.3 ,110.6,,,6.85,"1,198.0",57504,106.3,,6.47,1152,55296,110.6
2007.08," 223,700 ", 6.79 ," 1,165 ",22.8 ," 61,254 "," 55,920 ",109.5 , 109.2 ,111.8,,,6.82,"1,169.0",56112,109.2,,6.58,1141,54768,111.8
2007.09," 208,600 ", 6.66 ," 1,072 ",20.9 ," 61,635 "," 51,456 ",119.8 , 119.8 ,120.1,,,6.66,"1,072.0",51456,119.8,,6.63,1069,51312,120.1
2007.10," 204,800 ", 6.56 ," 1,042 ",20.2 ," 61,801 "," 50,016 ",123.6 , 123.4 ,125.2,,,6.57,"1,043.0",50064,123.4,,6.43,1028,49344,125.2
2007.11," 207,300 ", 6.41 ," 1,038 ",20.1 ," 62,076 "," 49,824 ",124.6 , 124.2 ,127.8,,,6.43,"1,041.0",49968,124.2,,6.17,1012,48576,127.8
2007.12," 205,000 ", 6.31 ," 1,016 ",19.5 ," 62,467 "," 48,768 ",128.1 , 127.8 ,132.1,,,6.33,"1,018.0",48864,127.8,,6.02,985,47280,132.1
2008.01," 197,200 ", 6.04 , 950 ,18.2 ," 62,790 "," 45,600 ",137.7 , 137.4 ,140.7,,,6.06,952.0,45696,137.4,,5.84,930,44640,140.7
