UNITED STATES HOUSING AFFORDABILITY,,,,,,,,,,,,,,,,,,,,
Annual and Monthly 1989 - Present,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Existing Home Sales Program © 2019,,,,,,,,,,,,,,,,,,,,
National Association of REALTORS ® Research Team,,,,,,,,,,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
, Med-Price , Monthly , Princp.& ,Median,,,,,,,,,,,,,,,,
, Single-Fam , Mortgage , Interest ,as %, Family , Qualifying ,    Affordability Index,,,,,,,,,,,,,
, Home , Rate* , Payment ,Income, Income , Income** ,Composite, Fixed ,ARM,,,FIXDIR,,,,,ARMIR,,,
,,,,,,,,,,,,,,,,,,,,
2013.06," 214,600 ", 3.67 , 787 ,14.7 ," 64,146 "," 37,776 ",169.8 , 167.7 ,N/A*,,,3.77,797.0,38256,167.7,,,,,
2013.07," 213,000 ", 4.13 , 826 ,15.5 ," 64,131 "," 39,648 ",161.8 , 159.4 ,N/A*,,,4.25,838.0,40224,159.4,,,,,
2013.08," 209,700 ", 4.41 , 841 ,15.7 ," 64,310 "," 40,368 ",159.3 , 157.6 ,N/A*,,,4.50,850.0,40800,157.6,,,,,
2013.09," 198,500 ", 4.53 , 807 ,15.0 ," 64,533 "," 38,736 ",166.6 , 164.4 ,N/A*,,,4.64,818.0,39264,164.4,,,,,
2013.10," 197,600 ", 4.49 , 800 ,14.9 ," 64,521 "," 38,400 ",168.0 , 166.2 ,N/A*,,,4.59,809.0,38832,166.2,,,,,
2013.11," 195,300 ", 4.38 , 781 ,14.5 ," 64,799 "," 37,488 ",172.9 , 170.7 ,N/A*,,,4.49,791.0,37968,170.7,,,,,
2013.12," 197,700 ", 4.41 , 793 ,14.7 ," 64,714 "," 38,064 ",170.0 , 167.3 ,N/A*,,,4.55,806.0,38688,167.3,,,,,
2014.01," 187,900 ", 4.54 , 765 ,14.2 ," 64,868 "," 36,720 ",176.7 , 173.3 ,N/A*,,,4.70,780.0,37440,173.3,,,,,
2014.02," 188,800 ", 4.47 , 763 ,14.1 ," 65,101 "," 36,624 ",177.8 , 175.2 ,N/A*,,,4.60,774.0,37152,175.2,,,,,
2014.03," 196,500 ", 4.38 , 785 ,14.4 ," 65,343 "," 37,680 ",173.4 , 170.4 ,N/A*,,,4.53,799.0,38352,170.4,,,,,
2014.04," 201,000 ", 4.39 , 804 ,14.7 ," 65,508 "," 38,592 ",169.7 , 166.4 ,N/A*,,,4.55,820.0,39360,166.4,,,,,
2014.05," 212,000 ", 4.34 , 843 ,15.4 ," 65,678 "," 40,464 ",162.3 , 159.7 ,N/A*,,,4.48,857.0,41136,159.7,,,,,
2014.06," 223,000 ", 4.23 , 876 ,16.0 ," 65,876 "," 42,048 ",156.7 , 154.4 ,N/A*,,,4.36,889.0,42672,154.4,,,,,
2014.07," 222,500 ", 4.25 , 876 ,15.9 ," 66,032 "," 42,048 ",157.0 , 154.9 ,N/A*,,,4.37,888.0,42624,154.9,,,,,
2014.08," 219,100 ", 4.24 , 861 ,15.6 ," 66,212 "," 41,328 ",160.2 , 158.0 ,N/A*,,,4.35,873.0,41904,158,,,,,
2014.09," 209,600 ", 4.21 , 821 ,14.8 ," 66,345 "," 39,408 ",168.4 , 165.7 ,N/A*,,,4.34,834.0,40032,165.7,,,,,
2014.10," 208,000 ", 4.29 , 822 ,14.8 ," 66,496 "," 39,456 ",168.5 , 166.5 ,N/A*,,,4.39,832.0,39936,166.5,,,,,
2014.11," 207,900 ", 4.16 , 809 ,14.6 ," 66,651 "," 38,832 ",171.6 , 169.3 ,N/A*,,,4.27,820.0,39360,169.3,,,,,
2014.12," 209,200 ", 4.16 , 815 ,14.6 ," 66,812 "," 39,120 ",170.8 , 169.3 ,N/A*,,,4.24,822.0,39456,169.3,,,,,
2015.01," 198,600 ", 4.04 , 762 ,13.6 ," 67,310 "," 36,576 ",184.0 , 182.1 ,N/A*,,,4.12,770.0,36960,182.1,,,,,
2015.02," 203,500 ", 3.92 , 770 ,13.7 ," 67,536 "," 36,960 ",182.7 , 181.5 ,N/A*,,,3.98,775.0,37200,181.5,,,,,
2015.03," 212,100 ", 3.95 , 805 ,14.3 ," 67,541 "," 38,640 ",174.8 , 173.1 ,N/A*,,,4.03,813.0,39024,173.1,,,,,
2015.04," 220,000 ", 3.95 , 835 ,14.8 ," 67,852 "," 40,080 ",169.3 , 168.3 ,N/A*,,,4.00,840.0,40320,168.3,,,,,
2015.05," 230,500 ", 3.90 , 870 ,15.3 ," 68,166 "," 41,760 ",163.2 , 162.5 ,N/A*,,,3.94,874.0,41952,162.5,,,,,
2015.06," 237,900 ", 3.99 , 908 ,15.9 ," 68,373 "," 43,584 ",156.9 , 156.0 ,N/A*,,,4.04,913.0,43824,156,,,,,
2015.07," 233,400 ", 4.19 , 912 ,16.0 ," 68,569 "," 43,776 ",156.6 , 156.1 ,N/A*,,,4.22,915.0,43920,156.1,,,,,
2015.08," 230,000 ", 4.15 , 894 ,15.6 ," 68,665 "," 42,912 ",160.0 , 158.9 ,N/A*,,,4.20,900.0,43200,158.9,,,,,
2015.09," 223,300 ", 4.10 , 863 ,15.1 ," 68,714 "," 41,424 ",165.9 , 165.1 ,N/A*,,,4.14,867.0,41616,165.1,,,,,
2015.10," 220,600 ", 4.05 , 848 ,14.8 ," 68,779 "," 40,704 ",169.0 , 168.0 ,N/A*,,,4.10,853.0,40944,168,,,,,
2015.11," 221,400 ", 4.01 , 847 ,14.8 ," 68,742 "," 40,656 ",169.1 , 168.1 ,N/A*,,,4.06,852.0,40896,168.1,,,,,
2015.12," 224,900 ", 4.14 , 874 ,15.2 ," 68,868 "," 41,952 ",164.2 , 163.2 ,N/A*,,,4.19,879.0,42192,163.2,,,,,
2016.01," 214,800 ", 4.12 , 832 ,14.3 ," 69,810 "," 39,936 ",174.8 , 173.1 ,N/A*,,,4.20,840.0,40320,173.1,,,,,
2016.02," 213,600 ", 4.04 , 820 ,14.1 ," 69,786 "," 39,360 ",177.3 , 176.2 ,N/A*,,,4.09,825.0,39600,176.2,,,,,
2016.03," 223,100 ", 3.87 , 839 ,14.4 ," 70,073 "," 40,272 ",174.0 , 173.0 ,N/A*,,,3.92,844.0,40512,173,,,,,
2016.04," 232,000 ", 3.89 , 874 ,14.9 ," 70,336 "," 41,952 ",167.7 , 166.5 ,N/A*,,,3.94,880.0,42240,166.5,,,,,
2016.05," 240,300 ", 3.83 , 899 ,15.3 ," 70,471 "," 43,152 ",163.3 , 162.6 ,N/A*,,,3.87,903.0,43344,162.6,,,,,
2016.06," 249,800 ", 3.84 , 936 ,15.9 ," 70,765 "," 44,928 ",157.5 , 157.0 ,N/A*,,,3.87,939.0,45072,157,,,,,
2016.07," 245,100 ", 3.77 , 910 ,15.4 ," 70,999 "," 43,680 ",162.5 , 161.7 ,N/A*,,,3.81,915.0,43920,161.7,,,,,
2016.08," 241,900 ", 3.74 , 895 ,15.1 ," 71,283 "," 42,960 ",165.9 , 165.4 ,N/A*,,,3.77,898.0,43104,165.4,,,,,
2016.09," 236,900 ", 3.78 , 881 ,14.7 ," 71,728 "," 42,288 ",169.6 , 169.4 ,N/A*,,,3.79,882.0,42336,169.4,,,,,
2016.10," 235,600 ", 3.76 , 874 ,14.5 ," 72,167 "," 41,952 ",172.0 , 171.6 ,N/A*,,,3.78,876.0,42048,171.6,,,,,
2016.11," 236,000 ", 3.82 , 882 ,14.6 ," 72,448 "," 42,336 ",171.1 , 170.7 ,N/A*,,,3.84,884.0,42432,170.7,,,,,
2016.12," 234,600 ", 4.15 , 912 ,15.0 ," 72,876 "," 43,776 ",166.5 , 165.7 ,N/A*,,,4.18,916.0,43968,165.7,,,,,
2017.01," 228,700 ", 4.38 , 914 ,15.1 ," 72,600 "," 43,872 ",165.5 , 164.8 ,N/A*,,,4.42,918.0,44064,164.8,,,,,
2017.02," 229,800 ", 4.43 , 924 ,15.2 ," 72,883 "," 44,352 ",164.3 , 163.8 ,N/A*,,,4.46,927.0,44496,163.8,,,,,
2017.03," 238,000 ", 4.28 , 940 ,15.4 ," 73,111 "," 45,120 ",162.0 , 161.9 ,N/A*,,,4.29,941.0,45168,161.9,,,,,
2017.04," 246,300 ", 4.11 , 953 ,15.6 ," 73,222 "," 45,744 ",160.1 , 160.1 ,N/A*,,,4.11,953.0,45744,160.1,,,,,
2017.05," 254,300 ", 4.01 , 972 ,15.9 ," 73,478 "," 46,656 ",157.5 , 157.5 ,N/A*,,,4.01,972.0,46656,157.5,,,,,
2017.06," 265,500 ", 4.14 ," 1,031 ",16.8 ," 73,525 "," 49,488 ",148.6 , 148.6 ,N/A*,,,4.14,"1,031.0",49488,148.6,,,,,
2017.07," 260,300 ", 4.14 ," 1,011 ",16.4 ," 73,761 "," 48,528 ",152.0 , 152.0 ,N/A*,,,4.14,"1,011.0",48528,152,,,,,
2017.08," 254,800 ", 4.19 , 996 ,16.1 ," 74,039 "," 47,808 ",154.9 , 154.7 ,N/A*,,,4.20,997.0,47856,154.7,,,,,
2017.09," 249,100 ", 4.15 , 969 ,15.6 ," 74,452 "," 46,512 ",160.1 , 159.9 ,N/A*,,,4.16,970.0,46560,159.9,,,,,
2017.10," 247,200 ", 4.11 , 957 ,15.3 ," 74,834 "," 45,936 ",162.9 , 162.9 ,N/A*,,,4.11,957.0,45936,162.9,,,,,
2017.11," 248,200 ", 4.19 , 970 ,15.5 ," 75,193 "," 46,560 ",161.5 , 161.3 ,N/A*,,,4.20,971.0,46608,161.3,,,,,
2017.12," 247,900 ", 4.22 , 972 ,15.4 ," 75,594 "," 46,656 ",162.0 , 162.0 ,N/A*,,,4.22,972.0,46656,162,,,,,
2018.01," 241,900 ", 4.27 , 954 ,15.2 ," 75,478 "," 45,792 ",164.8 , 164.7 ,N/A*,,,4.28,955.0,45840,164.7,,,,,
2018.02," 242,600 ", 4.42 , 974 ,15.4 ," 75,655 "," 46,752 ",161.8 , 161.7 ,N/A*,,,4.43,975.0,46800,161.7,,,,,
2018.03," 251,500 ", 4.63 ," 1,035 ",16.4 ," 75,854 "," 49,680 ",152.7 , 152.5 ,N/A*,,,4.64,"1,036.0",49728,152.5,,,,,
2018.04," 259,800 ", 4.66 ," 1,073 ",16.9 ," 75,974 "," 51,504 ",147.5 , 147.4 ,N/A*,,,4.67,"1,074.0",51552,147.4,,,,,
2018.05," 267,800 ", 4.71 ," 1,112 ",17.5 ," 76,145 "," 53,376 ",142.7 , 142.7 ,N/A*,,,4.71,"1,112.0",53376,142.7,,,,,
2018.06," 276,500 ", 4.74 ," 1,153 ",18.1 ," 76,346 "," 55,344 ",137.9 , 137.9 ,N/A*,,,4.74,"1,153.0",55344,137.9,,,,,
2018.07," 271,900 ", 4.75 ," 1,135 ",17.8 ," 76,556 "," 54,480 ",140.5 , 140.5 ,N/A*,,,4.75,"1,135.0",54480,140.5,,,,,
2018.08," 268,200 ", 4.78 ," 1,123 ",17.6 ," 76,748 "," 53,904 ",142.4 , 142.4 ,N/A*,,,4.78,"1,123.0",53904,142.4,,,,,
2018.09," 259,300 ", 4.77 ," 1,085 ",17.0 ," 76,756 "," 52,080 ",147.4 , 147.4 ,N/A*,,,4.77,"1,085.0",52080,147.4,,,,,
2018.10," 257,700 ", 4.88 ," 1,092 ",17.0 ," 76,896 "," 52,416 ",146.7 , 146.7 ,N/A*,,,4.88,"1,092.0",52416,146.7,,,,,
2018.11," 259,900 ", 4.99 ," 1,115 ",17.4 ," 76,974 "," 53,520 ",143.8 , 143.8 ,N/A*,,,4.99,"1,115.0",53520,143.8,,,,,
2018.12," 256,400 ", 4.99 ," 1,100 ",17.0 ," 77,426 "," 52,800 ",146.6 , 146.6 ,N/A*,,,4.99,"1,100.0",52800,146.6,,,,,
2019.01," 251,200 ",4.76 ," 1,050 ",16.2 ," 77,724 "," 50,400.0 ",154.2,154.2,N/A*,,,4.76,1050,50400,154.2,,,,,
2019.02," 252,000 ",4.60 ," 1,033 ",15.9 ," 78,071 "," 49,584.0 ",157.5,157.5,N/A*,,,4.60,1033,49584,157.5,,,,,
2019.03," 261,500 ",4.51 ," 1,061 ",16.3 ," 78,340 "," 50,928.0 ",153.8,153.8,N/A*,,,4.51,1061,50928,153.8,,,,,
2019.04," 269,100 ",4.30 ," 1,065 ",16.3 ," 78,536 "," 51,120.0 ",153.6,153.6,N/A*,,,4.30,1065,51120,153.6,,,,,
2019.05," 280,900 ",4.11 ," 1,087 ",16.6 ," 78,670 "," 52,176.0 ",N/A*,150.8,N/A*,"as of May 2019, HAI computation is based on Freddie Mac 30-year fixed rate mortgage contract rates.NAR calculates the 30-year effective fixed rate based on Freddie Mac's 30-year fixed mortgage contract rate, 30-year fixed mortgage points and fees, and a median loan value based on the NAR median price and a 20 percent downpayment.",,4.11,1087,52176,150.8,,,,,
2019.06," 288,500 ",3.84 ," 1,081 ",16.4 ," 78,895 "," 51,888.0 ",N/A*,152.0,N/A*,"as of May 2019, HAI computation is based on Freddie Mac 30-year fixed rate mortgage contract rates.NAR calculates the 30-year effective fixed rate based on Freddie Mac's 30-year fixed mortgage contract rate, 30-year fixed mortgage points and fees, and a median loan value based on the NAR median price and a 20 percent downpayment.",,3.84,1081,51888,152,,,,,
2019.07," 283,600 ",3.82 ," 1,060 ",16.1 ," 79,108 "," 50,880.0 ",N/A*,155.5,N/A*,"as of May 2019, HAI computation is based on Freddie Mac 30-year fixed rate mortgage contract rates.NAR calculates the 30-year effective fixed rate based on Freddie Mac's 30-year fixed mortgage contract rate, 30-year fixed mortgage points and fees, and a median loan value based on the NAR median price and a 20 percent downpayment.",,3.82,1060,50880,155.5,,,,,
2019.08," 281,900 ",3.66 ," 1,033 ",15.6 ," 79,353 "," 49,584.0 ",N/A*,160.0,N/A*,"as of May 2019, HAI computation is based on Freddie Mac 30-year fixed rate mortgage contract rates.NAR calculates the 30-year effective fixed rate based on Freddie Mac's 30-year fixed mortgage contract rate, 30-year fixed mortgage points and fees, and a median loan value based on the NAR median price and a 20 percent downpayment.",,3.66,1033,49584,160,,,,,
2019.09," 274,400 ",3.65 ," 1,004 ",15.2 ," 79,487 "," 48,192.0 ",N/A*,164.9,N/A*,"as of May 2019, HAI computation is based on Freddie Mac 30-year fixed rate mortgage contract rates.NAR calculates the 30-year effective fixed rate based on Freddie Mac's 30-year fixed mortgage contract rate, 30-year fixed mortgage points and fees, and a median loan value based on the NAR median price and a 20 percent downpayment.",,3.65,1004,48192,164.9,,,,,
2019.10," 273,800 ",3.74 ," 1,013 ",15.3 ," 79,558 "," 48,624.0 ",N/A*,163.6,N/A*,"as of May 2019, HAI computation is based on Freddie Mac 30-year fixed rate mortgage contract rates.NAR calculates the 30-year effective fixed rate based on Freddie Mac's 30-year fixed mortgage contract rate, 30-year fixed mortgage points and fees, and a median loan value based on the NAR median price and a 20 percent downpayment.",,3.74,1013,48624,163.6,,,,,
2019.11," 274,100 ",3.75 ," 1,016 ",15.3 ," 79,839 "," 48,768.0 ",N/A*,163.7,N/A*,"as of May 2019, HAI computation is based on Freddie Mac 30-year fixed rate mortgage contract rates.NAR calculates the 30-year effective fixed rate based on Freddie Mac's 30-year fixed mortgage contract rate, 30-year fixed mortgage points and fees, and a median loan value based on the NAR median price and a 20 percent downpayment.",,3.75,1016,48768,163.7,,,,,
2019.12," 277,000 ",3.78 ," 1,030 ",15.5 ," 79,931 "," 49,440.0 ",N/A*,161.7,N/A*,"as of May 2019, HAI computation is based on Freddie Mac 30-year fixed rate mortgage contract rates.NAR calculates the 30-year effective fixed rate based on Freddie Mac's 30-year fixed mortgage contract rate, 30-year fixed mortgage points and fees, and a median loan value based on the NAR median price and a 20 percent downpayment.",,3.78,1030,49440,161.7,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
