UNITED STATES HOUSING AFFORDABILITY,,,,,,,,,,,,,,,,,,,,,,,,
"Quarterly, 1989 - current",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Existing Home Sales Program © 2019,,,,,,,,,,,,,,,,,,,,,,,,
National Association of REALTORS ® Research Team,,,,,,,,,,,,,,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,,,,,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,,,,,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
, Med-Price ,Monthly,Princp.&,Median,,,,,,,,,,,,,,,,,,,,
, Single-Fam ,Mortgage,Interest,as %, Family , Qualifying ,Composite,,,,,,,,,,,,,,,,,
, Home ,Rate,Payment,Income, Income , Income ,Index,,,,,,,,,,,,,,,,,
1999.1," 135,900 ", 6.95 ,720 ,18.0 ," 48,046 "," 34,560 ",139.0 ,,,,,,,,,,,,,,,,,
1999.2," 140,900 ", 7.13 ,760 ,18.7 ," 48,647 "," 36,480 ",133.4 ,,,,,,,,,,,,,,,,,
1999.3," 143,300 ", 7.58 ,808 ,19.7 ," 49,256 "," 38,784 ",127.0 ,,,,,,,,,,,,,,,,,
1999.4," 141,000 ", 7.66 ,801 ,19.3 ," 49,871 "," 38,448 ",129.7 ,,,,,,,,,,,,,,,,,
2000.1," 140,600 ", 8.02 ,827 ,19.8 ," 50,165 "," 39,696 ",126.4 ,,,,,,,,,,,,,,,,,
2000.2," 145,600 ", 8.19 ,870 ,20.6 ," 50,608 "," 41,760 ",121.2 ,,,,,,,,,,,,,,,,,
2000.3," 150,400 ", 8.10 ,891 ,21.0 ," 50,856 "," 42,768 ",118.9 ,,,,,,,,,,,,,,,,,
2000.4," 147,400 ", 7.81 ,850 ,20.0 ," 51,105 "," 40,800 ",125.3 ,,,,,,,,,,,,,,,,,
2001.1," 146,800 ", 7.21 ,798 ,18.7 ," 51,259 "," 38,304 ",133.8 ,,,,,,,,,,,,,,,,,
2001.2," 154,900 ", 7.15 ,837 ,19.6 ," 51,358 "," 40,176 ",127.8 ,,,,,,,,,,,,,,,,,
2001.3," 159,100 ", 7.06 ,852 ,19.9 ," 51,456 "," 40,896 ",125.8 ,,,,,,,,,,,,,,,,,
2001.4," 157,200 ", 6.71 ,812 ,18.9 ," 51,555 "," 38,976 ",132.3 ,,,,,,,,,,,,,,,,,
2002.1," 158,600 ", 6.86 ,832 ,19.5 ," 51,221 "," 39,936 ",128.3 ,,,,,,,,,,,,,,,,,
2002.2," 166,100 ", 6.82 ,868 ,20.3 ," 51,348 "," 41,664 ",123.2 ,,,,,,,,,,,,,,,,,
2002.3," 169,500 ", 6.41 ,849 ,19.8 ," 51,369 "," 40,752 ",126.1 ,,,,,,,,,,,,,,,,,
2002.4," 170,700 ", 6.11 ,828 ,19.3 ," 51,449 "," 39,744 ",129.5 ,,,,,,,,,,,,,,,,,
2003.1," 168,400 ", 5.90 ,799 ,18.5 ," 51,767 "," 38,352 ",135.0 ,,,,,,,,,,,,,,,,,
2003.2," 177,900 ", 5.58 ,815 ,18.7 ," 52,163 "," 39,120 ",133.3 ,,,,,,,,,,,,,,,,,
2003.3," 184,500 ", 5.66 ,853 ,19.5 ," 52,468 "," 40,944 ",128.1 ,,,,,,,,,,,,,,,,,
2003.4," 182,400 ", 5.83 ,859 ,19.5 ," 52,967 "," 41,232 ",128.5 ,,,,,,,,,,,,,,,,,
2004.1," 180,700 ", 5.64 ,834 ,18.8 ," 53,179 "," 40,032 ",132.8 ,,,,,,,,,,,,,,,,,
2004.2," 193,700 ", 5.73 ,902 ,20.2 ," 53,500 "," 43,296 ",123.6 ,,,,,,,,,,,,,,,,,
2004.3," 198,400 ", 5.82 ,933 ,20.8 ," 53,885 "," 44,784 ",120.3 ,,,,,,,,,,,,,,,,,
2004.4," 198,400 ", 5.72 ,923 ,20.4 ," 54,286 "," 44,304 ",122.5 ,,,,,,,,,,,,,,,,,
2005.1," 197,600 ", 5.77 ,925 ,20.2 ," 54,904 "," 44,400 ",123.7 ,,,,,,,,,,,,,,,,,
2005.2," 219,400 ", 5.83 ,1033 ,22.4 ," 55,460 "," 49,584 ",111.9 ,,,,,,,,,,,,,,,,,
2005.3," 227,600 ", 5.83 ,1072 ,22.9 ," 56,175 "," 51,456 ",109.2 ,,,,,,,,,,,,,,,,,
2005.4," 225,300 ", 6.21 ,1105 ,23.4 ," 56,788 "," 53,040 ",107.1 ,,,,,,,,,,,,,,,,,
2006.1," 216,100 ", 6.39 ,1080 ,22.5 ," 57,695 "," 51,840 ",111.3 ,,,,,,,,,,,,,,,,,
2006.2," 227,100 ", 6.63 ,1164 ,24.0 ," 58,306 "," 55,872 ",104.4 ,,,,,,,,,,,,,,,,,
2006.3," 225,300 ", 6.76 ,1170 ,23.9 ," 58,763 "," 56,160 ",104.6 ,,,,,,,,,,,,,,,,,
2006.4," 219,000 ", 6.52 ,1110 ,22.4 ," 59,341 "," 53,280 ",111.4 ,,,,,,,,,,,,,,,,,
2007.1," 212,600 ", 6.42 ,1066 ,21.2 ," 60,360 "," 51,168 ",118.0 ,,,,,,,,,,,,,,,,,
2007.2," 223,500 ", 6.47 ,1127 ,22.2 ," 60,872 "," 54,096 ",112.5 ,,,,,,,,,,,,,,,,,
2007.3," 220,300 ", 6.75 ,1143 ,22.4 ," 61,347 "," 54,864 ",111.8 ,,,,,,,,,,,,,,,,,
2007.4," 205,700 ", 6.43 ,1033 ,20.0 ," 62,115 "," 49,584 ",125.3 ,,,,,,,,,,,,,,,,,
2008.1," 196,100 ", 6.03 ,944 ,18.0 ," 62,988 "," 45,312 ",139.0 ,,,,,,,,,,,,,,,,,
2008.2," 206,400 ", 6.14 ,1005 ,19.0 ," 63,520 "," 48,240 ",131.7 ,,,,,,,,,,,,,,,,,
2008.3," 200,400 ", 6.41 ,1004 ,18.9 ," 63,705 "," 48,192 ",132.2 ,,,,,,,,,,,,,,,,,
2008.4," 180,200 ", 6.03 ,867 ,16.4 ," 63,250 "," 41,616 ",152.0 ,,,,,,,,,,,,,,,,,
2009.1," 167,300 ", 5.16 ,732 ,14.6 ," 60,337 "," 35,136 ",171.7 ,,,,,,,,,,,,,,,,,
2009.2," 174,200 ", 5.02 ,750 ,14.7 ," 61,040 "," 36,000 ",169.6 ,,,,,,,,,,,,,,,,,
2009.3," 178,200 ", 5.30 ,792 ,15.6 ," 61,081 "," 38,016 ",160.7 ,,,,,,,,,,,,,,,,,
2009.4," 170,300 ", 5.06 ,736 ,14.3 ," 61,870 "," 35,328 ",175.1 ,,,,,,,,,,,,,,,,,
2010.1," 165,700 ", 5.09 ,719 ,14.2 ," 60,855 "," 34,512 ",176.3 ,,,,,,,,,,,,,,,,,
2010.2," 176,800 ", 5.07 ,765 ,15.1 ," 60,655 "," 36,720 ",165.2 ,,,,,,,,,,,,,,,,,
2010.3," 177,800 ", 4.78 ,745 ,14.8 ," 60,530 "," 35,760 ",169.3 ,,,,,,,,,,,,,,,,,
2010.4," 170,600 ", 4.62 ,701 ,13.9 ," 60,397 "," 33,648 ",179.5 ,,,,,,,,,,,,,,,,,
2011.1," 158,700 ", 4.90 ,674 ,13.2 ," 61,300 "," 32,352 ",189.5 ,,,,,,,,,,,,,,,,,
2011.2," 169,100 ", 4.85 ,714 ,13.9 ," 61,422 "," 34,272 ",179.2 ,,,,,,,,,,,,,,,,,
2011.3," 169,400 ", 4.63 ,697 ,13.6 ," 61,518 "," 33,456 ",183.9 ,,,,,,,,,,,,,,,,,
2011.4," 162,600 ", 4.31 ,644 ,12.5 ," 61,579 "," 30,912 ",199.2 ,,,,,,,,,,,,,,,,,
2012.1," 158,600 ", 4.18 ,619 ,12.0 ," 62,068 "," 29,712 ",208.9 ,,,,,,,,,,,,,,,,,
2012.2," 181,300 ", 3.92 ,686 ,13.2 ," 62,320 "," 32,928 ",189.3 ,,,,,,,,,,,,,,,,,
2012.3," 184,300 ", 3.72 ,680 ,13.1 ," 62,487 "," 32,640 ",191.4 ,,,,,,,,,,,,,,,,,
2012.4," 178,900 ", 3.50 ,643 ,12.2 ," 63,235 "," 30,864 ",204.9 ,,,,,,,,,,,,,,,,,
2013.1," 176,400 ", 3.56 ,638 ,12.1 ," 63,253 "," 30,624 ",206.5 ,,,,,,,,,,,,,,,,,
2013.2," 203,400 ", 3.64 ,743 ,14.0 ," 63,890 "," 35,664 ",179.1 ,,,,,,,,,,,,,,,,,
2013.3," 207,100 ", 4.36 ,826 ,15.4 ," 64,325 "," 39,648 ",162.2 ,,,,,,,,,,,,,,,,,
2013.4," 196,900 ", 4.43 ,792 ,14.7 ," 64,678 "," 38,016 ",170.1 ,,,,,,,,,,,,,,,,,
2014.1," 191,100 ", 4.46 ,771 ,14.2 ," 65,104 "," 37,008 ",175.9 ,,,,,,,,,,,,,,,,,
2014.2," 212,000 ", 4.32 ,841 ,15.4 ," 65,687 "," 40,368 ",162.7 ,,,,,,,,,,,,,,,,,
2014.3," 217,100 ", 4.23 ,852 ,15.4 ," 66,196 "," 40,896 ",161.9 ,,,,,,,,,,,,,,,,,
2014.4," 208,400 ", 4.20 ,815 ,14.7 ," 66,653 "," 39,120 ",170.4 ,,,,,,,,,,,,,,,,,
2015.1," 204,700 ", 3.97 ,779 ,13.9 ," 67,462 "," 37,392 ",180.4 ,,,,,,,,,,,,,,,,,
2015.2," 229,500 ", 3.95 ,871 ,15.3 ," 68,130 "," 41,808 ",163.0 ,,,,,,,,,,,,,,,,,
2015.3," 228,900 ", 4.15 ,890 ,15.6 ," 68,649 "," 42,720 ",160.7 ,,,,,,,,,,,,,,,,,
2015.4," 222,300 ", 4.07 ,856 ,14.9 ," 68,796 "," 41,088 ",167.4 ,,,,,,,,,,,,,,,,,
2016.1," 217,200 ", 4.01 ,831 ,14.3 ," 69,890 "," 39,888 ",175.2 ,,,,,,,,,,,,,,,,,
