Midwest Regional Housing Affordability Index,,,,,,,,,,,
Annual and Monthly 1989 - Present,,,,,,,,,,,
,,,,,,,,,,,
Existing Home Sales Program © 2019,,,,,,,,,,,
National Association of REALTORS ® Research Team,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,
,,,,,,,,,,,
, Med-Price ,Monthly,Princp.&,Median,,,,,,,
, Single-Fam ,Mortgage,Interest,as %, Family ,Qualifying,,Last,Last,,
, Home ,Rate*,Payment,Income, Income ,Income**,Composite,Month,Year,,
,,,,,,,,,,,
1991.07," 82,600 ",9.37,541.0,17.8," 36,772 ",25968.0,140.7,141.6,133.3,,
1991.08," 82,200 ",8.97,521.0,17.1," 36,797 ",25008.0,146.3,140.7,137.4,,
1991.09," 79,700 ",8.80,496.0,16.2," 36,822 ",23808.0,153.9,146.3,137.3,,
1991.10," 79,800 ",8.61,491.0,16.1," 36,847 ",23568.0,155.6,153.9,143.7,,
1991.11," 80,600 ",8.39,485.0,15.8," 36,873 ",23280.0,157.8,155.6,144.1,,
1991.12," 81,800 ",8.21,479.0,15.6," 36,898 ",22992.0,159.9,157.8,146.5,,
1992.01," 81,500 ",8.33,488.0,15.9," 36,923 ",23424.0,157.1,159.9,140.9,,
1992.02," 82,700 ",8.55,509.0,16.6," 36,949 ",24432.0,150.7,157.1,139.4,,
1992.03," 82,100 ",8.60,510.0,16.6," 36,974 ",24480.0,150.5,150.7,138.2,,
1992.04," 83,400 ",8.59,509.0,16.6," 36,999 ",24432.0,151.0,150.5,138.2,,
1992.05," 85,200 ",8.40,505.0,16.4," 37,025 ",24240.0,152.3,151.0,139.7,,
1992.06," 86,100 ",8.16,501.0,16.2," 37,050 ",24048.0,153.9,152.3,141.6,,
1992.07," 84,300 ",7.89,482.0,15.6," 37,099 ",23136.0,159.9,153.9,140.7,,
1992.08," 84,800 ",7.71,478.0,15.5," 37,172 ",22944.0,161.5,159.9,146.3,,
1992.09," 85,400 ",7.56,473.0,15.3," 37,244 ",22704.0,163.5,161.5,153.9,,
1992.10," 84,400 ",7.78,481.0,15.5," 37,317 ",23088.0,160.9,163.5,155.6,,
1992.11," 84,600 ",8.00,490.0,15.8," 37,390 ",23520.0,157.9,160.9,157.8,,
1992.12," 84,700 ",7.81,478.0,15.4," 37,463 ",22944.0,162.2,157.9,159.9,,
1993.01," 82,700 ",7.55,460.0,14.8," 37,537 ",22080.0,168.8,162.2,157.1,,
1993.02," 82,900 ",7.28,452.0,14.5," 37,610 ",21696.0,172.0,168.8,150.7,,
1993.03," 84,800 ",7.23,462.0,14.8," 37,684 ",22176.0,168.4,172.0,150.5,,
1993.04," 86,800 ",7.13,461.0,14.8," 37,757 ",22128.0,169.2,168.4,151,,
1993.05," 88,600 ",7.15,466.0,14.9," 37,831 ",22368.0,167.8,169.2,152.3,,
1993.06," 90,100 ",7.05,470.0,15.0," 37,905 ",22560.0,166.5,167.8,153.9,,
1993.07," 87,800 ",6.93,457.0,14.6," 38,016 ",21936.0,171.7,166.5,159.9,,
1993.08," 87,800 ",6.91,457.0,14.5," 38,165 ",21936.0,171.9,171.7,161.5,,
1993.09," 87,100 ",6.67,441.0,14.0," 38,314 ",21168.0,178.3,171.9,163.5,,
1993.10," 87,600 ",6.61,444.0,14.1," 38,464 ",21312.0,177.5,178.3,160.9,,
