South Regional Housing Affordability Index,,,,,,,,,,,
Annual and Monthly 1989 - Present,,,,,,,,,,,
,,,,,,,,,,,
Existing Home Sales Program © 2019,,,,,,,,,,,
National Association of REALTORS ® Research Team,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,
,,,,,,,,,,,
, Med-Price ,Monthly,Princp.&,Median,,,,,,,
, Single-Fam ,Mortgage,Interest,as %, Family , Qualifying ,,Last,Last,,
, Home ,Rate*,Payment,Income, Income , Income** ,Composite,Month,Year,,
,,,,,,,,,,,
1991.05," 90,600 ",9.78,613.0,23.1," 31,913 "," 29,424 ",108.2,109.6,106.9,,
1991.06," 91,400 ",9.35,598.0,22.5," 31,931 "," 28,704 ",110.9,108.2,100.9,,
1991.07," 93,300 ",9.33,616.0,23.2," 31,975 "," 29,568 ",107.7,110.9,102.4,,
1991.08," 89,000 ",8.93,569.0,21.4," 32,045 "," 27,312 ",116.6,107.7,111.4,,
1991.09," 92,300 ",8.77,564.0,21.2," 32,114 "," 27,072 ",117.9,116.6,108.8,,
1991.10," 90,100 ",8.56,542.0,20.4," 32,184 "," 26,016 ",122.5,117.9,112.6,,
1991.11," 88,500 ",8.31,526.0,19.8," 32,255 "," 25,248 ",126.5,122.5,113.5,,
1991.12," 90,600 ",8.15,533.0,20.0," 32,325 "," 25,584 ",124.7,126.5,112.8,,
1992.01," 89,000 ",8.27,535.0,20.0," 32,396 "," 25,680 ",124.8,124.7,112.2,,
1992.02," 92,600 ",8.55,557.0,20.8," 32,466 "," 26,736 ",120.1,124.8,113.2,,
1992.03," 94,000 ",8.57,565.0,21.1," 32,537 "," 27,120 ",118.7,120.1,110.4,,
1992.04," 91,700 ",8.59,564.0,20.9," 32,608 "," 27,072 ",119.4,118.7,109.6,,
1992.05," 93,300 ",8.36,556.0,20.6," 32,679 "," 26,688 ",121.3,119.4,108.2,,
1992.06," 94,000 ",8.14,551.0,20.3," 32,750 "," 26,448 ",122.9,121.3,110.9,,
1992.07," 91,200 ",7.87,528.0,19.4," 32,810 "," 25,344 ",128.6,122.9,107.7,,
1992.08," 94,300 ",7.67,536.0,19.7," 32,858 "," 25,728 ",126.9,128.6,116.6,,
1992.09," 94,400 ",7.51,512.0,18.8," 32,906 "," 24,576 ",133.2,126.9,117.9,,
1992.10," 94,100 ",7.74,524.0,19.2," 32,954 "," 25,152 ",130.5,133.2,122.5,,
1992.11," 93,100 ",7.96,535.0,19.5," 33,002 "," 25,680 ",128.2,130.5,126.5,,
1992.12," 93,100 ",7.75,528.0,19.2," 33,050 "," 25,344 ",130.4,128.2,124.7,,
1993.01," 89,500 ",7.50,500.0,18.1," 33,098 "," 24,000 ",137.9,130.4,124.8,,
1993.02," 91,400 ",7.23,485.0,17.6," 33,147 "," 23,280 ",142.2,137.9,120.1,,
1993.03," 92,900 ",7.17,488.0,17.7," 33,195 "," 23,424 ",141.3,142.2,118.7,,
1993.04," 92,200 ",7.05,489.0,17.7," 33,244 "," 23,472 ",141.2,141.3,119.4,,
1993.05," 96,000 ",7.09,506.0,18.3," 33,292 "," 24,288 ",136.4,141.2,121.3,,
1993.06," 99,000 ",6.97,517.0,18.7," 33,341 "," 24,816 ",133.7,136.4,122.9,,
1993.07," 97,300 ",6.86,510.0,18.4," 33,447 "," 24,480 ",135.8,133.7,128.6,,
1993.08," 97,300 ",6.85,510.0,18.4," 33,612 "," 24,480 ",135.8,135.8,126.9,,
1993.09," 98,200 ",6.59,486.0,17.5," 33,777 "," 23,328 ",142.7,135.8,133.2,,
1993.10," 97,200 ",6.54,480.0,17.3," 33,943 "," 23,040 ",144.5,142.7,130.5,,
