Northeast Regional Housing Affordability Index,,,,,,,,,,,,,,,,,,,,,,,,
Annual and Monthly 1989 - Present,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Existing Home Sales Program © 2019,,,,,,,,,,,,,,,,,,,,,,,,
National Association of REALTORS ® Research Team,,,,,,,,,,,,,,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,,,,,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,,,,,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
, Med-Price ,Monthly, Princp.& ,Median,,,,,,,,,,,,,,,,,,,,
, Single-Fam ,Mortgage, Interest ,as %, Family , Qualifying ,,Last,Last,,,,,,,,,,,,,,,
, Home ,Rate*, Payment ,Income, Income , Income** ,Composite,Month,Year,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
1998.06," 161,900 ",6.98, 860 ,20.4," 50,472 "," 41,280 ",122.3,121.5,133.3,,,,,,,,,,,,,,,
1998.07," 166,600 ",6.98, 885 ,21.0," 50,638 "," 42,480 ",119.2,122.3,133.8,,,,,,,,,,,,,,,
1998.08," 164,900 ",6.94, 872 ,20.6," 50,780 "," 41,856 ",121.3,119.2,133.1,,,,,,,,,,,,,,,
1998.09," 158,000 ",6.74, 819 ,19.3," 50,922 "," 39,312 ",129.5,121.3,134.8,,,,,,,,,,,,,,,
1998.10," 150,700 ",6.78, 784 ,18.4," 51,065 "," 37,632 ",135.7,129.5,142.1,,,,,,,,,,,,,,,
1998.11," 156,200 ",6.86, 820 ,19.2," 51,208 "," 39,360 ",130.1,135.7,140.5,,,,,,,,,,,,,,,
1998.12," 159,300 ",6.80, 831 ,19.4," 51,351 "," 39,888 ",128.7,130.1,141.8,,,,,,,,,,,,,,,
1999.01," 148,900 ",6.80, 777 ,18.1," 51,495 "," 37,296 ",138.1,128.7,134.7,,,,,,,,,,,,,,,
1999.02," 149,100 ",6.89, 785 ,18.2," 51,640 "," 37,680 ",137.0,138.1,138.1,,,,,,,,,,,,,,,
1999.03," 151,700 ",7.01, 808 ,18.7," 51,784 "," 38,784 ",133.5,137.0,131.6,,,,,,,,,,,,,,,
1999.04," 156,400 ",6.92, 826 ,19.1," 51,929 "," 39,648 ",131.0,133.5,124.8,,,,,,,,,,,,,,,
1999.05," 161,800 ",7.07, 867 ,20.0," 52,075 "," 41,616 ",125.1,131.0,121.5,,,,,,,,,,,,,,,
1999.06," 163,400 ",7.40, 905 ,20.8," 52,221 "," 43,440 ",120.2,125.1,122.3,,,,,,,,,,,,,,,
1999.07," 166,400 ",7.35, 917 ,21.0," 52,431 "," 44,016 ",119.1,120.2,119.2,,,,,,,,,,,,,,,
1999.08," 166,500 ",7.59, 940 ,21.4," 52,705 "," 45,120 ",116.8,119.1,121.3,,,,,,,,,,,,,,,
1999.09," 158,900 ",7.53, 891 ,20.2," 52,980 "," 42,768 ",123.9,116.8,129.5,,,,,,,,,,,,,,,
1999.10," 153,400 ",7.56, 863 ,19.4," 53,257 "," 41,424 ",128.6,123.9,135.7,,,,,,,,,,,,,,,
1999.11," 159,500 ",7.48, 890 ,19.9," 53,536 "," 42,720 ",125.3,128.6,130.1,,,,,,,,,,,,,,,
1999.12," 167,100 ",7.58, 942 ,21.0," 53,816 "," 45,216 ",119.0,125.3,128.7,,,,,,,,,,,,,,,
2000.01," 142,900 ",7.83, 825 ,18.3," 54,097 "," 39,600 ",136.6,119.0,138.1,,,,,,,,,,,,,,,
2000.02," 151,900 ",7.91, 884 ,19.5," 54,380 "," 42,432 ",128.2,136.6,137,,,,,,,,,,,,,,,
2000.03," 149,600 ",7.85, 866 ,19.0," 54,664 "," 41,568 ",131.5,128.2,133.5,,,,,,,,,,,,,,,
2000.04," 166,300 ",7.95, 972 ,21.2," 54,950 "," 46,656 ",117.8,131.5,131,,,,,,,,,,,,,,,
2000.05," 165,000 ",8.21, 988 ,21.5," 55,237 "," 47,424 ",116.5,117.8,125.1,,,,,,,,,,,,,,,
2000.06," 168,800 ",8.07, 997 ,21.5," 55,526 "," 47,856 ",116.0,116.5,120.2,,,,,,,,,,,,,,,
2000.07," 168,600 ",7.93, 983 ,21.2," 55,726 "," 47,184 ",118.1,116.0,119.1,,,,,,,,,,,,,,,
2000.08," 163,500 ",7.90, 951 ,20.4," 55,835 "," 45,648 ",122.3,118.1,116.8,,,,,,,,,,,,,,,
2000.09," 155,600 ",7.91, 906 ,19.4," 55,945 "," 43,488 ",128.6,122.3,123.9,,,,,,,,,,,,,,,
2000.10," 158,600 ",7.89, 921 ,19.7," 56,055 "," 44,208 ",126.8,128.6,128.6,,,,,,,,,,,,,,,
2000.11," 168,400 ",7.77, 967 ,20.7," 56,166 "," 46,416 ",121.0,126.8,125.3,,,,,,,,,,,,,,,
2000.12," 166,900 ",7.38, 923 ,19.7," 56,276 "," 44,304 ",127.0,121.0,119,,,,,,,,,,,,,,,
2001.01," 154,500 ",7.09, 830 ,17.7," 56,387 "," 39,840 ",141.5,127.0,136.6,,,,,,,,,,,,,,,
2001.02," 151,900 ",7.12, 818 ,17.4," 56,498 "," 39,264 ",143.9,141.5,128.2,,,,,,,,,,,,,,,
2001.03," 160,700 ",7.01, 856 ,18.1," 56,609 "," 41,088 ",137.8,143.9,131.5,,,,,,,,,,,,,,,
2001.04," 164,500 ",7.11, 885 ,18.7," 56,721 "," 42,480 ",133.5,137.8,117.8,,,,,,,,,,,,,,,
2001.05," 166,600 ",7.14, 899 ,19.0," 56,832 "," 43,152 ",131.7,133.5,116.5,,,,,,,,,,,,,,,
2001.06," 176,100 ",7.15, 952 ,20.1," 56,944 "," 45,696 ",124.6,131.7,116,,,,,,,,,,,,,,,
2001.07," 179,600 ",7.16, 971 ,20.4," 57,056 "," 46,608 ",122.4,124.6,118.1,,,,,,,,,,,,,,,
2001.08," 180,800 ",6.96, 958 ,20.1," 57,168 "," 45,984 ",124.3,122.4,122.3,,,,,,,,,,,,,,,
2001.09," 164,000 ",6.80, 855 ,17.9," 57,281 "," 41,040 ",139.6,124.3,128.6,,,,,,,,,,,,,,,
2001.10," 166,200 ",6.60, 849 ,17.8," 57,394 "," 40,752 ",140.8,139.6,126.8,,,,,,,,,,,,,,,
2001.11," 177,500 ",6.70, 916 ,19.1," 57,507 "," 43,968 ",130.8,140.8,121,,,,,,,,,,,,,,,
2001.12," 186,400 ",7.01, 993 ,20.7," 57,620 "," 47,664 ",120.9,130.8,127,,,,,,,,,,,,,,,
2002.01," 170,400 ",6.89, 897 ,18.7," 57,686 "," 43,056 ",134.0,120.9,141.5,,,,,,,,,,,,,,,
2002.02," 173,800 ",6.71, 898 ,18.7," 57,671 "," 43,104 ",133.8,134.0,143.9,,,,,,,,,,,,,,,
2002.03," 178,100 ",6.88, 936 ,19.5," 57,647 "," 44,928 ",128.3,133.8,137.8,,,,,,,,,,,,,,,
2002.04," 182,600 ",6.79, 951 ,19.8," 57,583 "," 45,648 ",126.1,128.3,133.5,,,,,,,,,,,,,,,
2002.05," 178,300 ",6.62, 913 ,19.0," 57,558 "," 43,824 ",131.3,126.1,131.7,,,,,,,,,,,,,,,
2002.06," 196,900 ",6.44, 989 ,20.6," 57,521 "," 47,472 ",121.2,131.3,124.6,,,,,,,,,,,,,,,
2002.07," 199,000 ",6.27, 982 ,20.5," 57,544 "," 47,136 ",122.1,121.2,122.4,,,,,,,,,,,,,,,
2002.08," 199,600 ",6.42," 1,001 ",20.9," 57,538 "," 48,048 ",119.8,122.1,124.3,,,,,,,,,,,,,,,
2002.09," 186,300 ",6.29, 922 ,19.2," 57,522 "," 44,256 ",130.0,119.8,139.6,,,,,,,,,,,,,,,
2002.10," 189,600 ",6.11, 920 ,19.2," 57,495 "," 44,160 ",130.2,130.0,140.8,,,,,,,,,,,,,,,
2002.11," 201,500 ",5.99, 965 ,20.2," 57,468 "," 46,320 ",124.1,130.2,130.8,,,,,,,,,,,,,,,
2002.12," 208,200 ",6.04," 1,003 ",21.0," 57,424 "," 48,144 ",119.3,124.1,120.9,,,,,,,,,,,,,,,
2003.01," 195,100 ",5.99, 935 ,19.5," 57,657 "," 44,880 ",128.5,119.3,134,,,,,,,,,,,,,,,
2003.02," 189,100 ",5.99, 906 ,18.6," 58,309 "," 43,488 ",134.1,128.5,133.8,,,,,,,,,,,,,,,
2003.03," 198,000 ",5.83, 932 ,18.9," 59,202 "," 44,736 ",132.3,134.1,128.3,,,,,,,,,,,,,,,
2003.04," 209,600 ",5.75, 979 ,19.6," 59,837 "," 46,992 ",127.3,132.3,126.1,,,,,,,,,,,,,,,
2003.05," 204,900 ",5.58, 939 ,18.5," 60,818 "," 45,072 ",134.9,127.3,131.3,,,,,,,,,,,,,,,
2003.06," 220,100 ",5.46, 995 ,19.6," 61,074 "," 47,760 ",127.9,134.9,121.2,,,,,,,,,,,,,,,
2003.07," 232,600 ",5.33," 1,037 ",20.4," 61,056 "," 49,776 ",122.7,127.9,122.1,,,,,,,,,,,,,,,
2003.08," 230,300 ",5.41," 1,036 ",20.3," 61,301 "," 49,728 ",123.3,122.7,119.8,,,,,,,,,,,,,,,
2003.09," 225,400 ",5.77," 1,055 ",20.5," 61,665 "," 50,640 ",121.8,123.3,130,,,,,,,,,,,,,,,
2003.10," 226,600 ",5.79," 1,063 ",20.5," 62,114 "," 51,024 ",121.7,121.8,130.2,,,,,,,,,,,,,,,
2003.11," 226,300 ",5.76," 1,058 ",20.3," 62,672 "," 50,784 ",123.4,121.7,124.1,,,,,,,,,,,,,,,
2003.12," 236,700 ",5.81," 1,112 ",21.2," 62,872 "," 53,376 ",117.8,123.4,119.3,,,,,,,,,,,,,,,
2004.01," 233,700 ",5.76," 1,092 ",20.9," 62,573 "," 52,416 ",119.4,117.8,128.5,,,,,,,,,,,,,,,
2004.02," 230,700 ",5.64," 1,064 ",20.5," 62,317 "," 51,072 ",122.0,119.4,134.1,,,,,,,,,,,,,,,
2004.03," 238,200 ",5.45," 1,076 ",20.8," 62,069 "," 51,648 ",120.2,122.0,132.3,,,,,,,,,,,,,,,
2004.04," 247,900 ",5.36," 1,109 ",21.5," 61,804 "," 53,232 ",116.1,120.2,127.3,,,,,,,,,,,,,,,
2004.05," 242,800 ",5.68," 1,125 ",21.9," 61,560 "," 54,000 ",114.0,116.1,134.9,,,,,,,,,,,,,,,
2004.06," 255,800 ",5.82," 1,203 ",23.6," 61,281 "," 57,744 ",106.1,114.0,127.9,,,,,,,,,,,,,,,
2004.07," 258,000 ",5.88," 1,222 ",24.0," 61,010 "," 58,656 ",104.0,106.1,122.7,,,,,,,,,,,,,,,
2004.08," 253,600 ",5.88," 1,201 ",23.7," 60,757 "," 57,648 ",105.4,104.0,123.3,,,,,,,,,,,,,,,
2004.09," 257,000 ",5.74," 1,199 ",23.8," 60,474 "," 57,552 ",105.1,105.4,121.8,,,,,,,,,,,,,,,
2004.10," 259,900 ",5.74," 1,212 ",24.2," 60,220 "," 58,176 ",103.5,105.1,121.7,,,,,,,,,,,,,,,
2004.11," 265,400 ",5.77," 1,242 ",24.9," 59,932 "," 59,616 ",100.5,103.5,123.4,,,,,,,,,,,,,,,
2004.12," 257,100 ",5.75," 1,200 ",24.1," 59,775 "," 57,600 ",103.8,100.5,117.8,,,,,,,,,,,,,,,
2005.01," 254,500 ",5.69," 1,180 ",22.8," 62,092 "," 56,640 ",109.6,103.8,119.4,,,,,,,,,,,,,,,
2005.02," 272,700 ",5.71," 1,268 ",24.5," 62,197 "," 60,864 ",102.2,109.6,122,,,,,,,,,,,,,,,
2005.03," 275,600 ",5.75," 1,287 ",24.8," 62,289 "," 61,776 ",100.8,102.2,120.2,,,,,,,,,,,,,,,
2005.04," 277,700 ",5.82," 1,306 ",25.1," 62,496 "," 62,688 ",99.7,100.8,116.1,,,,,,,,,,,,,,,
2005.05," 277,800 ",5.86," 1,313 ",25.1," 62,670 "," 63,024 ",99.4,99.7,114,,,,,,,,,,,,,,,
2005.06," 289,100 ",5.70," 1,342 ",25.6," 62,875 "," 64,416 ",97.6,99.4,106.1,,,,,,,,,,,,,,,
2005.07," 292,300 ",5.71," 1,359 ",25.8," 63,123 "," 65,232 ",96.8,97.6,104,,,,,,,,,,,,,,,
2005.08," 293,200 ",5.81," 1,378 ",26.1," 63,309 "," 66,144 ",95.7,96.8,105.4,,,,,,,,,,,,,,,
2005.09," 284,200 ",5.83," 1,338 ",25.3," 63,491 "," 64,224 ",98.9,95.7,105.1,,,,,,,,,,,,,,,
2005.10," 277,300 ",5.95," 1,323 ",24.9," 63,672 "," 63,504 ",100.3,98.9,103.5,,,,,,,,,,,,,,,
2005.11," 287,200 ",6.15," 1,400 ",26.3," 63,840 "," 67,200 ",95.0,100.3,100.5,,,,,,,,,,,,,,,
2005.12," 280,700 ",6.24," 1,381 ",25.9," 64,023 "," 66,288 ",96.6,95.0,103.8,,,,,,,,,,,,,,,
2006.01," 269,600 ",6.28," 1,332 ",24.7," 64,656 "," 63,936 ",101.1,96.6,109.6,,,,,,,,,,,,,,,
2006.02," 278,800 ",6.29," 1,379 ",25.5," 64,900 "," 66,192 ",98.0,101.1,102.2,,,,,,,,,,,,,,,
2006.03," 279,000 ",6.31," 1,383 ",25.5," 65,090 "," 66,384 ",98.1,98.0,100.8,,,,,,,,,,,,,,,
2006.04," 297,400 ",6.41," 1,490 ",27.4," 65,349 "," 71,520 ",91.4,98.1,99.7,,,,,,,,,,,,,,,
2006.05," 290,100 ",6.52," 1,470 ",27.0," 65,452 "," 70,560 ",92.8,91.4,99.4,,,,,,,,,,,,,,,
2006.06," 299,800 ",6.58," 1,529 ",27.9," 65,690 "," 73,392 ",89.5,92.8,97.6,,,,,,,,,,,,,,,
2006.07," 285,400 ",6.71," 1,475 ",26.9," 65,783 "," 70,800 ",92.9,89.5,96.8,,,,,,,,,,,,,,,
2006.08," 277,500 ",6.72," 1,435 ",26.1," 65,962 "," 68,880 ",95.8,92.9,95.7,,,,,,,,,,,,,,,
2006.09," 269,400 ",6.60," 1,376 ",25.0," 66,129 "," 66,048 ",100.1,95.8,98.9,,,,,,,,,,,,,,,
2006.10," 262,300 ",6.56," 1,335 ",24.2," 66,299 "," 64,080 ",103.5,100.1,100.3,,,,,,,,,,,,,,,
2006.11," 274,300 ",6.49," 1,386 ",25.0," 66,485 "," 66,528 ",99.9,103.5,95,,,,,,,,,,,,,,,
2006.12," 288,300 ",6.39," 1,441 ",25.9," 66,837 "," 69,168 ",96.6,99.9,96.6,,,,,,,,,,,,,,,
2007.01," 266,200 ",6.36," 1,327 ",23.7," 67,326 "," 63,696 ",105.7,96.6,101.1,,,,,,,,,,,,,,,
2007.02," 267,600 ",6.40," 1,339 ",23.8," 67,641 "," 64,272 ",105.2,105.7,98,,,,,,,,,,,,,,,
2007.03," 280,200 ",6.29," 1,386 ",24.5," 67,962 "," 66,528 ",102.2,105.2,98.1,,,,,,,,,,,,,,,
2007.04," 297,500 ",6.29," 1,472 ",25.9," 68,081 "," 70,656 ",96.4,102.2,91.4,,,,,,,,,,,,,,,
2007.05," 292,500 ",6.33," 1,453 ",25.6," 68,198 "," 69,744 ",97.8,96.4,92.8,,,,,,,,,,,,,,,
2007.06," 302,600 ",6.54," 1,536 ",27.0," 68,264 "," 73,728 ",92.6,97.8,89.5,,,,,,,,,,,,,,,
2007.07," 303,300 ",6.64," 1,556 ",27.3," 68,474 "," 74,688 ",91.7,92.6,92.9,,,,,,,,,,,,,,,
2007.08," 288,000 ",6.68," 1,484 ",26.0," 68,582 "," 71,232 ",96.3,91.7,95.8,,,,,,,,,,,,,,,
2007.09," 267,300 ",6.65," 1,373 ",23.9," 68,981 "," 65,904 ",104.7,96.3,100.1,,,,,,,,,,,,,,,
2007.10," 261,200 ",6.54," 1,326 ",23.0," 69,156 "," 63,648 ",108.7,104.7,103.5,,,,,,,,,,,,,,,
2007.11," 263,500 ",6.35," 1,312 ",22.7," 69,445 "," 62,976 ",110.3,108.7,99.9,,,,,,,,,,,,,,,
2007.12," 258,600 ",6.31," 1,282 ",22.0," 69,855 "," 61,536 ",113.5,110.3,96.6,,,,,,,,,,,,,,,
2008.01," 274,900 ",6.10," 1,333 ",22.6," 70,864 "," 63,984 ",110.8,113.5,105.7,,,,,,,,,,,,,,,
2008.02," 274,000 ",5.96," 1,309 ",22.1," 71,110 "," 62,832 ",113.2,110.8,105.2,,,,,,,,,,,,,,,
2008.03," 291,000 ",6.00," 1,396 ",23.4," 71,488 "," 67,008 ",106.7,113.2,102.2,,,,,,,,,,,,,,,
2008.04," 266,300 ",6.01," 1,279 ",21.5," 71,401 "," 61,392 ",116.3,106.7,96.4,,,,,,,,,,,,,,,
2008.05," 284,600 ",6.03," 1,369 ",22.8," 71,987 "," 65,712 ",109.5,116.3,97.8,,,,,,,,,,,,,,,
2008.06," 266,100 ",6.13," 1,294 ",21.4," 72,411 "," 62,112 ",116.6,109.5,92.6,,,,,,,,,,,,,,,
2008.07," 280,000 ",6.33," 1,391 ",23.2," 72,039 "," 66,768 ",107.9,116.6,91.7,,,,,,,,,,,,,,,
2008.08," 274,400 ",6.32," 1,362 ",22.6," 72,264 "," 65,376 ",110.5,107.9,96.3,,,,,,,,,,,,,,,
2008.09," 255,400 ",6.16," 1,246 ",20.7," 72,307 "," 59,808 ",120.9,110.5,104.7,,,,,,,,,,,,,,,
2008.10," 242,500 ",6.13," 1,179 ",19.6," 72,075 "," 56,592 ",127.4,120.9,108.7,,,,,,,,,,,,,,,
2008.11," 266,700 ",6.18," 1,304 ",21.8," 71,672 "," 62,592 ",114.5,127.4,110.3,,,,,,,,,,,,,,,
2008.12," 237,200 ",5.56," 1,085 ",18.4," 70,862 "," 52,080 ",136.1,114.5,113.5,,,,,,,,,,,,,,,
2009.01," 230,600 ",5.21," 1,014 ",17.3," 70,281 "," 48,672 ",144.4,136.1,110.8,,,,,,,,,,,,,,,
2009.02," 242,100 ",5.11," 1,053 ",18.1," 69,713 "," 50,544 ",137.9,144.4,113.2,,,,,,,,,,,,,,,
2009.03," 232,900 ",5.10," 1,012 ",17.5," 69,553 "," 48,576 ",143.2,137.9,106.7,,,,,,,,,,,,,,,
2009.04," 241,800 ",4.97," 1,035 ",17.8," 69,960 "," 49,680 ",140.8,143.2,116.3,,,,,,,,,,,,,,,
2009.05," 246,300 ",4.92," 1,048 ",17.9," 70,414 "," 50,304 ",140.0,140.8,109.5,,,,,,,,,,,,,,,
2009.06," 249,400 ",5.00," 1,071 ",18.2," 70,467 "," 51,408 ",137.1,140.0,116.6,,,,,,,,,,,,,,,
2009.07," 253,900 ",5.25," 1,122 ",19.2," 70,204 "," 53,856 ",130.4,137.1,107.9,,,,,,,,,,,,,,,
2009.08," 241,700 ",5.21," 1,063 ",18.1," 70,369 "," 51,024 ",137.9,130.4,110.5,,,,,,,,,,,,,,,
2009.09," 245,700 ",5.20," 1,079 ",18.4," 70,342 "," 51,792 ",135.8,137.9,120.9,,,,,,,,,,,,,,,
2009.10," 239,300 ",5.06," 1,035 ",17.6," 70,401 "," 49,680 ",141.7,135.8,127.4,,,,,,,,,,,,,,,
2009.11," 221,200 ",5.02, 952 ,16.1," 70,779 "," 45,696 ",154.9,141.7,114.5,,,,,,,,,,,,,,,
2009.12," 244,100 ",5.04," 1,053 ",17.8," 71,188 "," 50,544 ",140.8,154.9,136.1,,,,,,,,,,,,,,,
2010.01," 249,700 ",5.04," 1,077 ",18.5," 69,941 "," 51,696 ",135.3,140.8,144.4,,,,,,,,,,,,,,,
2010.02," 261,900 ",5.03," 1,129 ",19.4," 69,907 "," 54,192 ",129.0,135.3,137.9,,,,,,,,,,,,,,,
2010.03," 243,100 ",4.96," 1,039 ",17.9," 69,836 "," 49,872 ",140.0,129.0,143.2,,,,,,,,,,,,,,,
2010.04," 249,100 ",4.97," 1,066 ",18.3," 69,730 "," 51,168 ",136.3,140.0,140.8,,,,,,,,,,,,,,,
2010.05," 220,800 ",5.04, 953 ,16.4," 69,642 "," 45,744 ",152.2,136.3,140,,,,,,,,,,,,,,,
2010.06," 252,800 ",4.97," 1,082 ",18.6," 69,621 "," 51,936 ",134.1,152.2,137.1,,,,,,,,,,,,,,,
2010.07," 265,500 ",4.75," 1,108 ",19.1," 69,576 "," 53,184 ",130.8,134.1,130.4,,,,,,,,,,,,,,,
2010.08," 254,600 ",4.72," 1,059 ",18.3," 69,498 "," 50,832 ",136.7,130.8,137.9,,,,,,,,,,,,,,,
2010.09," 239,600 ",4.66, 990 ,17.1," 69,492 "," 47,520 ",146.2,136.7,135.8,,,,,,,,,,,,,,,
2010.10," 242,400 ",4.55, 988 ,17.1," 69,408 "," 47,424 ",146.4,146.2,141.7,,,,,,,,,,,,,,,
2010.11," 244,600 ",4.47, 988 ,17.1," 69,389 "," 47,424 ",146.3,146.4,154.9,,,,,,,,,,,,,,,
2010.12," 234,200 ",4.62, 963 ,16.7," 69,311 "," 46,224 ",149.9,146.3,140.8,,,,,,,,,,,,,,,
2011.01," 236,100 ",4.63, 972 ,16.6," 70,472 "," 46,656 ",151.0,149.9,135.3,,,,,,,,,,,,,,,
2011.02," 230,500 ",4.87, 975 ,16.6," 70,558 "," 46,800 ",150.8,151.0,129,,,,,,,,,,,,,,,
2011.03," 234,400 ",5.00," 1,007 ",17.1," 70,586 "," 48,336 ",146.0,150.8,140,,,,,,,,,,,,,,,
2011.04," 235,400 ",4.84, 993 ,16.9," 70,659 "," 47,664 ",148.2,146.0,136.3,,,,,,,,,,,,,,,
2011.05," 240,700 ",4.66, 994 ,16.9," 70,666 "," 47,712 ",148.1,148.2,152.2,,,,,,,,,,,,,,,
2011.06," 259,300 ",4.74," 1,081 ",18.3," 70,710 "," 51,888 ",136.3,148.1,134.1,,,,,,,,,,,,,,,
2011.07," 244,600 ",4.61," 1,004 ",17.0," 70,791 "," 48,192 ",146.9,136.3,130.8,,,,,,,,,,,,,,,
2011.08," 239,300 ",4.44, 963 ,16.3," 70,781 "," 46,224 ",153.1,146.9,136.7,,,,,,,,,,,,,,,
2011.09," 226,300 ",4.35, 901 ,15.3," 70,798 "," 43,248 ",163.7,153.1,146.2,,,,,,,,,,,,,,,
2011.10," 222,700 ",4.38, 890 ,15.1," 70,873 "," 42,720 ",165.9,163.7,146.4,,,,,,,,,,,,,,,
2011.11," 238,700 ",4.14, 927 ,15.7," 70,821 "," 44,496 ",159.2,165.9,146.3,,,,,,,,,,,,,,,
2011.12," 218,900 ",4.26, 863 ,14.6," 70,883 "," 41,424 ",171.1,159.2,149.9,,,,,,,,,,,,,,,
2012.01," 226,800 ",4.18, 885 ,14.8," 71,566 "," 42,480 ",168.5,171.1,151,,,,,,,,,,,,,,,
2012.02," 223,800 ",4.05, 860 ,14.4," 71,778 "," 41,280 ",173.9,168.5,150.8,,,,,,,,,,,,,,,
2012.03," 231,800 ",3.84, 868 ,14.5," 71,915 "," 41,664 ",172.6,173.9,146,,,,,,,,,,,,,,,
2012.04," 233,900 ",3.91, 884 ,14.7," 72,043 "," 42,432 ",169.8,172.6,148.2,,,,,,,,,,,,,,,
2012.05," 238,300 ",3.87, 896 ,14.9," 72,035 "," 43,008 ",167.5,169.8,148.1,,,,,,,,,,,,,,,
2012.06," 251,800 ",3.79, 937 ,15.6," 72,057 "," 44,976 ",160.2,167.5,136.3,,,,,,,,,,,,,,,
2012.07," 254,600 ",3.70, 938 ,15.6," 72,160 "," 45,024 ",160.3,160.2,146.9,,,,,,,,,,,,,,,
2012.08," 248,600 ",3.67, 912 ,15.2," 72,168 "," 43,776 ",164.9,160.3,153.1,,,,,,,,,,,,,,,
2012.09," 233,900 ",3.62, 853 ,14.1," 72,385 "," 40,944 ",176.8,164.9,163.7,,,,,,,,,,,,,,,
2012.10," 229,700 ",3.55, 830 ,13.7," 72,647 "," 39,840 ",182.3,176.8,165.9,,,,,,,,,,,,,,,
2012.11," 226,900 ",3.46, 811 ,13.3," 72,999 "," 38,928 ",187.5,182.3,159.2,,,,,,,,,,,,,,,
2012.12," 228,500 ",3.39, 810 ,13.2," 73,662 "," 38,880 ",189.5,187.5,171.1,,,,,,,,,,,,,,,
2013.01," 227,000 ",3.38, 803 ,13.2," 72,822 "," 38,544 ",188.9,189.5,168.5,,,,,,,,,,,,,,,
2013.02," 236,500 ",3.46, 845 ,13.9," 72,882 "," 40,560 ",179.7,188.9,173.9,,,,,,,,,,,,,,,
2013.03," 238,700 ",3.54, 862 ,14.2," 72,999 "," 41,376 ",176.4,179.7,172.6,,,,,,,,,,,,,,,
2013.04," 245,600 ",3.61, 894 ,14.6," 73,278 "," 42,912 ",170.8,176.4,169.8,,,,,,,,,,,,,,,
2013.05," 259,400 ",3.55, 938 ,15.3," 73,696 "," 45,024 ",163.7,170.8,167.5,,,,,,,,,,,,,,,
2013.06," 268,700 ",3.54, 970 ,15.7," 73,929 "," 46,560 ",158.8,163.7,160.2,,,,,,,,,,,,,,,
2013.07," 266,100 ",3.92," 1,007 ",16.3," 73,913 "," 48,336 ",152.9,158.8,160.3,,,,,,,,,,,,,,,
2013.08," 267,100 ",4.30," 1,057 ",17.1," 74,118 "," 50,736 ",146.1,152.9,164.9,,,,,,,,,,,,,,,
2013.09," 235,100 ",4.42, 944 ,15.2," 74,376 "," 45,312 ",164.1,146.1,176.8,,,,,,,,,,,,,,,
2013.10," 243,300 ",4.46, 982 ,15.8," 74,362 "," 47,136 ",157.8,164.1,182.3,,,,,,,,,,,,,,,
2013.11," 242,600 ",4.33, 964 ,15.5," 74,683 "," 46,272 ",161.4,157.8,187.5,,,,,,,,,,,,,,,
2013.12," 237,100 ",4.29, 938 ,15.1," 74,584 "," 45,024 ",165.7,161.4,189.5,,,,,,,,,,,,,,,
2014.01," 239,700 ",4.38, 958 ,15.5," 74,381 "," 45,984 ",161.8,165.7,188.9,,,,,,,,,,,,,,,
2014.02," 233,800 ",4.44, 941 ,15.1," 74,648 "," 45,168 ",165.3,161.8,179.7,,,,,,,,,,,,,,,
2014.03," 244,400 ",4.30, 968 ,15.5," 74,926 "," 46,464 ",161.3,165.3,176.4,,,,,,,,,,,,,,,
2014.04," 243,200 ",4.30, 963 ,15.4," 75,115 "," 46,224 ",162.5,161.3,170.8,,,,,,,,,,,,,,,
2014.05," 254,400 ",4.31," 1,008 ",16.1," 75,310 "," 48,384 ",155.7,162.5,163.7,,,,,,,,,,,,,,,
2014.06," 270,400 ",4.16," 1,053 ",16.7," 75,537 "," 50,544 ",149.4,155.7,158.8,,,,,,,,,,,,,,,
2014.07," 273,300 ",4.20," 1,069 ",16.9," 75,716 "," 51,312 ",147.6,149.4,152.9,,,,,,,,,,,,,,,
2014.08," 263,000 ",4.15," 1,023 ",16.2," 75,923 "," 49,104 ",154.6,147.6,146.1,,,,,,,,,,,,,,,
2014.09," 245,000 ",4.14, 952 ,15.0," 76,074 "," 45,696 ",166.5,154.6,164.1,,,,,,,,,,,,,,,
2014.10," 246,100 ",4.23, 966 ,15.2," 76,248 "," 46,368 ",164.4,166.5,157.8,,,,,,,,,,,,,,,
2014.11," 247,400 ",4.07, 953 ,15.0," 76,425 "," 45,744 ",167.1,164.4,161.4,,,,,,,,,,,,,,,
2014.12," 242,900 ",4.13, 942 ,14.8," 76,610 "," 45,216 ",169.4,167.1,165.7,,,,,,,,,,,,,,,
2015.01," 248,400 ",3.97, 945 ,14.8," 76,858 "," 45,360 ",169.4,169.4,161.8,,,,,,,,,,,,,,,
