Northeast Regional Housing Affordability Index,,,,,,,,,,,,,,,,,,,,,,,,
Annual and Monthly 1989 - Present,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Existing Home Sales Program © 2019,,,,,,,,,,,,,,,,,,,,,,,,
National Association of REALTORS ® Research Team,,,,,,,,,,,,,,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,,,,,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,,,,,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
, Med-Price ,Monthly, Princp.& ,Median,,,,,,,,,,,,,,,,,,,,
, Single-Fam ,Mortgage, Interest ,as %, Family , Qualifying ,,Last,Last,,,,,,,,,,,,,,,
, Home ,Rate*, Payment ,Income, Income , Income** ,Composite,Month,Year,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
2001," 169,400 ",6.99, 901 ,19.0," 57,000 "," 43,248 ",131.8,,,,,,,,,,,,,,,,,
2002," 190,100 ",6.45, 956 ,20.2," 56,758 "," 45,888 ",123.7,,,,,,,,,,,,,,,,,
2003," 220,300 ",5.71," 1,024 ",20.5," 59,874 "," 49,152 ",121.8,,,,,,,,,,,,,,,,,
2004," 254,400 ",5.71," 1,183 ",23.5," 60,301 "," 56,784 ",106.2,,,,,,,,,,,,,,,,,
2005," 281,600 ",5.85," 1,329 ",25.7," 62,133 "," 63,792 ",97.4,,,,,,,,,,,,,,,,,
2006," 280,300 ",6.49," 1,416 ",25.9," 65,487 "," 67,968 ",96.3,,,,,,,,,,,,,,,,,
2007," 288,100 ",6.45," 1,449 ",25.4," 68,497 "," 69,552 ",98.5,,,,,,,,,,,,,,,,,
2008," 271,500 ",6.08," 1,313 ",22.0," 71,707 "," 63,024 ",113.8,,,,,,,,,,,,,,,,,
2009," 243,200 ",5.09," 1,055 ",18.0," 70,306 "," 50,640 ",138.8,,,,,,,,,,,,,,,,,
2010," 243,900 ",4.82," 1,026 ",17.7," 69,613 "," 49,248 ",141.4,,,,,,,,,,,,,,,,,
2011," 237,500 ",4.58, 972 ,16.5," 70,717 "," 46,656 ",151.6,,,,,,,,,,,,,,,,,
2012," 237,200 ",3.75, 879 ,14.6," 72,285 "," 42,192 ",171.3,,,,,,,,,,,,,,,,,
2013," 248,900 ",3.90, 939 ,15.3," 73,804 "," 45,072 ",163.7,,,,,,,,,,,,,,,,,
2014," 252,200 ",4.23, 990 ,15.7," 75,576 "," 47,520 ",159.0,,,,,,,,,,,,,,,,,
