,STATEFIPS,STATE,zipcode,agi_stub,#_of_returns,AGI,returns x AGI
0,17,IL,60601,1,990,12065,11944350
1,17,IL,60601,2,1110,41873,46479030
2,17,IL,60601,3,1280,79389,101617920
3,17,IL,60601,4,990,85508,84652920
4,17,IL,60601,5,1840,256473,471910320
5,17,IL,60601,6,1350,1159729,1565634150
6,17,IL,60602,1,400,3694,1477600
7,17,IL,60602,2,180,6780,1220400
8,17,IL,60602,3,160,10054,1608640
9,17,IL,60602,4,110,9040,994400
10,17,IL,60602,5,180,26634,4794120
11,17,IL,60602,6,240,344504,82680960
12,17,IL,60603,1,320,2863,916160
13,17,IL,60603,2,150,5558,833700
14,17,IL,60603,3,150,9027,1354050
15,17,IL,60603,4,110,9836,1081960
16,17,IL,60603,5,240,34402,8256480
17,17,IL,60603,6,430,579692,249267560
18,17,IL,60604,1,150,1530,229500
19,17,IL,60604,2,90,3287,295830
20,17,IL,60604,3,90,5378,484020
21,17,IL,60604,4,50,4730,236500
22,17,IL,60604,5,110,15859,1744490
23,17,IL,60604,6,130,315086,40961180
24,17,IL,60605,1,2030,22863,46411890
25,17,IL,60605,2,1760,67304,118455040
26,17,IL,60605,3,2190,135907,297636330
27,17,IL,60605,4,1880,163167,306753960
28,17,IL,60605,5,3490,487513,1701420370
29,17,IL,60605,6,2070,898364,1859613480
30,17,IL,60606,1,280,3281,918680
31,17,IL,60606,2,290,11068,3209720
32,17,IL,60606,3,410,25488,10450080
33,17,IL,60606,4,360,31227,11241720
34,17,IL,60606,5,650,91727,59622550
35,17,IL,60606,6,530,611841,324275730
36,17,IL,60607,1,2560,30225,77376000
37,17,IL,60607,2,1870,70479,131795730
38,17,IL,60607,3,1970,122635,241590950
39,17,IL,60607,4,1680,145852,245031360
40,17,IL,60607,5,3250,457590,1487167500
41,17,IL,60607,6,1910,871217,1664024470
42,17,IL,60608,1,14200,189709,2693867800
43,17,IL,60608,2,9400,334168,3141179200
44,17,IL,60608,3,3540,214240,758409600
45,17,IL,60608,4,1630,140107,228374410
46,17,IL,60608,5,1700,225970,384149000
47,17,IL,60608,6,360,130513,46984680
48,17,IL,60609,1,13130,176868,2322276840
