,STATEFIPS,STATE,zipcode,agi_stub,#_of_returns,AGI,returns x AGI
0,17,IL,60601,1,1040,12524,13024960
1,17,IL,60601,2,1090,41086,44783740
2,17,IL,60601,3,1130,70750,79947500
3,17,IL,60601,4,820,70908,58144560
4,17,IL,60601,5,1590,223965,356104350
5,17,IL,60601,6,1140,1049328,1196233920
6,17,IL,60602,1,470,4443,2088210
7,17,IL,60602,2,190,6813,1294470
8,17,IL,60602,3,160,9571,1531360
9,17,IL,60602,4,110,9349,1028390
10,17,IL,60602,5,180,24666,4439880
11,17,IL,60602,6,220,203133,44689260
12,17,IL,60603,1,480,4054,1945920
13,17,IL,60603,2,230,8279,1904170
14,17,IL,60603,3,190,11819,2245610
15,17,IL,60603,4,120,10533,1263960
16,17,IL,60603,5,240,34435,8264400
17,17,IL,60603,6,390,446510,174138900
18,17,IL,60604,1,170,1884,320280
19,17,IL,60604,2,110,4133,454630
20,17,IL,60604,3,100,6191,619100
21,17,IL,60604,4,60,5088,305280
22,17,IL,60604,5,140,19235,2692900
23,17,IL,60604,6,170,388514,66047380
24,17,IL,60605,1,2110,24368,51416480
25,17,IL,60605,2,1860,70671,131448060
26,17,IL,60605,3,2150,133318,286633700
27,17,IL,60605,4,1750,151893,265812750
28,17,IL,60605,5,3020,421849,1273983980
29,17,IL,60605,6,1620,693300,1123146000
30,17,IL,60606,1,360,4116,1481760
31,17,IL,60606,2,360,13337,4801320
32,17,IL,60606,3,450,28025,12611250
33,17,IL,60606,4,350,29926,10474100
34,17,IL,60606,5,650,91455,59445750
35,17,IL,60606,6,490,541882,265522180
36,17,IL,60607,1,2790,32380,90340200
37,17,IL,60607,2,1870,70597,132016390
38,17,IL,60607,3,2100,130854,274793400
39,17,IL,60607,4,1630,141094,229983220
40,17,IL,60607,5,2700,378232,1021226400
41,17,IL,60607,6,1400,638549,893968600
42,17,IL,60608,1,15220,199817,3041214740
43,17,IL,60608,2,8800,310760,2734688000
44,17,IL,60608,3,3140,189861,596163540
45,17,IL,60608,4,1460,125180,182762800
46,17,IL,60608,5,1330,176960,235356800
47,17,IL,60608,6,290,105063,30468270
48,17,IL,60609,1,13450,178015,2394301750
49,17,IL,60609,2,6590,230586,1519561740
50,17,IL,60609,3,2140,130245,278724300
51,17,IL,60609,4,960,82232,78942720
52,17,IL,60609,5,900,119620,107658000
53,17,IL,60609,6,150,51513,7726950
54,17,IL,60610,1,4790,58936,282303440
55,17,IL,60610,2,4200,159140,668388000
56,17,IL,60610,3,4010,247150,991071500
57,17,IL,60610,4,2490,215506,536609940
58,17,IL,60610,5,3660,505478,1850049480
59,17,IL,60610,6,2810,2140587,6015049470
60,17,IL,60611,1,2750,32188,88517000
61,17,IL,60611,2,2760,105004,289811040
62,17,IL,60611,3,3010,185816,559306160
63,17,IL,60611,4,2080,179655,373682400
64,17,IL,60611,5,3680,520439,1915215520
65,17,IL,60611,6,3910,5177922,20245675020
66,17,IL,60612,1,7440,94191,700781040
67,17,IL,60612,2,3580,128874,461368920
68,17,IL,60612,3,1670,101712,169859040
69,17,IL,60612,4,860,73676,63361360
70,17,IL,60612,5,840,113828,95615520
71,17,IL,60612,6,290,100096,29027840
72,17,IL,60613,1,7310,94546,691131260
73,17,IL,60613,2,7580,283604,2149718320
74,17,IL,60613,3,5180,317509,1644696620
75,17,IL,60613,4,3020,260642,787138840
76,17,IL,60613,5,3890,533000,2073370000
77,17,IL,60613,6,2170,979937,2126463290
78,17,IL,60614,1,6630,78550,520786500
79,17,IL,60614,2,7310,277059,2025301290
80,17,IL,60614,3,6430,393105,2527665150
81,17,IL,60614,4,3490,300647,1049258030
82,17,IL,60614,5,5740,811229,4656454460
83,17,IL,60614,6,5980,4637760,27733804800
84,17,IL,60615,1,7330,91503,670716990
85,17,IL,60615,2,4540,163157,740732780
86,17,IL,60615,3,2600,159642,415069200
87,17,IL,60615,4,1430,123211,176191730
88,17,IL,60615,5,1620,219771,356029020
89,17,IL,60615,6,820,350686,287562520
90,17,IL,60616,1,9940,121010,1202839400
91,17,IL,60616,2,5530,201177,1112508810
92,17,IL,60616,3,3410,209694,715056540
93,17,IL,60616,4,1920,164955,316713600
94,17,IL,60616,5,2330,314653,733141490
95,17,IL,60616,6,750,275173,206379750
96,17,IL,60617,1,17500,223647,3913822500
97,17,IL,60617,2,9170,327788,3005815960
98,17,IL,60617,3,4460,272223,1214114580
99,17,IL,60617,4,2160,184921,399429360
100,17,IL,60617,5,1570,200899,315411430
101,17,IL,60617,6,110,38561,4241710
102,17,IL,60618,1,16960,220482,3739374720
103,17,IL,60618,2,12190,439296,5355018240
104,17,IL,60618,3,5780,353932,2045726960
105,17,IL,60618,4,3240,279166,904497840
106,17,IL,60618,5,4330,592672,2566269760
107,17,IL,60618,6,2210,907106,2004704260
108,17,IL,60619,1,15310,195556,2993962360
109,17,IL,60619,2,7640,273948,2092962720
110,17,IL,60619,3,3670,224038,822219460
111,17,IL,60619,4,1730,148604,257084920
112,17,IL,60619,5,1170,150037,175543290
113,17,IL,60619,6,90,25011,2250990
114,17,IL,60620,1,16940,218178,3695935320
115,17,IL,60620,2,8440,302749,2555201560
116,17,IL,60620,3,3750,227658,853717500
117,17,IL,60620,4,1390,119155,165625450
118,17,IL,60620,5,810,101771,82434510
119,17,IL,60620,6,40,8537,341480
120,17,IL,60621,1,8530,108116,922229480
121,17,IL,60621,2,2290,79392,181807680
122,17,IL,60621,3,740,44545,32963300
123,17,IL,60621,4,220,18429,4054380
124,17,IL,60621,5,110,14365,1580150
125,17,IL,60621,6,0,0,0
126,17,IL,60622,1,8760,114742,1005139920
127,17,IL,60622,2,7270,268390,1951195300
128,17,IL,60622,3,4550,277640,1263262000
129,17,IL,60622,4,2440,210258,513029520
130,17,IL,60622,5,3460,485563,1680047980
131,17,IL,60622,6,2130,963836,2052970680
132,17,IL,60623,1,20220,276539,5591618580
133,17,IL,60623,2,9460,325664,3080781440
134,17,IL,60623,3,2300,138102,317634600
135,17,IL,60623,4,640,54662,34983680
136,17,IL,60623,5,310,38316,11877960
137,17,IL,60623,6,40,13332,533280
138,17,IL,60624,1,10140,130107,1319284980
139,17,IL,60624,2,3350,116396,389926600
140,17,IL,60624,3,930,56262,52323660
141,17,IL,60624,4,310,26470,8205700
142,17,IL,60624,5,190,24807,4713330
143,17,IL,60624,6,0,0,0
144,17,IL,60625,1,14940,192428,2874874320
145,17,IL,60625,2,9820,353100,3467442000
146,17,IL,60625,3,4810,294309,1415626290
147,17,IL,60625,4,2620,225646,591192520
148,17,IL,60625,5,3190,431035,1375001650
149,17,IL,60625,6,1040,384174,399540960
150,17,IL,60626,1,10240,134169,1373890560
151,17,IL,60626,2,6610,236017,1560072370
152,17,IL,60626,3,2960,180762,535055520
153,17,IL,60626,4,1530,131297,200884410
154,17,IL,60626,5,1510,197443,298138930
155,17,IL,60626,6,260,82439,21434140
156,17,IL,60628,1,16350,208269,3405198150
157,17,IL,60628,2,7850,279732,2195896200
158,17,IL,60628,3,3730,226511,844886030
159,17,IL,60628,4,1620,138276,224007120
160,17,IL,60628,5,940,117856,110784640
161,17,IL,60628,6,50,11416,570800
162,17,IL,60629,1,23840,321012,7652926080
163,17,IL,60629,2,14370,507097,7286983890
164,17,IL,60629,3,5190,313461,1626862590
165,17,IL,60629,4,2080,178309,370882720
166,17,IL,60629,5,1170,145957,170769690
167,17,IL,60629,6,70,18891,1322370
168,17,IL,60630,1,10520,127558,1341910160
169,17,IL,60630,2,6710,243383,1633099930
170,17,IL,60630,3,3980,244920,974781600
171,17,IL,60630,4,2490,215127,535666230
172,17,IL,60630,5,3100,411900,1276890000
173,17,IL,60630,6,480,146950,70536000
174,17,IL,60631,1,4440,49304,218909760
175,17,IL,60631,2,3050,112521,343189050
176,17,IL,60631,3,2260,140875,318377500
177,17,IL,60631,4,1800,156206,281170800
178,17,IL,60631,5,3270,451755,1477238850
179,17,IL,60631,6,690,209378,144470820
180,17,IL,60632,1,18900,258727,4889940300
181,17,IL,60632,2,11770,413159,4862881430
182,17,IL,60632,3,3660,220811,808168260
183,17,IL,60632,4,1200,102116,122539200
184,17,IL,60632,5,640,80412,51463680
185,17,IL,60632,6,40,14210,568400
186,17,IL,60633,1,2190,28352,62090880
187,17,IL,60633,2,1420,52070,73939400
188,17,IL,60633,3,840,51836,43542240
189,17,IL,60633,4,550,47062,25884100
190,17,IL,60633,5,430,57994,24937420
191,17,IL,60633,6,0,0,0
192,17,IL,60634,1,16560,197850,3276396000
193,17,IL,60634,2,9820,352953,3465998460
194,17,IL,60634,3,5140,315482,1621577480
195,17,IL,60634,4,3140,270636,849797040
196,17,IL,60634,5,3160,411795,1301272200
197,17,IL,60634,6,290,79711,23116190
198,17,IL,60636,1,9870,125565,1239326550
199,17,IL,60636,2,3410,119511,407532510
200,17,IL,60636,3,1060,63863,67694780
201,17,IL,60636,4,290,24181,7012490
202,17,IL,60636,5,130,15995,2079350
203,17,IL,60636,6,0,0,0
204,17,IL,60637,1,10390,130853,1359562670
205,17,IL,60637,2,4130,146316,604285080
206,17,IL,60637,3,1730,104939,181544470
207,17,IL,60637,4,850,73115,62147750
208,17,IL,60637,5,940,128460,120752400
209,17,IL,60637,6,510,275549,140529990
210,17,IL,60638,1,10010,122026,1221480260
211,17,IL,60638,2,6800,247775,1684870000
212,17,IL,60638,3,4360,269951,1176986360
213,17,IL,60638,4,2850,245416,699435600
214,17,IL,60638,5,3100,409208,1268544800
215,17,IL,60638,6,220,66477,14624940
216,17,IL,60639,1,20580,283395,5832269100
217,17,IL,60639,2,12130,422971,5130638230
218,17,IL,60639,3,3570,215067,767789190
219,17,IL,60639,4,1140,97343,110971020
220,17,IL,60639,5,700,87420,61194000
221,17,IL,60639,6,40,13872,554880
222,17,IL,60640,1,12150,153271,1862242650
223,17,IL,60640,2,9190,336402,3091534380
224,17,IL,60640,3,5290,324780,1718086200
225,17,IL,60640,4,3240,280233,907954920
226,17,IL,60640,5,3830,518167,1984579610
