,STATEFIPS,STATE,zipcode,agi_stub,#_of_returns,AGI,returns x AGI
0,17,IL,60601,1,1070,12604,13486280
1,17,IL,60601,2,1060,40330,42749800
2,17,IL,60601,3,1360,85126,115771360
3,17,IL,60601,4,1020,88279,90044580
4,17,IL,60601,5,1970,274955,541661350
5,17,IL,60601,6,1380,1343442,1853949960
6,17,IL,60602,1,350,3028,1059800
7,17,IL,60602,2,210,7790,1635900
8,17,IL,60602,3,200,12315,2463000
9,17,IL,60602,4,120,10438,1252560
10,17,IL,60602,5,180,26257,4726260
11,17,IL,60602,6,240,266894,64054560
12,17,IL,60603,1,270,2703,729810
13,17,IL,60603,2,160,5900,944000
14,17,IL,60603,3,140,8657,1211980
15,17,IL,60603,4,120,10095,1211400
16,17,IL,60603,5,250,35042,8760500
17,17,IL,60603,6,410,493986,202534260
18,17,IL,60604,1,150,1763,264450
19,17,IL,60604,2,60,2339,140340
20,17,IL,60604,3,80,5072,405760
21,17,IL,60604,4,60,5114,306840
22,17,IL,60604,5,120,17105,2052600
23,17,IL,60604,6,130,412482,53622660
24,17,IL,60605,1,2080,23250,48360000
25,17,IL,60605,2,1830,69789,127713870
26,17,IL,60605,3,2420,150966,365337720
27,17,IL,60605,4,2050,177914,364723700
28,17,IL,60605,5,3560,496484,1767483040
29,17,IL,60605,6,2040,942375,1922445000
30,17,IL,60606,1,320,3559,1138880
31,17,IL,60606,2,310,11936,3700160
32,17,IL,60606,3,420,26205,11006100
33,17,IL,60606,4,370,32266,11938420
34,17,IL,60606,5,640,90451,57888640
35,17,IL,60606,6,530,1337727,708995310
36,17,IL,60607,1,2320,28094,65178080
37,17,IL,60607,2,1760,66195,116503200
38,17,IL,60607,3,2030,126773,257349190
39,17,IL,60607,4,1620,140675,227893500
40,17,IL,60607,5,3140,442063,1388077820
41,17,IL,60607,6,1930,1002186,1934218980
42,17,IL,60608,1,13380,178950,2394351000
43,17,IL,60608,2,9490,338385,3211273650
44,17,IL,60608,3,3730,226850,846150500
45,17,IL,60608,4,1640,140593,230572520
46,17,IL,60608,5,1710,227956,389804760
47,17,IL,60608,6,400,139949,55979600
48,17,IL,60609,1,12420,169798,2108891160
49,17,IL,60609,2,7200,253755,1827036000
50,17,IL,60609,3,2430,147220,357744600
51,17,IL,60609,4,1080,93112,100560960
52,17,IL,60609,5,1070,142378,152344460
53,17,IL,60609,6,230,82125,18888750
54,17,IL,60610,1,4390,53957,236871230
55,17,IL,60610,2,3810,144588,550880280
56,17,IL,60610,3,4310,267314,1152123340
