,state,agi_class,zipcode,#_of_returns,AGI,returns x AGI
2262,il,2,60615.0,4159.0,70717.0,294112003.0
2263,il,3,60615.0,4466.0,159543.0,712519038.0
2264,il,4,60615.0,2210.0,134366.0,296948860.0
2265,il,5,60615.0,1069.0,91941.0,98284929.0
2266,il,6,60615.0,1275.0,175246.0,223438650.0
2267,il,7,60615.0,626.0,341528.0,213796528.0
2268,il,1,60616.0,4430.0,17740.0,78588200.0
2269,il,2,60616.0,5247.0,88813.0,466001811.0
2270,il,3,60616.0,5388.0,195630.0,1054054440.0
2271,il,4,60616.0,2813.0,172164.0,484297332.0
2272,il,5,60616.0,1364.0,117002.0,159590728.0
2273,il,6,60616.0,1385.0,185079.0,256334415.0
2274,il,7,60616.0,390.0,166463.0,64920570.0
2275,il,1,60617.0,6568.0,28348.0,186189664.0
2276,il,2,60617.0,10962.0,186016.0,2039107392.0
2277,il,3,60617.0,10172.0,362199.0,3684288228.0
2278,il,4,60617.0,4567.0,276049.0,1260715783.0
2279,il,5,60617.0,1661.0,142240.0,236260640.0
2280,il,6,60617.0,1091.0,137687.0,150216517.0
2281,il,7,60617.0,97.0,36128.0,3504416.0
2282,il,1,60618.0,6889.0,25493.0,175621277.0
2283,il,2,60618.0,10566.0,184411.0,1948486626.0
2284,il,3,60618.0,11506.0,411774.0,4737871644.0
2285,il,4,60618.0,5198.0,316087.0,1643020226.0
2286,il,5,60618.0,2322.0,199781.0,463891482.0
2287,il,6,60618.0,2777.0,374710.0,1040569670.0
2288,il,7,60618.0,1241.0,548560.0,680762960.0
2289,il,1,60619.0,5731.0,24573.0,140827863.0
2290,il,2,60619.0,9327.0,156673.0,1461289071.0
2291,il,3,60619.0,8677.0,308342.0,2675483534.0
2292,il,4,60619.0,3699.0,224138.0,829086462.0
2293,il,5,60619.0,1234.0,105480.0,130162320.0
2294,il,6,60619.0,773.0,99265.0,76731845.0
2295,il,7,60619.0,63.0,18251.0,1149813.0
2296,il,1,60620.0,6578.0,31677.0,208371306.0
2297,il,2,60620.0,11316.0,189421.0,2143488036.0
2298,il,3,60620.0,9820.0,348475.0,3422024500.0
2299,il,4,60620.0,3836.0,231900.0,889568400.0
2300,il,5,60620.0,1174.0,100204.0,117639496.0
2301,il,6,60620.0,905.0,117954.0,106748370.0
2302,il,7,60620.0,179.0,75157.0,13453103.0
2303,il,1,60621.0,3551.0,19735.0,70078985.0
2304,il,2,60621.0,5522.0,88408.0,488188976.0
2305,il,3,60621.0,2754.0,94279.0,259644366.0
2306,il,4,60621.0,738.0,43937.0,32425506.0
2307,il,5,60621.0,151.0,12657.0,1911207.0
2308,il,6,60621.0,46.0,6094.0,280324.0
2309,il,7,60621.0,,,
2310,il,1,60622.0,5181.0,10768.0,55789008.0
2311,il,2,60622.0,7846.0,137071.0,1075459066.0
2312,il,3,60622.0,9931.0,360310.0,3578238610.0
2313,il,4,60622.0,4640.0,282877.0,1312549280.0
2314,il,5,60622.0,2275.0,195871.0,445606525.0
2315,il,6,60622.0,3289.0,455938.0,1499580082.0
2316,il,7,60622.0,1471.0,661946.0,973722566.0
2317,il,1,60623.0,5735.0,30564.0,175284540.0
2318,il,2,60623.0,11976.0,204254.0,2446145904.0
2319,il,3,60623.0,8184.0,281008.0,2299769472.0
2320,il,4,60623.0,1776.0,105652.0,187637952.0
2321,il,5,60623.0,355.0,30202.0,10721710.0
2322,il,6,60623.0,176.0,21945.0,3862320.0
2323,il,7,60623.0,19.0,9591.0,182229.0
2324,il,1,60624.0,3501.0,17870.0,62562870.0
2325,il,2,60624.0,6048.0,98489.0,595661472.0
2326,il,3,60624.0,3561.0,122058.0,434648538.0
2327,il,4,60624.0,868.0,52074.0,45200232.0
2328,il,5,60624.0,222.0,18710.0,4153620.0
2329,il,6,60624.0,97.0,13499.0,1309403.0
2330,il,7,60624.0,,,
2331,il,1,60625.0,6177.0,18442.0,113916234.0
2332,il,2,60625.0,8872.0,153743.0,1364007896.0
2333,il,3,60625.0,9692.0,346650.0,3359731800.0
2334,il,4,60625.0,4264.0,259929.0,1108337256.0
2335,il,5,60625.0,1943.0,167145.0,324762735.0
2336,il,6,60625.0,2008.0,266191.0,534511528.0
2337,il,7,60625.0,542.0,204213.0,110683446.0
2338,il,1,60626.0,4077.0,11819.0,48186063.0
2339,il,2,60626.0,5824.0,100795.0,587030080.0
2340,il,3,60626.0,6006.0,214297.0,1287067782.0
2341,il,4,60626.0,2568.0,155598.0,399575664.0
2342,il,5,60626.0,1104.0,94414.0,104233056.0
2343,il,6,60626.0,1031.0,134544.0,138714864.0
2344,il,7,60626.0,176.0,69953.0,12311728.0
2345,il,1,60627.0,,,
2346,il,2,60627.0,41.0,570.0,23370.0
2347,il,3,60627.0,21.0,746.0,15666.0
2348,il,4,60627.0,15.0,1318.0,19770.0
2349,il,5,60627.0,,,
2350,il,6,60627.0,,,
2351,il,7,60627.0,0.0,0.0,0.0
2352,il,1,60628.0,6627.0,34705.0,229990035.0
2353,il,2,60628.0,10696.0,178416.0,1908337536.0
2354,il,3,60628.0,9280.0,329462.0,3057407360.0
2355,il,4,60628.0,3701.0,224060.0,829246060.0
2356,il,5,60628.0,1209.0,102492.0,123912828.0
2357,il,6,60628.0,649.0,81003.0,52570947.0
2358,il,7,60628.0,38.0,11827.0,449426.0
2359,il,1,60629.0,7648.0,39739.0,303923872.0
2360,il,2,60629.0,14369.0,248300.0,3567822700.0
2361,il,3,60629.0,13420.0,472838.0,6345485960.0
2362,il,4,60629.0,4860.0,293966.0,1428674760.0
2363,il,5,60629.0,1570.0,133991.0,210365870.0
2364,il,6,60629.0,793.0,97270.0,77135110.0
2365,il,7,60629.0,56.0,19702.0,1103312.0
2366,il,1,60630.0,5109.0,20005.0,102205545.0
2367,il,2,60630.0,5877.0,100963.0,593359551.0
2368,il,3,60630.0,6787.0,245939.0,1669187993.0
2369,il,4,60630.0,3856.0,237037.0,914014672.0
2370,il,5,60630.0,2242.0,193082.0,432889844.0
2371,il,6,60630.0,2092.0,268946.0,562635032.0
2372,il,7,60630.0,301.0,109754.0,33035954.0
2373,il,1,60631.0,2368.0,4860.0,11508480.0
2374,il,2,60631.0,2439.0,41600.0,101462400.0
2375,il,3,60631.0,2920.0,108264.0,316130880.0
2376,il,4,60631.0,2608.0,161814.0,422010912.0
2377,il,5,60631.0,1729.0,150135.0,259583415.0
2378,il,6,60631.0,2543.0,337225.0,857563175.0
2379,il,7,60631.0,381.0,152146.0,57967626.0
2380,il,1,60632.0,5608.0,27829.0,156065032.0
2381,il,2,60632.0,11232.0,196027.0,2201775264.0
2382,il,3,60632.0,10212.0,355621.0,3631601652.0
2383,il,4,60632.0,3111.0,187166.0,582273426.0
2384,il,5,60632.0,856.0,72849.0,62358744.0
2385,il,6,60632.0,413.0,50439.0,20831307.0
2386,il,7,60632.0,39.0,20180.0,787020.0
2387,il,1,60633.0,929.0,4523.0,4201867.0
2388,il,2,60633.0,1338.0,22849.0,30571962.0
2389,il,3,60633.0,1623.0,58943.0,95664489.0
2390,il,4,60633.0,954.0,58246.0,55566684.0
2391,il,5,60633.0,426.0,36536.0,15564336.0
2392,il,6,60633.0,311.0,39491.0,12281701.0
2393,il,7,60633.0,,,
2394,il,1,60634.0,8357.0,35952.0,300450864.0
2395,il,2,60634.0,9116.0,155661.0,1419005676.0
2396,il,3,60634.0,9497.0,340940.0,3237907180.0
2397,il,4,60634.0,4957.0,304484.0,1509327188.0
2398,il,5,60634.0,2575.0,221538.0,570460350.0
2399,il,6,60634.0,2135.0,268844.0,573981940.0
2400,il,7,60634.0,183.0,63660.0,11649780.0
2401,il,1,60635.0,,,
2402,il,2,60635.0,19.0,248.0,4712.0
2403,il,3,60635.0,10.0,358.0,3580.0
2404,il,4,60635.0,10.0,631.0,6310.0
2405,il,5,60635.0,10.0,1159.0,11590.0
2406,il,6,60635.0,,,
2407,il,7,60635.0,0.0,0.0,0.0
2408,il,1,60636.0,4010.0,22576.0,90529760.0
2409,il,2,60636.0,6572.0,106382.0,699142504.0
2410,il,3,60636.0,4029.0,139309.0,561275961.0
2411,il,4,60636.0,1069.0,63499.0,67880431.0
2412,il,5,60636.0,260.0,21878.0,5688280.0
2413,il,6,60636.0,79.0,9613.0,759427.0
2414,il,7,60636.0,,,
2415,il,1,60637.0,4273.0,16167.0,69081591.0
2416,il,2,60637.0,6097.0,99992.0,609651224.0
2417,il,3,60637.0,4435.0,155578.0,689988430.0
2418,il,4,60637.0,1666.0,100787.0,167911142.0
2419,il,5,60637.0,651.0,55918.0,36402618.0
2420,il,6,60637.0,730.0,100375.0,73273750.0
2421,il,7,60637.0,452.0,256890.0,116114280.0
2422,il,1,60638.0,4571.0,20729.0,94752259.0
2423,il,2,60638.0,6005.0,102154.0,613434770.0
2424,il,3,60638.0,7158.0,260239.0,1862790762.0
2425,il,4,60638.0,4576.0,282678.0,1293534528.0
2426,il,5,60638.0,2341.0,201686.0,472146926.0
2427,il,6,60638.0,2044.0,256991.0,525289604.0
2428,il,7,60638.0,138.0,43483.0,6000654.0
2429,il,1,60639.0,6527.0,31638.0,206501226.0
2430,il,2,60639.0,12607.0,219352.0,2765370664.0
2431,il,3,60639.0,10372.0,358765.0,3721110580.0
2432,il,4,60639.0,2801.0,168954.0,473240154.0
2433,il,5,60639.0,806.0,68807.0,55458442.0
2434,il,6,60639.0,366.0,44860.0,16418760.0
2435,il,7,60639.0,34.0,12066.0,410244.0
2436,il,1,60640.0,6159.0,18759.0,115536681.0
2437,il,2,60640.0,7362.0,127249.0,936807138.0
2438,il,3,60640.0,9272.0,337436.0,3128706592.0
2439,il,4,60640.0,4696.0,286740.0,1346531040.0
2440,il,5,60640.0,2354.0,202598.0,476915692.0
2441,il,6,60640.0,2591.0,347834.0,901237894.0
2442,il,7,60640.0,679.0,291956.0,198238124.0
2443,il,1,60641.0,6961.0,29371.0,204451531.0
2444,il,2,60641.0,8926.0,153602.0,1371051452.0
2445,il,3,60641.0,9020.0,319944.0,2885894880.0
2446,il,4,60641.0,3585.0,218395.0,782946075.0
2447,il,5,60641.0,1641.0,141674.0,232487034.0
2448,il,6,60641.0,1454.0,189590.0,275663860.0
2449,il,7,60641.0,284.0,109826.0,31190584.0
2450,il,1,60642.0,,,
2451,il,2,60642.0,16.0,389.0,6224.0
2452,il,3,60642.0,,,
2453,il,4,60642.0,14.0,881.0,12334.0
2454,il,5,60642.0,15.0,1820.0,27300.0
2455,il,6,60642.0,,,
2456,il,7,60642.0,0.0,0.0,0.0
2457,il,1,60643.0,4133.0,18863.0,77960779.0
2458,il,2,60643.0,5386.0,90475.0,487298350.0
2459,il,3,60643.0,5876.0,212598.0,1249225848.0
2460,il,4,60643.0,3344.0,204530.0,683948320.0
2461,il,5,60643.0,1545.0,132884.0,205305780.0
2462,il,6,60643.0,1815.0,242527.0,440186505.0
2463,il,7,60643.0,419.0,171060.0,71674140.0
2464,il,1,60644.0,4494.0,23696.0,106489824.0
2465,il,2,60644.0,8070.0,132842.0,1072034940.0
2466,il,3,60644.0,5363.0,184523.0,989596849.0
2467,il,4,60644.0,1356.0,81140.0,110025840.0
2468,il,5,60644.0,306.0,25874.0,7917444.0
2469,il,6,60644.0,148.0,18931.0,2801788.0
2470,il,7,60644.0,20.0,7826.0,156520.0
2471,il,1,60645.0,3768.0,5549.0,20908632.0
2472,il,2,60645.0,4673.0,79971.0,373704483.0
2473,il,3,60645.0,4744.0,170480.0,808757120.0
2474,il,4,60645.0,2364.0,144959.0,342683076.0
2475,il,5,60645.0,1251.0,107749.0,134793999.0
2476,il,6,60645.0,1432.0,189380.0,271192160.0
2477,il,7,60645.0,369.0,172955.0,63820395.0
2478,il,1,60646.0,2474.0,-381.0,-942594.0
2479,il,2,60646.0,2022.0,34343.0,69441546.0
2480,il,3,60646.0,2430.0,89650.0,217849500.0
2481,il,4,60646.0,1844.0,114675.0,211460700.0
2482,il,5,60646.0,1383.0,120350.0,166444050.0
2483,il,6,60646.0,2291.0,311301.0,713190591.0
2484,il,7,60646.0,762.0,343899.0,262051038.0
2485,il,1,60647.0,6338.0,21284.0,134897992.0
2486,il,2,60647.0,11053.0,192278.0,2125248734.0
2487,il,3,60647.0,10922.0,387601.0,4233378122.0
2488,il,4,60647.0,4307.0,261908.0,1128037756.0
2489,il,5,60647.0,1870.0,161050.0,301163500.0
2490,il,6,60647.0,2228.0,303159.0,675438252.0
2491,il,7,60647.0,923.0,406027.0,374762921.0
2492,il,1,60649.0,4000.0,10746.0,42984000.0
2493,il,2,60649.0,6798.0,113544.0,771872112.0
2494,il,3,60649.0,5726.0,201982.0,1156548932.0
2495,il,4,60649.0,2053.0,123553.0,253654309.0
2496,il,5,60649.0,686.0,58396.0,40059656.0
2497,il,6,60649.0,463.0,60283.0,27911029.0
2498,il,7,60649.0,102.0,37921.0,3867942.0
2499,il,1,60650.0,,,
2500,il,2,60650.0,,,
2501,il,3,60650.0,23.0,882.0,20286.0
2502,il,4,60650.0,,,
2503,il,5,60650.0,0.0,0.0,0.0
2504,il,6,60650.0,0.0,0.0,0.0
2505,il,7,60650.0,0.0,0.0,0.0
2506,il,1,60651.0,5604.0,28847.0,161658588.0
2507,il,2,60651.0,10372.0,173492.0,1799459024.0
2508,il,3,60651.0,7686.0,265614.0,2041509204.0
2509,il,4,60651.0,2044.0,122045.0,249459980.0
2510,il,5,60651.0,502.0,42666.0,21418332.0
2511,il,6,60651.0,240.0,29280.0,7027200.0
2512,il,7,60651.0,22.0,7463.0,164186.0
2513,il,1,60652.0,2707.0,13008.0,35212656.0
2514,il,2,60652.0,4268.0,73561.0,313958348.0
2515,il,3,60652.0,5305.0,193568.0,1026878240.0
2516,il,4,60652.0,3414.0,209827.0,716349378.0
2517,il,5,60652.0,1499.0,128634.0,192822366.0
2518,il,6,60652.0,1126.0,141272.0,159072272.0
2519,il,7,60652.0,39.0,14229.0,554931.0
2520,il,1,60653.0,2265.0,10736.0,24317040.0
2521,il,2,60653.0,3324.0,54810.0,182188440.0
2522,il,3,60653.0,2740.0,96255.0,263738700.0
2523,il,4,60653.0,1126.0,68909.0,77591534.0
2524,il,5,60653.0,561.0,48019.0,26938659.0
2525,il,6,60653.0,471.0,62653.0,29509563.0
2526,il,7,60653.0,82.0,24860.0,2038520.0
2527,il,1,60654.0,21.0,83.0,1743.0
2528,il,2,60654.0,16.0,272.0,4352.0
2529,il,3,60654.0,32.0,1380.0,44160.0
2530,il,4,60654.0,,,
2531,il,5,60654.0,14.0,2464.0,34496.0
2532,il,6,60654.0,,,
2533,il,7,60654.0,,,
2534,il,1,60655.0,2209.0,7708.0,17026972.0
2535,il,2,60655.0,1867.0,31788.0,59348196.0
2536,il,3,60655.0,2647.0,99597.0,263633259.0
2537,il,4,60655.0,2713.0,170315.0,462064595.0
2538,il,5,60655.0,2003.0,173545.0,347610635.0
2539,il,6,60655.0,2375.0,304239.0,722567625.0
2540,il,7,60655.0,185.0,60039.0,11107215.0
2541,il,1,60656.0,2522.0,9284.0,23414248.0
2542,il,2,60656.0,2862.0,48843.0,139788666.0
2543,il,3,60656.0,3524.0,129056.0,454793344.0
2544,il,4,60656.0,2384.0,147143.0,350788912.0
2545,il,5,60656.0,1370.0,118600.0,162482000.0
2546,il,6,60656.0,1461.0,189609.0,277018749.0
2547,il,7,60656.0,173.0,78797.0,13631881.0
2548,il,1,60657.0,4250.0,-1934.0,-8219500.0
2549,il,2,60657.0,6107.0,107689.0,657656723.0
2550,il,3,60657.0,11562.0,432438.0,4999848156.0
2551,il,4,60657.0,6688.0,406648.0,2719661824.0
