,state,zipcode,agi_class,#_of_returns,AGI,returns x AGI
1854,IL,60601,1,514,-4056,-2084784
1855,IL,60601,2,454,7871,3573434
1856,IL,60601,3,876,33210,29091960
1857,IL,60601,4,733,45082,33045106
1858,IL,60601,5,472,40927,19317544
1859,IL,60601,6,1256,635305,797943080
1860,IL,60602,1,249,-3009,-749241
1861,IL,60602,2,194,3151,611294
1862,IL,60602,3,189,6983,1319787
1863,IL,60602,4,128,7981,1021568
1864,IL,60602,5,74,6365,471010
1865,IL,60602,6,321,202716,65071836
1866,IL,60603,1,304,867,263568
1867,IL,60603,2,219,3734,817746
1868,IL,60603,3,175,6435,1126125
1869,IL,60603,4,148,9118,1349464
1870,IL,60603,5,88,7664,674432
1871,IL,60603,6,337,311477,104967749
1872,IL,60604,1,101,-5892,-595092
1873,IL,60604,2,65,1115,72475
1874,IL,60604,3,89,3236,288004
1875,IL,60604,4,40,2437,97480
1876,IL,60604,5,34,2897,98498
1877,IL,60604,6,147,342618,50364846
1878,IL,60605,1,1027,-1693,-1738711
1879,IL,60605,2,922,15794,14562068
1880,IL,60605,3,1589,60598,96290222
1881,IL,60605,4,1597,98532,157355604
1882,IL,60605,5,1115,96364,107445860
1883,IL,60605,6,2379,578328,1375842312
1884,IL,60606,1,178,-45564,-8110392
1885,IL,60606,2,152,2652,403104
1886,IL,60606,3,311,11693,3636523
1887,IL,60606,4,254,15700,3987800
1888,IL,60606,5,208,18178,3781024
1889,IL,60606,6,770,869701,669669770
1890,IL,60607,1,1379,394,543326
1891,IL,60607,2,1427,24460,34904420
1892,IL,60607,3,1863,70628,131579964
1893,IL,60607,4,1669,103595,172900055
1894,IL,60607,5,1138,98499,112091862
1895,IL,60607,6,2024,427946,866162704
1896,IL,60608,1,4883,21501,104989383
1897,IL,60608,2,8769,151253,1326337557
1898,IL,60608,3,7106,247587,1759353222
1899,IL,60608,4,2160,129975,280746000
1900,IL,60608,5,710,60701,43097710
1901,IL,60608,6,717,129373,92760441
1902,IL,60609,1,4429,22574,99980246
1903,IL,60609,2,7780,132531,1031091180
1904,IL,60609,3,5844,203058,1186670952
1905,IL,60609,4,1618,97738,158140084
1906,IL,60609,5,629,53922,33916938
1907,IL,60609,6,513,104730,53726490
1908,IL,60610,1,3427,-87208,-298861816
1909,IL,60610,2,4075,69715,284088625
1910,IL,60610,3,6389,239633,1531015237
1911,IL,60610,4,4473,274463,1227672999
1912,IL,60610,5,2605,224755,585486775
1913,IL,60610,6,7553,3455649,26100516897
1914,IL,60611,1,4380,-157894,-691575720
1915,IL,60611,2,1848,31900,58951200
1916,IL,60611,3,3086,116796,360432456
1917,IL,60611,4,2447,150041,367150327
1918,IL,60611,5,1547,134208,207619776
1919,IL,60611,6,5263,3499316,18416900108
1920,IL,60612,1,2696,13244,35705824
1921,IL,60612,2,4282,70338,301187316
1922,IL,60612,3,3208,113240,363273920
1923,IL,60612,4,1185,72252,85618620
1924,IL,60612,5,516,44218,22816488
1925,IL,60612,6,543,100243,54431949
1926,IL,60613,1,3522,1231,4335582
1927,IL,60613,2,5110,89151,455561610
1928,IL,60613,3,8312,306781,2549963672
1929,IL,60613,4,4626,281937,1304240562
1930,IL,60613,5,2178,186950,407177100
1931,IL,60613,6,3864,966961,3736337304
1932,IL,60614,1,4161,-62053,-258202533
1933,IL,60614,2,4587,80420,368886540
1934,IL,60614,3,8203,306528,2514449184
1935,IL,60614,4,5002,305432,1527770864
1936,IL,60614,5,2700,233260,629802000
1937,IL,60614,6,9052,4344025,39322114300
1938,IL,60615,1,3370,8274,27883380
1939,IL,60615,2,4301,73793,317383693
1940,IL,60615,3,4524,162811,736556964
1941,IL,60615,4,2141,130454,279302014
1942,IL,60615,5,1012,86684,87724208
1943,IL,60615,6,1731,458094,792960714
1944,IL,60616,1,4271,18293,78129403
1945,IL,60616,2,5150,87290,449543500
1946,IL,60616,3,5235,190077,995053095
1947,IL,60616,4,2583,156678,404699274
1948,IL,60616,5,1171,100831,118073101
1949,IL,60616,6,1400,269412,377176800
1950,IL,60617,1,6613,34197,226144761
1951,IL,60617,2,10965,185061,2029193865
1952,IL,60617,3,10405,371550,3865977750
1953,IL,60617,4,4262,258041,1099770742
1954,IL,60617,5,1562,133213,208078706
1955,IL,60617,6,1002,142032,142316064
1956,IL,60618,1,7066,19796,139878536
1957,IL,60618,2,10642,185456,1973622752
1958,IL,60618,3,11416,406952,4645764032
1959,IL,60618,4,4795,291454,1397521930
1960,IL,60618,5,2151,185208,398382408
1961,IL,60618,6,3512,761127,2673078024
1962,IL,60619,1,5656,29238,165370128
1963,IL,60619,2,9353,158096,1478671888
1964,IL,60619,3,8907,317363,2826752241
1965,IL,60619,4,3416,206799,706425384
1966,IL,60619,5,1029,87532,90070428
1967,IL,60619,6,783,114369,89550927
1968,IL,60620,1,6502,33176,215710352
1969,IL,60620,2,11156,187469,2091404164
1970,IL,60620,3,10076,357227,3599419252
1971,IL,60620,4,3435,206782,710296170
1972,IL,60620,5,1090,93321,101719890
1973,IL,60620,6,946,168105,159027330
1974,IL,60621,1,3439,19717,67806763
1975,IL,60621,2,5443,87287,475103141
1976,IL,60621,3,2798,96072,268809456
1977,IL,60621,4,622,36941,22977302
1978,IL,60621,5,142,12024,1707408
1979,IL,60621,6,49,6841,335209
1980,IL,60622,1,5329,9019,48062251
1981,IL,60622,2,8055,139904,1126926720
1982,IL,60622,3,9747,350890,3420124830
1983,IL,60622,4,4208,256405,1078952240
1984,IL,60622,5,1984,170917,339099328
1985,IL,60622,6,4116,920496,3788761536
1986,IL,60623,1,5641,30927,174459207
1987,IL,60623,2,11996,203825,2445084700
1988,IL,60623,3,7824,266915,2088342960
1989,IL,60623,4,1594,94614,150814716
1990,IL,60623,5,301,25490,7672490
1991,IL,60623,6,147,24496,3600912
1992,IL,60624,1,3488,19654,68553152
1993,IL,60624,2,6056,98185,594608360
1994,IL,60624,3,3573,122528,437792544
1995,IL,60624,4,755,44888,33890440
1996,IL,60624,5,173,14615,2528395
1997,IL,60624,6,81,11534,934254
1998,IL,60625,1,6029,19495,117535355
1999,IL,60625,2,9150,157798,1443851700
2000,IL,60625,3,9432,337469,3183007608
2001,IL,60625,4,3936,238870,940192320
2002,IL,60625,5,1724,147890,254962360
2003,IL,60625,6,2135,407915,870898525
2004,IL,60626,1,3756,12490,46912440
2005,IL,60626,2,5768,99870,576050160
2006,IL,60626,3,5939,211079,1253598181
2007,IL,60626,4,2392,145312,347586304
2008,IL,60626,5,940,80721,75877740
2009,IL,60626,6,976,161904,158018304
2010,IL,60627,1,22,104,2288
2011,IL,60627,2,46,742,34132
2012,IL,60627,3,48,1671,80208
2013,IL,60627,4,14,838,11732
2014,IL,60627,5,11,1209,13299
