,statefips,state,zipcode,agi_stub,#_of_returns,AGI,year,returns x AGI
0,17,IL,60601,1,1198,13834,2009,16573132
1,17,IL,60601,2,1130,42722,2009,48275860
2,17,IL,60601,3,1095,67895,2009,74345025
3,17,IL,60601,4,665,57333,2009,38126445
4,17,IL,60601,5,1172,162947,2009,190973884
5,17,IL,60601,6,779,730701,2009,569216079
6,17,IL,60602,1,697,5879,2009,4097663
7,17,IL,60602,2,233,8709,2009,2029197
8,17,IL,60602,3,143,8823,2009,1261689
9,17,IL,60602,4,97,8441,2009,818777
10,17,IL,60602,5,167,24416,2009,4077472
11,17,IL,60602,6,164,171566,2009,28136824
12,17,IL,60603,1,523,5450,2009,2850350
13,17,IL,60603,2,253,8983,2009,2272699
14,17,IL,60603,3,199,12348,2009,2457252
15,17,IL,60603,4,106,9165,2009,971490
16,17,IL,60603,5,192,26308,2009,5051136
17,17,IL,60603,6,247,475485,2009,117444795
18,17,IL,60604,1,384,3653,2009,1402752
19,17,IL,60604,2,171,6057,2009,1035747
20,17,IL,60604,3,96,5875,2009,564000
21,17,IL,60604,4,72,6321,2009,455112
22,17,IL,60604,5,112,16193,2009,1813616
23,17,IL,60604,6,168,773463,2009,129941784
24,17,IL,60605,1,2310,26846,2009,62014260
25,17,IL,60605,2,2095,80081,2009,167769695
26,17,IL,60605,3,2128,131927,2009,280740656
27,17,IL,60605,4,1465,127361,2009,186583865
28,17,IL,60605,5,2415,335280,2009,809701200
29,17,IL,60605,6,1086,491903,2009,534206658
30,17,IL,60606,1,440,4876,2009,2145440
31,17,IL,60606,2,363,14101,2009,5118663
32,17,IL,60606,3,355,21835,2009,7751425
33,17,IL,60606,4,245,21434,2009,5251330
34,17,IL,60606,5,466,65623,2009,30580318
35,17,IL,60606,6,402,649648,2009,261158496
36,17,IL,60607,1,2855,31485,2009,89889675
37,17,IL,60607,2,2293,87829,2009,201391897
38,17,IL,60607,3,1965,122114,2009,239954010
39,17,IL,60607,4,1407,121709,2009,171244563
40,17,IL,60607,5,2235,307676,2009,687655860
41,17,IL,60607,6,905,754639,2009,682948295
42,17,IL,60608,1,15420,205538,2009,3169395960
43,17,IL,60608,2,8098,282728,2009,2289531344
44,17,IL,60608,3,2730,164642,2009,449472660
45,17,IL,60608,4,1102,94347,2009,103970394
46,17,IL,60608,5,967,129206,2009,124942202
47,17,IL,60608,6,190,81133,2009,15415270
48,17,IL,60609,1,13467,176703,2009,2379659301
49,17,IL,60609,2,6253,217479,2009,1359896187
50,17,IL,60609,3,1953,118370,2009,231176610
51,17,IL,60609,4,726,62020,2009,45026520
52,17,IL,60609,5,682,88768,2009,60539776
53,17,IL,60609,6,73,34551,2009,2522223
54,17,IL,60610,1,5860,70049,2009,410487140
55,17,IL,60610,2,4834,181252,2009,876172168
56,17,IL,60610,3,3706,228595,2009,847173070
57,17,IL,60610,4,2114,182342,2009,385470988
58,17,IL,60610,5,3053,424414,2009,1295735942
59,17,IL,60610,6,2299,1724795,2009,3965303705
60,17,IL,60611,1,3316,37964,2009,125888624
61,17,IL,60611,2,3111,118136,2009,367521096
62,17,IL,60611,3,2832,174926,2009,495390432
63,17,IL,60611,4,1862,161265,2009,300275430
64,17,IL,60611,5,3000,420787,2009,1262361000
65,17,IL,60611,6,2961,2461815,2009,7289434215
66,17,IL,60612,1,7594,95994,2009,728978436
67,17,IL,60612,2,3674,130980,2009,481220520
68,17,IL,60612,3,1575,95827,2009,150927525
69,17,IL,60612,4,657,56691,2009,37245987
70,17,IL,60612,5,748,99174,2009,74182152
71,17,IL,60612,6,186,64805,2009,12053730
72,17,IL,60613,1,7875,99982,2009,787358250
73,17,IL,60613,2,7942,295950,2009,2350434900
74,17,IL,60613,3,5025,306205,2009,1538680125
75,17,IL,60613,4,2521,217435,2009,548153635
76,17,IL,60613,5,3268,447019,2009,1460858092
77,17,IL,60613,6,1566,772453,2009,1209661398
78,17,IL,60614,1,7723,90016,2009,695193568
79,17,IL,60614,2,7543,283665,2009,2139685095
80,17,IL,60614,3,5534,338498,2009,1873247932
81,17,IL,60614,4,3031,261593,2009,792888383
82,17,IL,60614,5,5033,709857,2009,3572710281
83,17,IL,60614,6,4780,3359292,2009,16057415760
84,17,IL,60615,1,7528,91304,2009,687336512
85,17,IL,60615,2,4782,172198,2009,823450836
86,17,IL,60615,3,2516,152938,2009,384792008
87,17,IL,60615,4,1256,108190,2009,135886640
88,17,IL,60615,5,1381,188585,2009,260435885
89,17,IL,60615,6,625,269855,2009,168659375
90,17,IL,60616,1,9521,114629,2009,1091382709
91,17,IL,60616,2,5570,202743,2009,1129278510
92,17,IL,60616,3,3252,199135,2009,647587020
93,17,IL,60616,4,1599,137625,2009,220062375
94,17,IL,60616,5,1793,239913,2009,430164009
95,17,IL,60616,6,481,194014,2009,93320734
96,17,IL,60617,1,17677,228437,2009,4038080849
97,17,IL,60617,2,10128,359484,2009,3640853952
98,17,IL,60617,3,4708,286076,2009,1346845808
99,17,IL,60617,4,1838,157217,2009,288964846
100,17,IL,60617,5,1212,154010,2009,186660120
101,17,IL,60617,6,77,22836,2009,1758372
102,17,IL,60618,1,17913,235259,2009,4214194467
103,17,IL,60618,2,11967,429367,2009,5138234889
104,17,IL,60618,3,5489,334446,2009,1835774094
105,17,IL,60618,4,2748,236853,2009,650872044
106,17,IL,60618,5,3427,465512,2009,1595309624
107,17,IL,60618,6,1379,567298,2009,782303942
108,17,IL,60619,1,15037,195065,2009,2933192405
109,17,IL,60619,2,8689,310656,2009,2699289984
110,17,IL,60619,3,4025,244274,2009,983202850
111,17,IL,60619,4,1476,125405,2009,185097780
112,17,IL,60619,5,910,115842,2009,105416220
113,17,IL,60619,6,73,25458,2009,1858434
114,17,IL,60620,1,17222,224846,2009,3872297812
115,17,IL,60620,2,9673,343495,2009,3322627135
116,17,IL,60620,3,3959,237442,2009,940032878
117,17,IL,60620,4,1195,101396,2009,121168220
118,17,IL,60620,5,625,78975,2009,49359375
119,17,IL,60620,6,63,24199,2009,1524537
120,17,IL,60621,1,9142,114815,2009,1049638730
121,17,IL,60621,2,2734,94280,2009,257761520
122,17,IL,60621,3,794,47549,2009,37753906
123,17,IL,60621,4,197,16740,2009,3297780
124,17,IL,60621,5,73,9772,2009,713356
125,17,IL,60621,6,0,0,2009,0
126,17,IL,60622,1,10328,131747,2009,1360683016
127,17,IL,60622,2,7732,282033,2009,2180679156
128,17,IL,60622,3,4030,246116,2009,991847480
129,17,IL,60622,4,1970,169890,2009,334683300
130,17,IL,60622,5,2812,390501,2009,1098088812
131,17,IL,60622,6,1436,669246,2009,961037256
132,17,IL,60623,1,19977,275011,2009,5493894747
133,17,IL,60623,2,9045,308983,2009,2794751235
134,17,IL,60623,3,1860,111126,2009,206694360
135,17,IL,60623,4,455,38474,2009,17505670
136,17,IL,60623,5,234,28898,2009,6762132
137,17,IL,60623,6,24,11961,2009,287064
138,17,IL,60624,1,9826,127266,2009,1250515716
139,17,IL,60624,2,3647,126311,2009,460656217
140,17,IL,60624,3,930,55657,2009,51761010
141,17,IL,60624,4,262,22377,2009,5862774
142,17,IL,60624,5,133,20820,2009,2769060
143,17,IL,60624,6,0,0,2009,0
144,17,IL,60625,1,15356,196765,2009,3021523340
145,17,IL,60625,2,9603,345521,2009,3318038163
