,statefips,state,zipcode,agi_stub,#_of_returns,AGI,year,returns x AGI
146,17,IL,60625,3,4566,277678,2009,1267877748
147,17,IL,60625,4,2329,200764,2009,467579356
148,17,IL,60625,5,2468,328658,2009,811127944
149,17,IL,60625,6,627,221555,2009,138914985
150,17,IL,60626,1,9893,127705,2009,1263385565
151,17,IL,60626,2,6198,220924,2009,1369286952
152,17,IL,60626,3,2864,174437,2009,499587568
153,17,IL,60626,4,1315,113067,2009,148683105
154,17,IL,60626,5,1245,161700,2009,201316500
155,17,IL,60626,6,178,61749,2009,10991322
156,17,IL,60628,1,17135,221761,2009,3799874735
157,17,IL,60628,2,9174,327029,2009,3000164046
158,17,IL,60628,3,4040,244571,2009,988066840
159,17,IL,60628,4,1382,117516,2009,162407112
160,17,IL,60628,5,725,90012,2009,65258700
161,17,IL,60628,6,28,8326,2009,233128
162,17,IL,60629,1,23699,323409,2009,7664469891
163,17,IL,60629,2,14089,493332,2009,6950554548
164,17,IL,60629,3,4714,284614,2009,1341670396
165,17,IL,60629,4,1673,142103,2009,237738319
166,17,IL,60629,5,833,103134,2009,85910622
167,17,IL,60629,6,47,15769,2009,741143
168,17,IL,60630,1,10924,131553,2009,1437084972
169,17,IL,60630,2,6831,247402,2009,1690003062
170,17,IL,60630,3,3930,241483,2009,949028190
171,17,IL,60630,4,2214,191006,2009,422887284
172,17,IL,60630,5,2407,314187,2009,756248109
173,17,IL,60630,6,273,84534,2009,23077782
174,17,IL,60631,1,4623,51480,2009,237992040
175,17,IL,60631,2,2968,109327,2009,324482536
176,17,IL,60631,3,2517,156352,2009,393537984
177,17,IL,60631,4,1756,151881,2009,266703036
178,17,IL,60631,5,2652,355982,2009,944064264
179,17,IL,60631,6,381,125807,2009,47932467
180,17,IL,60632,1,18177,253792,2009,4613177184
181,17,IL,60632,2,11092,384105,2009,4260492660
182,17,IL,60632,3,3063,183260,2009,561325380
183,17,IL,60632,4,869,73929,2009,64244301
184,17,IL,60632,5,472,58463,2009,27594536
185,17,IL,60632,6,42,16002,2009,672084
186,17,IL,60633,1,2224,27863,2009,61967312
187,17,IL,60633,2,1577,57643,2009,90903011
188,17,IL,60633,3,923,56646,2009,52284258
189,17,IL,60633,4,450,38537,2009,17341650
190,17,IL,60633,5,323,41959,2009,13552757
191,17,IL,60633,6,0,0,2009,0
192,17,IL,60634,1,17145,204559,2009,3507164055
193,17,IL,60634,2,9648,345894,2009,3337185312
194,17,IL,60634,3,4983,306353,2009,1526556999
195,17,IL,60634,4,2656,229140,2009,608595840
196,17,IL,60634,5,2371,301434,2009,714700014
197,17,IL,60634,6,175,55553,2009,9721775
198,17,IL,60636,1,11220,140385,2009,1575119700
199,17,IL,60636,2,4162,144118,2009,599819116
200,17,IL,60636,3,1077,64441,2009,69402957
201,17,IL,60636,4,265,22201,2009,5883265
202,17,IL,60636,5,95,11990,2009,1139050
203,17,IL,60636,6,0,0,2009,0
204,17,IL,60637,1,10376,129939,2009,1348247064
205,17,IL,60637,2,4440,156722,2009,695845680
206,17,IL,60637,3,1863,112879,2009,210293577
207,17,IL,60637,4,787,67732,2009,53305084
208,17,IL,60637,5,847,114370,2009,96871390
209,17,IL,60637,6,417,184547,2009,76956099
210,17,IL,60638,1,10193,126396,2009,1288354428
211,17,IL,60638,2,7062,255475,2009,1804164450
212,17,IL,60638,3,4531,279893,2009,1268195183
213,17,IL,60638,4,2469,212955,2009,525785895
214,17,IL,60638,5,2255,287814,2009,649020570
215,17,IL,60638,6,135,44751,2009,6041385
216,17,IL,60639,1,20756,288144,2009,5980716864
217,17,IL,60639,2,11321,388839,2009,4402046319
218,17,IL,60639,3,2933,175759,2009,515501147
219,17,IL,60639,4,910,77800,2009,70798000
220,17,IL,60639,5,464,57803,2009,26820592
221,17,IL,60639,6,25,7278,2009,181950
222,17,IL,60640,1,12810,161628,2009,2070454680
223,17,IL,60640,2,9315,340080,2009,3167845200
224,17,IL,60640,3,5090,311844,2009,1587285960
225,17,IL,60640,4,2727,235657,2009,642636639
226,17,IL,60640,5,3018,403657,2009,1218236826
227,17,IL,60640,6,777,289761,2009,225144297
228,17,IL,60641,1,16007,201088,2009,3218815616
229,17,IL,60641,2,9245,326693,2009,3020276785
230,17,IL,60641,3,3664,224342,2009,821989088
231,17,IL,60641,4,1667,143391,2009,239032797
232,17,IL,60641,5,1681,220561,2009,370763041
233,17,IL,60641,6,290,100683,2009,29198070
234,17,IL,60642,1,2638,35026,2009,92398588
235,17,IL,60642,2,2479,90939,2009,225437781
236,17,IL,60642,3,1465,89624,2009,131299160
237,17,IL,60642,4,761,65928,2009,50171208
238,17,IL,60642,5,1093,151428,2009,165510804
239,17,IL,60642,6,381,148200,2009,56464200
240,17,IL,60643,1,9743,119300,2009,1162339900
241,17,IL,60643,2,6186,224625,2009,1389530250
242,17,IL,60643,3,3765,231613,2009,872022945
243,17,IL,60643,4,1820,156670,2009,285139400
244,17,IL,60643,5,2269,309102,2009,701352438
245,17,IL,60643,6,577,223345,2009,128870065
246,17,IL,60644,1,12694,166956,2009,2119339464
247,17,IL,60644,2,5254,182002,2009,956238508
248,17,IL,60644,3,1531,91855,2009,140630005
249,17,IL,60644,4,346,29223,2009,10111158
250,17,IL,60644,5,198,25278,2009,5005044
251,17,IL,60644,6,22,8458,2009,186076
252,17,IL,60645,1,8567,103277,2009,884774059
253,17,IL,60645,2,4973,178194,2009,886158762
254,17,IL,60645,3,2491,153141,2009,381474231
255,17,IL,60645,4,1390,119476,2009,166071640
256,17,IL,60645,5,1560,207941,2009,324387960
257,17,IL,60645,6,351,148693,2009,52191243
258,17,IL,60646,1,4308,47034,2009,202622472
259,17,IL,60646,2,2390,87508,2009,209144120
260,17,IL,60646,3,1886,117001,2009,220663886
261,17,IL,60646,4,1366,118378,2009,161704348
262,17,IL,60646,5,2401,327880,2009,787239880
263,17,IL,60646,6,731,296779,2009,216945449
264,17,IL,60647,1,18074,241997,2009,4373853778
265,17,IL,60647,2,11587,411839,2009,4771978493
266,17,IL,60647,3,4781,291400,2009,1393183400
267,17,IL,60647,4,2234,192412,2009,429848408
268,17,IL,60647,5,2799,381364,2009,1067437836
269,17,IL,60647,6,1099,391765,2009,430549735
270,17,IL,60649,1,10596,138291,2009,1465331436
271,17,IL,60649,2,5835,206258,2009,1203515430
272,17,IL,60649,3,2230,134751,2009,300494730
273,17,IL,60649,4,764,65421,2009,49981644
274,17,IL,60649,5,588,76575,2009,45026100
275,17,IL,60649,6,119,40741,2009,4848179
276,17,IL,60651,1,17906,245376,2009,4393702656
277,17,IL,60651,2,7832,273088,2009,2138825216
278,17,IL,60651,3,2212,131965,2009,291906580
279,17,IL,60651,4,591,49865,2009,29470215
280,17,IL,60651,5,296,41554,2009,12299984
281,17,IL,60651,6,0,0,2009,0
282,17,IL,60652,1,7291,94638,2009,690005658
283,17,IL,60652,2,5480,199336,2009,1092361280
284,17,IL,60652,3,3438,211200,2009,726105600
285,17,IL,60652,4,1611,138019,2009,222348609
286,17,IL,60652,5,1189,150371,2009,178791119
287,17,IL,60652,6,63,18387,2009,1158381
288,17,IL,60653,1,6119,76703,2009,469345657
289,17,IL,60653,2,3118,110556,2009,344713608
290,17,IL,60653,3,1362,83256,2009,113394672
291,17,IL,60653,4,682,58398,2009,39827436
292,17,IL,60653,5,661,87369,2009,57750909
293,17,IL,60653,6,123,38612,2009,4749276
294,17,IL,60654,1,1644,20062,2009,32981928
295,17,IL,60654,2,1751,66898,2009,117138398
296,17,IL,60654,3,1584,98015,2009,155255760
297,17,IL,60654,4,1063,92010,2009,97806630
298,17,IL,60654,5,1873,260958,2009,488774334
299,17,IL,60654,6,1200,783151,2009,939781200
300,17,IL,60655,1,3915,41296,2009,161673840
301,17,IL,60655,2,2350,88113,2009,207065550
302,17,IL,60655,3,2654,167036,2009,443313544
303,17,IL,60655,4,2021,175221,2009,354121641
304,17,IL,60655,5,2702,352183,2009,951598466
305,17,IL,60655,6,193,58285,2009,11249005
306,17,IL,60656,1,5490,64641,2009,354879090
307,17,IL,60656,2,3387,123593,2009,418609491
308,17,IL,60656,3,2266,139996,2009,317230936
309,17,IL,60656,4,1379,118605,2009,163556295
310,17,IL,60656,5,1539,199689,2009,307321371
311,17,IL,60656,6,157,56203,2009,8823871
312,17,IL,60657,1,9727,122746,2009,1193950342
313,17,IL,60657,2,10473,393768,2009,4123932264
314,17,IL,60657,3,7035,428473,2009,3014307555
315,17,IL,60657,4,3530,303511,2009,1071393830
316,17,IL,60657,5,5352,747050,2009,3998211600
317,17,IL,60657,6,3195,1472145,2009,4703503275
318,17,IL,60659,1,8068,97277,2009,784830836
319,17,IL,60659,2,4120,147158,2009,606290960
320,17,IL,60659,3,2023,123800,2009,250447400
321,17,IL,60659,4,962,82392,2009,79261104
322,17,IL,60659,5,987,129263,2009,127582581
323,17,IL,60659,6,170,117089,2009,19905130
324,17,IL,60660,1,8705,110024,2009,957758920
325,17,IL,60660,2,6097,220617,2009,1345101849
326,17,IL,60660,3,3137,191625,2009,601127625
327,17,IL,60660,4,1604,137329,2009,220275716
328,17,IL,60660,5,1556,207399,2009,322712844
329,17,IL,60660,6,343,146376,2009,50206968
330,17,IL,60661,1,849,10222,2009,8678478
331,17,IL,60661,2,1018,39251,2009,39957518
332,17,IL,60661,3,1120,69340,2009,77660800
333,17,IL,60661,4,652,56225,2009,36658700
334,17,IL,60661,5,985,133886,2009,131877710
335,17,IL,60661,6,326,262312,2009,85513712
336,17,IL,60706,1,5049,59682,2009,301334418
337,17,IL,60706,2,3101,112677,2009,349411377
338,17,IL,60706,3,1737,106585,2009,185138145
339,17,IL,60706,4,922,79602,2009,73393044
340,17,IL,60706,5,848,109375,2009,92750000
341,17,IL,60706,6,102,35826,2009,3654252
342,17,IL,60707,1,8859,108102,2009,957675618
343,17,IL,60707,2,5590,201651,2009,1127229090
344,17,IL,60707,3,2957,180802,2009,534631514
345,17,IL,60707,4,1569,135172,2009,212084868
346,17,IL,60707,5,1628,212394,2009,345777432
347,17,IL,60707,6,178,60798,2009,10822044
348,17,IL,60712,1,2226,23313,2009,51894738
349,17,IL,60712,2,1061,38690,2009,41050090
350,17,IL,60712,3,815,50538,2009,41188470
351,17,IL,60712,4,555,47980,2009,26628900
352,17,IL,60712,5,902,123744,2009,111617088
353,17,IL,60712,6,529,300944,2009,159199376
354,17,IL,60714,1,6229,72554,2009,451938866
355,17,IL,60714,2,3577,130141,2009,465514357
356,17,IL,60714,3,2281,140061,2009,319479141
357,17,IL,60714,4,1302,112926,2009,147029652
358,17,IL,60714,5,1394,183066,2009,255194004
359,17,IL,60714,6,202,73800,2009,14907600
360,17,IL,60803,1,4326,53876,2009,233067576
361,17,IL,60803,2,3059,111747,2009,341834073
362,17,IL,60803,3,1826,112056,2009,204614256
363,17,IL,60803,4,988,85751,2009,84721988
364,17,IL,60803,5,762,93907,2009,71557134
365,17,IL,60803,6,35,13076,2009,457660
366,17,IL,60804,1,17059,237847,2009,4057431973
367,17,IL,60804,2,10097,352735,2009,3561565295
368,17,IL,60804,3,2862,171398,2009,490541076
369,17,IL,60804,4,844,71874,2009,60661656
370,17,IL,60804,5,370,45617,2009,16878290
371,17,IL,60804,6,23,7241,2009,166543
372,17,IL,60805,1,3516,38950,2009,136948200
373,17,IL,60805,2,2309,84716,2009,195609244
374,17,IL,60805,3,1665,102793,2009,171150345
375,17,IL,60805,4,1078,92854,2009,100096612
376,17,IL,60805,5,1243,161440,2009,200669920
377,17,IL,60805,6,128,50307,2009,6439296
378,17,IL,60827,1,6322,81557,2009,515603354
379,17,IL,60827,2,3298,116520,2009,384282960
380,17,IL,60827,3,1234,74165,2009,91519610
381,17,IL,60827,4,405,34704,2009,14055120
382,17,IL,60827,5,194,26004,2009,5044776
383,17,IL,60827,6,0,0,2009,0
