,statefips,state,zipcode,agi_stub,#_of_returns,AGI,year,returns x AGI
110,17,IL,60619,3,3819,232742,2010,888841698
111,17,IL,60619,4,1652,140066,2010,231389032
112,17,IL,60619,5,982,124110,2010,121876020
113,17,IL,60619,6,78,21561,2010,1681758
114,17,IL,60620,1,17821,232618,2010,4145485378
115,17,IL,60620,2,9284,330284,2010,3066356656
116,17,IL,60620,3,3793,227978,2010,864720554
117,17,IL,60620,4,1352,114565,2010,154891880
118,17,IL,60620,5,631,79131,2010,49931661
119,17,IL,60620,6,36,10751,2010,387036
120,17,IL,60621,1,9779,123998,2010,1212576442
121,17,IL,60621,2,2679,92089,2010,246706431
122,17,IL,60621,3,772,46576,2010,35956672
123,17,IL,60621,4,219,18395,2010,4028505
124,17,IL,60621,5,87,11569,2010,1006503
125,17,IL,60621,6,0,0,2010,0
126,17,IL,60622,1,10229,132153,2010,1351793037
127,17,IL,60622,2,7602,277457,2010,2109228114
128,17,IL,60622,3,4024,245639,2010,988451336
129,17,IL,60622,4,2008,172705,2010,346791640
130,17,IL,60622,5,2895,402617,2010,1165576215
131,17,IL,60622,6,1486,699950,2010,1040125700
132,17,IL,60623,1,21142,289317,2010,6116740014
133,17,IL,60623,2,9282,316492,2010,2937678744
134,17,IL,60623,3,1977,118192,2010,233665584
135,17,IL,60623,4,537,45316,2010,24334692
136,17,IL,60623,5,229,29140,2010,6673060
137,17,IL,60623,6,21,16013,2010,336273
138,17,IL,60624,1,10983,142732,2010,1567625556
139,17,IL,60624,2,3620,124623,2010,451135260
140,17,IL,60624,3,918,55111,2010,50591898
141,17,IL,60624,4,278,23629,2010,6568862
142,17,IL,60624,5,159,22202,2010,3530118
143,17,IL,60624,6,0,0,2010,0
144,17,IL,60625,1,15365,199095,2010,3059094675
145,17,IL,60625,2,9621,345794,2010,3326884074
146,17,IL,60625,3,4639,283429,2010,1314827131
147,17,IL,60625,4,2362,203437,2010,480518194
148,17,IL,60625,5,2626,350316,2010,919929816
149,17,IL,60625,6,754,286851,2010,216285654
150,17,IL,60626,1,10394,137085,2010,1424861490
151,17,IL,60626,2,6158,219751,2010,1353226658
152,17,IL,60626,3,2814,172329,2010,484933806
153,17,IL,60626,4,1303,112186,2010,146178358
154,17,IL,60626,5,1284,168213,2010,215985492
155,17,IL,60626,6,191,64232,2010,12268312
156,17,IL,60628,1,17529,228154,2010,3999311466
157,17,IL,60628,2,8878,315947,2010,2804977466
158,17,IL,60628,3,3785,228734,2010,865758190
159,17,IL,60628,4,1528,129689,2010,198164792
160,17,IL,60628,5,766,95202,2010,72924732
161,17,IL,60628,6,38,14604,2010,554952
162,17,IL,60629,1,23724,325594,2010,7724392056
163,17,IL,60629,2,14159,495820,2010,7020315380
164,17,IL,60629,3,4783,289281,2010,1383631023
165,17,IL,60629,4,1757,149240,2010,262214680
166,17,IL,60629,5,904,111161,2010,100489544
167,17,IL,60629,6,45,12452,2010,560340
168,17,IL,60630,1,10876,132835,2010,1444713460
169,17,IL,60630,2,6691,241962,2010,1618967742
170,17,IL,60630,3,3874,238197,2010,922775178
171,17,IL,60630,4,2323,200133,2010,464908959
172,17,IL,60630,5,2561,335092,2010,858170612
173,17,IL,60630,6,326,100230,2010,32674980
174,17,IL,60631,1,4562,51620,2010,235490440
175,17,IL,60631,2,2945,108107,2010,318375115
176,17,IL,60631,3,2380,147984,2010,352201920
177,17,IL,60631,4,1825,157505,2010,287446625
178,17,IL,60631,5,2826,384676,2010,1087094376
179,17,IL,60631,6,462,145211,2010,67087482
180,17,IL,60632,1,18666,261561,2010,4882297626
181,17,IL,60632,2,11396,396211,2010,4515220556
182,17,IL,60632,3,3165,189718,2010,600457470
183,17,IL,60632,4,928,78894,2010,73213632
184,17,IL,60632,5,481,59857,2010,28791217
185,17,IL,60632,6,37,22396,2010,828652
186,17,IL,60633,1,2206,28854,2010,63651924
187,17,IL,60633,2,1561,56886,2010,88799046
188,17,IL,60633,3,898,55370,2010,49722260
189,17,IL,60633,4,453,38885,2010,17614905
190,17,IL,60633,5,355,46028,2010,16339940
191,17,IL,60633,6,0,0,2010,0
192,17,IL,60634,1,17089,205123,2010,3505346947
193,17,IL,60634,2,9603,343838,2010,3301876314
194,17,IL,60634,3,4984,306043,2010,1525318312
195,17,IL,60634,4,2812,241788,2010,679907856
196,17,IL,60634,5,2528,324150,2010,819451200
197,17,IL,60634,6,193,56908,2010,10983244
198,17,IL,60636,1,11489,146282,2010,1680633898
199,17,IL,60636,2,3977,138157,2010,549450389
200,17,IL,60636,3,1090,65572,2010,71473480
201,17,IL,60636,4,281,23541,2010,6615021
202,17,IL,60636,5,99,12540,2010,1241460
203,17,IL,60636,6,0,0,2010,0
204,17,IL,60637,1,10967,136271,2010,1494484057
205,17,IL,60637,2,4454,157282,2010,700534028
206,17,IL,60637,3,1794,108971,2010,195493974
207,17,IL,60637,4,842,72091,2010,60700622
208,17,IL,60637,5,871,118912,2010,103572352
209,17,IL,60637,6,423,258097,2010,109175031
210,17,IL,60638,1,10098,126317,2010,1275549066
211,17,IL,60638,2,6960,252476,2010,1757232960
212,17,IL,60638,3,4312,266311,2010,1148333032
213,17,IL,60638,4,2668,228692,2010,610150256
214,17,IL,60638,5,2472,320572,2010,792453984
215,17,IL,60638,6,133,48670,2010,6473110
216,17,IL,60639,1,20857,290783,2010,6064861031
217,17,IL,60639,2,11407,393822,2010,4492327554
218,17,IL,60639,3,3000,180376,2010,541128000
219,17,IL,60639,4,950,80490,2010,76465500
220,17,IL,60639,5,507,63335,2010,32110845
221,17,IL,60639,6,31,8841,2010,274071
222,17,IL,60640,1,12927,164260,2010,2123389020
223,17,IL,60640,2,9049,328370,2010,2971420130
224,17,IL,60640,3,5148,315415,2010,1623756420
225,17,IL,60640,4,2733,235630,2010,643976790
226,17,IL,60640,5,3162,425235,2010,1344593070
227,17,IL,60640,6,873,346871,2010,302818383
228,17,IL,60641,1,16002,203717,2010,3259879434
229,17,IL,60641,2,9281,327893,2010,3043174933
230,17,IL,60641,3,3723,227238,2010,846007074
231,17,IL,60641,4,1795,153562,2010,275643790
232,17,IL,60641,5,1763,232151,2010,409282213
233,17,IL,60641,6,323,118555,2010,38293265
234,17,IL,60642,1,3038,40242,2010,122255196
235,17,IL,60642,2,2670,98480,2010,262941600
236,17,IL,60642,3,1662,101489,2010,168674718
237,17,IL,60642,4,816,70082,2010,57186912
238,17,IL,60642,5,1195,165557,2010,197840615
239,17,IL,60642,6,475,166431,2010,79054725
240,17,IL,60643,1,10172,126073,2010,1282414556
241,17,IL,60643,2,6089,221295,2010,1347465255
242,17,IL,60643,3,3600,221075,2010,795870000
243,17,IL,60643,4,2083,178620,2010,372065460
244,17,IL,60643,5,2475,335236,2010,829709100
245,17,IL,60643,6,651,257435,2010,167590185
246,17,IL,60644,1,13634,179850,2010,2452074900
247,17,IL,60644,2,5267,182107,2010,959157569
248,17,IL,60644,3,1415,84811,2010,120007565
249,17,IL,60644,4,433,36452,2010,15783716
250,17,IL,60644,5,231,31639,2010,7308609
251,17,IL,60644,6,0,0,2010,0
252,17,IL,60645,1,8631,106769,2010,921523239
253,17,IL,60645,2,4787,172231,2010,824469797
254,17,IL,60645,3,2557,156511,2010,400198627
255,17,IL,60645,4,1402,120972,2010,169602744
256,17,IL,60645,5,1574,210395,2010,331161730
257,17,IL,60645,6,354,166689,2010,59007906
258,17,IL,60646,1,4180,46618,2010,194863240
259,17,IL,60646,2,2397,87368,2010,209421096
260,17,IL,60646,3,1785,110948,2010,198042180
261,17,IL,60646,4,1405,121859,2010,171211895
262,17,IL,60646,5,2513,346054,2010,869633702
263,17,IL,60646,6,810,303483,2010,245821230
264,17,IL,60647,1,18314,246376,2010,4512130064
265,17,IL,60647,2,11669,415205,2010,4845027145
266,17,IL,60647,3,4951,300792,2010,1489221192
267,17,IL,60647,4,2370,203774,2010,482944380
268,17,IL,60647,5,3031,414503,2010,1256358593
269,17,IL,60647,6,1244,453689,2010,564389116
270,17,IL,60649,1,11168,146052,2010,1631108736
271,17,IL,60649,2,5668,200589,2010,1136938452
272,17,IL,60649,3,2202,133290,2010,293504580
273,17,IL,60649,4,831,70976,2010,58981056
274,17,IL,60649,5,539,70890,2010,38209710
275,17,IL,60649,6,127,42568,2010,5406136
276,17,IL,60651,1,18831,257162,2010,4842617622
277,17,IL,60651,2,7732,269613,2010,2084647716
278,17,IL,60651,3,2211,132580,2010,293134380
279,17,IL,60651,4,603,51100,2010,30813300
280,17,IL,60651,5,333,45812,2010,15255396
281,17,IL,60651,6,0,0,2010,0
282,17,IL,60652,1,7433,97156,2010,722160548
283,17,IL,60652,2,5427,195868,2010,1062975636
284,17,IL,60652,3,3308,202754,2010,670710232
285,17,IL,60652,4,1772,151678,2010,268773416
286,17,IL,60652,5,1270,161449,2010,205040230
287,17,IL,60652,6,68,20962,2010,1425416
288,17,IL,60653,1,6449,83599,2010,539129951
289,17,IL,60653,2,3048,108353,2010,330259944
290,17,IL,60653,3,1384,84458,2010,116889872
291,17,IL,60653,4,724,62082,2010,44947368
292,17,IL,60653,5,673,89938,2010,60528274
293,17,IL,60653,6,127,42923,2010,5451221
294,17,IL,60654,1,1702,20975,2010,35699450
295,17,IL,60654,2,1840,69770,2010,128376800
296,17,IL,60654,3,1820,112033,2010,203900060
297,17,IL,60654,4,1220,106112,2010,129456640
298,17,IL,60654,5,2130,298501,2010,635807130
299,17,IL,60654,6,1456,1152946,2010,1678689376
300,17,IL,60655,1,3796,41854,2010,158877784
301,17,IL,60655,2,2287,85031,2010,194465897
302,17,IL,60655,3,2400,151761,2010,364226400
303,17,IL,60655,4,2082,179431,2010,373575342
304,17,IL,60655,5,2962,390653,2010,1157114186
305,17,IL,60655,6,238,69098,2010,16445324
306,17,IL,60656,1,5524,66090,2010,365081160
307,17,IL,60656,2,3303,120333,2010,397459899
308,17,IL,60656,3,2242,138781,2010,311147002
