,STATEFIPS,STATE,zipcode,agi_stub,#_of_returns,AGI,returns x AGI
0,17,IL,60601,1,1010,12198,12319980
1,17,IL,60601,2,1090,41107,44806630
2,17,IL,60601,3,1230,76093,93594390
3,17,IL,60601,4,930,80975,75306750
4,17,IL,60601,5,1770,247523,438115710
5,17,IL,60601,6,1290,1256542,1620939180
6,17,IL,60602,1,410,4025,1650250
7,17,IL,60602,2,200,7556,1511200
8,17,IL,60602,3,160,10211,1633760
9,17,IL,60602,4,110,9881,1086910
10,17,IL,60602,5,190,26785,5089150
11,17,IL,60602,6,230,184931,42534130
12,17,IL,60603,1,370,3060,1132200
13,17,IL,60603,2,200,7442,1488400
14,17,IL,60603,3,180,10795,1943100
15,17,IL,60603,4,110,9618,1057980
16,17,IL,60603,5,280,40124,11234720
17,17,IL,60603,6,420,455604,191353680
18,17,IL,60604,1,150,1626,243900
19,17,IL,60604,2,90,3162,284580
20,17,IL,60604,3,90,5581,502290
21,17,IL,60604,4,50,4607,230350
22,17,IL,60604,5,120,16785,2014200
23,17,IL,60604,6,140,365944,51232160
24,17,IL,60605,1,1990,22845,45461550
25,17,IL,60605,2,1760,67079,118059040
26,17,IL,60605,3,2200,137446,302381200
27,17,IL,60605,4,1810,157510,285093100
28,17,IL,60605,5,3320,464353,1541651960
29,17,IL,60605,6,1860,858794,1597356840
30,17,IL,60606,1,300,3292,987600
31,17,IL,60606,2,320,12109,3874880
32,17,IL,60606,3,420,25720,10802400
33,17,IL,60606,4,330,28293,9336690
34,17,IL,60606,5,660,92932,61335120
35,17,IL,60606,6,550,874799,481139450
36,17,IL,60607,1,2640,31018,81887520
37,17,IL,60607,2,1830,69352,126914160
38,17,IL,60607,3,1990,124425,247605750
39,17,IL,60607,4,1710,148358,253692180
40,17,IL,60607,5,2930,410709,1203377370
41,17,IL,60607,6,1660,716997,1190215020
42,17,IL,60608,1,14790,194247,2872913130
43,17,IL,60608,2,9080,321331,2917685480
44,17,IL,60608,3,3280,197749,648616720
45,17,IL,60608,4,1530,131043,200495790
46,17,IL,60608,5,1440,191928,276376320
47,17,IL,60608,6,320,118458,37906560
48,17,IL,60609,1,13220,175002,2313526440
49,17,IL,60609,2,6680,234834,1568691120
50,17,IL,60609,3,2220,134723,299085060
51,17,IL,60609,4,1000,86241,86241000
52,17,IL,60609,5,960,127884,122768640
53,17,IL,60609,6,180,67268,12108240
54,17,IL,60610,1,4490,54535,244862150
55,17,IL,60610,2,3870,146683,567663210
56,17,IL,60610,3,4110,253636,1042443960
57,17,IL,60610,4,2670,230646,615824820
58,17,IL,60610,5,3910,542725,2122054750
59,17,IL,60610,6,3120,2400195,7488608400
60,17,IL,60611,1,2540,29688,75407520
61,17,IL,60611,2,2610,98905,258142050
62,17,IL,60611,3,2970,183896,546171120
63,17,IL,60611,4,2190,189859,415791210
64,17,IL,60611,5,3930,554929,2180870970
65,17,IL,60611,6,4310,7818902,33699467620
66,17,IL,60612,1,7160,90928,651044480
67,17,IL,60612,2,3540,127418,451059720
68,17,IL,60612,3,1730,105393,182329890
69,17,IL,60612,4,880,75612,66538560
70,17,IL,60612,5,980,131889,129251220
71,17,IL,60612,6,340,119241,40541940
72,17,IL,60613,1,7030,91424,642710720
73,17,IL,60613,2,7620,286046,2179670520
74,17,IL,60613,3,5430,332173,1803699390
75,17,IL,60613,4,3100,266747,826915700
76,17,IL,60613,5,4270,588037,2510917990
77,17,IL,60613,6,2360,1225791,2892866760
78,17,IL,60614,1,6160,73855,454946800
79,17,IL,60614,2,7240,277232,2007159680
80,17,IL,60614,3,6930,426317,2954376810
81,17,IL,60614,4,3850,331556,1276490600
82,17,IL,60614,5,5990,846437,5070157630
83,17,IL,60614,6,6560,5425363,35590381280
84,17,IL,60615,1,7350,90930,668335500
85,17,IL,60615,2,4650,168549,783752850
86,17,IL,60615,3,2640,161773,427080720
87,17,IL,60615,4,1490,128079,190837710
88,17,IL,60615,5,1690,229493,387843170
89,17,IL,60615,6,870,410960,357535200
90,17,IL,60616,1,9840,119737,1178212080
91,17,IL,60616,2,5540,201046,1113794840
92,17,IL,60616,3,3400,208753,709760200
93,17,IL,60616,4,2060,177913,366500780
94,17,IL,60616,5,2520,337824,851316480
95,17,IL,60616,6,840,330187,277357080
96,17,IL,60617,1,17070,220217,3759104190
97,17,IL,60617,2,9210,330459,3043527390
98,17,IL,60617,3,4430,270586,1198695980
99,17,IL,60617,4,2100,179343,376620300
100,17,IL,60617,5,1660,212726,353125160
101,17,IL,60617,6,120,39236,4708320
102,17,IL,60618,1,16300,211793,3452225900
103,17,IL,60618,2,11970,432068,5171853960
104,17,IL,60618,3,6080,370852,2254780160
105,17,IL,60618,4,3350,289095,968468250
106,17,IL,60618,5,4630,636380,2946439400
107,17,IL,60618,6,2490,1053199,2622465510
108,17,IL,60619,1,14940,191728,2864416320
109,17,IL,60619,2,7680,274136,2105364480
110,17,IL,60619,3,3630,221429,803787270
111,17,IL,60619,4,1670,142453,237896510
112,17,IL,60619,5,1160,148849,172664840
