,STATEFIPS,STATE,zipcode,agi_stub,#_of_returns,AGI,returns x AGI
1584,17,IL,60601,1,1010,11808,11926080
1585,17,IL,60601,2,1010,38152,38533520
1586,17,IL,60601,3,1330,83272,110751760
1587,17,IL,60601,4,1110,96395,106998450
1588,17,IL,60601,5,2060,289100,595546000
1589,17,IL,60601,6,1530,2085490,3190799700
1590,17,IL,60602,1,340,3058,1039720
1591,17,IL,60602,2,180,6639,1195020
1592,17,IL,60602,3,140,8651,1211140
1593,17,IL,60602,4,110,9325,1025750
1594,17,IL,60602,5,170,24517,4167890
1595,17,IL,60602,6,240,307222,73733280
1596,17,IL,60603,1,220,2091,460020
1597,17,IL,60603,2,140,5334,746760
1598,17,IL,60603,3,120,7725,927000
1599,17,IL,60603,4,110,9786,1076460
1600,17,IL,60603,5,250,36613,9153250
1601,17,IL,60603,6,430,574795,247161850
1602,17,IL,60604,1,140,1555,217700
1603,17,IL,60604,2,90,3191,287190
1604,17,IL,60604,3,60,3778,226680
1605,17,IL,60604,4,60,5210,312600
1606,17,IL,60604,5,120,16530,1983600
1607,17,IL,60604,6,130,273252,35522760
1608,17,IL,60605,1,2110,23621,49840310
1609,17,IL,60605,2,1840,69808,128446720
1610,17,IL,60605,3,2500,156445,391112500
1611,17,IL,60605,4,2110,183470,387121700
1612,17,IL,60605,5,3770,529210,1995121700
1613,17,IL,60605,6,2190,979832,2145832080
1614,17,IL,60606,1,290,3676,1066040
1615,17,IL,60606,2,340,13184,4482560
1616,17,IL,60606,3,400,25207,10082800
1617,17,IL,60606,4,370,32070,11865900
1618,17,IL,60606,5,670,95716,64129720
1619,17,IL,60606,6,540,939749,507464460
1620,17,IL,60607,1,2120,25796,54687520
1621,17,IL,60607,2,1730,65132,112678360
1622,17,IL,60607,3,2050,128030,262461500
1623,17,IL,60607,4,1720,148942,256180240
1624,17,IL,60607,5,3290,461193,1517324970
1625,17,IL,60607,6,2250,1082618,2435890500
1626,17,IL,60608,1,12830,171495,2200280850
1627,17,IL,60608,2,9530,341771,3257077630
1628,17,IL,60608,3,3970,240484,954721480
1629,17,IL,60608,4,1860,159620,296893200
1630,17,IL,60608,5,1850,248448,459628800
1631,17,IL,60608,6,480,171133,82143840
1632,17,IL,60609,1,11970,162128,1940672160
1633,17,IL,60609,2,7330,259536,1902398880
1634,17,IL,60609,3,2540,153437,389729980
1635,17,IL,60609,4,1130,96607,109165910
1636,17,IL,60609,5,1170,156164,182711880
1637,17,IL,60609,6,260,94894,24672440
1638,17,IL,60610,1,4300,53213,228815900
1639,17,IL,60610,2,3730,141731,528656630
1640,17,IL,60610,3,4270,266546,1138151420
1641,17,IL,60610,4,3090,266963,824915670
1642,17,IL,60610,5,4480,620234,2778648320
1643,17,IL,60610,6,3550,2627739,9328473450
1644,17,IL,60611,1,2490,28913,71993370
1645,17,IL,60611,2,2480,93212,231165760
1646,17,IL,60611,3,3290,204915,674170350
1647,17,IL,60611,4,2460,213274,524654040
1648,17,IL,60611,5,4420,622983,2753584860
1649,17,IL,60611,6,4850,6154016,29846977600
1650,17,IL,60612,1,6420,85164,546752880
1651,17,IL,60612,2,3650,130812,477463800
1652,17,IL,60612,3,1820,112052,203934640
1653,17,IL,60612,4,990,85839,84980610
1654,17,IL,60612,5,1220,165609,202042980
1655,17,IL,60612,6,460,181696,83580160
1656,17,IL,60613,1,6090,78972,480939480
1657,17,IL,60613,2,6740,253499,1708583260
1658,17,IL,60613,3,5600,344177,1927391200
1659,17,IL,60613,4,3310,286046,946812260
1660,17,IL,60613,5,4450,616572,2743745400
1661,17,IL,60613,6,2690,1390519,3740496110
1662,17,IL,60614,1,5410,63325,342588250
1663,17,IL,60614,2,6010,229661,1380262610
1664,17,IL,60614,3,6650,412236,2741369400
1665,17,IL,60614,4,3980,342541,1363313180
1666,17,IL,60614,5,6080,856612,5208200960
1667,17,IL,60614,6,7170,6231047,44676606990
1668,17,IL,60615,1,6770,86007,582267390
1669,17,IL,60615,2,4750,172991,821707250
1670,17,IL,60615,3,2740,168405,461429700
1671,17,IL,60615,4,1570,135166,212210620
1672,17,IL,60615,5,1840,248734,457670560
1673,17,IL,60615,6,1020,461866,471103320
1674,17,IL,60616,1,9570,117458,1124073060
1675,17,IL,60616,2,5510,200068,1102374680
1676,17,IL,60616,3,3400,209035,710719000
1677,17,IL,60616,4,2170,186970,405724900
1678,17,IL,60616,5,2870,392931,1127711970
1679,17,IL,60616,6,1120,453010,507371200
1680,17,IL,60617,1,15750,208810,3288757500
1681,17,IL,60617,2,9420,337074,3175237080
1682,17,IL,60617,3,4540,277936,1261829440
1683,17,IL,60617,4,2360,202303,477435080
1684,17,IL,60617,5,1830,236635,433042050
1685,17,IL,60617,6,170,60043,10207310
1686,17,IL,60618,1,13580,178276,2420988080
1687,17,IL,60618,2,11730,427941,5019747930
1688,17,IL,60618,3,6520,398749,2599843480
1689,17,IL,60618,4,3700,319078,1180588600
1690,17,IL,60618,5,5460,754831,4121377260
1691,17,IL,60618,6,3350,1475023,4941327050
