,STATEFIPS,STATE,ZIPCODE,agi_stub,#_of_returns,AGI,returns x AGI
126,17,IL,60622,1,10183,131276,1336783508
127,17,IL,60622,2,7779,283377,2204389683
128,17,IL,60622,3,4074,248453,1012197522
129,17,IL,60622,4,2038,174942,356531796
130,17,IL,60622,5,3173,441157,1399791161
131,17,IL,60622,6,1702,870367,1481364634
132,17,IL,60623,1,21851,295848,6464574648
133,17,IL,60623,2,9105,309947,2822067435
134,17,IL,60623,3,2081,124450,258980450
135,17,IL,60623,4,534,45215,24144810
136,17,IL,60623,5,258,32257,8322306
137,17,IL,60623,6,28,10846,303688
138,17,IL,60624,1,11355,146247,1660634685
139,17,IL,60624,2,3637,126885,461480745
140,17,IL,60624,3,961,58197,55927317
141,17,IL,60624,4,333,28229,9400257
142,17,IL,60624,5,177,25626,4535802
143,17,IL,60624,6,0,0,0
144,17,IL,60625,1,15276,197802,3021623352
145,17,IL,60625,2,9834,353251,3473870334
146,17,IL,60625,3,4645,284106,1319672370
147,17,IL,60625,4,2514,216144,543386016
148,17,IL,60625,5,2827,380405,1075404935
149,17,IL,60625,6,848,334771,283885808
150,17,IL,60626,1,10641,137861,1466978901
151,17,IL,60626,2,6343,224869,1426344067
152,17,IL,60626,3,2837,173172,491288964
153,17,IL,60626,4,1428,122629,175114212
154,17,IL,60626,5,1392,183237,255065904
155,17,IL,60626,6,211,69448,14653528
156,17,IL,60628,1,18841,231464,4361013224
157,17,IL,60628,2,8536,305280,2605870080
158,17,IL,60628,3,3841,233386,896435626
159,17,IL,60628,4,1514,128982,195278748
160,17,IL,60628,5,839,104507,87681373
161,17,IL,60628,6,35,9112,318920
162,17,IL,60629,1,24415,330837,8077385355
163,17,IL,60629,2,14184,498409,7069433256
164,17,IL,60629,3,4841,292943,1418137063
165,17,IL,60629,4,1827,155673,284414571
166,17,IL,60629,5,979,120742,118206418
167,17,IL,60629,6,49,14095,690655
168,17,IL,60630,1,10974,130948,1437023352
169,17,IL,60630,2,6635,240364,1594815140
170,17,IL,60630,3,3944,243764,961405216
171,17,IL,60630,4,2364,203532,481149648
172,17,IL,60630,5,2707,356392,964753144
173,17,IL,60630,6,372,112229,41749188
174,17,IL,60631,1,4604,51698,238017592
175,17,IL,60631,2,2914,107285,312628490
176,17,IL,60631,3,2402,150072,360472944
177,17,IL,60631,4,1735,150330,260822550
178,17,IL,60631,5,2972,405904,1206346688
179,17,IL,60631,6,515,163436,84169540
180,17,IL,60632,1,18943,263240,4986555320
181,17,IL,60632,2,11278,392836,4430404408
182,17,IL,60632,3,3277,197010,645601770
183,17,IL,60632,4,968,82677,80031336
184,17,IL,60632,5,531,65453,34755543
185,17,IL,60632,6,38,16320,620160
186,17,IL,60633,1,2268,29565,67053420
187,17,IL,60633,2,1493,54603,81522279
188,17,IL,60633,3,866,53232,46098912
189,17,IL,60633,4,479,41267,19766893
190,17,IL,60633,5,388,51470,19970360
191,17,IL,60633,6,0,0,0
192,17,IL,60634,1,16940,201553,3414307820
193,17,IL,60634,2,9565,343016,3280948040
194,17,IL,60634,3,5017,308667,1548582339
195,17,IL,60634,4,2909,250818,729629562
196,17,IL,60634,5,2705,347589,940228245
197,17,IL,60634,6,215,66217,14236655
198,17,IL,60636,1,11516,148218,1706878488
199,17,IL,60636,2,3751,130836,490765836
200,17,IL,60636,3,1093,65211,71275623
201,17,IL,60636,4,296,24842,7353232
202,17,IL,60636,5,122,15150,1848300
203,17,IL,60636,6,0,0,0
204,17,IL,60637,1,11458,144546,1656208068
205,17,IL,60637,2,4422,156600,692485200
206,17,IL,60637,3,1798,109403,196706594
207,17,IL,60637,4,842,72530,61070260
208,17,IL,60637,5,892,121049,107975708
209,17,IL,60637,6,453,229227,103839831
210,17,IL,60638,1,10330,126484,1306579720
211,17,IL,60638,2,6871,249188,1712170748
212,17,IL,60638,3,4355,269107,1171960985
213,17,IL,60638,4,2653,228238,605515414
214,17,IL,60638,5,2603,336535,876000605
215,17,IL,60638,6,172,49572,8526384
216,17,IL,60639,1,21341,294967,6294890747
217,17,IL,60639,2,11693,403664,4720043152
218,17,IL,60639,3,3159,189166,597575394
219,17,IL,60639,4,1071,90936,97392456
220,17,IL,60639,5,556,69140,38441840
221,17,IL,60639,6,32,11106,355392
222,17,IL,60640,1,12972,164764,2137318608
223,17,IL,60640,2,9244,336695,3112408580
224,17,IL,60640,3,5197,318350,1654464950
225,17,IL,60640,4,2855,246152,702763960
226,17,IL,60640,5,3438,462831,1591212978
227,17,IL,60640,6,937,352427,330224099
228,17,IL,60641,1,16625,212453,3532031125
229,17,IL,60641,2,9416,333159,3137025144
230,17,IL,60641,3,3788,231374,876444712
231,17,IL,60641,4,1827,155912,284851224
232,17,IL,60641,5,1932,254919,492503508
233,17,IL,60641,6,373,129375,48256875
234,17,IL,60642,1,3134,42127,132026018
235,17,IL,60642,2,2808,103411,290378088
236,17,IL,60642,3,1797,110695,198918915
237,17,IL,60642,4,928,79988,74228864
238,17,IL,60642,5,1338,185499,248197662
239,17,IL,60642,6,589,217968,128383152
240,17,IL,60643,1,10459,126587,1323973433
241,17,IL,60643,2,5832,212012,1236453984
242,17,IL,60643,3,3591,221163,794196333
243,17,IL,60643,4,2098,180639,378980622
244,17,IL,60643,5,2537,347497,881599889
245,17,IL,60643,6,691,341508,235982028
246,17,IL,60644,1,14056,182951,2571559256
247,17,IL,60644,2,5216,180944,943803904
248,17,IL,60644,3,1481,89095,131949695
249,17,IL,60644,4,442,37479,16565718
250,17,IL,60644,5,241,35026,8441266
251,17,IL,60644,6,0,0,0
252,17,IL,60645,1,9042,110543,999529806
253,17,IL,60645,2,4905,175898,862779690
254,17,IL,60645,3,2508,154311,387011988
255,17,IL,60645,4,1430,123860,177119800
256,17,IL,60645,5,1612,216909,349657308
257,17,IL,60645,6,407,173452,70594964
258,17,IL,60646,1,4287,46755,200438685
259,17,IL,60646,2,2353,85648,201529744
260,17,IL,60646,3,1793,111274,199514282
261,17,IL,60646,4,1366,118663,162093658
262,17,IL,60646,5,2618,363532,951726776
263,17,IL,60646,6,855,320762,274251510
264,17,IL,60647,1,18135,241671,4382703585
265,17,IL,60647,2,11889,423073,5029914897
266,17,IL,60647,3,5157,314223,1620448011
267,17,IL,60647,4,2447,211158,516703626
268,17,IL,60647,5,3187,435952,1389379024
269,17,IL,60647,6,1450,571787,829091150
270,17,IL,60649,1,11762,153995,1811289190
271,17,IL,60649,2,5570,197637,1100838090
272,17,IL,60649,3,2205,133398,294142590
273,17,IL,60649,4,857,73296,62814672
274,17,IL,60649,5,600,77191,46314600
275,17,IL,60649,6,146,51888,7575648
276,17,IL,60651,1,18680,252708,4720585440
277,17,IL,60651,2,7580,264874,2007744920
278,17,IL,60651,3,2304,137792,317472768
279,17,IL,60651,4,688,58422,40194336
280,17,IL,60651,5,355,48397,17180935
281,17,IL,60651,6,0,0,0
282,17,IL,60652,1,7667,97781,749686927
283,17,IL,60652,2,5327,192701,1026518227
284,17,IL,60652,3,3260,200184,652599840
285,17,IL,60652,4,1807,154628,279412796
286,17,IL,60652,5,1339,171091,229090849
287,17,IL,60652,6,87,26634,2317158
288,17,IL,60653,1,6848,88222,604144256
289,17,IL,60653,2,3061,109061,333835721
290,17,IL,60653,3,1423,87247,124152481
291,17,IL,60653,4,735,62994,46300590
292,17,IL,60653,5,746,100378,74881988
293,17,IL,60653,6,152,49578,7535856
294,17,IL,60654,1,1775,21438,38052450
295,17,IL,60654,2,1782,67961,121106502
296,17,IL,60654,3,1884,116141,218809644
297,17,IL,60654,4,1358,117717,159859686
298,17,IL,60654,5,2400,336916,808598400
299,17,IL,60654,6,1647,1098117,1808598699
300,17,IL,60655,1,3995,43622,174269890
301,17,IL,60655,2,2291,84630,193887330
302,17,IL,60655,3,2335,147946,345453910
303,17,IL,60655,4,2008,174191,349775528
304,17,IL,60655,5,3179,425138,1351513702
305,17,IL,60655,6,284,80615,22894660
306,17,IL,60656,1,5479,64481,353291399
307,17,IL,60656,2,3331,121328,404143568
308,17,IL,60656,3,2211,137860,304808460
309,17,IL,60656,4,1434,123460,177041640
310,17,IL,60656,5,1695,224950,381290250
311,17,IL,60656,6,188,55640,10460320
312,17,IL,60657,1,9560,122502,1171119120
313,17,IL,60657,2,10497,392336,4118350992
314,17,IL,60657,3,7232,441916,3195936512
315,17,IL,60657,4,3732,322123,1202163036
316,17,IL,60657,5,5696,795052,4528616192
317,17,IL,60657,6,3783,1764570,6675368310
318,17,IL,60659,1,8259,99832,824512488
319,17,IL,60659,2,4181,149606,625502686
320,17,IL,60659,3,2051,125515,257431265
321,17,IL,60659,4,1021,87507,89344647
322,17,IL,60659,5,1072,141715,151918480
323,17,IL,60659,6,216,111095,23996520
324,17,IL,60660,1,8796,111398,979856808
325,17,IL,60660,2,6028,217969,1313917132
326,17,IL,60660,3,3161,194064,613436304
327,17,IL,60660,4,1665,142532,237315780
328,17,IL,60660,5,1782,237215,422717130
