,state,zipcode,agi_class,#_of_returns,AGI,returns x AGI
0,IL,60601,1,596,651369,388215924
1,IL,60601,2,499,8635022,4308875978
2,IL,60601,3,1042,39752893,41422514506
3,IL,60601,4,987,60872357,60081016359
4,IL,60601,5,639,55643467,35556175413
5,IL,60601,6,1115,155703988,173609946620
6,IL,60601,7,798,728733003,581528936394
7,IL,60602,1,297,694523,206273331
8,IL,60602,2,207,3366597,696885579
9,IL,60602,3,212,7842385,1662585620
10,IL,60602,4,118,7335162,865549116
11,IL,60602,5,90,7850037,706503330
12,IL,60602,6,158,22543668,3561899544
13,IL,60602,7,183,239774533,43878739539
14,IL,60603,1,254,409402,103988108
15,IL,60603,2,200,3381919,676383800
16,IL,60603,3,213,7911012,1685045556
17,IL,60603,4,155,9490419,1471014945
18,IL,60603,5,98,8512869,834261162
19,IL,60603,6,190,26924066,5115572540
20,IL,60603,7,221,389652680,86113242280
21,IL,60604,1,252,595704,150117408
22,IL,60604,2,136,2231836,303529696
23,IL,60604,3,148,5368265,794503220
24,IL,60604,4,97,6042810,586152570
25,IL,60604,5,56,4862887,272321672
26,IL,60604,6,99,13845113,1370666187
27,IL,60604,7,134,688336793,92237130262
28,IL,60605,1,1262,3406982,4299611284
29,IL,60605,2,1084,19243562,20860021208
30,IL,60605,3,1801,68756264,123830031464
31,IL,60605,4,1907,118460459,225904095313
32,IL,60605,5,1394,121405244,169238910136
33,IL,60605,6,2368,327954845,776597072960
34,IL,60605,7,1130,600594069,678671297970
35,IL,60606,1,237,-1013104,-240105648
36,IL,60606,2,207,3644413,754393491
37,IL,60606,3,378,14500358,5481135324
38,IL,60606,4,358,22175881,7938965398
39,IL,60606,5,250,21865026,5466256500
40,IL,60606,6,471,65410501,30808345971
41,IL,60606,7,397,736857025,292532238925
42,IL,60607,1,1725,3693527,6371334075
43,IL,60607,2,1431,24406047,34925053257
44,IL,60607,3,1967,74901809,147331858303
45,IL,60607,4,1892,117334499,221996872108
46,IL,60607,5,1302,112476347,146444203794
47,IL,60607,6,2203,305447753,672901399859
48,IL,60607,7,929,407557375,378620801375
49,IL,60608,1,5349,24422278,130634765022
50,IL,60608,2,9232,160072824,1477792311168
51,IL,60608,3,8125,285321519,2318237341875
52,IL,60608,4,2766,167647883,463714044378
53,IL,60608,5,1086,92773786,100752331596
54,IL,60608,6,965,127114172,122665175980
55,IL,60608,7,216,112478107,24295271112
56,IL,60609,1,4647,23593947,109641071709
57,IL,60609,2,8330,139975065,1165992291450
58,IL,60609,3,6331,220740968,1397511068408
59,IL,60609,4,2070,125277614,259324660980
60,IL,60609,5,772,65938871,50904808412
61,IL,60609,6,687,88622661,60883768107
62,IL,60609,7,87,47964971,4172952477
63,IL,60610,1,3145,5526934,17382207430
64,IL,60610,2,3321,56606851,187991352171
65,IL,60610,3,4818,181625442,875071379556
66,IL,60610,4,3866,238466728,921912370448
67,IL,60610,5,2322,200340776,465191281872
68,IL,60610,6,3537,491123705,1737104544585
69,IL,60610,7,2947,2541710056,7490419535032
70,IL,60611,1,1821,-2690555,-4899500655
71,IL,60611,2,1557,27300058,42506190306
72,IL,60611,3,2985,113700876,339397114860
73,IL,60611,4,2652,163435061,433429781772
74,IL,60611,5,1784,154228183,275143078472
75,IL,60611,6,2992,422023298,1262693707616
76,IL,60611,7,3213,3429933016,11020374780408
77,IL,60612,1,3076,13903679,42767716604
78,IL,60612,2,4462,73323352,327168796624
79,IL,60612,3,3599,128829075,463655840925
80,IL,60612,4,1560,94655559,147662672040
81,IL,60612,5,695,59966855,41676964225
82,IL,60612,6,684,91964931,62904012804
83,IL,60612,7,207,76655205,15867627435
84,IL,60613,1,3342,10835844,36213390648
85,IL,60613,2,4530,79868340,361803580200
86,IL,60613,3,7957,296979963,2363069565591
87,IL,60613,4,5215,318555159,1661265154185
88,IL,60613,5,2593,223193210,578739993530
89,IL,60613,6,3231,444222871,1435284096201
90,IL,60613,7,1691,877221449,1483381470259
91,IL,60614,1,4104,5868473,24084213192
92,IL,60614,2,3959,69203269,273975741971
93,IL,60614,3,7612,287142325,2185727377900
94,IL,60614,4,5632,345377797,1945167752704
