MEDIAN SALES PRICE OF EXISTING CONDO and CO-OP HOMES ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FOR METROPOLITAN AREAS: ANNUAL, 1989 - current",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Not Seasonally Adjusted in Thousands of Dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Existing Home Sales Program © 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Association of REALTORS ® Research Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CBSAID,MSA ID,MSA Name,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
12,17140,1640,"Cincinnati, OH-KY-IN",N/A,N/A,N/A,N/A,N/A,N/A,76.8,79.6,83.3,85.0,91.3,94.2,96.5,100.7,N/A,N/A,120.1,124.7,121.8,119.6,115.1,116.8,104.0,105.6,109.4,111.0,109.3,114.9,121.2,129.1,136.3,149.4
13,17460,1680,"Cleveland-Elyria, OH",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,125.8,121.6,122.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,115.5,120.1,127.4
14,17820,1720,"Colorado Springs, CO                                                                                                                                            ",N/A,N/A,N/A,N/A,59.9,66.2,79.9,84.0,84.7,90.0,96.6,N/A,N/A,N/A,N/A,N/A,140.5,148.1,151.5,143.5,134.6,132.4,125.5,130.4,137.6,146.0,152.2,167.5,187.6,214.9,228.6,240.4
15,18140,1840,"Columbus, OH                                                                                                                                                    ",N/A,57.2,58.8,62.1,74.3,75.8,69.2,79.0,78.5,81.8,86.7,90.9,94.4,107.0,116.7,126.0,129.6,127.4,129.8,126.6,119.6,121.5,106.0,111.8,118.8,126.0,132,138.2,149.8,160.1,170,185.9
16,19100,1920,"Dallas-Fort Worth-Arlington, TX                                                                                                                                 ",36.7,36.9,33.9,42.1,48.7,53.6,54.7,59.2,64.9,N/A,N/A,88.5,87.1,92.6,99.0,104.4,111.6,118.6,131.1,137.4,130.5,132.6,126.0,142.1,155.7,152.3,148.7,167.7,185.7,191.2,194.2,199.8
17,20524,5190,"Dutchess County-Putnam County, NY                                                                                                                                               ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,144.1,175.5,205.0,234.9,246.4,238.7,228.2,213.5,218.2,207.0,197.2,201.4,194.7,193.3,189.9,199.1,220.3,197.1,204.9
18,24660,24660,"Greensboro-High Point, NC                                                                                                                                       ",N/A,48.5,53.6,53.9,63.6,64.8,67.9,70.6,74.9,75.5,N/A,85.8,88.9,95.8,98.2,101.8,105.4,112.9,116.7,111.6,N/A,N/A,69.9,62.4,68.5,63.8,70.1,74.9,78.6,80,85.9,94.7
19,25540,3280,"Hartford-West Hartford-East Hartford, CT                                                                                                                        ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,95.9,109.3,124.6,141.8,161.7,170.1,174.3,170.7,166.3,167.0,163.9,152.7,150.2,149.7,148.7,146.6,145.8,143.8,146.7,160.3
20,26420,3360,"Houston-The Woodlands-Sugar Land, TX                                                                                                                              ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,96.8,108.5,115.8,121.4,128.4,132.4,131.0,125.7,123.5,134.6,142.0,149.8,149.6,150.8,160.3,166.6,168.1,178.9
21,26900,3480,"Indianapolis-Carmel-Anderson, IN                                                                                                                                             ",68.0,69.5,69.6,71.3,73.7,74.5,78.0,81.2,85.1,88.7,91.9,94.7,99.7,105.1,109.9,116.7,121.5,123.6,124.2,113.6,112.2,114.3,119.6,115.1,118.2,124.7,128,131,139.8,147.7,162.6,174.5
22,27260,3600,"Jacksonville, FL                                                                                                                                                ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,113.6,132.5,141.0,138.8,155.0,180.8,175.3,173.6,150.0,117.5,90.0,80.0,93.2,115.0,118.0,128,138,152,162,173,192
23,28940,3840,"Knoxville, TN                                                                                                                                                   ",N/A,N/A,N/A,N/A,64.0,71.0,75.8,80.0,85.1,87.2,89.9,91.6,96.7,99.0,105.6,116.6,126.2,145.1,154.8,147.8,138.9,136.5,135.9,129.7,132.9,143.2,147.6,141.7,153.9,151.1,169,175.4
24,29820,4120,"Las Vegas-Henderson-Paradise, NV",58.1,65.2,70.6,74.0,74.7,74.4,75.4,77.6,78.7,79.3,84.7,86.3,91.6,98.6,108.6,155.1,192.4,201.9,193.1,128.9,68.6,64.4,55.7,62.7,84.7,100.7,106.3,115.7,133.6,165.1,172.2,188.8
25,31084,4480,"Los Angeles-Long Beach-Glendale, CA",193.9,148.5,189.8,203.9,182.5,165.2,151.3,131.9,139.7,156.2,149.6,123.1,212.0,219.9,260.5,317.8,388.3,397.5,391.4,299.8,221.8,231.8,226.1,245.5,341.9,382.2,429.5,420.7,420.8,462.9,470.6,498.2
26,31140,4520,"Louisville/Jefferson County, KY-IN                                                                                                                                         ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,80.1,84.2,86.9,91.6,98.2,103.2,107.2,108.9,114.0,117.3,121.3,126.0,124.3,118.3,124.9,119.4,120.5,120.1,128.5,126.1,131.5,140.5,147.2,155.1,163.1
27,31540,4720,"Madison, WI                                                                                                                                                     ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,142.4,151.8,160.9,163.6,167.4,168.9,165.8,149.0,147.7,154.3,143.0,149.8,153.3,156,169.2,183.1,195,205.3,214.9
28,31700,4760,"Manchester-Nashua, NH ",,,,,,,,,,,,,,,,,,N/A,N/A,175.2,152.2,163.2,149.0,142.8,155.6,156.6,164.7,172.1,181.3,193.7,206.3,229.7
29,33100,5000,"Miami-Fort Lauderdale-West Palm Beach, FL",56.7,55.7,55.9,55.3,57.3,57.2,59.3,61.0,62.8,67.0,71.5,76.8,86.1,104.2,123.7,146.5,228.7,204.0,212.2,160.0,105.0,89.0,85.0,102.0,128.0,144.0,154,165,179,190,200,220
