MEDIAN SALES PRICE OF EXISTING SINGLE-FAMILY HOMES ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FOR METROPOLITAN AREAS: ANNUAL, 1989 - current",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Not Seasonally Adjusted in Thousands of Dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Existing Home Sales Program © 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Association of REALTORS ® Research Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CBSA,MSA,MSANAME,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
53,19740,2080,"Denver-Aurora-Lakewood, CO",85.5,86.4,89.1,96.2,104.7,116.8,127.3,133.4,140.6,152.2,171.3,196.8,218.3,228.1,238.2,239.1,247.1,249.5,245.4,219.3,219.9,232.4,231.4,252.4,280.6,310.2,353.6,384.3,414.7,449.9,462.1,492.7
54,19780,2120,"Des Moines-West Des Moines, IA",57.5,60.5,68.2,73.0,78.8,81.7,87.0,92.4,98.9,106.6,110.5,116.4,125.3,130.2,133.9,140.8,145.5,145.1,149.2,153.2,149.3,150.9,151.1,158.6,170.4,171.5,181.3,185.2,194,204.8,214.5,229.6
55,19820,2160,"Detroit-Warren-Deaborn, MI",73.7,76.7,80.6,81.3,86.0,87.0,98.2,111.4,119.6,132.6,140.0,N/A,N/A,N/A,N/A,161.0,163.8,151.7,140.3,N/A,N/A,N/A,53.8,63.4,N/A,N/A,N/A,225.2,N/A,183.3,195.8,221.3
56,20100,2190,"Dover, DE ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,116.9,128.3,150.1,180.4,208.0,207.5,206.2,197.1,193.3,170.8,175.3,178.4,186.1,191.4,198.2,200.2,202.1,218.2,241.2
57,20500,2200,"Durham-Chapel Hill, NC",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,132.6,N/A,153.8,158.8,160.7,157.4,158.3,183.3,185.7,192.7,199.1,222.9,239.4,254.7,279,295.9,326.3
58,20524,5190,"Dutchess County-Putnam County, NY",136.9,139.8,137.0,141.9,139.7,139.6,139.8,144.8,146.2,151.5,160.7,176.9,206.1,231.0,270.4,308.5,353.0,364.5,354.7,327.1,285.7,283.0,266.7,264.1,262.7,262.0,262.1,267.7,281.4,303.6,308,350.1
59,21300,2335,"Elmira, NY ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,72.1,71.8,68.2,77.9,78.8,77.1,86.8,81.6,87.7,87.3,101.0,103.4,106.9,111.1,100.8,105.5,116.1,110.4,111.2,112.5,120.4
60,21340,2320,"El Paso, TX",63.1,63.6,66.0,67.5,71.8,75.3,72.3,76.2,75.9,78.1,78.1,80.2,85.8,88.9,92.9,94.7,111.8,127.6,131.9,137.5,132.6,134.3,134.3,138.6,141.2,140.8,142.1,148.5,151.5,155.8,164.4,177.8
61,21500,2360,"Erie, PA ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,89.4,89.9,98.6,100.0,101.3,98.1,99.5,97.9,107.7,109.7,114.9,113.3,117.9,118.7,114.9,115.7,118.7,125.3,135.1
62,21660,2400,"Eugene, OR",59.3,66.6,73.7,79.7,84.4,96.2,104.9,116.2,119.4,124.4,129.5,132.8,134.6,143.7,151.7,164.9,197.6,230.6,239.6,224.7,203.7,196.3,178.7,178.2,200.9,210.4,222.2,239.7,264.6,291.7,308.6,354.9
63,22020,2520,"Fargo, ND-MN ",62.4,64.0,67.2,70.7,75.5,77.6,82.9,83.2,86.0,91.5,93.4,97.1,99.5,107.7,115.1,124.2,132.8,136.5,140.9,139.1,140.2,146.4,148.6,153.1,164.6,173.0,190.6,203.2,208.5,217.5,221,233.5
64,22140,2522,"Farmington, NM ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,112.9,118.8,127.2,134.6,155.1,172.3,191.1,190.6,187.5,178.9,174.4,173.9,173.8,180.0,172.7,171.4,174.8,180,186.7,198.7
65,22180,22180,"Fayetteville, NC",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,125.0,125.0,120.0,116.0,112.9,116.9,126.9,130.8,137.1,144.4,163.2
66,22220,22220,"Fayetteville-Springdale-Rogers, AR-MO",,,,,,,,,,,,,,,,,149.9,148.5,149.8,144.4,128.2,123.7,112.7,131.2,138.8,144.6,154.8,165.9,177.5,188.7,203,226.3
67,22500,2651,"Florence, SC ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,119.5,124.2,117.3,114.5,118.1,114.6,126.5,123.8,120.0,133.7,136.8,137.9,143.2,146.1,166.5
68,22540,22540,"Fond du Lac, WI Metropolitan Statistical Area",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,114.0,113.1,118.3,120.6,123.5,125.5,131.9,138.6,145.7,157.4
69,22660,22660,"Fort Collins, CO",,,,,,,,,,,,,,,,,,,,,,,,,,,,359.3,379.6,407,420.8,446
70,23060,2760,"Fort Wayne, IN",N/A,N/A,N/A,N/A,N/A,N/A,77.1,80.1,85.8,88.0,92.2,91.6,93.9,94.9,93.2,96.6,102.3,99.7,97.1,92.6,94.0,97.4,95.4,106.2,106.6,108.2,115.9,125.6,132.9,143.3,155.3,169.3
71,23420,,"Fresno, CA",,89.5,97.5,99.1,98.9,102.6,98.1,94.5,98.2,99.2,100.1,104.5,120.6,142.7,176.3,232.2,289.3,293.9,278.2,195.8,145.3,151.4,136.8,146.1,174.5,198.7,219.0,235.0,253,270,281.6,314
72,23540,2900,"Gainesville, FL",73.2,80.8,82.1,86.7,90.9,92.8,98.6,102.7,109.3,114.3,118.5,124.1,129.5,142.7,159.2,174.6,202.0,234.0,231.7,207.0,180.0,178.4,162.7,158.0,168.0,175.0,182.0,195.0,210,230,240,255
73,23844,2960,"Gary-Hammond, IN",58.6,63.8,70.3,76.1,82.8,87.2,91.6,95.0,97.3,105.6,107.1,107.0,114.1,114.3,119.2,122.6,129.8,128.1,134.2,127.7,119.2,122.9,120.6,126.1,130.1,135.1,141.7,149.0,160.5,170.1,183.6,203.4
74,24020,2965,"Glens Falls, NY ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,89.4,99.9,113.3,129.3,153.1,161.6,167.6,161.1,153.5,147.5,156.2,164.4,160.6,165.7,169.3,171.0,164.6,169.5,182,200.1
75,24340,3000,"Grand Rapids-Wyoming, MI",64.2,68.3,70.7,73.1,76.5,76.9,80.6,87.2,93.6,100.2,106.7,114.9,121.1,125.3,129.9,132.9,137.8,134.5,129.4,100.9,87.4,91.5,99.5,112.3,128.4,138.3,150.8,161.6,177.5,194.6,210.5,230.1
76,24580,3080,"Green Bay, WI",59.5,63.5,66.4,73.2,81.8,86.9,89.8,96.5,101.3,109.4,108.0,118.6,124.3,130.6,137.3,143.3,154.8,151.3,150.7,146.2,136.2,130.4,134.8,134.7,134.7,146.6,144.3,150.6,163.2,177.3,189.4,204.2
77,24660,24660,"Greensboro-High Point, NC                                                                                                                                       ",N/A,87.1,86.1,88.4,94.7,96.6,102.5,112.7,117.3,123.5,124.8,129.3,132.7,135.8,137.3,139.8,147.8,149.4,152.0,145.3,132.8,129.8,123.8,124.8,131.0,136.6,151.5,151.6,157.2,164.1,176.2,199.2
78,24860,3160,"Greenville-Anderson-Mauldin, SC",70.9,75.0,79.5,85.4,87.8,92.6,97.0,115.9,120.5,119.8,116.6,126.1,129.9,132.5,136.9,135.8,145.4,152.0,153.6,155.7,141.4,145.3,144.5,152.0,159.2,165.4,175.1,186.2,195.7,213.3,223.3,240.9
79,25060,920,"Gulfport-Biloxi-Pascagoulia, MS",59.2,57.6,58.2,62.4,67.2,70.9,73.1,78.3,81.1,86.0,92.2,N/A,96.0,100.2,107.6,113.9,131.4,145.8,154.5,140.2,133.9,125.0,104.8,101.0,107.8,117.1,126.7,126.9,133.5,139.3,151.7,171.3
80,25180,3180,"Hagerstown-Martinsburg, MD-WV ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,115.8,124.4,143.9,167.8,213.2,225.5,210.0,186.5,157.8,144.7,131.9,135.6,148.8,152.3,153.6,163.0,169.3,181.7,191.3,215.4
81,25420,25420,"Harrisburg-Carlisle, PA",,,,,,,,,,,,,,,,136.8,149.9,156.5,160.7,160.6,154.4,155.1,148.0,149.9,151.7,153.0,159.0,160.4,165.9,173.7,180.6,195.8
82,25540,3280,"Hartford-West Hartford-East Hartford, CT",169.1,160.3,151.1,143.8,137.9,136.0,136.0,141.9,140.8,145.6,153.6,163.0,170.5,179.3,207.9,231.6,253.3,258.1,263.2,246.2,232.0,235.8,227.6,222.8,227.0,220.9,221.5,231.1,230.1,235,237.3,264.5
83,26420,3360,"Houston-The Woodlands-Sugar Land, TX",66.7,70.7,74.0,80.3,80.9,80.5,79.2,84.7,90.9,97.5,105.3,116.1,122.4,132.8,136.4,136.0,143.0,149.1,152.5,151.6,153.1,155.0,155.7,164.8,181.3,198.4,213.4,217.4,231.1,238.8,245.8,263.8
84,26620,3440,"Huntsville, AL",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,172.8,173.6,171.6,171.1,173.7,184.3,189.8,205.4,223.5,248
85,26900,3480,"Indianapolis-Carmel-Anderson, IN",71.2,74.8,79.1,83.7,86.6,90.7,94.6,98.0,103.7,108.4,110.9,112.3,116.9,116.8,121.1,121.7,123.8,119.3,120.5,111.2,114.2,123.3,123.9,129.6,136.7,144.6,153.2,159.8,171.5,187.1,200.1,227.6
86,27140,3560,"Jackson, MS ",N/A,N/A,68.5,69.1,73.0,75.6,77.3,85.0,88.3,93.2,95.1,99.5,N/A,N/A,110.7,118.1,133.8,147.1,139.0,128.7,134.9,133.2,135.9,143.7,148.2,155.3,166.1,169.6,174.7,176.5,179.3,198.8
87,27260,3600,"Jacksonville, FL",78.5,82.0,83.5,87.0,87.3,92.7,94.1,100.1,97.8,107.5,107.7,113.1,124.3,133.2,148.8,170.4,198.1,218.2,213.9,197.4,165.7,156.5,150.0,155.0,175.0,183.4,195.0,211.0,228.9,247,225.7,279
88,28100,3740,"Kankakee, IL",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,88.3,95.5,105.8,109.7,120.0,127.1,131.5,134.5,130.8,129.2,116.3,118.4,119.3,111.5,114.8,116.5,125.3,125.6,139.3,143.3,159
89,28140,3760,"Kansas City, MO-KS",71.6,74.1,76.6,79.5,83.6,87.1,91.7,98.8,106.8,114.0,120.7,127.4,135.7,137.4,144.2,150.0,156.7,155.8,153.3,144.3,140.7,141.6,133.2,142.6,154.8,158.8,170.4,181.3,194.8,206.5,219.4,237.4
90,28420,6740,"Kennewick-Richland, WA",56.0,61.6,70.3,84.2,101.9,111.3,100.9,101.3,102.6,N/A,109.1,119.6,N/A,140.8,145.3,147.6,154.1,156.1,169.2,166.1,167.1,177.6,176.5,183.3,186.6,187.9,199.3,222.7,243.6,276.9,299.8,328.5
91,28740,3820,"Kingston, NY ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,124.1,131.6,156.1,185.1,216.8,251.0,252.7,258.4,242.1,208.4,213.8,201.2,190.2,207.9,200.1,196.2,202.6,213.3,221.2,240.9,285.6
92,28940,3840,"Knoxville, TN",71.1,75.4,78.8,80.1,85.3,89.2,93.6,98.7,99.9,105.0,108.3,110.8,117.2,118.4,130.5,132.2,143.7,151.2,156.4,149.1,141.4,140.9,141.0,141.3,146.7,149.7,157.2,165.8,175.9,188.8,205.2,229.8
93,29460,29460,"Lakeland-Winter Haven, FL",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,154.9,110.0,100.0,94.9,105.0,122.0,133.0,145.0,163.0,178.8,196,210,230
94,29620,4040,"Lansing-East Lansing, MI",59.8,63.3,66.7,69.9,73.2,75.5,79.8,84.7,89.6,100.2,105.2,111.2,119.5,126.4,133.6,137.9,142.2,137.7,126.8,97.7,80.7,84.4,77.5,87.2,102.2,120.1,128.3,135.5,139.7,149.3,159.5,173.3
95,29820,4120,"Las Vegas-Henderson-Paradise, NV",85.7,93.0,101.4,104.3,108.2,110.5,113.5,118.5,123.2,128.2,130.8,137.4,149.1,159.8,179.2,266.4,304.7,317.4,297.7,220.5,142.9,138.0,124.7,134.1,173.8,198.0,216.8,237.8,256.5,288.8,306,331
96,30460,4280,"Lexington-Fayette,KY",77.0,75.0,75.6,78.7,82.5,87.5,90.8,95.7,100.6,108.3,111.9,118.2,121.7,127.1,133.4,138.7,146.9,147.8,147.5,144.3,141.4,143.2,138.6,143.2,143.8,144.0,148.1,155.3,162.7,171.2,180,201.2
97,30700,4360,"Lincoln, NE",57.0,60.4,62.7,67.7,72.5,76.6,82.5,87.2,92.8,98.6,101.0,109.3,117.4,122.4,131.5,134.4,137.2,137.5,137.5,135.2,133.3,133.6,133.0,139.6,143.3,145.6,156.8,166.1,175.4,189,198.4,219.8
98,30780,4400,"Little Rock-North Little Rock-Conway, AR",63.7,64.8,67.5,N/A,N/A,75.0,79.0,83.7,85.6,91.3,91.2,87.8,95.1,95.7,104.8,108.4,119.0,127.0,129.1,129.8,131.8,132.5,129.8,138.2,137.0,131.7,135.9,137.8,141.7,146.4,152.5,166.9
99,31084,4480,"Los Angeles-Long Beach-Glendale, CA",214.8,212.1,218.9,210.8,195.4,189.1,179.9,172.9,176.5,192.6,199.0,215.9,241.4,290.0,354.7,446.4,529.0,584.8,593.6,402.1,333.9,323.3,307.7,327.5,405.6,449.5,480.1,509.0,550.8,590.8,611.2,662.3
100,31140,4520,"Louisville/Jefferson County, KY-IN",58.4,60.8,65.4,69.5,74.5,80.5,86.4,91.3,96.8,106.1,109.7,116.7,N/A,125.2,131.7,131.5,135.8,137.6,137.4,132.2,131.1,134.6,130.4,137.1,139.5,142.8,154.5,163.2,171.6,180.1,192.7,212.1
101,31540,4720,"Madison, WI",74.5,80.2,85.4,92.4,101.9,113.0,121.3,119.0,123.5,128.4,133.0,149.6,158.3,172.4,183.8,200.8,218.3,223.2,226.5,226.6,212.3,217.7,213.2,210.6,221.5,228.2,238.0,247.3,267.9,283.7,299.2,326.4
102,31700,4760,"Manchester-Nashua, NH ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,242.8,227.1,232.0,213.5,212.8,229.2,234.8,253.2,262.1,281.9,294.9,317.4,357.8
103,32820,4920,"Memphis, TN-MS-AR ",78.1,78.1,82.5,85.3,87.0,86.3,86.5,96.1,103.7,109.8,111.3,115.6,125.1,129.4,133.8,136.2,141.2,142.3,137.2,119.3,119.2,120.2,112.3,117.2,129.4,138.6,147.0,155.3,166.7,177.9,188.7,221.2
104,33100,5000,"Miami-Fort Lauderdale-West Palm Beach, FL",84.6,89.6,92.5,95.9,98.9,100.5,104.0,110.3,117.8,122.5,131.0,139.7,154.9,189.3,227.5,281.3,357.4,364.6,359.0,280.0,205.0,199.9,182.0,200.0,246.5,260.0,280.0,305.0,330,350,360,398
105,33340,5080,"Milwaukee-Waukesha-West Allis, WI ",79.6,84.4,90.0,97.0,104.1,109.0,114.7,119.4,125.3,132.9,135.3,140.7,149.4,173.8,182.1,197.1,215.7,220.9,223.4,212.3,193.4,205.9,185.2,187.4,200.7,207.8,220.4,228.2,239.6,250.3,268.4,291.3
106,33460,5120,"Minneapolis-St. Paul-Bloomington, MN-WI ",86.7,88.1,90.5,93.6,97.6,100.9,106.1,113.2,117.7,127.2,137.8,150.5,166.4,183.8,198.4,216.0,233.3,230.9,223.8,200.7,176.6,169.5,153.7,170.7,195.0,208.8,223.7,237.0,252.1,273.4,288.6,315.2
107,33660,5160,"Mobile, AL",56.6,58.8,60.7,64.8,68.2,69.8,75.1,83.2,87.1,92.8,93.3,97.6,98.7,104.8,109.1,115.2,130.5,137.0,136.4,134.2,127.6,121.0,103.2,105.0,108.4,115.5,123.9,132.6,136.8,145.2,152.6,167.1
108,33860,5240,"Montgomery, AL",68.8,69.3,76.2,79.7,83.2,82.2,85.8,90.1,94.1,98.3,99.1,N/A,N/A,105.0,106.9,107.7,123.1,133.2,132.8,124.9,120.3,119.2,118.5,118.6,123.3,126.9,126.2,131.2,137.7,140.9,152.8,171
109,34820,34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,189.6,180.9,171.0,167.5,176.9,177.8,187.9,196.7,205.1,220.5,234.3,250.2
110,34940,34940,"Naples-Immokalee-Marco Island, FL",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,325.3,200.0,225.0,230.0,259.0,310.0,370.0,405.0,420.4,434.9,446,435,498.5
111,34980,5360,"Nashville-Davidson--Murfreesboro--Franklin, TN",79.9,81.8,86.9,88.8,90.4,96.5,107.3,112.7,115.2,116.7,116.4,N/A,130.0,N/A,N/A,145.4,161.8,N/A,N/A,N/A,147.9,153.8,151.9,160.6,176.4,183.0,204.2,224.5,241.7,260.5,275,298.9
112,35004,5380,"Nassau County-Suffolk County, NY",172.0,161.0,159.2,158.6,159.2,159.3,155.3,159.8,164.0,175.4,190.4,214.0,248.4,312.9,364.5,413.5,465.2,474.7,477.2,435.8,383.3,387.0,375.9,382.7,396.8,405.9,422.7,437.5,462,476.9,491.6,545.2
113,35300,5480,"New Haven-Milford, CT ",163.3,152.4,153.1,145.7,142.4,139.6,135.0,133.6,133.7,137.0,144.6,150.6,167.1,191.4,223.9,249.2,279.1,287.7,286.5,263.8,235.7,231.0,223.1,220.6,226.5,233.3,215.4,219.7,221.1,232.9,237.4,265.9
114,35380,5560,"New Orleans-Metairie, LA",70.6,67.8,71.8,73.6,76.8,76.9,78.0,87.0,93.3,102.1,109.1,112.0,117.4,123.5,130.8,137.4,159.2,173.1,160.3,160.5,160.1,159.7,153.0,156.2,164.7,165.0,169.7,188.1,198.4,210.1,222,240.5
115,35614,875,"New York-Jersey City-White Plains, NY-NJ",177.9,163.2,162.7,163.1,163.8,167.6,165.3,172.8,177.1,184.6,189.7,225.6,267.9,305.5,340.0,383.3,434.7,473.5,474.3,445.3,385.1,406.3,390.6,390.8,405.9,403.6,398.5,370.2,382.5,377.8,386.5,442.4
116,35620,5601,"New York-Newark-Jersey City, NY-NJ-PA",174.6,166.7,165.3,164.6,165.0,165.0,161.7,166.3,169.5,179.3,193.6,219.4,246.1,289.0,335.4,376.8,434.7,458.3,458.7,427.6,372.4,384.4,369.8,370.4,381.9,384.9,386.8,388.5,404.3,410,423.9,469.1
117,35084,5640,"Newark, NJ-PA",187.0,186.3,178.1,183.7,186.1,189.0,189.8,202.1,200.9,208.2,220.6,251.0,272.8,310.7,340.6,380.6,422.1,437.8,444.8,419.8,374.0,388.5,379.1,374.6,389.3,389.4,383.9,374.8,379.3,385.1,397.1,452
118,35840,7510,"North Port-Sarasota-Bradenton, FL",68.6,71.9,75.7,80.0,81.9,84.3,89.6,93.0,96.6,105.1,111.2,121.8,130.7,144.4,165.9,219.5,304.0,286.9,266.8,206.5,156.0,150.0,150.2,168.0,198.0,210.0,240.0,262.5,280,290,304.8,334.9
119,35980,5520,"Norwich-New London, CT ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,152.6,174.8,202.7,231.5,255.9,264.0,267.7,236.6,211.8,204.7,184.1,186.9,186.6,180.2,203.6,209.2,220.2,226.1,234.9,263.5
120,36100,5790,"Ocala, FL",N/A,N/A,56.1,56.2,57.8,59.5,61.4,63.6,64.3,69.9,70.6,70.9,N/A,N/A,N/A,110.3,143.8,166.2,165.0,137.8,105.0,87.5,80.0,89.9,99.5,100.0,112.0,128.0,147,159.9,170.6,185
121,36260,36260,"Ogden-Clearfield, UT",,,,,,,,,,,,,,,,,,,,,,,,,,,,225.1,244.1,273.4,296.5,340.5
122,36420,5880,"Oklahoma City, OK",53.5,53.2,57.0,61.6,64.9,66.7,70.4,74.6,77.0,82.7,84.2,85.4,95.0,100.1,103.0,112.4,114.7,125.0,134.9,128.1,140.5,145.7,141.6,145.0,153.1,150.3,149.6,150.8,154.3,159.5,158.9,174.9
123,36540,5920,"Omaha-Council Bluffs, NE-IA",60.6,63.0,66.5,69.4,72.7,75.6,83.0,88.3,93.6,101.7,109.4,116.9,117.1,122.4,128.1,131.3,136.2,138.4,138.0,135.2,133.7,137.3,135.7,139.2,145.7,149.0,159.1,168.8,175.9,191.7,200.7,220.6
124,36740,5960,"Orlando-Kissimmee-Sanford, FL",80.4,83.4,86.9,88.2,90.7,91.3,89.8,93.0,95.1,99.4,105.9,111.8,124.8,137.4,145.9,170.5,244.9,271.8,262.7,210.0,150.0,137.0,129.0,137.5,165.0,180.0,199.0,224.0,244.9,265,276,301.6
125,36780,36780,"Oshkosh-Neenah, WI Metropolitan Statistical Area",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,118.7,114.8,117.7,125.6,124.8,131.0,131.2,141.8,151,157.6,175.4
126,37340,4900,"Palm Bay-Melbourne-Titusville, FL ",72.2,74.5,74.4,77.2,77.7,79.1,80.6,84.2,88.7,88.8,93.2,100.1,100.2,114.5,134.6,166.9,228.1,230.6,199.7,157.4,125.0,114.5,108.0,117.8,125.0,137.0,162.0,185.0,210,228,238.9,260.4
127,37460,37460,"Panama City, FL",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,194.9,175.0,161.3,149.0,154.6,170.0,170.0,177.0,189.0,207,223.5,229.5,255
128,37860,6080,"Pensacola-Ferry Pass-Brent, FL ",N/A,N/A,65.1,67.4,72.1,76.6,79.7,84.7,89.1,93.5,99.1,101.3,105.2,112.4,116.6,131.3,162.3,166.2,165.8,155.9,147.9,145.0,139.9,143.0,150.0,149.9,157.5,169.4,185,203,219.9,240
129,37900,6120,"Peoria, IL",46.8,50.4,55.8,59.1,63.2,67.9,70.1,74.5,79.7,83.3,86.2,87.2,88.6,88.0,93.1,96.3,109.3,112.7,118.6,122.1,119.4,116.9,119.8,130.3,114.4,118.9,120.7,118.0,122.6,124.3,120.7,128.1
130,37980,6160,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD ",101.6,106.3,115.8,114.4,115.4,116.8,116.0,123.7,123.5,126.8,122.0,122.4,132.9,146.9,168.8,185.1,215.3,230.2,234.9,231.4,215.9,214.9,210.1,213.4,220.3,220.7,223.7,225.4,230,229,246.2,272.9
131,38060,6200,"Phoenix-Mesa-Scottsdale, AZ",78.8,84.0,85.5,86.8,89.1,91.4,96.8,105.3,113.7,120.2,126.4,134.4,139.4,143.8,152.5,169.4,247.4,268.2,257.4,191.3,137.0,139.2,115.5,147.6,183.6,198.5,216.4,232.7,246.7,269.8,287.1,333
132,38340,6320,"Pittsfield, MA ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,149.2,163.2,192.8,207.3,212.9,217.4,212.6,186.4,195.5,188.3,183.1,183.4,186.2,195.7,193.6,207.9,208.4,223.2,266.3
133,38940,38940,"Port St. Lucie, FL",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,156.1,115.0,110.9,112.0,119.0,135.0,150.0,178.0,205.0,228.8,240,250,271
134,38860,6400,"Portland-South Portland, ME",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,135.4,152.5,172.1,193.1,224.8,246.6,243.8,242.7,229.3,203.5,218.0,213.7,219.5,228.9,227.7,237.3,248.7,268.1,289.7,308.5,356.2
135,38900,6440,"Portland-Vancouver-Hillsboro, OR-WA",69.0,78.2,87.1,96.1,104.3,115.0,126.3,139.2,149.9,155.5,162.3,167.4,169.5,177.5,188.9,206.5,244.9,280.8,295.2,280.1,244.1,237.3,219.5,232.9,265.5,286.0,312.1,351.2,381.8,395.7,409.3,451
136,39300,6480,"Providence-Warwick, RI-MA",137.0,134.6,130.8,124.7,122.4,122.5,121.6,124.3,125.9,130.9,135.5,145.0,166.3,203.3,242.9,276.9,293.4,289.6,286.5,250.6,218.5,228.5,217.2,214.7,230.8,238.8,248.8,264.2,278.5,292.5,311.1,347.3
137,39460,39460,"Punta Gorda, FL",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,154.5,115.0,105.5,98.7,115.9,139.9,147.0,168.0,189.9,206,220,230,252
138,39580,6640,"Raleigh, NC",N/A,N/A,82.3,85.8,87.9,94.2,103.1,118.2,124.2,129.9,134.8,133.3,134.8,140.1,141.7,148.7,170.5,187.1,196.2,195.5,188.5,190.4,185.2,188.5,196.9,208.6,238.2,247.9,266.8,283.6,291.5,325.2
139,39740,6680,"Reading, PA ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.0,94.9,94.7,106.5,121.1,136.6,143.2,154.7,155.7,152.8,153.3,143.1,146.0,148.2,148.7,150.2,156.2,164.6,163.6,173.8,190.8
140,39900,6720,"Reno, NV",102.6,109.7,115.1,117.9,126.3,133.6,137.1,140.0,143.4,147.2,150.6,157.3,165.1,183.2,204.9,284.3,349.9,347.2,321.4,259.1,193.8,179.5,158.0,169.7,218.4,247.5,283.6,306.0,345.1,383.1,393.9,440.8
141,40060,6760,"Richmond, VA ",N/A,87.5,92.5,93.9,94.1,95.4,103.1,108.7,114.2,122.0,128.5,129.8,133.3,142.3,155.1,170.7,201.9,225.5,233.7,223.5,N/A,N/A,187.1,193.6,207.5,220.2,227.3,235.4,250.5,258.8,264,273.2
142,40140,6780,"Riverside-San Bernardino-Ontario, CA ",124.1,132.1,135.4,136.2,134.4,129.1,120.9,115.2,114.3,121.5,128.7,138.6,156.7,176.5,221.0,296.4,374.2,400.7,379.5,234.2,169.7,179.3,172.3,189.3,241.4,273.9,290.7,310.0,336,360,378.5,422.6
