MEDIAN SALES PRICE OF EXISTING SINGLE-FAMILY HOMES ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FOR METROPOLITAN AREAS: ANNUAL, 1989 - current",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Not Seasonally Adjusted in Thousands of Dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Existing Home Sales Program © 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Association of REALTORS ® Research Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CBSA,MSA,MSANAME,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
13,12580,720,"Baltimore-Columbia-Towson, MD",83.0,91.2,94.9,97.7,99.7,99.4,95.9,97.4,101.8,103.9,109.8,131.8,136.3,154.8,180.0,217.0,265.3,279.9,286.1,274.1,251.2,246.1,230.0,206.0,251.9,244.1,242.8,253.0,262.9,285.6,299.4,328.5
14,12700,730,"Barnstable Town, MA",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,279.6,330.3,377.2,398.3,389.5,384.7,341.9,321.0,326.0,311.5,320.5,335.1,345.2,362.6,368.0,385.5,411.1,430,494.6
15,12940,760,"Baton Rouge, LA",63.8,64.9,69.4,73.6,75.9,77.4,84.6,87.8,92.3,98.1,103.6,109.1,114.0,116.9,121.2,127.7,146.2,169.5,174.4,165.0,163.0,169.6,163.4,164.3,170.0,171.3,181.5,184.0,198.6,210.6,216.4,229.7
16,13140,840,"Beaumont-Port Arthur, TX ",52.8,53.6,57.5,61.5,63.2,65.0,62.7,68.1,69.0,73.8,76.3,80.8,84.0,84.3,88.4,93.5,98.5,112.7,123.0,127.4,132.4,125.1,124.2,127.8,135.5,135.6,138.0,144.3,150.3,154.6,168.7,180.3
17,13780,960,"Binghamton, NY ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,74.8,75.3,82.2,85.3,94.4,96.9,111.2,113.7,115.7,110.3,113.8,109.5,111.6,112.5,113.0,108.4,109.6,121.1,119.4,127.7
18,13820,1000,"Birmingham-Hoover, AL ",78.5,80.8,86.0,90.9,96.5,100.2,103.6,114.1,118.9,122.7,127.1,125.5,133.6,137.4,137.5,146.6,157.0,165.1,161.3,153.9,146.1,143.0,139.8,151.1,165.1,167.9,178.5,186.4,197,207.3,221.6,246.2
19,13900,1010,"Bismarck, ND",61.8,61.3,63.5,63.6,68.8,76.2,78.3,80.8,83.3,89.1,89.5,93.9,98.8,97.9,105.0,113.8,124.9,134.9,152.9,155.2,156.6,163.4,166.9,193.0,217.7,237.8,245.9,248.6,242.2,245.1,250.7,261.4
20,14010,1040,"Bloomington, IL",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,139.0,143.9,154.7,146.5,148.4,152.9,148.3,154.4,148.7,152.0,148.4,150.1,154.6,152.4,156.2,162.7,158.7,165.9
21,14260,1080,"Boise City-Nampa, ID ",64.5,69.2,76.8,83.1,91.4,99.0,98.9,101.2,102.5,109.2,123.9,126.0,130.0,123.2,130.6,135.9,147.0,N/A,206.0,188.7,153.8,136.2,115.4,138.7,163.7,172.9,188.8,203.2,226.7,263.5,294.2,353.9
22,14460,1120,"Boston-Cambridge-Newton, MA-NH",167.3,159.9,155.4,157.0,158.3,165.1,173.8,173.8,N/A,N/A,240.9,276.1,331.9,335.4,358.5,389.7,413.2,402.2,395.6,361.1,332.6,357.3,346.2,351.2,375.9,389.8,403.9,421.1,452.9,477.4,491.9,563.7
