MEDIAN SALES PRICE OF EXISTING CONDO and CO-OP HOMES ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FOR METROPOLITAN AREAS: QUARTERLY, 1989 - current",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Not Seasonally Adjusted in Thousands of Dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Existing Home Sales Program © 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Association of REALTORS ® Research Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CBSAID,MSA ID,MSA Name,1989:I,1989:II,1989:III,1989:IV,1990:I,1990:II,1990:III,1990:IV,1991:I,1991:II,1991:III,1991:IV,1992:I,1992:II,1992:III,1992:IV,1993:I,1993:II,1993:III,1993:IV,1994:I,1994:II,1994:III,1994:IV,1995:I,1995:II,1995:III,1995:IV,1996:I,1996:II,1996:III,1996:IV,1997:I,1997:II,1997:III,1997:IV,1998:I,1998:II,1998:III,1998:IV,1999:I,1999:II,1999:III,1999:IV,2000:I,2000:II,2000:III,2000:IV,200I:I,200I:II,200I:III,200I:IV,2002:I,2002:II,2002:III,2002:IV,2003:I,2003:II,2003:III,2003:IV,2004:I,2004:II,2004:III,2004:IV,2005:I,2005:II,2005:III,2005:IV ,2006.I ,2006.II ,2006.III ,2006.IV ,2007.I ,2007.II ,2007.III ,2007.IV ,2008.I ,2008.II ,2008.III ,2008.IV ,2009.I,2009.II,2009.III,2009.IV,2010.I ,2010.II ,2010.III,2010.IV,2011.I,2011.II,2011.III,2011.IV,2012.I,2012.II,2012.III,2012.IV,2013.I,2013.II,2013.III,2013.IV,2014.I,2014.II,2014.III,2014.IV,2015.I,2015.II,2015.III,2015.IV,2016.I,2016.II,2016.III,2016.IV,2017.I,2017.II,2017.III,2017.IV,2018.I,2018.II,2018.III,2018.IV,2019.I,2019.II,2019.III,2019.IV,2020.I,2020.II,2020.III,2020.IV
15,18140,1840,"Columbus, OH                                                                                                                                                    ",N/A,N/A,N/A,N/A,N/A,57.8,57.1,56.5,56.3,62.2,56.6,59.4,64.7,60.3,61.6,62.4,62.9,80.0,80.7,92.5,70.8,75.0,91.8,71.1,70.0,79.3,69.2,60.9,68.7,80.3,81.3,79.3,N/A,76.4,79.4,81.0,82.0,80.5,80.2,85.3,84.4,86.9,N/A,90.2,81.0,87.4,95.0,96.6,93.0,95.4,91.8,99.3,97.2,106.8,106.3,110.7,107.4,118.4,116.1,122.2,121.0,124.4,129.0,128.0,121.6,133.1,132.8,127.2,127.1,140.1,123.9,124.7,123.6,133.0,129.2,131.9,132.0,121.0,129.4,118.9,117.3,118.1,122.3,118.3,114.1,130.7,120.9,109.1,101.8,106.2,111.7,101.4,98.7,113.4,110.1,110.1,106.3,122.5,125.2,115.4,118,128.6,128.6,124.4,121.9,135.5,135,129.7,129.9,139.9,137.7,143.5,138.2,149.7,154.9,152.9,152.7,166,162,158.1,161.5,171.8,171.9,172,171.3,181.9,194,190.9
16,19100,1920,"Dallas-Fort Worth-Arlington, TX                                                                                                                                 ",37.8,38.5,38.0,31.2,37.5,39.4,35.1,34.6,32.1,35.3,37.8,30.0,35.7,45.3,43.9,41.7,44.3,47.0,47.9,58.2,54.0,55.4,52.8,52.2,54.0,55.4,55.6,53.4,52.8,58.5,61.7,63.3,62.2,66.1,66.1,64.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,83.5,N/A,77.0,79.8,84.7,87.7,87.8,87.0,89.0,94.4,92.1,93.7,98.0,99.7,99.9,97.1,98.8,105.3,104.8,109.6,106.5,115.4,109.7,115.4,112.8,118.7,117.8,124.9,124.4,133.2,134.9,131.0,133.5,136.9,149.9,149.5,127.1,137.8,131.3,124.4,130.3,135.3,135.2,129.2,116.6,131.5,125.4,129.2,133.6,146.2,145.7,145.7,147.4,163.9,152.6,158.1,157.7,162.6,139.7,142.4,146.5,148.6,152.9,145.1,158.1,168.8,173.9,168.3,171.4,196.7,186.2,185.3,191.5,201.7,178.7,192.4,186.9,202.1,190.6,194.2,202.1,196.3,199.5,201.5
17,20524,5190,"Dutchess County-Putnam County, NY                                                                                                                                               ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,117.6,142.4,152.7,166.4,143.8,170.2,186.6,192.0,163.6,208.4,207.3,232.7,199.7,236.3,251.5,260.7,222.1,253.0,250.8,258.7,217.4,245.7,243.5,246.7,217.3,230.7,227.9,236.4,192.5,216.1,215.6,227.5,191.0,224.3,221.7,239.4,192.4,211.7,214.7522615,206.3198371,183.6666667,197.5747423,198.7972862,209.5576375,182.6375,196.128866,206.8174342,216.6628106,177.2541667,214.5,207.5,220.8,190,176.6,207.5,192.5,200,200,187.4,184.9,205.3,197.9,196.6,200,214.2,221.6,209.5,205.6,206.1,186.1,201.5,194.7,204.9,189.4,207.8,217.3
18,24660,3120,"Greensboro-High Point, NC                                                                                                                                       ",N/A,N/A,N/A,N/A,48.3,49.1,48.7,47.4,53.7,52.6,52.1,57.4,47.8,48.6,58.4,56.9,50.0,63.6,67.3,61.8,62.2,63.9,66.2,66.0,66.6,70.1,66.9,68.7,69.5,72.2,72.3,68.5,67.5,77.3,73.5,78.7,74.2,75.7,76.2,75.1,N/A,N/A,N/A,N/A,87.4,82.5,84.4,93.1,85.6,92.0,87.6,90.7,97.3,92.7,96.7,97.3,95.2,98.3,99.1,98.4,101.9,100.6,102.0,103.1,95.8,108.5,105.3,109.0,108.0,109.9,113.0,119.1,112.1,116.4,121.6,116.7,114.7,109.6,112.6,107.9,106.7,109.6,N/A,N/A,N/A,N/A,60.0,66.6,68.6,63.7,56.6,50.8,50,61,64,64,69.2,74.3,68.8,61.9,52.7,66.1,67.6,64.9,65.3,72.4,65.5,73.7,68.7,73.4,75.4,79.5,76.1,80.9,80.4,74.9,77.9,81.6,81.2,78.3,82.8,84.7,88.4,87.9,88.2,91.7,96.9,103.5
19,25540,3280,"Hartford-West Hartford-East Hartford, CT                                                                                                                        ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,90.3,95.8,96.7,100.4,105.5,106.5,111.0,115.4,118.6,N/A,125.8,128.0,131.7,140.0,145.2,147.9,142.0,168.7,164.8,163.9,168.6,166.4,174.1,170.9,164.1,176.3,176.1,180.5,171.6,173.1,172.9,163.8,162.9,169.8,166.3,163.7,167.3,164.4,174.2,166.2,164.2,169.9,167.7,152.3,143.9,152.7,157.4,157.4,140,156.6,152,147.9,144.6,158.9,151.7,142.8,140.6,151.1,157.1,140.9,137.2,150.1,149.9,145.4,133.5,147.3,152.5,145.8,136.2,149,146.9,140,140,149.3,143.3,151.6,143.7,156.7,160.2,169.5
20,26420,3360,"Houston-The Woodlands-Sugar Land, TX                                                                                                                              ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,90.0,89.5,N/A,93.9,99.3,96.8,101.6,113.4,107.3,110.4,114.0,114.0,115.6,121.8,116.7,120.7,119.6,128.2,127.5,128.7,124.1,135.5,128.8,141.4,134.1,124.5,126.4,137.6,130.2,129.4,122.2,133.1,119.1,123.6,109.1,129.2,119.3,134.2,123.5,138.3,142.4,142.4,134.9,141.7,145.2,145.8,142.1,152.3,149.1,152.8,144.1,152.7,152.2,147.4,147.3,160.1,137.8,165.7,144.8,171.6,150.2,155.1,161.7,174,164.1,162.2,160.8,167.5,169.5,172.9,171.5,180.7,178.9,183.6
21,26900,3480,"Indianapolis-Carmel-Anderson, IN                                                                                                                                       ",68.4,68.2,67.1,68.6,66.6,74.4,65.6,70.1,65.0,70.1,68.4,73.2,68.4,71.8,75.2,69.7,73.8,69.8,76.1,74.4,76.2,74.1,71.5,77.1,77.4,78.6,77.1,78.6,80.1,79.1,81.4,85.0,85.2,83.6,83.5,90.0,86.8,89.4,87.7,90.7,90.1,94.4,N/A,91.9,92.3,93.8,95.7,96.6,96.3,98.0,101.9,102.8,101.7,104.4,107.9,105.4,107.5,106.2,113.1,111.5,113.3,113.5,122.2,116.6,115.3,120.5,123.2,126.9,116.7,120.7,127.7,120.9,127.4,121.6,131.8,116.7,109.9,113.5,113.5,117.5,98.9,115.0,114.4,115.6,109.0,115.5,115.8,112.7,129.9,122.5,116.7,112,104.4,118.5,112.5,112.5,110.1,119.5,122.2,118.9,121.6,127.9,122.6,125.3,120.8,131.3,134,119.8,127.9,128.3,133.5,133.2,130.1,141.4,133.9,156.5,141.3,148.2,151,147.5,157.6,166,156.9,167.6,168.6,170.5,178.6,176
22,27260,3600,"Jacksonville, FL                                                                                                                                                ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,118.5,121.0,124.8,111.9,112.7,130.3,156.7,132.4,137.7,148.3,158.9,135.5,136.3,135.8,164.6,144.0,142.9,156.2,185.6,158.1,172.9,180.7,208.9,179.6,178.9,181.4,205.9,165.2,164.6,203.2,190.3,153.6,154.0,159.3,145.0,135.8,122.0,123.0,118.9,105.0,95.7,89.9,86.5,90.0,75.0,85.0,80,79.9,82,95.3,94,100,99.9,115,120,120,112,115.3,122.5,122.7,118.5,133,127,134,127.3,140,139.9,143,143,152.5,155.2,155,157,168.4,163,155.3,160,172,175,177,180,185,195.5,200
23,28940,3840,"Knoxville, TN                                                                                                                                                   ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,60.5,71.6,61.7,64.6,71.5,67.1,71.6,72.1,71.7,73.5,76.1,80.2,83.0,81.4,76.7,80.3,86.4,84.7,86.4,80.6,85.3,88.7,85.6,88.9,85.5,90.1,N/A,91.1,90.8,96.6,88.9,89.5,95.5,95.2,99.5,96.9,96.7,103.8,95.7,104.3,100.3,107.7,103.8,109.8,114.2,115.6,115.5,121.0,122.2,121.9,120.7,138.6,139.2,139.0,153.5,145.4,147.0,143.7,169.0,160.8,150.8,144.9,150.9,145.9,139.6,140.2,140.0,135.9,133.5,142.2,132.4,135.8,138.9,138.2,129.7,138.3,126.9,127.6,128,128,124.4,129.6,141.5,136.4,142.6,144.5,143.5,141.8,152.4,144.6,147.9,148.5,143.3,139,140.3,147.1,150.9,151.2,153.5,161.6,151.3,143.3,146.6,169.9,153.9,169.9,170.6,177.4,164.2,174.9,174.8,185.9
24,29820,4120,"Las Vegas-Henderson-Paradise, NV",60.2,54.5,59.7,59.4,59.6,67.2,66.5,65.5,73.0,69.5,69.2,72.2,72.6,73.9,72.5,78.2,76.3,77.2,70.7,74.5,73.1,77.0,73.2,74.3,73.4,75.8,75.4,77.1,74.9,78.1,77.7,79.8,78.0,78.7,80.7,77.3,78.5,75.0,83.5,80.0,85.3,85.8,N/A,83.7,86.4,85.0,87.3,86.4,88.8,91.7,93.6,95.4,93.9,94.8,101.4,104.6,105.7,105.4,110.3,112.1,123.9,148.8,172.7,171.1,181.0,189.5,197.7,200.9,198.9,204.1,205.1,199.0,202.4,195.3,188.2,178.5,160.3,144.8,126.2,91.2,75.2,66.4,67.6,68.5,65.0,68.0,63.6,60.7,59.8,52.2,55,55.9,56.2,59.8,70.1,70.1,74.9,82.8,90,93.1,94.8,103.1,105.9,98.8,106.4,107.3,107.6,103.9,114,115,117.4,116.5,119.3,132.5,138.5,141.8,154.2,161.7,169.1,174.5,167.8,170.1,174.7,175.2,179,184.9,192.7,195.7
25,31084,4480,"Los Angeles-Long Beach-Glendale, CA",226.6,243.7,153.3,144.5,148.0,146.8,147.6,152.1,125.0,143.4,210.6,201.1,212.3,204.7,201.4,197.4,185.6,187.8,175.5,179.3,168.1,174.9,163.8,152.0,150.4,150.0,152.1,153.7,138.4,127.8,133.2,131.0,136.6,140.7,140.1,141.7,150.7,156.0,158.3,157.8,153.8,148.7,N/A,143.1,110.6,127.6,126.9,131.3,165.2,235.5,194.9,218.3,212.4,233.6,216.3,217.2,234.6,258.6,266.3,273.8,260.9,322.5,328.9,345.7,353.9,386.3,406.2,398.8,404.6,410.5,384.5,402.0,393.2,411.6,388.8,363.7,343.7,327.8,282.2,240.6,220,213.9,232.5,222.1,231.7,230.6,220.5,233.1,206.1,244.9,223.1,223.8,220.4,228.2,287.8,280.6,291.1,336.8,362.2,362.9,363.5,385.8,394.4,380.2,375.8,487.4,402.8,409.8,406.4,435.7,414.7,420.4,383.7,427.8,437.4,431.5,446.5,480.6,459.8,460.1,463.1,473.9,468.4,474.7,473.6,474.6,536.4,516.4
26,31140,4520,"Louisville/Jefferson County, KY-IN                                                                                                                                    ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81.2,78.9,80.0,81.5,85.0,84.7,83.2,84.0,83.1,78.9,92.6,90.0,87.9,90.9,N/A,95.0,100.7,95.6,96.5,101.8,101.4,103.5,107.2,101.8,107.0,110.2,109.4,102.7,100.3,105.8,110.7,117.7,108.9,111.6,120.0,114.5,114.0,113.0,120.2,123.3,115.9,120.6,119.6,131.0,127.5,126.4,124.6,125.5,127.8,126.3,124.0,116.1,113.6,115.9,123.3,117.8,124.0,122.2,125.8,128.0,117.8,121.3,117.5,122.2,113.2,120.2,124.4,124.4,120.4,122.6,121.4,115.3,114.1,126.1,136.8,135.1,123.9,128.3,124.4,127.6,122.7,130.5,133.2,138.5,132.6,141.6,143.9,141.5,138.9,145.4,150.5,151.5,153.2,152.4,160.9,153.4,153.4,155.3,172,167.4
27,31540,4720,"Madison, WI                                                                                                                                                     ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,136.8,141.4,140.5,150.9,147.7,146.5,152.8,164.1,160.0,157.2,160.1,165.7,164.4,164.5,158.5,170.6,175.7,165.9,158.0,183.8,169.0,169.0,165.0,178.0,172.4,159.8,169.0,162.4,152.3,151.3,147.1,147.7,140.1,147.1,160.9255512,146.3,147.4,153.4,160.3309987,154.990991,142.3051688,139.2559441,140.9089494,140.9189189,140.3093039,150.4203433,155.9709468,147.2612613,144.8,156.8,152.8,154,150.7,157.4,157.9,155.6,157.5,165.8,173.8,180,175.8,180.5,188.6,186.8,197.4,195.7,196.5,190.2,193.5,202.9,210,213.4,196.6,215.1,219.3,219.4
28,31700,4760,"Manchester-Nashua, NH ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,171.9,177.1,175.2,174.9,142.2,153.6,163.8,N/A,171.8,165.6,157.3,158.9,141.9,150.7,153.1,147.2,130.3,144.9,151.4,151.4,141.5,154.8,164.6,154.8,154.2,161,160.5,149.3,153.5,170.4,164.5,164.8,163.9,173.7,174.9,170.4,175.2,178.4,189.9,180,174.9,197.2,193.3,204.3,192.2,214.9,203.8,209.1,222.8,222,231.3,237.3
29,33100,5000,"Miami-Fort Lauderdale-West Palm Beach, FL  ",54.2,59.6,58.8,55.7,57.4,55.7,57.3,54.6,54.4,58.1,58.5,53.9,54.3,57.1,56.5,54.8,55.5,58.6,59.5,57.0,56.5,59.2,57.7,57.2,55.7,61.8,62.1,58.7,60.2,62.5,62.2,60.6,60.8,63.2,64.7,63.6,64.0,69.6,67.7,67.8,68.8,71.4,72.5,70.9,76.5,78.5,77.3,76.4,81.9,85.7,89.7,88.9,96.3,106.5,111.6,104.6,117.7,123.9,125.3,129.0,137.7,155.0,144.9,150.3,167.5,359.8,198.9,196.3,220.1,219.9,191.0,202.2,237.7,240.0,187.2,190.1,175.0,180.0,159.9,130.0,106.0,105.0,100.0,105.0,91.3,95.5,85.0,82.0,79.0,89.0,87,89,90,105,104,110.1,115,128,135,135,140,145,145,145.5,149,156,155,155,159,168.5,170,167,170,182,180,182,183,198,190,190,190,202.5,200,200,209.9,215,223,230
30,33340,5080,"Milwaukee-Waukesha-West Allis, WI ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,134.5,137.9,138.5,147.5,146.1,149.1,153.5,150.7,151.0,162.7,171.3,169.7,167.0,175.2,176.2,170.0,176.4,168.8,168.6,167.2,172.6,171.4,172.7,172.1,170.6,173.1,169.9,172.4,145.6,157.3,154.4,153.9,160.4,158.6,165.4,160.0,151.9,144.5,154.4,138.6,128.8,139.3,144,144,130.3,145.6,152,148.9,141.3,150.4,151.5,152.4,142.5,151.5,148.3,155.5,143.3,159.4,164.7,163.1,154.1,164.8,174.8,175.5,161.2,179,177.8,187.2,184.2,199.6,199,201.6,204.8,213.5,212.4,205.6
31,34820,34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,130.0,125.1,136.8,126.1,120.8,119.9,117.2,116.9,108.3,117.0,106.4,106.6,99.3,113.7,102,109.1,102.3,109.7,114,113.7,101.2,109,105.6,111.3,102.6,112.7,113.5,111.1,108.4,110.2,118,117,120.4,118.8,121.7,124,122.7,125.5,129.9,133.3,124.9,132.7,137.4,136.3,132.6,139.8,148.2,153.1
32,35004,5380,"Nassau County-Suffolk County, NY                                                                                                          ",108.5,110.1,107.3,110.6,103.6,106.2,110.8,96.9,96.7,103.4,97.4,90.0,99.7,94.4,98.7,85.3,85.7,91.4,85.9,90.2,86.9,96.9,91.0,81.6,66.2,80.4,79.8,77.9,80.3,85.2,87.8,83.7,82.9,85.5,87.9,86.6,89.6,90.7,91.4,88.8,93.3,96.7,N/A,93.6,96.6,96.8,102.4,98.9,109.0,114.9,123.8,134.6,148.4,153.2,156.4,156.2,165.8,192.5,190.4,192.1,196.0,208.1,221.0,219.2,222.8,248.4,251.8,260.6,241.9,252.9,244.4,248.7,248.4,262.4,255.2,249.2,249.9,256.2,239.6,231.8,229.6,236.4,224.3,236.9,228.2,235.6,236.5,232.9,231.1,227.5,220,214.1,217.2,218.8,218.5,218.5,216.2,228.5,230.9,221,219.3,231.4,232.9,226.4,224.9,248.5,240,243,240.7,256.8,261.7,269.9,269,289.7,283.9,282.6,291.8,296.6,312.4,314.6,305.5,317.7,331.7,323.3,331.8,320.1,328.7,358.8
33,35300,5480,"New Haven-Milford, CT ",N/A,N/A,N/A,N/A,111.1,130.0,99.0,100.0,105.0,100.6,104.4,N/A,92.0,100.0,90.4,86.7,85.0,90.8,99.6,81.6,81.0,80.2,83.3,87.1,85.5,71.4,78.6,76.7,63.9,75.7,74.8,75.4,65.0,73.4,71.2,66.7,69.1,74.8,77.9,76.2,74.6,77.6,N/A,75.8,76.3,84.2,84.2,90.8,86.0,101.2,104.0,98.4,106.1,114.6,110.9,120.8,114.1,136.7,133.0,133.6,131.7,146.4,139.0,154.1,148.2,177.7,170.5,168.6,163.6,178.5,182.8,177.5,179.6,194.3,187.1,180.9,163.9,190.9,183.0,169.6,163.7,173.4,173.6,170.9,156.2,164.9,158.1,158.4,157.6,164.7,156.4,157.7,127.4,153.4,142.3,142.3,140,159.3,160,138,122.7,145.3,142.1,129.9,123.9,127.3,137.9,123.5,117.7,134.2,138.8,133,128,146.2,157.1,137.4,129.9,148.8,145.6,136.9,128.1,147.7,144.1,143.5,136.3,151.9,160.8,163.4
34,35380,5560,"New Orleans-Metairie, LA",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,38.9,42.4,39.8,45.4,42.8,43.6,44.8,45.8,46.8,54.0,59.7,47.6,52.9,56.5,57.7,55.0,54.4,60.8,74.4,60.3,63.3,64.0,64.9,57.2,72.8,79.7,70.9,70.6,72.3,74.2,76.9,76.5,76.4,79.4,94.9,85.4,96.5,97.0,99.9,101.3,107.5,102.9,108.8,101.9,115.7,133.3,127.6,118.9,126.7,136.6,194.9,169.3,138.0,160.8,162.3,120.8,126.7,141.7,142.6,142.4,146.1,164.3,153.6,140.9,143.2,156.5,145.3,139.2,162.8,150.3,153.5,140.3,130.9,150.5,132.7432501,144.6636558,156.6135421,160.8807212,157.7941926,145.4029931,154.2146476,163.7887194,166.3525217,153.2892571,155.2427453,169.690245,175,153.7,186,185,175.3,185,153.8,187.6,162.7,136.1,162.2,192.7,143.7,175.5,177.4,186.8,173.3,163.6,173.6,193.3,182.8,180.9,183.1,178.8,180.9,194.9
35,35614,875,"New York-Jersey City-White Plains, NY-NJ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281.5,316.8,296.2,293.8,290.9,292.4,298.3,281.0,292.0,285.7,283.9,269.4,248.2,249.1,270.4,256.2,252.8,276.5,314.4,249.3,241.3,233.9,248.8,226.3,210.2,231.5,227.9,230.6,220.3,226.7,241.3,229.8,227.5,252.6,249.7,219.7,197.2,257.3,269,250.9,242.3,260.7,260.6,261.7,257.6,269.7,274.1,277.1,279.9,284.5,294.6,293.6,286.2,298,314,297.4,305.2,307.7,298.5,310.2
36,35084,5640,"Newark, NJ-PA                                                                                                                                   ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,128.2,132.5,142.7,140.9,133.2,137.4,144.4,141.2,120.9,133.9,136.5,142.8,138.8,143.1,144.9,152.9,155.5,150.6,153.2,162.6,153.4,161.4,185.1,200.9,189.9,197.8,207.2,227.6,222.9,240.0,248.8,260.6,257.6,278.8,287.9,276.7,290.4,299.0,320.9,319.4,314.2,328.9,330.3,309.8,292.4,305.7,299.4,296.7,304.6,295.0,292.5,274.7,270.6,267.7,276.7,261.7,263.9,275.9,288.6,273.6,258.5,265.0,280.4,247.7,252.7,274.5,259.9,237.6,242.5,250.5,259.8,250.7,239.7,263.2,278.4,252.2,254.5,271.6,266.3,247.7,255.2,265.1,261.5,254.1,244.9,266.1,277.4,260.3,260.2,275.6,271.6,256.6,258.9,281,284.1,274.9,273.7,287,292,302.2
