MEDIAN SALES PRICE OF EXISTING CONDO and CO-OP HOMES ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FOR METROPOLITAN AREAS: QUARTERLY, 1989 - current",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Not Seasonally Adjusted in Thousands of Dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Existing Home Sales Program © 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Association of REALTORS ® Research Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CBSAID,MSA ID,MSA Name,1989:I,1989:II,1989:III,1989:IV,1990:I,1990:II,1990:III,1990:IV,1991:I,1991:II,1991:III,1991:IV,1992:I,1992:II,1992:III,1992:IV,1993:I,1993:II,1993:III,1993:IV,1994:I,1994:II,1994:III,1994:IV,1995:I,1995:II,1995:III,1995:IV,1996:I,1996:II,1996:III,1996:IV,1997:I,1997:II,1997:III,1997:IV,1998:I,1998:II,1998:III,1998:IV,1999:I,1999:II,1999:III,1999:IV,2000:I,2000:II,2000:III,2000:IV,200I:I,200I:II,200I:III,200I:IV,2002:I,2002:II,2002:III,2002:IV,2003:I,2003:II,2003:III,2003:IV,2004:I,2004:II,2004:III,2004:IV,2005:I,2005:II,2005:III,2005:IV ,2006.I ,2006.II ,2006.III ,2006.IV ,2007.I ,2007.II ,2007.III ,2007.IV ,2008.I ,2008.II ,2008.III ,2008.IV ,2009.I,2009.II,2009.III,2009.IV,2010.I ,2010.II ,2010.III,2010.IV,2011.I,2011.II,2011.III,2011.IV,2012.I,2012.II,2012.III,2012.IV,2013.I,2013.II,2013.III,2013.IV,2014.I,2014.II,2014.III,2014.IV,2015.I,2015.II,2015.III,2015.IV,2016.I,2016.II,2016.III,2016.IV,2017.I,2017.II,2017.III,2017.IV,2018.I,2018.II,2018.III,2018.IV,2019.I,2019.II,2019.III,2019.IV,2020.I,2020.II,2020.III,2020.IV
5,12700,730,"Barnstable Town, MA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.3,259.8,237.9,238.4,244.2,229.8,171.1,197.0,215.9,222,189.9,220.6,181.6,181.6,174.9,224.3,224.9,189.9,184.2,212.4,240.5,191.8,209.8,233.6,232.9,201.2,208.1,256.4,248.6,266.2,245,267,281,284.8,273.4,293.2,274.4,297.5,268.2,284.1,305.1,281.4,301.7,308.4,344.6,386.4
6,13900,1010,"Bismarck, ND",49.2,48.8,52.8,48.3,50.0,50.9,51.1,54.3,46.2,55.0,58.8,55.5,60.0,46.8,56.1,47.7,55.0,65.8,57.4,59.4,67.9,58.7,70.0,69.1,62.5,60.0,66.6,60.0,66.6,67.1,70.0,62.5,58.5,75.0,76.9,70.5,66.3,76.1,72.7,65.5,76.4,75.9,80.0,76.6,75.5,77.4,85.8,90.0,94.0,78.7,82.0,75.0,80.0,75.0,85.0,77.4,94.3,96.2,80.0,95.0,93.7,98.3,100.7,107.7,100.0,99.4,105.0,105.7,97.4,110.0,109.0,103.5,91.6,122.9,133.3,124.9,124.9,128.5,125.9,131.0,127.7,126.0,119.0,124.6,130.0,128.5,121.3,126.4,129.0,135.5,135.5,126.6,145.9,137.4,151.8,151.8,154.9,157.6,152.4,168.8,159.2,158.5,183.9,194.9,171.4,169.9,182.3,180.0,180.0,168.1,146.3,165.9,168.9,167.2,186.2,171.4,168.7,168.9,181.9,163.3,167.4,168.9,163.8,156.6,149.9,163.9,164.7,160.0
7,14460,1120,"Boston-Cambridge-Newton, MA-NH                                                                                                                               ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,204.4,227.6,235.4,231.5,226.6,255.2,261.0,252.9,254.1,282.9,292.7,282.5,289.8,303.2,306.5,291.7,294.0,304.7,300.8,290.0,292.7,316.4,316.0,296.9,287.8,306.3,307.0,272.9,232.9,277.4,293.7,267.3,271.4,290.1,308.0,282.6,265.0,311.8,313.8,280.5,271.4,322.8,304.1,304.1,289,333.1,339.6,325.8,325.1,349.4,343.3,329.1,331,360.4,359.3,346.3,340.8,378.5,379.6,364,373.1,401.2,396,392.8,407.8,432.8,425.8,399.2,404.6,453.7,439.3,432.8,453.5,465.1,468.9,448.1
8,14500,1125,"Boulder, CO                                                                                                                                                     ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,168.9,185.5,182.2,N/A,188.8,192.8,193.7,190.5,186.7,N/A,188.5,191.3,N/A,198.1,191.9,199.2,206.2,212.7,205.5,207.4,206.2,224.9,204.9,214.6,215.4,217.1,209.4,212.7,214.2,215.9,217.0,204.8,205.5,204.0,207.0,194.1,212.5,200.0,211.3,211.6,201.9,224.9,209.9,209,216.9,222.1,216.6,216.6,215.4,223.1,237.4,231.2,221.4,232.9,236.5,230.7,254.9,268.5,272.2,285,330.1,347,347.9,339.8,351.9,369.5,363.2,357.2,397.7,394.4,378.2,385.1,394.6,389.2,388.9,387.4,422.7,395.4,406.6,426.4
9,14860,1160,"Bridgeport-Stamford-Norwalk, CT                                                                                                                                 ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,174.7,196.7,195.3,188.5,199.3,219.3,228.9,221.8,226.6,236.2,239.7,241.8,259.6,N/A,265.0,256.0,275.7,254.7,283.7,250.6,258.2,283.0,274.5,260.1,N/A,261.7,270.8,232.9,N/A,233.3,242.0,238.4,237.8,247.1,238.4,236.7,224.9,202.8,223.9,195.4,182.6,224.9,213.6,213.6,193.5,227.1,236.7,211.5,204.7,221.3,249.3,219,194.7,228.8,231.7,203.9,191.2,231,229.6,224.5,202.5,239.6,250,238.2,226.3,260.4,250.4,232.8,242.6,243.3,247,245.3,255,259.7,281.3,279.2
10,15980,2700,"Cape Coral-Fort Myers, FL                                                                                                                                       ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,164.8,177.6,152.5,197.0,N/A,N/A,243.7,263.8,323.0,322.5,265.7,226.9,265.3,219.4,219.8,167.9,200.0,197.5,182.5,141.0,125.00,122.80,107.3,108.5,112.9,115.0,94.0,105.0,115.5,126.7,111.9,110,134,142.5,120,135,136,152.5,142.5,150,160,167.8,164.5,168.8,172,182,175,177.8,180,185,175,184,190,195,178,184,190,195,185,192.5,190,200,182.5,194.4,205,202.8,205,222
11,16980,1600,"Chicago-Naperville-Elgin, IL-IN-WI                                                                                                                             ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,158.9,167.3,171.8,169.8,169.5,178.5,182.7,181.8,181.7,190.8,193.6,194.2,207.4,210.8,216.7,214.0,216.9,223.2,226.0,222.0,223.8,232.4,236.8,236.3,239.4,244.3,237.2,209.4,195.7,202.7,199.6,183.9,175.6,186.3,167.3,153.1,133.2,145.4,144.1,119.4,118.2,140.3,123.7,123.7,116.9,152.7,160.5,143.2,138.9,175.1,174.1,156.1,163.8,191.2,185.1,166.3,171.1,197.9,189.9,180.1,185.1,207.3,199.4,187.1,197.9,212.4,199.5,191.1,195.8,216.8,207.2,197.5,202.4,218.4,219.7,210.1
12,17140,1640,"Cincinnati, OH-KY-IN",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,75.7,76.4,76.7,78.3,76.0,81.4,81.7,78.3,82.4,80.8,85.4,84.3,80.0,85.4,85.3,87.0,N/A,89.3,N/A,91.7,90.1,95.4,93.8,96.5,93.2,95.7,96.0,101.3,N/A,103.0,102.2,98.1,105.5,108.3,N/A,N/A,110.7,N/A,115.2,N/A,N/A,116.7,119.5,127.2,122.6,130.0,114.8,122.0,121.5,123.6,117.5,125.6,117.3,122.4,117.3,122.5,116.2,111.8,119.7,113.0,111.2,121.5,119.8,110.4,89.8,110.2,109.4,104.4,100.3,102.2,106.7,106.7,108.1,109,112.4,107.1,102.7,112.4,113.4,111.4,108.1,109.7,110.8,107.2,110.2,119.2,114.3,116,111.9,122.1,124.3,123.4,127.5,133.6,132,121.5,129.3,137.6,139.3,135.2,147.8,146.6,151,151
13,17460,1680,"Cleveland-Elyria, OH",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,117.4,115.3,122.4,123.7,139.5,122.6,129.7,121.9,126.7,117.6,127.4,123.4,120.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,121.4,116,112.2,124.6,120.6,120.2,114.7,127.5,130.5,130.6
14,17820,1720,"Colorado Springs, CO                                                                                                                                            ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,57.3,59.8,60.0,62.1,66.1,66.2,65.2,67.4,76.6,79.3,79.7,84.7,82.5,87.7,81.6,83.1,81.8,82.9,88.3,84.2,88.7,89.2,92.8,88.9,95.3,95.7,N/A,97.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,140.6,133.5,145.7,136.9,144.3,132.9,148.4,154.8,149.6,151.9,149.9,159.0,144.6,141.8,142.2,148.5,140.0,132.3,142.5,129.2,134.8,128.7,135.6,133.5,128.1,128.4,120.4,131.2,120.3,127,124.8,131.1,131.1,132.9,137.2,145.5,132,132.6,147.7,150.3,145.4,143.7,151.9,156.1,154.7,160.1,167.3,172.4,167.9,176.8,184.9,193.9,192.6,205.8,215,219.9,215.3,215.5,230.3,236.8,231.7,232.7,238.4,247,243.3
