Pending Home Sales,,,,,,,,,,,,,,,,,,,,,,,
United States & Each Region ,,,,,,,,,,,,,,,,,,,,,,,
Annual & Monthly: 2001-current,,,,,,,,,,,,,,,,,,,,,,,
(Seasonally Adjusted Annual Rates),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Existing Home Sales Program © 2021,,,,,,,,,,,,,,,,,,,,,,,
National Association of REALTORS ® Research Division,,,,,,,,,,,,,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,,,,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,,,,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Month-to-Month % Change,,,,,,Year-Over-Year % Change,,,,,,,,,,
,US,NE,MW,SO,WE,,US,NE,MW,SO,WE,,US,NE,MW,SO,WE,,,,,,
Annual,,,,,,,,,,,,,,,,,,,,,,,
2002.07,100.5,101.8,102.1,97.4,102.6,,1.8%,4.5%,2.7%,0.6%,0.6%,,2.8%,4.1%,4.6%,0.9%,2.6%,,,,,,
2002.08,101.7,103.2,103.8,98.8,102.8,,1.2%,1.4%,1.7%,1.4%,0.2%,,4.3%,3.9%,8.5%,1.9%,4.2%,,,,,,
2002.09,102.8,103.1,106.0,99.5,104.6,,1.2%,-0.1%,2.1%,0.7%,1.8%,,14.5%,15.1%,20.9%,9.5%,15.6%,,,,,,
2002.10,100.9,102.4,106.4,96.9,100.1,,-1.9%,-0.7%,0.4%,-2.6%,-4.3%,,3.0%,1.7%,9.5%,-3.9%,8.3%,,,,,,
2002.11,103.8,106.8,107.1,100.4,103.6,,3.0%,4.3%,0.7%,3.6%,3.5%,,1.4%,2.6%,4.9%,-3.4%,4.6%,,,,,,
2002.12,103.1,103.6,106.0,99.8,105.0,,-0.7%,-3.0%,-1.0%,-0.6%,1.4%,,-5.1%,-13.1%,-1.7%,-7.0%,1.4%,,,,,,
2003.01,105.4,101.1,106.4,108.6,102.7,,2.2%,-2.4%,0.4%,8.8%,-2.2%,,-0.8%,-6.0%,0.8%,2.4%,-3.4%,,,,,,
2003.02,99.3,91.6,103.6,97.6,103.6,,-5.8%,-9.4%,-2.6%,-10.1%,0.9%,,-6.3%,-14.8%,-1.1%,-7.8%,-2.5%,,,,,,
2003.03,103.9,97.1,108.4,104.4,103.6,,4.6%,6.0%,4.6%,7.0%,0.0%,,0.6%,-8.7%,8.5%,3.3%,-4.2%,,,,,,
2003.04,105.5,97.7,108.6,104.8,109.6,,1.6%,0.6%,0.2%,0.4%,5.8%,,2.2%,-6.7%,6.3%,5.1%,0.6%,,,,,,
2003.05,105.8,99.0,108.5,104.2,110.6,,0.2%,1.3%,-0.1%,-0.6%,0.9%,,6.4%,-0.3%,9.5%,6.5%,8.1%,,,,,,
2003.06,110.8,103.0,114.7,109.3,115.2,,4.8%,4.0%,5.7%,4.9%,4.2%,,12.3%,5.7%,15.4%,12.9%,12.9%,,,,,,
2003.07,113.6,104.3,120.0,111.9,116.7,,2.5%,1.3%,4.6%,2.4%,1.3%,,13.0%,2.5%,17.5%,14.9%,13.7%,,,,,,
2003.08,107.5,100.9,112.5,107.9,106.6,,-5.4%,-3.3%,-6.3%,-3.6%,-8.7%,,5.7%,-2.2%,8.4%,9.2%,3.7%,,,,,,
2003.09,107.8,102.0,108.8,109.6,108.4,,0.3%,1.1%,-3.3%,1.6%,1.7%,,4.9%,-1.1%,2.6%,10.2%,3.6%,,,,,,
2003.10,110.1,105.3,109.2,112.3,111.2,,2.1%,3.2%,0.4%,2.5%,2.6%,,9.1%,2.8%,2.6%,15.9%,11.1%,,,,,,
2003.11,110.1,111.8,105.3,111.0,112.6,,0.1%,6.2%,-3.6%,-1.2%,1.3%,,6.1%,4.7%,-1.7%,10.6%,8.7%,,,,,,
2003.12,108.9,102.9,109.6,110.9,109.6,,-1.1%,-8.0%,4.1%,-0.1%,-2.7%,,5.6%,-0.7%,3.4%,11.1%,4.4%,,,,,,
2004.01,111.1,106.6,110.6,116.3,106.9,,2.0%,3.6%,0.9%,4.9%,-2.5%,,5.4%,5.4%,3.9%,7.1%,4.1%,,,,,,
2004.02,114.1,106.7,110.9,120.0,113.9,,2.7%,0.1%,0.3%,3.2%,6.5%,,14.9%,16.5%,7.0%,23.0%,9.9%,,,,,,
2004.03,120.7,116.5,122.1,124.4,116.6,,5.8%,9.2%,10.1%,3.7%,2.4%,,16.2%,20.0%,12.6%,19.2%,12.5%,,,,,,
2004.04,117.5,106.5,115.8,122.6,119.7,,-2.7%,-8.6%,-5.2%,-1.4%,2.7%,,11.4%,9.0%,6.6%,17.0%,9.2%,,,,,,
2004.05,121.7,109.9,121.3,128.0,121.5,,3.6%,3.2%,4.7%,4.4%,1.5%,,15.0%,11.0%,11.8%,22.8%,9.9%,,,,,,
2004.06,119.5,108.9,116.5,126.6,119.8,,-1.8%,-0.9%,-4.0%,-1.1%,-1.4%,,7.9%,5.7%,1.6%,15.8%,4.0%,,,,,,
