Inventory and Months Supply of Condo/Coops,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,
"Annual and monthly, 1999 - current",,,,,,,,,,,,,,
(Not Seasonally Adjusted),,,,,,,,,,,,,,
Existing Home Sales Program © 2021,,,,,,,,,,,,,,
National Association of REALTORS ® Research Division,,,,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Inventory,Months Supply,,,,,,,,,,,,
2006.04,"485,000",7.0,,,,,,,,,,,,
2006.05,"549,000",7.9,,,,,,,,,,,,
2006.06,"518,000",8.0,,,,,,,,,,,,
2006.07,"551,000",8.5,,,,,,,,,,,,
2006.08,"554,000",8.5,,,,,,,,,,,,
2006.09,"553,000",8.5,,,,,,,,,,,,
2006.10,"570,000",9.0,,,,,,,,,,,,
2006.11,"580,000",8.9,,,,,,,,,,,,
2006.12,"530,000",8.0,,,,,,,,,,,,
2007.01,"432,000",7.2,,,,,,,,,,,,
2007.02,"538,000",9.1,,,,,,,,,,,,
2007.03,"510,000",9.0,,,,,,,,,,,,
2007.04,"553,000",9.9,,,,,,,,,,,,
2007.05,"578,000",10.2,,,,,,,,,,,,
2007.06,"536,000",10.2,,,,,,,,,,,,
2007.07,"641,000",12.2,,,,,,,,,,,,
2007.08,"565,000",11.5,,,,,,,,,,,,
2007.09,"600,000",12.2,,,,,,,,,,,,
2007.10,"550,000",12.7,,,,,,,,,,,,
2007.11,"524,000",12.1,,,,,,,,,,,,
2007.12,"508,000",11.5,,,,,,,,,,,,
2008.01,"429,000",11.2,,,,,,,,,,,,
2008.02,"496,000",12.4,,,,,,,,,,,,
2008.03,"483,000",12.6,,,,,,,,,,,,
2008.04,"521,000",13.9,,,,,,,,,,,,
