Existing Condo/Coop Sales,,,,,,,,,,,,,,,,,,,
United States and Each Region ,,,,,,,,,,,,,,,,,,,
"Monthly, 1999 to current",,,,,,,,,,,,,,,,,,,
(Not Seasonally Adjusted),,,,,,,,,,,,,,,,,,,
Existing Home Sales Program © 2021,,,,,,,,,,,,,,,,,,,
National Association of REALTORS ® Research Division,,,,,,,,,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,Year over Year % Change,,,,,,,,,,,,
,U.S.,Northeast,Midwest,South,West,,U.S.,Northeast,Midwest,South,West,,,,,,,,
2015.09,"54,000","11,000","7,000","23,000","13,000",,3.8%,10.0%,0.0%,0.0%,8.3%,,,,,,,,
2015.10,"51,000","11,000","7,000","21,000","12,000",,-5.6%,0.0%,0.0%,-12.5%,0.0%,,,,,,,,
2015.11,"39,000","8,000","5,000","19,000","7,000",,2.6%,0.0%,0.0%,5.6%,0.0%,,,,,,,,
2015.12,"51,000","10,000","6,000","23,000","12,000",,8.5%,11.1%,0.0%,9.5%,9.1%,,,,,,,,
2016.01,"31,000","5,000","4,000","14,000","8,000",,6.9%,25.0%,0.0%,7.7%,0.0%,,,,,,,,
2016.02,"38,000","5,000","4,000","19,000","10,000",,2.7%,0.0%,0.0%,0.0%,11.1%,,,,,,,,
2016.03,"51,000","7,000","5,000","25,000","14,000",,-3.8%,0.0%,0.0%,-7.4%,0.0%,,,,,,,,
2016.04,"55,000","9,000","7,000","24,000","15,000",,1.9%,12.5%,16.7%,-4.0%,0.0%,,,,,,,,
2016.05,"58,000","11,000","8,000","24,000","15,000",,5.5%,0.0%,14.3%,4.3%,7.1%,,,,,,,,
2016.06,"63,000","12,000","9,000","26,000","16,000",,1.6%,9.1%,0.0%,0.0%,0.0%,,,,,,,,
2016.07,"58,000","13,000","9,000","23,000","13,000",,-10.8%,-18.8%,-10.0%,-8.0%,-7.1%,,,,,,,,
2016.08,"62,000","13,000","9,000","24,000","16,000",,6.9%,0.0%,12.5%,9.1%,6.7%,,,,,,,,
2016.09,"56,000","11,000","8,000","23,000","14,000",,3.7%,0.0%,14.3%,0.0%,7.7%,,,,,,,,
2016.10,"49,000","10,000","7,000","20,000","12,000",,-3.9%,-9.1%,0.0%,-4.8%,0.0%,,,,,,,,
2016.11,"45,000","10,000","6,000","20,000","9,000",,15.4%,25.0%,20.0%,5.3%,28.6%,,,,,,,,
2016.12,"48,000","10,000","6,000","21,000","11,000",,-5.9%,0.0%,0.0%,-8.7%,-8.3%,,,,,,,,
2017.01,"32,000","5,000","4,000","14,000","9,000",,3.2%,0.0%,0.0%,0.0%,12.5%,,,,,,,,
2017.02,"38,000","5,000","4,000","19,000","10,000",,0.0%,0.0%,0.0%,0.0%,0.0%,,,,,,,,
2017.03,"56,000","8,000","6,000","28,000","14,000",,9.8%,14.3%,20.0%,12.0%,0.0%,,,,,,,,
2017.04,"52,000","8,000","6,000","24,000","14,000",,-5.5%,-11.1%,-14.3%,0.0%,-6.7%,,,,,,,,
2017.05,"62,000","11,000","8,000","27,000","16,000",,6.9%,0.0%,0.0%,12.5%,6.7%,,,,,,,,
2017.06,"64,000","12,000","9,000","27,000","16,000",,1.6%,0.0%,0.0%,3.8%,0.0%,,,,,,,,
2017.07,"58,000","13,000","8,000","24,000","13,000",,0.0%,0.0%,-11.1%,4.3%,0.0%,,,,,,,,
2017.08,"61,000","13,000","9,000","24,000","15,000",,-1.6%,0.0%,0.0%,0.0%,-6.3%,,,,,,,,
2017.09,"52,000","11,000","7,000","21,000","13,000",,-7.1%,0.0%,-12.5%,-8.7%,-7.1%,,,,,,,,
2017.10,"52,000","11,000","7,000","21,000","13,000",,6.1%,10.0%,0.0%,5.0%,8.3%,,,,,,,,
2017.11,"45,000","10,000","6,000","20,000","9,000",,0.0%,0.0%,0.0%,0.0%,0.0%,,,,,,,,
2017.12,"47,000","9,000","6,000","22,000","10,000",,-2.1%,-10.0%,0.0%,4.8%,-9.1%,,,,,,,,
2018.01,"32,000","5,000","4,000","15,000","8,000",,0.0%,0.0%,0.0%,7.1%,-11.1%,,,,,,,,
2018.02,"36,000","5,000","4,000","18,000","9,000",,-5.3%,0.0%,0.0%,-5.3%,-10.0%,,,,,,,,
2018.03,"52,000","7,000","6,000","26,000","13,000",,-7.1%,-12.5%,0.0%,-7.1%,-7.1%,,,,,,,,
2018.04,"56,000","8,000","7,000","27,000","14,000",,7.7%,0.0%,16.7%,12.5%,0.0%,,,,,,,,
2018.05,"60,000","10,000","8,000","27,000","15,000",,-3.2%,-9.1%,0.0%,0.0%,-6.3%,,,,,,,,
2018.06,"62,000","11,000","8,000","27,000","16,000",,-3.1%,-8.3%,-11.1%,0.0%,0.0%,,,,,,,,
2018.07,"58,000","12,000","8,000","25,000","13,000",,0.0%,-7.7%,0.0%,4.2%,0.0%,,,,,,,,
2018.08,"61,000","13,000","8,000","26,000","14,000",,0.0%,0.0%,-11.1%,8.3%,-6.7%,,,,,,,,
2018.09,"48,000","10,000","6,000","21,000","11,000",,-7.7%,-9.1%,-14.3%,0.0%,-15.4%,,,,,,,,
2018.10,"51,000","10,000","7,000","22,000","12,000",,-1.9%,-9.1%,0.0%,4.8%,-7.7%,,,,,,,,
2018.11,"44,000","10,000","6,000","20,000","8,000",,-2.2%,0.0%,0.0%,0.0%,-11.1%,,,,,,,,
2018.12,"41,000","9,000","5,000","19,000","8,000",,-12.8%,0.0%,-16.7%,-13.6%,-20.0%,,,,,,,,
2019.01,"30,000","5,000","4,000","14,000","7,000",,-6.3%,0.0%,0.0%,-6.7%,-12.5%,,,,,,,,
2019.02,"34,000","5,000","4,000","17,000","8,000",,-5.6%,0.0%,0.0%,-5.6%,-11.1%,,,,,,,,
2019.03,"45,000","6,000","5,000","23,000","11,000",,-13.5%,-14.3%,-16.7%,-11.5%,-15.4%,,,,,,,,
2019.04,"53,000","8,000","6,000","26,000","13,000",,-5.4%,0.0%,-14.3%,-3.7%,-7.1%,,,,,,,,
2019.05,"60,000","10,000","8,000","28,000","14,000",,0.0%,0.0%,0.0%,3.7%,-6.7%,,,,,,,,
2019.06,"55,000","10,000","7,000","25,000","13,000",,-11.3%,-9.1%,-12.5%,-7.4%,-18.8%,,,,,,,,
2019.07,"58,000","11,000","8,000","26,000","13,000",,0.0%,-8.3%,0.0%,4.0%,0.0%,,,,,,,,
2019.08,"57,000","12,000","7,000","25,000","13,000",,-6.6%,-7.7%,-12.5%,-3.8%,-7.1%,,,,,,,,
2019.09,"49,000","10,000","6,000","22,000","11,000",,2.1%,0.0%,0.0%,4.8%,0.0%,,,,,,,,
2019.10,"50,000","10,000","6,000","22,000","12,000",,-2.0%,0.0%,-14.3%,0.0%,0.0%,,,,,,,,
2019.11,"40,000","9,000","5,000","19,000","7,000",,-9.1%,-10.0%,-16.7%,-5.0%,-12.5%,,,,,,,,
2019.12,"48,000","10,000","6,000","23,000","9,000",,17.1%,11.1%,20.0%,21.1%,12.5%,,,,,,,,
2020.01,"32,000","6,000","4,000","15,000","7,000",,6.7%,20.0%,0.0%,7.0%,0.0%,,,,,,,,
2020.02,"36,000","5,000","4,000","18,000","9,000",,5.9%,0.0%,0.0%,6.0%,13.0%,,,,,,,,
2020.03,"44,000","6,000","5,000","23,000","10,000",,-2.2%,0.0%,0.0%,0.0%,-9.0%,,,,,,,,
2020.04,"35,000","5,000","5,000","17,000","8,000",,-34.0%,-37.5%,-17.0%,-35.0%,-39.0%,,,,,,,,
2020.05,"32,000","5,000","5,000","15,000","7,000",,-46.7%,-50.0%,-38.0%,-46.0%,-50.0%,,,,,,,,
2020.06,"47,000","7,000","6,000","23,000","11,000",,-14.5%,-30.0%,-14.0%,-8.0%,-15.0%,,,,,,,,
2020.07,"59,000","10,000","8,000","28,000","13,000",,1.7%,-9.1%,0.0%,8.0%,0.0%,,,,,,,,
2020.08,"59,000","11,000","8,000","27,000","13,000",,3.5%,-8.3%,14.0%,8.0%,0.0%,,,,,,,,
2020.09,"61,000","12,000","8,000","27,000","14,000",,24.5%,20.0%,33.0%,23.0%,27.0%,,,,,,,,
2020.10,"62,000","12,000","8,000","28,000","14,000",,24.0%,20.0%,33.0%,27.0%,17.0%,,,,,,,,
2020.11,"51,000","11,000","6,000","25,000","9,000",,27.5%,22.2%,20.0%,32.0%,29.0%,,,,,,,,
2020.12,"60,000","13,000","7,000","29,000","11,000",,25.0%,30.0%,17.0%,26.0%,22.0%,,,,,,,,
