Existing Condo/Coop Sales,,,,,,,,,,,,,,,,,,,
United States and Each Region ,,,,,,,,,,,,,,,,,,,
"Monthly, 1999 to current",,,,,,,,,,,,,,,,,,,
(Not Seasonally Adjusted),,,,,,,,,,,,,,,,,,,
Existing Home Sales Program © 2021,,,,,,,,,,,,,,,,,,,
National Association of REALTORS ® Research Division,,,,,,,,,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,Year over Year % Change,,,,,,,,,,,,
,U.S.,Northeast,Midwest,South,West,,U.S.,Northeast,Midwest,South,West,,,,,,,,
2003.02,"43,000","13,000","7,000","15,000","8,000",,4.9%,0.0%,0.0%,15.4%,0.0%,,,,,,,,
2003.03,"52,000","15,000","10,000","18,000","9,000",,2.0%,7.1%,0.0%,5.9%,-10.0%,,,,,,,,
2003.04,"61,000","18,000","12,000","20,000","11,000",,3.4%,5.9%,0.0%,5.3%,0.0%,,,,,,,,
2003.05,"67,000","23,000","13,000","19,000","12,000",,1.5%,4.5%,0.0%,0.0%,0.0%,,,,,,,,
2003.06,"67,000","23,000","14,000","19,000","11,000",,11.7%,15.0%,16.7%,5.6%,10.0%,,,,,,,,
2003.07,"79,000","31,000","18,000","19,000","11,000",,19.7%,24.0%,20.0%,11.8%,22.2%,,,,,,,,
2003.08,"76,000","27,000","15,000","19,000","15,000",,18.8%,22.7%,15.4%,11.8%,25.0%,,,,,,,,
2003.09,"68,000","23,000","15,000","19,000","11,000",,23.6%,21.1%,36.4%,18.8%,22.2%,,,,,,,,
2003.10,"65,000","23,000","13,000","18,000","11,000",,16.1%,15.0%,18.2%,12.5%,22.2%,,,,,,,,
2003.11,"51,000","18,000","10,000","14,000","9,000",,4.1%,0.0%,11.1%,0.0%,12.5%,,,,,,,,
2003.12,"63,000","23,000","11,000","19,000","10,000",,16.7%,15.0%,22.2%,18.8%,11.1%,,,,,,,,
2004.01,"39,000","12,000","8,000","12,000","7,000",,-2.5%,-7.7%,0.0%,0.0%,0.0%,,,,,,,,
2004.02,"47,000","15,000","7,000","16,000","9,000",,9.3%,15.4%,0.0%,6.7%,12.5%,,,,,,,,
2004.03,"64,000","19,000","13,000","21,000","11,000",,23.1%,26.7%,30.0%,16.7%,22.2%,,,,,,,,
2004.04,"72,000","22,000","14,000","23,000","13,000",,18.0%,22.2%,16.7%,15.0%,18.2%,,,,,,,,
2004.05,"75,000","26,000","15,000","21,000","13,000",,11.9%,13.0%,15.4%,10.5%,8.3%,,,,,,,,
2004.06,"83,000","29,000","17,000","23,000","14,000",,23.9%,26.1%,21.4%,21.1%,27.3%,,,,,,,,
2004.07,"89,000","36,000","20,000","21,000","12,000",,12.7%,16.1%,11.1%,10.5%,9.1%,,,,,,,,
2004.08,"84,000","31,000","17,000","21,000","15,000",,10.5%,14.8%,13.3%,10.5%,0.0%,,,,,,,,
2004.09,"69,000","26,000","14,000","18,000","11,000",,1.5%,13.0%,-6.7%,-5.3%,0.0%,,,,,,,,
2004.10,"67,000","26,000","12,000","18,000","11,000",,3.1%,13.0%,-7.7%,0.0%,0.0%,,,,,,,,
2004.11,"62,000","23,000","12,000","17,000","10,000",,21.6%,27.8%,20.0%,21.4%,11.1%,,,,,,,,
2004.12,"69,000","27,000","12,000","19,000","11,000",,9.5%,17.4%,9.1%,0.0%,10.0%,,,,,,,,
2005.01,"45,000","15,000","9,000","14,000","7,000",,15.4%,25.0%,12.5%,16.7%,0.0%,,,,,,,,
2005.02,"51,000","17,000","8,000","17,000","9,000",,8.5%,13.3%,14.3%,6.3%,0.0%,,,,,,,,
2005.03,"69,000","21,000","13,000","22,000","13,000",,7.8%,10.5%,0.0%,4.8%,18.2%,,,,,,,,
2005.04,"77,000","26,000","14,000","24,000","13,000",,6.9%,18.2%,0.0%,4.3%,0.0%,,,,,,,,
2005.05,"87,000","32,000","17,000","24,000","14,000",,16.0%,23.1%,13.3%,14.3%,7.7%,,,,,,,,
2005.06,"92,000","35,000","18,000","24,000","15,000",,10.8%,20.7%,5.9%,4.3%,7.1%,,,,,,,,
2005.07,"95,000","41,000","20,000","22,000","12,000",,6.7%,13.9%,0.0%,4.8%,0.0%,,,,,,,,
2005.08,"97,000","37,000","20,000","23,000","17,000",,15.5%,19.4%,17.6%,9.5%,13.3%,,,,,,,,
2005.09,"81,000","31,000","17,000","21,000","12,000",,17.4%,19.2%,21.4%,16.7%,9.1%,,,,,,,,
2005.10,"68,000","26,000","13,000","18,000","11,000",,1.5%,0.0%,8.3%,0.0%,0.0%,,,,,,,,
2005.11,"64,000","23,000","14,000","17,000","10,000",,3.2%,0.0%,16.7%,0.0%,0.0%,,,,,,,,
