Inventory and Months Supply of Total EHS,,,,,,,
United States,,,,,,,
"Annual and monthly, 1999 - current",,,,,,,
(Not Seasonally Adjusted and Seasonally Adjusted),,,,,,,
Existing Home Sales Program © 2021,,,,,,,
National Association of REALTORS ® Research Division,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,
,,,,,,,
,,,,,,,
,Inventory,Months Supply,,SA Inv,SA Months,,
2005.08,"2,840,000",4.7,,"2,710,000",4.5,,
2005.09,"2,770,000",4.6,,"2,740,000",4.5,,
2005.10,"2,870,000",4.8,,"2,780,000",4.7,,
2005.11,"2,920,000",5.0,,"2,840,000",4.9,,
2005.12,"2,850,000",5.0,,"3,060,000",5.4,,
2006.01,"2,880,000",5.2,,"3,110,000",5.6,,
2006.02,"2,990,000",5.2,,"3,160,000",5.5,,
2006.03,"3,200,000",5.6,,"3,370,000",5.9,,
2006.04,"3,420,000",6.1,,"3,360,000",6.0,,
2006.05,"3,590,000",6.5,,"3,520,000",6.4,,
2006.06,"3,740,000",6.9,,"3,610,000",6.7,,
2006.07,"3,860,000",7.3,,"3,650,000",6.9,,
2006.08,"3,840,000",7.3,,"3,660,000",6.9,,
2006.09,"3,780,000",7.2,,"3,730,000",7.1,,
2006.10,"3,860,000",7.3,,"3,760,000",7.1,,
2006.11,"3,810,000",7.2,,"3,730,000",7.1,,
2006.12,"3,450,000",6.4,,"3,700,000",6.9,,
2007.01,"3,150,000",6.6,,"3,430,000",7.2,,
2007.02,"3,380,000",7.0,,"3,600,000",7.5,,
2007.03,"3,380,000",7.4,,"3,610,000",7.9,,
2007.04,"3,750,000",8.5,,"3,660,000",8.3,,
2007.05,"3,910,000",8.9,,"3,820,000",8.7,,
2007.06,"3,870,000",9.1,,"3,740,000",8.8,,
2007.07,"4,040,000",9.6,,"3,790,000",9.0,,
2007.08,"3,890,000",9.6,,"3,660,000",9.0,,
2007.09,"3,890,000",10.2,,"3,780,000",9.9,,
2007.10,"3,910,000",10.6,,"3,830,000",10.4,,
2007.11,"3,700,000",10.0,,"3,700,000",10.0,,
2007.12,"3,520,000",9.6,,"3,790,000",10.3,,
2008.01,"3,490,000",10.0,,"3,810,000",11.0,,
2008.02,"3,380,000",9.8,,"3,480,000",10.1,,
2008.03,"3,410,000",9.8,,"3,610,000",10.4,,
2008.04,"3,810,000",11.1,,"3,710,000",10.8,,
2008.05,"3,730,000",10.8,,"3,660,000",10.6,,
2008.06,"3,770,000",11.1,,"3,590,000",10.5,,
2008.07,"3,820,000",11.0,,"3,560,000",10.3,,
2008.08,"3,610,000",10.3,,"3,410,000",9.8,,
2008.09,"3,610,000",10.1,,"3,520,000",9.9,,
2008.10,"3,560,000",10.4,,"3,490,000",10.2,,
2008.11,"3,470,000",11.0,,"3,500,000",11.1,,
2008.12,"3,130,000",9.4,,"3,400,000",10.2,,
2009.01,"3,030,000",9.5,,"3,360,000",10.6,,
2009.02,"3,200,000",9.7,,"3,400,000",10.3,,
2009.03,"3,090,000",9.6,,"3,250,000",10.1,,
2009.04,"3,330,000",10.2,,"3,200,000",9.8,,
2009.05,"3,220,000",9.7,,"3,130,000",9.4,,
2009.06,"3,220,000",9.4,,"3,120,000",9.1,,
2009.07,"3,380,000",9.3,,"3,130,000",8.6,,
2009.08,"3,300,000",8.9,,"3,100,000",8.4,,
2009.09,"3,120,000",8.1,,"3,020,000",7.8,,
2009.10,"2,970,000",7.1,,"2,970,000",7.1,,
2009.11,"2,950,000",6.5,,"2,980,000",6.6,,
2009.12,"2,740,000",7.5,,"2,990,000",8.2,,
2010.01,"2,750,000",7.9,,"3,030,000",8.7,,
2010.02,"3,000,000",8.4,,"3,150,000",8.9,,
2010.03,"3,090,000",8.3,,"3,250,000",8.7,,
2010.04,"3,420,000",8.5,,"3,280,000",8.2,,
2010.05,"3,310,000",8.1,,"3,210,000",7.9,,
2010.06,"3,310,000",8.9,,"3,190,000",8.6,,
2010.07,"3,410,000",11.9,,"3,180,000",11.1,,
2010.08,"3,520,000",11.5,,"3,280,000",10.7,,
2010.09,"3,410,000",10.7,,"3,310,000",10.3,,
2010.10,"3,290,000",10.3,,"3,270,000",10.2,,
2010.11,"3,150,000",9.4,,"3,230,000",9.6,,
2010.12,"3,020,000",8.5,,"3,310,000",9.3,,
2011.01,"2,910,000",7.9,,"3,230,000",8.8,,
2011.02,"3,010,000",8.7,,"3,190,000",9.2,,
2011.03,"3,030,000",8.5,,"3,160,000",8.9,,
2011.04,"3,200,000",9.2,,"3,090,000",8.9,,
2011.05,"3,130,000",9.1,,"3,010,000",8.7,,
2011.06,"3,160,000",9.0,,"3,020,000",8.6,,
2011.07,"3,150,000",9.1,,"2,940,000",8.5,,
2011.08,"3,020,000",8.3,,"2,810,000",7.7,,
2011.09,"2,900,000",8.0,,"2,810,000",7.8,,
2011.10,"2,740,000",7.6,,"2,730,000",7.5,,
2011.11,"2,620,000",7.2,,"2,690,000",7.4,,
2011.12,"2,320,000",6.4,,"2,590,000",7.1,,
2012.01,"2,330,000",6.2,,"2,580,000",6.9,,
2012.02,"2,400,000",6.3,,"2,470,000",6.5,,
2012.03,"2,320,000",6.2,,"2,430,000",6.5,,
2012.04,"2,500,000",6.5,,"2,370,000",6.2,,
2012.05,"2,470,000",6.4,,"2,360,000",6.2,,
2012.06,"2,370,000",6.4,,"2,270,000",6.1,,
2012.07,"2,400,000",6.4,,"2,230,000",5.9,,
2012.08,"2,400,000",6.1,,"2,230,000",5.6,,
2012.09,"2,170,000",5.5,,"2,100,000",5.4,,
2012.10,"2,110,000",5.3,,"2,100,000",5.3,,
2012.11,"1,990,000",4.8,,"2,050,000",5.0,,
2012.12,"1,830,000",4.5,,"2,050,000",5.0,,
2013.01,"1,770,000",4.3,,"1,990,000",4.8,,
2013.02,"1,900,000",4.5,,"2,040,000",4.8,,
2013.03,"1,930,000",4.6,,"2,030,000",4.8,,
2013.04,"2,150,000",5.1,,"2,060,000",4.9,,
2013.05,"2,150,000",5.0,,"2,040,000",4.8,,
2013.06,"2,160,000",5.1,,"2,060,000",4.8,,
