Median Sales Price of Existing Single-Family Homes,,,,,,,,,,,,,,,,,
United States and Each Region ,,,,,,,,,,,,,,,,,
Annual and Monthly Data:  1989 to present,,,,,,,,,,,,,,,,,
(Not seasonally adjusted),,,,,,,,,,,,,,,,,
Existing Home Sales Program © 2021,,,,,,,,,,,,,,,,,
National Association of REALTORS ® Research Division,,,,,,,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,Year over Year % Change,,,,,,,,,,
,U.S.,Northeast,Midwest,South,West,,U.S.,Northeast,Midwest,South,West,,,,,,
2003.10,"181,700","226,600","141,700","161,100","257,700",,7.8%,19.5%,1.9%,5.7%,10.6%,,,,,,
2003.11,"180,200","226,300","143,500","156,700","256,400",,5.6%,12.3%,2.3%,3.0%,12.1%,,,,,,
2003.12,"185,400","236,700","144,600","161,700","270,400",,7.3%,13.7%,2.7%,5.3%,13.6%,,,,,,
2004.01,"178,500","233,700","135,600","155,800","261,600",,6.4%,19.8%,1.5%,4.3%,10.4%,,,,,,
2004.02,"180,800","230,700","140,700","159,100","259,800",,8.2%,22.0%,4.6%,3.7%,11.2%,,,,,,
2004.03,"182,700","238,200","139,400","163,400","264,100",,7.3%,20.3%,1.6%,5.1%,11.7%,,,,,,
2004.04,"186,100","247,900","145,900","164,600","274,700",,7.9%,18.3%,5.8%,7.2%,10.1%,,,,,,
2004.05,"193,200","242,800","154,500","171,000","282,000",,9.6%,18.5%,8.4%,9.4%,12.1%,,,,,,
2004.06,"201,800","255,800","158,800","180,500","292,400",,9.1%,16.2%,5.8%,8.7%,12.9%,,,,,,
2004.07,"200,800","258,000","157,500","174,700","301,100",,8.1%,10.9%,5.1%,5.5%,17.7%,,,,,,
2004.08,"197,300","253,600","157,600","172,700","284,700",,6.5%,10.1%,3.6%,4.7%,12.3%,,,,,,
2004.09,"197,200","257,000","152,000","174,800","294,200",,8.1%,14.0%,4.0%,6.7%,14.9%,,,,,,
2004.10,"196,100","259,900","152,000","170,800","297,900",,7.9%,14.7%,7.3%,6.0%,15.6%,,,,,,
2004.11,"198,800","265,400","152,300","172,100","294,300",,10.3%,17.3%,6.1%,9.8%,14.8%,,,,,,
2004.12,"200,400","257,100","154,900","175,100","302,600",,8.1%,8.6%,7.1%,8.3%,11.9%,,,,,,
2005.01,"195,100","254,500","144,300","169,200","305,500",,9.3%,8.9%,6.4%,8.6%,16.8%,,,,,,
2005.02,"196,300","272,700","149,300","167,500","298,800",,8.6%,18.2%,6.1%,5.3%,15.0%,,,,,,
2005.03,"201,500","275,600","152,800","168,800","317,400",,10.3%,15.7%,9.6%,3.3%,20.2%,,,,,,
2005.04,"213,500","277,700","165,700","172,800","335,100",,14.7%,12.0%,13.6%,5.0%,22.0%,,,,,,
2005.05,"215,800","277,800","169,900","178,500","333,600",,11.7%,14.4%,10.0%,4.4%,18.3%,,,,,,
2005.06,"229,000","289,100","176,900","191,100","347,100",,13.5%,13.0%,11.4%,5.9%,18.7%,,,,,,
2005.07,"227,700","292,300","176,900","186,100","354,100",,13.4%,13.3%,12.3%,6.5%,17.6%,,,,,,
2005.08,"229,600","293,200","176,700","188,600","350,500",,16.4%,15.6%,12.1%,9.2%,23.1%,,,,,,
2005.09,"225,400","284,200","171,500","187,600","352,100",,14.3%,10.6%,12.8%,7.3%,19.7%,,,,,,
2005.10,"229,200","277,300","169,900","199,500","348,500",,16.9%,6.7%,11.8%,16.8%,17.0%,,,,,,
2005.11,"225,200","287,200","168,300","184,200","361,400",,13.3%,8.2%,10.5%,7.0%,22.8%,,,,,,
2005.12,"221,600","280,700","168,400","182,500","351,000",,10.6%,9.2%,8.7%,4.2%,16.0%,,,,,,
2006.01,"216,800","269,600","164,900","176,600","344,900",,11.1%,5.9%,14.3%,4.4%,12.9%,,,,,,
2006.02,"214,300","278,800","154,800","179,900","334,800",,9.2%,2.2%,3.7%,7.4%,12.0%,,,,,,
2006.03,"217,200","279,000","157,200","179,800","347,400",,7.8%,1.2%,2.9%,6.5%,9.5%,,,,,,
2006.04,"222,600","297,400","160,600","182,100","353,400",,4.3%,7.1%,-3.1%,5.4%,5.5%,,,,,,
2006.05,"228,500","290,100","168,900","191,200","351,000",,5.9%,4.4%,-0.6%,7.1%,5.2%,,,,,,
2006.06,"230,100","299,800","172,200","190,700","348,200",,0.5%,3.7%,-2.7%,-0.2%,0.3%,,,,,,
2006.07,"230,900","285,400","175,200","193,500","353,300",,1.4%,-2.4%,-1.0%,4.0%,-0.2%,,,,,,
2006.08,"224,000","277,500","169,000","184,800","352,400",,-2.4%,-5.4%,-4.4%,-2.0%,0.5%,,,,,,
2006.09,"221,100","269,400","165,700","184,300","348,100",,-1.9%,-5.2%,-3.4%,-1.8%,-1.1%,,,,,,
2006.10,"219,600","262,300","162,400","184,800","351,800",,-4.2%,-5.4%,-4.4%,-7.4%,0.9%,,,,,,
2006.11,"216,700","274,300","159,300","178,800","357,100",,-3.8%,-4.5%,-5.3%,-2.9%,-1.2%,,,,,,
2006.12,"220,800","288,300","162,600","181,000","356,100",,-0.4%,2.7%,-3.4%,-0.8%,1.5%,,,,,,
2007.01,"209,300","266,200","156,700","174,400","329,600",,-3.5%,-1.3%,-5.0%,-1.2%,-4.4%,,,,,,
2007.02,"212,400","267,600","151,400","178,700","341,700",,-0.9%,-4.0%,-2.2%,-0.7%,2.1%,,,,,,
2007.03,"216,200","280,200","156,600","179,800","341,900",,-0.5%,0.4%,-0.4%,0.0%,-1.6%,,,,,,
2007.04,"219,300","297,500","159,900","179,900","350,800",,-1.5%,0.0%,-0.4%,-1.2%,-0.7%,,,,,,
2007.05,"221,900","292,500","162,300","183,200","349,600",,-2.9%,0.8%,-3.9%,-4.2%,-0.4%,,,,,,
2007.06,"229,200","302,600","166,500","190,600","355,200",,-0.4%,0.9%,-3.3%,-0.1%,2.0%,,,,,,
2007.07,"228,500","303,300","171,000","185,400","358,700",,-1.0%,6.3%,-2.4%,-4.2%,1.5%,,,,,,
2007.08,"223,700","288,000","174,700","183,300","339,100",,-0.1%,3.8%,3.4%,-0.8%,-3.8%,,,,,,
2007.09,"208,600","267,300","161,800","173,600","318,500",,-5.7%,-0.8%,-2.4%,-5.8%,-8.5%,,,,,,
2007.10,"204,800","261,200","156,800","169,900","322,900",,-6.7%,-0.4%,-3.4%,-8.1%,-8.2%,,,,,,
2007.11,"207,300","263,500","156,400","172,300","333,000",,-4.3%,-3.9%,-1.8%,-3.6%,-6.7%,,,,,,
2007.12,"205,000","258,600","154,900","171,300","318,000",,-7.2%,-10.3%,-4.7%,-5.4%,-10.7%,,,,,,
2008.01,"197,200","274,900","144,300","162,900","301,400",,-5.8%,3.3%,-7.9%,-6.6%,-8.6%,,,,,,
2008.02,"193,600","274,000","137,000","163,000","296,600",,-8.9%,2.4%,-9.5%,-8.8%,-13.2%,,,,,,
2008.03,"197,600","291,000","145,100","167,300","290,600",,-8.6%,3.9%,-7.3%,-7.0%,-15.0%,,,,,,
2008.04,"199,600","266,300","153,400","170,000","290,600",,-9.0%,-10.5%,-4.1%,-5.5%,-17.2%,,,,,,
2008.05,"206,000","284,600","158,900","174,700","290,200",,-7.2%,-2.7%,-2.1%,-4.6%,-17.0%,,,,,,
2008.06,"213,600","266,100","169,800","186,100","288,400",,-6.8%,-12.1%,2.0%,-2.4%,-18.8%,,,,,,
2008.07,"208,900","280,000","165,100","177,400","286,900",,-8.6%,-7.7%,-3.5%,-4.3%,-20.0%,,,,,,
2008.08,"201,900","274,400","164,800","177,600","254,900",,-9.7%,-4.7%,-5.7%,-3.1%,-24.8%,,,,,,
2008.09,"190,300","255,400","146,900","166,400","262,300",,-8.8%,-4.5%,-9.2%,-4.1%,-17.6%,,,,,,
2008.10,"185,700","242,500","141,500","161,400","265,600",,-9.3%,-7.2%,-9.8%,-5.0%,-17.7%,,,,,,
2008.11,"179,900","266,700","138,500","154,200","246,700",,-13.2%,1.2%,-11.4%,-10.5%,-25.9%,,,,,,
2008.12,"175,000","237,200","138,400","154,500","235,600",,-14.6%,-8.3%,-10.7%,-9.8%,-25.9%,,,,,,
2009.01,"164,200","230,600","129,200","144,100","219,500",,-16.7%,-16.1%,-10.5%,-11.5%,-27.2%,,,,,,
2009.02,"167,900","242,100","128,300","147,100","235,500",,-13.3%,-11.6%,-6.4%,-9.8%,-20.6%,,,,,,
2009.03,"169,700","232,900","137,300","148,500","232,600",,-14.1%,-20.0%,-5.4%,-11.2%,-20.0%,,,,,,
2009.04,"166,000","241,800","137,600","149,800","207,700",,-16.8%,-9.2%,-10.3%,-11.9%,-28.5%,,,,,,
2009.05,"174,600","246,300","146,200","160,000","210,800",,-15.2%,-13.5%,-8.0%,-8.4%,-27.4%,,,,,,
2009.06,"181,900","249,400","155,400","165,900","224,100",,-14.8%,-6.3%,-8.5%,-10.9%,-22.3%,,,,,,
2009.07,"181,700","253,900","155,600","164,800","222,800",,-13.0%,-9.3%,-5.8%,-7.1%,-22.3%,,,,,,
2009.08,"177,100","241,700","148,400","159,700","225,000",,-12.3%,-11.9%,-10.0%,-10.1%,-11.7%,,,,,,
2009.09,"175,900","245,700","146,300","155,600","228,900",,-7.6%,-3.8%,-0.4%,-6.5%,-12.7%,,,,,,
2009.10,"172,000","239,300","143,800","151,600","225,600",,-7.4%,-1.3%,1.6%,-6.1%,-15.1%,,,,,,
2009.11,"169,300","221,200","138,500","153,700","214,800",,-5.9%,-17.1%,0.0%,-0.3%,-12.9%,,,,,,
2009.12,"169,600","244,100","133,100","150,700","221,900",,-3.1%,2.9%,-3.8%,-2.5%,-5.8%,,,,,,
2010.01,"163,800","249,700","127,200","142,600","209,900",,-0.2%,8.3%,-1.5%,-1.0%,-4.4%,,,,,,
2010.02,"163,900","261,900","126,700","143,200","206,000",,-2.4%,8.2%,-1.2%,-2.7%,-12.5%,,,,,,
2010.03,"169,500","243,100","134,000","151,000","222,000",,-0.1%,4.4%,-2.4%,1.7%,-4.6%,,,,,,
2010.04,"172,500","249,100","139,700","152,000","223,400",,3.9%,3.0%,1.5%,1.5%,7.6%,,,,,,
2010.05,"174,500","220,800","148,200","156,700","225,400",,-0.1%,-10.4%,1.4%,-2.1%,6.9%,,,,,,
2010.06,"183,500","252,800","155,600","163,200","226,200",,0.9%,1.4%,0.1%,-1.6%,0.9%,,,,,,
2010.07,"183,000","265,500","150,900","159,600","231,000",,0.7%,4.6%,-3.0%,-3.2%,3.7%,,,,,,
2010.08,"178,100","254,600","146,800","157,100","224,200",,0.6%,5.3%,-1.1%,-1.6%,-0.4%,,,,,,
2010.09,"172,400","239,600","138,800","153,400","223,100",,-2.0%,-2.5%,-5.1%,-1.4%,-2.5%,,,,,,
2010.10,"171,500","242,400","138,900","153,100","216,300",,-0.3%,1.3%,-3.4%,1.0%,-4.1%,,,,,,
2010.11,"170,900","244,600","138,600","150,800","216,900",,0.9%,10.6%,0.1%,-1.9%,1.0%,,,,,,
2010.12,"169,300","234,200","140,100","153,300","209,900",,-0.2%,-4.1%,5.3%,1.7%,-5.4%,,,,,,
2011.01,"158,500","236,100","126,400","141,400","196,700",,-3.2%,-5.4%,-0.6%,-0.8%,-6.3%,,,,,,
2011.02,"156,900","230,500","120,600","140,900","195,900",,-4.3%,-12.0%,-4.8%,-1.6%,-4.9%,,,,,,
2011.03,"160,600","234,400","126,000","143,400","201,000",,-5.3%,-3.6%,-6.0%,-5.0%,-9.5%,,,,,,
2011.04,"161,300","235,400","131,500","145,400","196,900",,-6.5%,-5.5%,-5.9%,-4.3%,-11.9%,,,,,,
2011.05,"169,800","240,700","139,100","152,000","211,300",,-2.7%,9.0%,-6.1%,-3.0%,-6.3%,,,,,,
2011.06,"176,100","259,300","146,300","158,400","210,600",,-4.0%,2.6%,-6.0%,-2.9%,-6.9%,,,,,,
2011.07,"171,700","244,600","146,700","157,000","195,500",,-6.2%,-7.9%,-2.8%,-1.6%,-15.4%,,,,,,
2011.08,"171,200","239,300","142,100","154,100","211,300",,-3.9%,-6.0%,-3.2%,-1.9%,-5.8%,,,,,,
2011.09,"165,400","226,300","136,400","148,900","211,100",,-4.1%,-5.6%,-1.7%,-2.9%,-5.4%,,,,,,
2011.10,"161,100","222,700","132,800","144,200","201,700",,-6.1%,-8.1%,-4.4%,-5.8%,-6.7%,,,,,,
2011.11,"164,000","238,700","133,000","146,500","202,800",,-4.0%,-2.4%,-4.0%,-2.9%,-6.5%,,,,,,
2011.12,"162,600","218,900","129,400","149,600","207,800",,-4.0%,-6.5%,-7.6%,-2.4%,-1.0%,,,,,,
2012.01,"154,600","226,800","121,900","137,800","192,300",,-2.5%,-3.9%,-3.6%,-2.5%,-2.2%,,,,,,
2012.02,"156,100","223,800","120,500","141,700","197,500",,-0.5%,-2.9%,-0.1%,0.6%,0.8%,,,,,,
2012.03,"165,100","231,800","132,200","150,700","207,800",,2.8%,-1.1%,4.9%,5.1%,3.4%,,,,,,
2012.04,"174,100","233,900","140,600","156,800","228,400",,7.9%,-0.6%,6.9%,7.8%,16.0%,,,,,,
2012.05,"180,200","238,300","148,700","163,100","234,500",,6.1%,-1.0%,6.9%,7.3%,11.0%,,,,,,
2012.06,"189,600","251,800","157,500","168,600","241,100",,7.7%,-2.9%,7.7%,6.4%,14.5%,,,,,,
2012.07,"188,600","254,600","155,000","166,400","245,500",,9.8%,4.1%,5.7%,6.0%,25.6%,,,,,,
2012.08,"185,500","248,600","152,200","162,500","246,600",,8.4%,3.9%,7.1%,5.5%,16.7%,,,,,,
2012.09,"178,900","233,900","146,300","155,900","249,000",,8.2%,3.4%,7.3%,4.7%,18.0%,,,,,,
2012.10,"177,000","229,700","142,300","155,500","246,500",,9.9%,3.1%,7.2%,7.8%,22.2%,,,,,,
2012.11,"179,400","226,900","143,100","160,500","247,100",,9.4%,-4.9%,7.6%,9.6%,21.8%,,,,,,
2012.12,"180,300","228,500","141,700","163,100","249,700",,10.9%,4.4%,9.5%,9.0%,20.2%,,,,,,
2013.01,"171,100","227,000","131,400","150,800","243,200",,10.7%,0.1%,7.8%,9.4%,26.5%,,,,,,
2013.02,"173,500","236,500","130,700","154,200","240,000",,11.1%,5.7%,8.5%,8.8%,21.5%,,,,,,
2013.03,"184,500","238,700","142,600","165,400","259,000",,11.8%,3.0%,7.9%,9.8%,24.6%,,,,,,
2013.04,"192,100","245,600","149,600","171,300","268,600",,10.3%,5.0%,6.4%,9.2%,17.6%,,,,,,
2013.05,"203,600","259,400","160,700","180,800","278,100",,13.0%,8.9%,8.1%,10.9%,18.6%,,,,,,
2013.06,"214,600","268,700","171,600","190,000","284,700",,13.2%,6.7%,9.0%,12.7%,18.1%,,,,,,
2013.07,"213,000","266,100","169,500","186,900","289,300",,12.9%,4.5%,9.4%,12.3%,17.8%,,,,,,
2013.08,"209,700","267,100","165,300","181,800","289,000",,13.0%,7.4%,8.6%,11.9%,17.2%,,,,,,
2013.09,"198,500","235,100","158,400","174,900","286,100",,11.0%,0.5%,8.3%,12.2%,14.9%,,,,,,
2013.10,"197,600","243,300","154,700","172,400","285,900",,11.6%,5.9%,8.7%,10.9%,16.0%,,,,,,
2013.11,"195,300","242,600","150,800","170,500","285,100",,8.9%,6.9%,5.4%,6.2%,15.4%,,,,,,
2013.12,"197,700","237,100","152,100","175,600","286,200",,9.7%,3.8%,7.3%,7.7%,14.6%,,,,,,
2014.01,"187,900","239,700","140,500","163,600","275,000",,9.8%,5.6%,6.9%,8.5%,13.1%,,,,,,
2014.02,"188,800","233,800","141,400","167,300","279,800",,8.8%,-1.1%,8.2%,8.5%,16.6%,,,,,,
2014.03,"196,500","244,400","149,600","174,500","283,500",,6.5%,2.4%,4.9%,5.5%,9.5%,,,,,,
2014.04,"201,000","243,200","156,600","177,400","290,500",,4.6%,-1.0%,4.7%,3.6%,8.2%,,,,,,
2014.05,"212,000","254,400","167,000","187,100","297,200",,4.1%,-1.9%,3.9%,3.5%,6.9%,,,,,,
2014.06,"223,000","270,400","178,500","195,600","302,800",,3.9%,0.6%,4.0%,2.9%,6.4%,,,,,,
2014.07,"222,500","273,300","176,300","194,400","306,000",,4.5%,2.7%,4.0%,4.0%,5.8%,,,,,,
2014.08,"219,100","263,000","175,400","190,000","303,200",,4.5%,-1.5%,6.1%,4.5%,4.9%,,,,,,
2014.09,"209,600","245,000","166,600","183,500","297,700",,5.6%,4.2%,5.2%,4.9%,4.1%,,,,,,
2014.1,"208,000","246,100","164,200","181,100","298,600",,5.3%,1.2%,6.1%,5.0%,4.4%,,,,,,
2014.11,"207,900","247,400","161,800","181,700","297,700",,6.5%,2.0%,7.3%,6.6%,4.4%,,,,,,
2014.12,"209,200","242,900","159,800","187,100","299,300",,5.8%,2.4%,5.1%,6.5%,4.6%,,,,,,
2015.01,"198,600","248,400","151,700","173,500","290,500",,5.7%,3.6%,8.0%,6.1%,5.6%,,,,,,
2015.02,"203,500","244,700","153,800","181,500","290,100",,7.8%,4.7%,8.8%,8.5%,3.7%,,,,,,
2015.03,"212,100","242,000","164,100","189,500","304,000",,7.9%,-1.0%,9.7%,8.6%,7.2%,,,,,,
2015.04,"220,000","255,200","172,000","194,800","316,900",,9.5%,4.9%,9.8%,9.8%,9.1%,,,,,,
2015.05,"230,500","270,500","182,600","204,200","325,800",,8.7%,6.3%,9.3%,9.1%,9.6%,,,,,,
2015.06,"237,900","282,300","190,500","211,200","331,300",,6.7%,4.4%,6.7%,8.0%,9.4%,,,,,,
2015.07,"233,400","276,000","185,900","205,800","329,300",,4.9%,1.0%,5.4%,5.9%,7.6%,,,,,,
2015.08,"230,000","273,100","181,900","201,200","322,000",,5.0%,3.8%,3.7%,5.9%,6.2%,,,,,,
2015.09,"223,300","259,100","175,500","194,900","322,200",,6.5%,5.8%,5.3%,6.2%,8.2%,,,,,,
2015.1,"220,600","249,200","172,600","192,400","324,200",,6.1%,1.3%,5.1%,6.2%,8.6%,,,,,,
2015.11,"221,400","256,400","170,000","193,600","321,700",,6.5%,3.6%,5.1%,6.5%,8.1%,,,,,,
2015.12,"224,900","257,800","171,700","198,900","324,900",,7.5%,6.1%,7.4%,6.3%,8.6%,,,,,,
2016.01,"214,800","248,200","165,400","188,000","313,400",,8.2%,-0.1%,9.0%,8.4%,7.9%,,,,,,
2016.02,"213,600","242,600","162,700","190,500","312,300",,5.0%,-0.9%,5.8%,5.0%,7.7%,,,,,,
2016.03,"223,100","257,300","173,100","197,800","322,500",,5.2%,6.3%,5.5%,4.4%,6.1%,,,,,,
2016.04,"232,000","265,200","181,200","206,000","337,800",,5.5%,3.9%,5.3%,5.7%,6.6%,,,,,,
2016.05,"240,300","269,200","191,200","215,500","347,700",,4.3%,-0.5%,4.7%,5.5%,6.7%,,,,,,
2016.06,"249,800","286,500","199,200","223,300","355,600",,5.0%,1.5%,4.6%,5.7%,7.3%,,,,,,
2016.07,"245,100","280,100","195,200","218,500","349,600",,5.0%,1.5%,5.0%,6.2%,6.2%,,,,,,
2016.08,"241,900","275,200","192,500","214,500","350,400",,5.2%,0.8%,5.8%,6.6%,8.8%,,,,,,
2016.09,"236,900","262,400","187,200","210,100","347,400",,6.1%,1.3%,6.7%,7.8%,7.8%,,,,,,
2016.10,"235,600","256,200","182,900","209,100","351,400",,6.8%,2.8%,6.0%,8.7%,8.4%,,,,,,
2016.11,"236,000","262,900","181,300","210,400","349,700",,6.6%,2.5%,6.6%,8.7%,8.7%,,,,,,
2016.12,"234,600","252,500","178,300","213,500","346,100",,4.3%,-2.1%,3.8%,7.3%,6.5%,,,,,,
2017.01,"228,700","252,500","173,600","203,700","336,600",,6.5%,1.7%,5.0%,8.4%,7.4%,,,,,,
2017.02,"229,800","251,200","172,400","208,500","341,500",,7.6%,3.5%,6.0%,9.4%,9.3%,,,,,,
2017.03,"238,000","263,000","183,700","214,500","351,300",,6.7%,2.2%,6.1%,8.4%,8.9%,,,,,,
2017.04,"246,300","268,100","194,200","223,400","361,600",,6.2%,1.1%,7.2%,8.4%,7.0%,,,,,,
2017.05,"254,300","282,500","203,000","227,500","373,500",,5.8%,4.9%,6.2%,5.6%,7.4%,,,,,,
2017.06,"265,500","296,400","213,300","237,100","382,500",,6.3%,3.5%,7.1%,6.2%,7.6%,,,,,,
2017.07,"260,300","291,200","206,900","232,600","377,600",,6.2%,4.0%,6.0%,6.5%,8.0%,,,,,,
2017.08,"254,800","286,200","203,100","225,600","378,100",,5.3%,4.0%,5.5%,5.2%,7.9%,,,,,,
2017.09,"249,100","275,200","197,900","221,400","376,600",,5.1%,4.9%,5.7%,5.4%,8.4%,,,,,,
2017.10,"247,200","273,800","193,600","217,800","377,500",,4.9%,6.9%,5.9%,4.2%,7.4%,,,,,,
2017.11,"248,200","272,100","195,400","220,600","376,900",,5.2%,3.5%,7.8%,4.8%,7.8%,,,,,,
2017.12,"247,900","259,500","192,400","224,200","375,100",,5.7%,2.8%,7.9%,5.0%,8.4%,,,,,,
2018.01,"241,900","268,000","188,100","214,600","365,100",,5.8%,6.1%,8.4%,5.4%,8.5%,,,,,,
2018.02,"242,600","263,700","180,000","218,900","369,600",,5.6%,5.0%,4.4%,5.0%,8.2%,,,,,,
2018.03,"251,500","270,600","192,400","227,500","379,500",,5.7%,2.9%,4.7%,6.1%,8.0%,,,,,,
2018.04,"259,800","274,700","200,600","232,300","392,400",,5.5%,2.5%,3.3%,4.0%,8.5%,,,,,,
2018.05,"267,800","285,200","210,600","239,000","396,900",,5.3%,1.0%,3.7%,5.1%,6.3%,,,,,,
2018.06,"276,500","306,800","217,600","244,000","405,700",,4.1%,3.5%,2.0%,2.9%,6.1%,,,,,,
2018.07,"271,900","310,800","210,900","239,600","397,700",,4.5%,6.7%,1.9%,3.0%,5.3%,,,,,,
2018.08,"268,200","305,300","207,900","234,200","397,800",,5.3%,6.7%,2.4%,3.8%,5.2%,,,,,,
2018.09,"259,300","288,400","200,700","228,800","388,900",,4.1%,4.8%,1.4%,3.3%,3.3%,,,,,,
2018.10,"257,700","282,000","198,600","226,900","385,000",,4.2%,3.0%,2.6%,4.2%,2.0%,,,,,,
2018.11,"259,900","292,700","199,600","228,500","387,200",,4.7%,7.6%,2.1%,3.6%,2.7%,,,,,,
2018.12,"256,400","283,300","192,200","230,300","383,900",,3.4%,9.2%,-0.1%,2.7%,2.3%,,,,,,
2019.01,"251,200","280,400","191,000","220,800","378,000",,3.8%,4.6%,1.5%,2.9%,3.5%,,,,,,
2019.02,"252,000","274,100","189,900","224,300","382,400",,3.9%,3.9%,5.5%,2.5%,3.5%,,,,,,
2019.03,"261,500","277,200","201,300","232,400","392,400",,4.0%,2.4%,4.6%,2.2%,3.4%,,,,,,
2019.04,"269,100","286,200","211,000","239,900","398,900",,3.6%,4.2%,5.2%,3.3%,1.7%,,,,,,
2019.05,"280,900","304,400","222,600","248,400","413,100",,4.9%,6.7%,5.7%,3.9%,4.1%,,,,,,
2019.06,"288,500","322,500","231,700","254,200","415,900",,4.3%,5.1%,6.5%,4.2%,2.5%,,,,,,
2019.07,"283,600","305,600","228,600","250,900","412,800",,4.3%,-1.7%,8.4%,4.7%,3.8%,,,,,,
2019.08,"281,900","318,300","224,500","246,200","413,300",,5.1%,4.3%,8.0%,5.1%,3.9%,,,,,,
2019.09,"274,400","302,400","213,600","241,700","407,000",,5.8%,4.9%,6.4%,5.6%,4.7%,,,,,,
2019.10,"273,800","298,800","210,200","240,800","410,700",,6.2%,6.0%,5.8%,6.1%,6.7%,,,,,,
2019.11,"274,100","302,600","210,200","240,400","414,500",,5.5%,3.4%,5.3%,5.2%,7.1%,,,,,,
2019.12,"277,000","306,100","208,800","246,500","413,500",,8.0%,8.0%,8.6%,7.0%,7.7%,,,,,,
2020.01,"268,500","313,300","200,000","234,900","401,600",,6.9%,11.7%,4.7%,6.4%,6.2%,,,,,,
2020.02,"272,800","295,700","205,000","243,300","412,700",,8.3%,7.9%,8.0%,8.5%,7.9%,,,,,,
2020.03,"282,600","298,500","220,100","250,400","426,400",,8.1%,7.7%,9.3%,7.7%,8.7%,,,,,,
2020.04,"288,700","311,500","230,000","254,300","422,400",,7.3%,8.8%,9.0%,6.0%,5.9%,,,,,,
2020.05,"286,600","332,500","229,200","249,100","412,400",,2.0%,9.2%,3.0%,0.3%,-0.2%,,,,,,
2020.06,"297,900","337,700","237,200","262,900","437,800",,3.3%,4.7%,2.4%,3.4%,5.3%,,,,,,
2020.07,"309,500","334,600","245,900","273,900","459,800",,9.1%,9.5%,7.6%,9.2%,11.4%,,,,,,
2020.08,"314,800","353,700","249,100","275,600","463,800",,11.7%,11.1%,11.0%,11.9%,12.2%,,,,,,
2020.09,"316,000","361,100","245,700","274,500","475,600",,15.2%,19.4%,15.0%,13.6%,16.9%,,,,,,
2020.10,"317,800","363,500","243,800","278,400","479,000",,16.1%,21.7%,16.0%,15.6%,16.6%,,,,,,
2020.11,"315,600","362,500","241,700","276,000","476,000",,15.1%,19.8%,15.0%,14.8%,14.8%,,,,,,
2020.12,"313,700","369,400","236,200","276,000","475,800",,13.2%,20.7%,13.1%,12.0%,15.1%,,,,,,
