Median Sales Price of Existing Single-Family Homes,,,,,,,,,,,,,,,,,
United States and Each Region ,,,,,,,,,,,,,,,,,
Annual and Monthly Data:  1989 to present,,,,,,,,,,,,,,,,,
(Not seasonally adjusted),,,,,,,,,,,,,,,,,
Existing Home Sales Program © 2021,,,,,,,,,,,,,,,,,
National Association of REALTORS ® Research Division,,,,,,,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,Year over Year % Change,,,,,,,,,,
,U.S.,Northeast,Midwest,South,West,,U.S.,Northeast,Midwest,South,West,,,,,,
1990.08,"96,900","161,500","77,100","83,100","128,500",,0.3%,4.2%,4.0%,-4.4%,-6.0%,,,,,,
1990.09,"97,300","141,800","77,200","88,200","142,100",,1.8%,-4.8%,4.0%,1.4%,0.6%,,,,,,
1990.10,"95,000","142,300","74,600","85,000","137,500",,0.6%,-2.0%,2.1%,-0.8%,0.3%,,,,,,
1990.11,"94,300","144,300","74,200","84,400","132,100",,-2.1%,-7.9%,1.8%,-0.5%,-6.0%,,,,,,
1990.12,"94,200","142,500","75,300","83,300","136,800",,-1.1%,-6.9%,0.3%,-1.7%,1.9%,,,,,,
1991.01,"97,400","133,800","77,200","84,900","145,700",,2.1%,1.3%,3.8%,-0.6%,-0.7%,,,,,,
1991.02,"96,600","134,100","77,600","86,100","139,400",,1.2%,-1.7%,3.7%,-1.4%,-0.3%,,,,,,
1991.03,"100,600","145,200","79,200","90,000","144,000",,3.0%,-2.5%,6.6%,2.2%,1.6%,,,,,,
1991.04,"102,200","151,500","80,700","88,800","151,900",,5.1%,3.3%,4.3%,3.3%,7.2%,,,,,,
1991.05,"103,400","150,400","81,100","90,600","151,100",,6.6%,4.8%,6.0%,5.2%,4.5%,,,,,,
1991.06,"104,400","152,100","82,700","91,400","144,800",,3.2%,2.3%,4.0%,1.2%,2.6%,,,,,,
1991.07,"106,300","152,900","82,600","93,300","152,400",,6.0%,3.4%,4.8%,5.4%,6.0%,,,,,,
1991.08,"103,900","156,200","82,200","89,000","142,300",,7.2%,-3.3%,6.6%,7.1%,10.7%,,,,,,
1991.09,"102,900","147,200","79,700","92,300","148,200",,5.8%,3.8%,3.2%,4.6%,4.3%,,,,,,
1991.10,"102,300","145,600","79,800","90,100","146,400",,7.7%,2.3%,7.0%,6.0%,6.5%,,,,,,
1991.11,"101,200","151,500","80,600","88,500","136,700",,7.3%,5.0%,8.6%,4.9%,3.5%,,,,,,
1991.12,"103,100","148,900","81,800","90,600","144,300",,9.4%,4.5%,8.6%,8.8%,5.5%,,,,,,
1992.01,"102,900","139,800","81,500","89,000","148,900",,5.6%,4.5%,5.6%,4.8%,2.2%,,,,,,
1992.02,"103,700","136,800","82,700","92,600","145,400",,7.3%,2.0%,6.6%,7.5%,4.3%,,,,,,
1992.03,"105,100","148,400","82,100","94,000","144,000",,4.5%,2.2%,3.7%,4.4%,0.0%,,,,,,
1992.04,"104,400","151,300","83,400","91,700","142,900",,2.2%,-0.1%,3.3%,3.3%,-5.9%,,,,,,
1992.05,"105,100","147,700","85,200","93,300","144,800",,1.6%,-1.8%,5.1%,3.0%,-4.2%,,,,,,
1992.06,"107,000","149,800","86,100","94,000","143,900",,2.5%,-1.5%,4.1%,2.8%,-0.6%,,,,,,
1992.07,"104,900","153,200","84,300","91,200","142,300",,-1.3%,0.2%,2.1%,-2.3%,-6.6%,,,,,,
1992.08,"105,400","153,500","84,800","94,300","132,300",,1.4%,-1.7%,3.2%,6.0%,-7.0%,,,,,,
1992.09,"105,600","147,100","85,400","94,400","143,800",,2.6%,-0.1%,7.2%,2.3%,-3.0%,,,,,,
1992.10,"105,900","144,900","84,400","94,100","143,600",,3.5%,-0.5%,5.8%,4.4%,-1.9%,,,,,,
1992.11,"105,000","149,800","84,600","93,100","133,800",,3.8%,-1.1%,5.0%,5.2%,-2.1%,,,,,,
1992.12,"105,600","149,600","84,700","93,100","140,400",,2.4%,0.5%,3.5%,2.8%,-2.7%,,,,,,
1993.01,"102,900","133,800","82,700","89,500","141,200",,0.0%,-4.3%,1.5%,0.6%,-5.2%,,,,,,
1993.02,"102,600","132,800","82,900","91,400","138,600",,-1.1%,-2.9%,0.2%,-1.3%,-4.7%,,,,,,
1993.03,"105,100","142,200","84,800","92,900","141,700",,0.0%,-4.2%,3.3%,-1.2%,-1.6%,,,,,,
1993.04,"106,200","151,300","86,800","92,200","142,500",,1.7%,0.0%,4.1%,0.5%,-0.3%,,,,,,
1993.05,"107,900","143,400","88,600","96,000","142,600",,2.7%,-2.9%,4.0%,2.9%,-1.5%,,,,,,
