Existing Condo and Co-op Sales,,,,,,,,,,,,,,,,,
United States and Each Region ,,,,,,,,,,,,,,,,,
Annual 1989 - current; Monthly 1999 - current,,,,,,,,,,,,,,,,,
(Seasonally Adjusted Annual Rate),,,,,,,,,,,,,,,,,
Existing Home Sales Program © 2021,,,,,,,,,,,,,,,,,
National Association of REALTORS ® Research Division,,,,,,,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,Year over Year % Change,,,,,,Month over Month % Change,,,,
,U.S.,Northeast,Midwest,South,West,,U.S.,Northeast,Midwest,South,West,,U.S.,Northeast,Midwest,South,West
2018.04,"630,000","110,000","80,000","290,000","150,000",,1.6%,-8.3%,0.0%,7.4%,0.0%,,1.6%,0.0%,0.0%,3.6%,0.0%
2018.05,"610,000","100,000","80,000","280,000","150,000",,-4.7%,-16.7%,0.0%,0.0%,-6.3%,,-3.2%,-9.1%,0.0%,-3.4%,0.0%
2018.06,"620,000","110,000","80,000","280,000","150,000",,0.0%,-8.3%,0.0%,3.7%,0.0%,,1.6%,10.0%,0.0%,0.0%,0.0%
2018.07,"600,000","110,000","70,000","270,000","150,000",,-1.6%,0.0%,-12.5%,0.0%,0.0%,,-3.2%,0.0%,-12.5%,-3.6%,0.0%
2018.08,"600,000","110,000","80,000","280,000","130,000",,-3.2%,-8.3%,0.0%,3.7%,-13.3%,,0.0%,0.0%,14.3%,3.7%,-13.3%
2018.09,"580,000","110,000","80,000","260,000","130,000",,-4.9%,-8.3%,0.0%,4.0%,-18.8%,,-3.3%,0.0%,0.0%,-7.1%,0.0%
2018.10,"590,000","110,000","80,000","270,000","130,000",,-4.8%,-8.3%,0.0%,3.8%,-18.8%,,1.7%,0.0%,0.0%,3.8%,0.0%
2018.11,"580,000","110,000","80,000","260,000","130,000",,-9.4%,-8.3%,0.0%,-7.1%,-18.8%,,-1.7%,0.0%,0.0%,-3.7%,0.0%
2018.12,"540,000","100,000","70,000","250,000","120,000",,-12.9%,-9.1%,-12.5%,-10.7%,-20.0%,,-6.9%,-9.1%,-12.5%,-3.8%,-7.7%
2019.01,"560,000","110,000","70,000","260,000","120,000",,-8.2%,0.0%,-12.5%,-3.7%,-20.0%,,3.7%,10.0%,0.0%,4.0%,0.0%
2019.02,"570,000","110,000","80,000","250,000","130,000",,-5.0%,0.0%,0.0%,-3.8%,-13.3%,,1.8%,0.0%,14.3%,-3.8%,8.3%
2019.03,"560,000","100,000","70,000","260,000","130,000",,-9.7%,-9.1%,-12.5%,-7.1%,-13.3%,,-1.8%,-9.1%,-12.5%,4.0%,0.0%
2019.04,"570,000","100,000","70,000","270,000","130,000",,-9.5%,-9.1%,-12.5%,-6.9%,-13.3%,,1.8%,0.0%,0.0%,3.8%,0.0%
2019.05,"590,000","100,000","70,000","280,000","140,000",,-3.3%,0.0%,-12.5%,0.0%,-6.7%,,3.5%,0.0%,0.0%,3.7%,7.7%
2019.06,"580,000","110,000","70,000","270,000","130,000",,-6.5%,0.0%,-12.5%,-3.6%,-13.3%,,-1.7%,10.0%,0.0%,-3.6%,-7.1%
2019.07,"580,000","100,000","70,000","270,000","140,000",,-3.3%,-9.1%,0.0%,0.0%,-6.7%,,0.0%,-9.1%,0.0%,0.0%,7.7%
2019.08,"590,000","110,000","70,000","280,000","130,000",,-1.7%,0.0%,-12.5%,0.0%,0.0%,,1.7%,10.0%,0.0%,3.7%,-7.1%
2019.09,"580,000","110,000","70,000","270,000","130,000",,0.0%,0.0%,-12.5%,3.8%,0.0%,,-1.7%,0.0%,0.0%,-3.6%,0.0%
2019.10,"580,000","110,000","70,000","270,000","130,000",,-1.7%,0.0%,-12.5%,0.0%,0.0%,,0.0%,0.0%,0.0%,0.0%,0.0%
2019.11,"570,000","110,000","70,000","270,000","120,000",,-1.7%,0.0%,-12.5%,3.8%,-7.7%,,-1.7%,0.0%,0.0%,0.0%,-7.7%
2019.12,"600,000","110,000","80,000","280,000","130,000",,11.1%,10.0%,14.3%,12.0%,8.3%,,5.3%,0.0%,14.3%,3.7%,8.3%
2020.01,"590,000","110,000","80,000","270,000","130,000",,5.4%,0.0%,14.3%,3.8%,8.3%,,-1.7%,0.0%,0.0%,-3.6%,0.0%
2020.02,"590,000","110,000","90,000","260,000","130,000",,3.5%,0.0%,12.5%,4.0%,0.0%,,0.0%,0.0%,12.5%,-3.7%,0.0%
2020.03,"550,000","100,000","80,000","250,000","120,000",,-1.8%,0.0%,14.3%,-3.8%,-7.7%,,-6.8%,-9.1%,-11.1%,-3.8%,-7.7%
2020.04,"390,000","70,000","60,000","180,000","80,000",,-31.6%,-30.0%,-14.3%,-33.3%,-38.5%,,-29.1%,-30.0%,-25.0%,-28.0%,-33.3%
2020.05,"360,000","60,000","50,000","170,000","80,000",,-39.0%,-40.0%,-28.6%,-39.3%,-42.9%,,-7.7%,-14.3%,-16.7%,-5.6%,0.0%
2020.06,"460,000","70,000","50,000","230,000","110,000",,-20.7%,-36.4%,-28.6%,-14.8%,-15.4%,,27.8%,16.7%,0.0%,35.3%,37.5%
2020.07,"580,000","80,000","70,000","290,000","140,000",,0.0%,-20.0%,0.0%,7.4%,0.0%,,26.1%,14.3%,40.0%,26.1%,27.3%
2020.08,"630,000","110,000","80,000","300,000","140,000",,6.8%,0.0%,14.3%,7.1%,7.7%,,8.6%,37.5%,14.3%,3.4%,0.0%
2020.09,"670,000","120,000","80,000","320,000","150,000",,15.5%,9.1%,14.3%,18.5%,15.4%,,6.3%,9.1%,0.0%,6.7%,7.1%
