Average Sales Price of Existing Single-Family Homes,,,,,,,,,,,,,,,,,
United States and Each Region ,,,,,,,,,,,,,,,,,
Annual and Monthly Data:  1989 to present,,,,,,,,,,,,,,,,,
(Not seasonally adjusted),,,,,,,,,,,,,,,,,
Existing Home Sales Program © 2021,,,,,,,,,,,,,,,,,
National Association of REALTORS ® Research Division,,,,,,,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,Year over Year % Change,,,,,,,,,,
,U.S.,Northeast,Midwest,South,West,,U.S.,Northeast,Midwest,South,West,,,,,,
2002.06,"219,300","235,700","180,000","198,100","280,800",,10.4%,10.1%,14.1%,8.2%,10.1%,,,,,,
2002.07,"215,900","237,900","179,300","188,100","281,500",,9.3%,8.6%,8.8%,8.4%,11.1%,,,,,,
2002.08,"211,600","241,400","174,600","188,200","267,700",,6.1%,9.5%,7.7%,5.8%,3.8%,,,,,,
2002.09,"211,300","228,300","172,900","186,000","277,800",,9.0%,16.5%,11.2%,7.2%,5.9%,,,,,,
2002.10,"209,600","224,400","169,300","187,600","275,300",,11.1%,12.3%,14.6%,10.9%,8.3%,,,,,,
2002.11,"210,300","235,900","171,900","185,600","270,800",,11.2%,15.6%,16.9%,7.0%,9.4%,,,,,,
2002.12,"214,500","240,000","171,500","191,300","278,400",,7.5%,10.9%,5.3%,5.1%,10.2%,,,,,,
2003.01,"210,200","233,700","166,400","185,500","278,500",,7.3%,11.1%,10.1%,6.2%,4.8%,,,,,,
2003.02,"209,000","229,700","160,400","189,600","276,900",,5.0%,9.4%,3.2%,8.2%,1.1%,,,,,,
2003.03,"212,300","235,400","165,900","190,100","278,000",,5.3%,8.8%,10.9%,4.0%,1.2%,,,,,,
2003.04,"218,000","245,100","172,100","190,500","290,200",,7.1%,11.6%,6.6%,6.6%,6.0%,,,,,,
2003.05,"221,600","245,400","178,200","194,200","292,700",,6.7%,10.7%,12.8%,4.1%,3.4%,,,,,,
2003.06,"232,000","258,300","185,800","207,400","301,000",,5.8%,9.6%,3.2%,4.7%,7.2%,,,,,,
2003.07,"230,400","266,200","185,900","206,200","290,800",,6.7%,11.9%,3.7%,9.6%,3.3%,,,,,,
2003.08,"231,100","267,200","190,300","205,500","289,900",,9.2%,10.7%,9.0%,9.2%,8.3%,,,,,,
2003.09,"226,900","261,000","180,300","203,100","290,000",,7.4%,14.3%,4.3%,9.2%,4.4%,,,,,,
2003.10,"226,400","256,700","177,600","199,200","300,300",,8.0%,14.4%,4.9%,6.2%,9.1%,,,,,,
2003.11,"225,000","257,100","177,900","195,100","300,100",,7.0%,9.0%,3.5%,5.1%,10.8%,,,,,,
2003.12,"233,000","262,800","180,600","204,100","313,500",,8.6%,9.5%,5.3%,6.7%,12.6%,,,,,,
2004.01,"224,700","264,600","168,100","196,300","303,800",,6.9%,13.2%,1.0%,5.8%,9.1%,,,,,,
2004.02,"228,700","262,800","174,000","201,500","305,700",,9.4%,14.4%,8.5%,6.3%,10.4%,,,,,,
2004.03,"230,800","268,300","172,500","204,600","307,800",,8.7%,14.0%,4.0%,7.6%,10.7%,,,,,,
2004.04,"237,600","275,500","179,800","209,200","318,600",,9.0%,12.4%,4.5%,9.8%,9.8%,,,,,,
2004.05,"244,000","276,300","188,500","216,900","323,400",,10.1%,12.6%,5.8%,11.7%,10.5%,,,,,,
2004.06,"255,200","286,400","196,900","230,600","334,400",,10.0%,10.9%,6.0%,11.2%,11.1%,,,,,,
2004.07,"252,100","287,000","194,800","220,800","338,500",,9.4%,7.8%,4.8%,7.1%,16.4%,,,,,,
2004.08,"247,500","282,200","195,200","218,600","324,700",,7.1%,5.6%,2.6%,6.4%,12.0%,,,,,,
2004.09,"247,500","285,500","187,700","219,600","330,000",,9.1%,9.4%,4.1%,8.1%,13.8%,,,,,,
2004.10,"247,200","287,000","187,400","215,500","335,100",,9.2%,11.8%,5.5%,8.2%,11.6%,,,,,,
2004.11,"249,100","290,500","188,800","219,100","334,000",,10.7%,13.0%,6.1%,12.3%,11.3%,,,,,,
2004.12,"252,100","287,200","190,400","222,700","341,100",,8.2%,9.3%,5.4%,9.1%,8.8%,,,,,,
2005.01,"247,000","285,200","178,000","217,300","342,100",,9.9%,7.8%,5.9%,10.7%,12.6%,,,,,,
2005.02,"249,100","296,700","185,100","215,200","339,600",,8.9%,12.9%,6.4%,6.8%,11.1%,,,,,,
2005.03,"254,600","298,900","189,700","217,300","352,400",,10.3%,11.4%,10.0%,6.2%,14.5%,,,,,,
2005.04,"260,900","302,000","196,200","221,500","364,800",,9.8%,9.6%,9.1%,5.9%,14.5%,,,,,,
2005.05,"265,200","303,100","199,100","230,400","365,400",,8.7%,9.7%,5.6%,6.2%,13.0%,,,,,,
2005.06,"276,100","312,500","209,100","243,500","374,900",,8.2%,9.1%,6.2%,5.6%,12.1%,,,,,,
2005.07,"275,500","315,100","208,800","237,800","379,500",,9.3%,9.8%,7.2%,7.7%,12.1%,,,,,,
2005.08,"276,200","316,600","210,800","239,600","377,000",,11.6%,12.2%,8.0%,9.6%,16.1%,,,,,,
2005.09,"272,700","308,100","205,200","236,500","378,200",,10.2%,7.9%,9.3%,7.7%,14.6%,,,,,,
2005.10,"274,600","302,800","203,300","247,400","375,000",,11.1%,5.5%,8.5%,14.8%,11.9%,,,,,,
2005.11,"272,500","308,500","202,800","233,800","384,100",,9.4%,6.2%,7.4%,6.7%,15.0%,,,,,,
2005.12,"269,200","305,900","201,200","231,600","376,600",,6.8%,6.5%,5.7%,4.0%,10.4%,,,,,,
2006.01,"266,400","298,800","206,800","224,900","373,300",,7.9%,4.8%,16.2%,3.5%,9.1%,,,,,,
2006.02,"260,900","301,700","185,900","227,400","366,200",,4.7%,1.7%,0.4%,5.7%,7.8%,,,,,,
2006.03,"265,800","303,500","194,900","228,000","375,600",,4.4%,1.5%,2.7%,4.9%,6.6%,,,,,,
2006.04,"270,500","316,800","197,700","230,300","380,400",,3.7%,4.9%,0.8%,4.0%,4.3%,,,,,,
2006.05,"275,100","311,200","207,700","239,500","378,900",,3.7%,2.7%,4.3%,3.9%,3.7%,,,,,,
2006.06,"277,700","322,000","212,800","239,300","378,300",,0.6%,3.0%,1.8%,-1.7%,0.9%,,,,,,
2006.07,"277,500","311,100","215,000","240,100","380,500",,0.7%,-1.3%,3.0%,1.0%,0.3%,,,,,,
2006.08,"271,400","306,600","208,100","231,500","378,900",,-1.7%,-3.2%,-1.3%,-3.4%,0.5%,,,,,,
2006.09,"267,700","296,900","203,500","230,200","376,400",,-1.8%,-3.6%,-0.8%,-2.7%,-0.5%,,,,,,
2006.10,"266,400","294,500","198,400","229,500","378,700",,-3.0%,-2.7%,-2.4%,-7.2%,1.0%,,,,,,
2006.11,"266,000","301,800","196,800","224,200","382,200",,-2.4%,-2.2%,-3.0%,-4.1%,-0.5%,,,,,,
2006.12,"268,500","311,800","197,200","226,200","382,500",,-0.3%,1.9%,-2.0%,-2.3%,1.6%,,,,,,
2007.01,"257,200","294,700","189,400","222,600","359,400",,-3.5%,-1.4%,-8.4%,-1.0%,-3.7%,,,,,,
2007.02,"260,300","296,200","183,900","226,300","371,600",,-0.2%,-1.8%,-1.1%,-0.5%,1.5%,,,,,,
2007.03,"264,900","304,700","194,200","228,000","371,400",,-0.3%,0.4%,-0.4%,0.0%,-1.1%,,,,,,
2007.04,"269,100","318,000","195,600","227,800","379,800",,-0.5%,0.4%,-1.1%,-1.1%,-0.2%,,,,,,
2007.05,"271,200","317,800","200,500","231,000","378,800",,-1.4%,2.1%,-3.5%,-3.5%,0.0%,,,,,,
2007.06,"277,900","325,700","207,300","239,600","381,700",,0.1%,1.1%,-2.6%,0.1%,0.9%,,,,,,
2007.07,"277,300","325,600","212,000","233,400","384,000",,-0.1%,4.7%,-1.4%,-2.8%,0.9%,,,,,,
2007.08,"269,700","314,700","206,100","229,800","370,900",,-0.6%,2.6%,-1.0%,-0.7%,-2.1%,,,,,,
2007.09,"256,300","298,800","193,700","217,400","355,600",,-4.3%,0.6%,-4.8%,-5.6%,-5.5%,,,,,,
2007.10,"253,600","295,100","188,900","213,500","358,000",,-4.8%,0.2%,-4.8%,-7.0%,-5.5%,,,,,,
2007.11,"255,500","294,100","186,400","217,100","364,200",,-3.9%,-2.6%,-5.3%,-3.2%,-4.7%,,,,,,
2007.12,"253,000","293,100","187,800","216,100","354,200",,-5.8%,-6.0%,-4.8%,-4.5%,-7.4%,,,,,,
2008.01,"243,900","302,400","173,000","205,400","340,800",,-5.2%,2.6%,-8.7%,-7.7%,-5.2%,,,,,,
2008.02,"240,700","298,900","168,000","204,300","337,200",,-7.5%,0.9%,-8.6%,-9.7%,-9.3%,,,,,,
2008.03,"245,400","313,100","176,200","209,400","330,900",,-7.4%,2.8%,-9.3%,-8.2%,-10.9%,,,,,,
2008.04,"246,200","297,700","182,900","213,100","331,600",,-8.5%,-6.4%,-6.5%,-6.5%,-12.7%,,,,,,
2008.05,"251,200","313,800","184,500","218,900","330,900",,-7.4%,-1.3%,-8.0%,-5.2%,-12.6%,,,,,,
2008.06,"256,800","300,400","197,200","231,200","331,400",,-7.6%,-7.8%,-4.9%,-3.5%,-13.2%,,,,,,
2008.07,"252,400","308,400","192,800","221,900","326,700",,-9.0%,-5.3%,-9.1%,-4.9%,-14.9%,,,,,,
2008.08,"244,700","304,500","191,200","221,800","298,100",,-9.3%,-3.2%,-7.2%,-3.5%,-19.6%,,,,,,
2008.09,"234,200","290,200","172,500","206,900","305,300",,-8.6%,-2.9%,-10.9%,-4.8%,-14.1%,,,,,,
2008.10,"229,300","277,700","170,000","203,100","301,200",,-9.6%,-5.9%,-10.0%,-4.9%,-15.9%,,,,,,
2008.11,"222,800","292,100","163,000","192,400","288,200",,-12.8%,-0.7%,-12.6%,-11.4%,-20.9%,,,,,,
2008.12,"217,000","269,900","163,400","194,500","274,000",,-14.2%,-7.9%,-13.0%,-10.0%,-22.6%,,,,,,
2009.01,"205,900","264,700","154,300","181,000","260,200",,-15.6%,-12.5%,-10.8%,-11.9%,-23.7%,,,,,,
2009.02,"210,400","273,700","151,300","183,300","273,400",,-12.6%,-8.4%,-9.9%,-10.3%,-18.9%,,,,,,
2009.03,"211,400","265,900","157,000","185,900","273,400",,-13.9%,-15.1%,-10.9%,-11.2%,-17.4%,,,,,,
2009.04,"208,500","275,500","159,200","187,500","249,200",,-15.3%,-7.5%,-13.0%,-12.0%,-24.8%,,,,,,
2009.05,"218,300","280,500","171,900","200,400","254,100",,-13.1%,-10.6%,-6.8%,-8.5%,-23.2%,,,,,,
2009.06,"228,500","286,900","182,900","207,700","270,600",,-11.0%,-4.5%,-7.3%,-10.2%,-18.3%,,,,,,
2009.07,"228,200","289,300","183,000","206,500","269,000",,-9.6%,-6.2%,-5.1%,-6.9%,-17.7%,,,,,,
2009.08,"222,700","280,500","172,300","201,600","270,900",,-9.0%,-7.9%,-9.9%,-9.1%,-9.1%,,,,,,
2009.09,"222,700","283,000","172,800","195,200","278,500",,-4.9%,-2.5%,0.2%,-5.7%,-8.8%,,,,,,
2009.10,"217,800","275,500","170,400","190,000","273,100",,-5.0%,-0.8%,0.2%,-6.5%,-9.3%,,,,,,
2009.11,"211,900","258,800","166,200","191,800","260,700",,-4.9%,-11.4%,2.0%,-0.3%,-9.5%,,,,,,
2009.12,"218,600","284,100","163,400","194,400","271,300",,0.7%,5.3%,0.0%,-0.1%,-1.0%,,,,,,
2010.01,"211,900","288,500","158,100","183,400","262,400",,2.9%,9.0%,2.5%,1.3%,0.8%,,,,,,
2010.02,"208,200","290,800","153,600","180,900","253,700",,-1.0%,6.2%,1.5%,-1.3%,-7.2%,,,,,,
2010.03,"214,700","276,800","159,800","191,100","269,000",,1.6%,4.1%,1.8%,2.8%,-1.6%,,,,,,
2010.04,"218,200","283,800","164,300","193,000","270,900",,4.7%,3.0%,3.2%,2.9%,8.7%,,,,,,
2010.05,"221,100","267,100","173,100","198,700","276,700",,1.3%,-4.8%,0.7%,-0.8%,8.9%,,,,,,
2010.06,"231,200","291,500","184,700","209,600","274,100",,1.2%,1.6%,1.0%,0.9%,1.3%,,,,,,
2010.07,"233,000","299,300","184,800","206,300","281,400",,2.1%,3.5%,1.0%,-0.1%,4.6%,,,,,,
2010.08,"227,100","290,300","180,500","202,200","273,500",,2.0%,3.5%,4.8%,0.3%,1.0%,,,,,,
2010.09,"219,100","275,300","169,500","194,200","273,500",,-1.6%,-2.7%,-1.9%,-0.5%,-1.8%,,,,,,
2010.10,"219,600","280,600","170,500","196,300","267,700",,0.8%,1.9%,0.1%,3.3%,-2.0%,,,,,,
2010.11,"219,400","284,700","170,700","194,100","267,900",,3.5%,10.0%,2.7%,1.2%,2.8%,,,,,,
2010.12,"218,600","276,200","173,100","197,600","261,600",,0.0%,-2.8%,5.9%,1.6%,-3.6%,,,,,,
2011.01,"207,000","273,900","159,100","185,200","247,400",,-2.3%,-5.1%,0.6%,1.0%,-5.7%,,,,,,
2011.02,"203,000","268,600","152,900","182,400","245,300",,-2.5%,-7.6%,-0.5%,0.8%,-3.3%,,,,,,
2011.03,"208,300","271,400","157,700","186,500","253,800",,-3.0%,-2.0%,-1.3%,-2.4%,-5.7%,,,,,,
2011.04,"210,400","275,400","163,700","188,800","250,000",,-3.6%,-3.0%,-0.4%,-2.2%,-7.7%,,,,,,
2011.05,"218,600","280,900","169,200","196,400","263,900",,-1.1%,5.2%,-2.3%,-1.2%,-4.6%,,,,,,
2011.06,"227,100","296,100","179,200","206,800","264,100",,-1.8%,1.6%,-3.0%,-1.3%,-3.6%,,,,,,
2011.07,"221,200","286,900","179,000","203,000","250,600",,-5.1%,-4.1%,-3.1%,-1.6%,-10.9%,,,,,,
2011.08,"219,800","280,100","174,500","197,500","262,800",,-3.2%,-3.5%,-3.3%,-2.3%,-3.9%,,,,,,
2011.09,"212,900","268,500","165,400","189,700","263,000",,-2.8%,-2.5%,-2.4%,-2.3%,-3.8%,,,,,,
2011.10,"206,400","260,700","160,900","184,100","253,400",,-6.0%,-7.1%,-5.6%,-6.2%,-5.3%,,,,,,
2011.11,"210,700","275,200","162,300","188,000","254,300",,-4.0%,-3.3%,-4.9%,-3.1%,-5.1%,,,,,,
2011.12,"209,800","261,500","158,800","192,200","257,100",,-4.0%,-5.3%,-8.3%,-2.7%,-1.7%,,,,,,
2012.01,"201,000","268,100","150,500","178,600","245,000",,-2.9%,-2.1%,-5.4%,-3.6%,-1.0%,,,,,,
2012.02,"202,100","264,900","148,100","181,200","250,300",,-0.4%,-1.4%,-3.1%,-0.7%,2.0%,,,,,,
2012.03,"212,500","271,000","160,100","192,600","260,000",,2.0%,-0.1%,1.5%,3.3%,2.4%,,,,,,
2012.04,"222,200","273,800","169,100","201,200","277,400",,5.6%,-0.6%,3.3%,6.6%,11.0%,,,,,,
2012.05,"229,500","278,200","178,400","209,200","282,900",,5.0%,-1.0%,5.4%,6.5%,7.2%,,,,,,
2012.06,"238,900","293,200","190,700","216,200","289,600",,5.2%,-1.0%,6.4%,4.5%,9.7%,,,,,,
2012.07,"237,000","291,900","186,600","211,300","294,100",,7.1%,1.7%,4.2%,4.1%,17.4%,,,,,,
2012.08,"233,700","287,600","184,500","206,600","292,500",,6.3%,2.7%,5.7%,4.6%,11.3%,,,,,,
2012.09,"227,300","274,300","176,700","198,100","296,000",,6.8%,2.2%,6.8%,4.4%,12.5%,,,,,,
2012.10,"224,700","269,100","172,300","197,000","294,900",,8.9%,3.2%,7.1%,7.0%,16.4%,,,,,,
2012.11,"227,800","267,300","173,200","204,400","296,200",,8.1%,-2.9%,6.7%,8.7%,16.5%,,,,,,
2012.12,"230,700","270,500","172,400","209,000","299,700",,10.0%,3.4%,8.6%,8.7%,16.6%,,,,,,
2013.01,"218,600","267,900","159,600","192,300","290,500",,8.8%,-0.1%,6.0%,7.7%,18.6%,,,,,,
2013.02,"221,100","275,700","159,500","196,600","289,200",,9.4%,4.1%,7.7%,8.5%,15.5%,,,,,,
2013.03,"233,200","277,500","171,200","209,400","306,800",,9.7%,2.4%,6.9%,8.7%,18.0%,,,,,,
2013.04,"241,900","286,700","179,900","217,500","316,500",,8.9%,4.7%,6.4%,8.1%,14.1%,,,,,,
2013.05,"251,700","296,900","191,800","227,700","323,500",,9.7%,6.7%,7.5%,8.8%,14.4%,,,,,,
2013.06,"261,500","304,000","204,800","238,900","329,300",,9.5%,3.7%,7.4%,10.5%,13.7%,,,,,,
2013.07,"259,600","302,200","203,300","233,100","332,800",,9.5%,3.5%,8.9%,10.3%,13.2%,,,,,,
2013.08,"256,700","303,700","199,100","227,600","333,100",,9.8%,5.6%,7.9%,10.2%,13.9%,,,,,,
2013.09,"246,100","276,800","188,500","218,700","330,100",,8.3%,0.9%,6.7%,10.4%,11.5%,,,,,,
2013.10,"245,000","282,500","185,600","215,400","329,400",,9.0%,5.0%,7.7%,9.3%,11.7%,,,,,,
2013.11,"243,400","282,200","182,300","213,300","329,700",,6.8%,5.6%,5.3%,4.4%,11.3%,,,,,,
2013.12,"246,400","278,400","185,700","220,700","329,800",,6.8%,2.9%,7.7%,5.6%,10.0%,,,,,,
2014.01,"236,200","280,800","173,000","205,700","321,400",,8.1%,4.8%,8.4%,7.0%,10.6%,,,,,,
2014.02,"236,500","274,000","170,100","209,400","324,900",,7.0%,-0.6%,6.6%,6.5%,12.3%,,,,,,
2014.03,"244,200","282,100","178,600","218,300","329,700",,4.7%,1.7%,4.3%,4.3%,7.5%,,,,,,
2014.04,"250,200","284,700","187,700","223,200","336,300",,3.4%,-0.7%,4.3%,2.6%,6.3%,,,,,,
2014.05,"259,300","294,200","198,300","233,900","341,000",,3.0%,-0.9%,3.4%,2.7%,5.4%,,,,,,
2014.06,"268,700","307,400","213,200","241,700","344,300",,2.8%,1.1%,4.1%,1.2%,4.6%,,,,,,
2014.07,"268,200","310,400","210,500","239,700","346,300",,3.3%,2.7%,3.5%,2.8%,4.1%,,,,,,
2014.08,"264,200","300,400","210,600","233,800","344,500",,2.9%,-1.1%,5.8%,2.7%,3.4%,,,,,,
2014.09,"255,100","284,600","198,000","226,600","341,500",,3.7%,2.8%,5.0%,3.6%,3.5%,,,,,,
2014.10,"254,400","286,000","196,300","224,600","341,900",,3.8%,1.2%,5.8%,4.3%,3.8%,,,,,,
2014.11,"254,200","288,300","194,100","224,900","341,200",,4.4%,2.2%,6.5%,5.4%,3.5%,,,,,,
2014.12,"255,200","283,100","193,500","230,700","340,700",,3.6%,1.7%,4.2%,4.5%,3.3%,,,,,,
2015.01,"246,400","287,400","183,500","216,200","333,400",,4.3%,2.4%,6.1%,5.1%,3.7%,,,,,,
2015.02,"248,700","286,300","185,000","222,800","333,200",,5.2%,4.5%,8.8%,6.4%,2.6%,,,,,,
2015.03,"256,900","283,200","194,600","231,900","345,400",,5.2%,0.4%,9.0%,6.2%,4.8%,,,,,,
2015.04,"264,700","295,300","201,200","237,900","353,400",,5.8%,3.7%,7.2%,6.6%,5.1%,,,,,,
2015.05,"273,900","306,500","212,800","246,900","359,600",,5.6%,4.2%,7.3%,5.6%,5.5%,,,,,,
2015.06,"281,300","316,100","223,100","253,700","363,700",,4.7%,2.8%,4.6%,5.0%,5.6%,,,,,,
2015.07,"277,100","311,900","218,100","248,300","362,600",,3.3%,0.5%,3.6%,3.6%,4.7%,,,,,,
2015.08,"272,100","307,600","214,700","242,000","357,200",,3.0%,2.4%,1.9%,3.5%,3.7%,,,,,,
2015.09,"266,000","295,800","207,400","235,400","357,000",,4.3%,3.9%,4.7%,3.9%,4.5%,,,,,,
2015.10,"263,600","289,900","203,200","233,200","358,200",,3.6%,1.4%,3.5%,3.8%,4.8%,,,,,,
2015.11,"264,500","293,000","202,800","235,600","356,700",,4.1%,1.6%,4.5%,4.8%,4.5%,,,,,,
2015.12,"267,000","296,200","203,500","239,500","359,100",,4.6%,4.6%,5.2%,3.8%,5.4%,,,,,,
2016.01,"258,200","288,400","197,200","228,100","351,600",,4.8%,0.3%,7.5%,5.5%,5.5%,,,,,,
2016.02,"256,000","281,100","191,600","228,800","350,800",,2.9%,-1.8%,3.6%,2.7%,5.3%,,,,,,
2016.03,"265,100","294,000","202,600","236,100","358,400",,3.2%,3.8%,4.1%,1.8%,3.8%,,,,,,
2016.04,"274,300","300,600","211,000","246,100","368,400",,3.6%,1.8%,4.9%,3.4%,4.2%,,,,,,
2016.05,"281,800","305,100","221,000","254,500","375,100",,2.9%,-0.5%,3.9%,3.1%,4.3%,,,,,,
2016.06,"291,300","319,400","231,600","262,800","381,100",,3.6%,1.0%,3.8%,3.6%,4.8%,,,,,,
2016.07,"286,100","314,700","226,700","256,500","377,300",,3.2%,0.9%,3.9%,3.3%,4.1%,,,,,,
2016.08,"283,200","310,000","223,700","252,700","376,900",,4.1%,0.8%,4.2%,4.4%,5.5%,,,,,,
2016.09,"277,800","300,400","217,300","247,400","375,400",,4.4%,1.6%,4.8%,5.1%,5.2%,,,,,,
2016.10,"276,500","293,900","212,900","247,500","378,600",,4.9%,1.4%,4.8%,6.1%,5.7%,,,,,,
2016.11,"277,300","299,100","212,300","248,900","376,900",,4.8%,2.1%,4.7%,5.6%,5.7%,,,,,,
2016.12,"275,600","293,200","210,100","250,100","374,400",,3.2%,-1.0%,3.2%,4.4%,4.3%,,,,,,
2017.01,"270,100","294,000","205,300","242,000","368,000",,4.6%,1.9%,4.1%,6.1%,4.7%,,,,,,
2017.02,"270,400","290,800","202,100","244,200","370,700",,5.6%,3.5%,5.5%,6.7%,5.7%,,,,,,
2017.03,"279,300","300,200","214,300","252,100","377,900",,5.4%,2.1%,5.8%,6.8%,5.4%,,,,,,
2017.04,"288,600","306,100","225,700","261,400","386,200",,5.2%,1.8%,7.0%,6.2%,4.8%,,,,,,
2017.05,"295,500","317,100","233,400","266,100","394,100",,4.9%,3.9%,5.6%,4.6%,5.1%,,,,,,
2017.06,"305,000","329,700","243,400","275,900","400,800",,4.7%,3.2%,5.1%,5.0%,5.2%,,,,,,
2017.07,"300,100","324,000","237,700","270,200","398,100",,4.9%,3.0%,4.9%,5.3%,5.5%,,,,,,
2017.08,"295,500","321,700","233,200","261,400","398,600",,4.3%,3.8%,4.2%,3.4%,5.8%,,,,,,
2017.09,"290,500","311,300","226,700","256,700","397,500",,4.6%,3.6%,4.3%,3.8%,5.9%,,,,,,
2017.10,"288,400","309,100","223,000","253,500","398,700",,4.3%,5.2%,4.7%,2.4%,5.3%,,,,,,
2017.11,"290,000","310,900","225,000","256,500","398,100",,4.6%,3.9%,6.0%,3.1%,5.6%,,,,,,
2017.12,"288,800","301,200","223,100","259,400","397,100",,4.8%,2.7%,6.2%,3.7%,6.1%,,,,,,
2018.01,"282,800","306,100","218,100","249,200","389,100",,4.7%,4.1%,6.2%,3.0%,5.7%,,,,,,
2018.02,"281,300","301,900","209,300","251,500","392,100",,4.0%,3.8%,3.6%,3.0%,5.8%,,,,,,
2018.03,"290,600","305,100","222,000","262,300","399,900",,4.0%,1.6%,3.6%,4.0%,5.8%,,,,,,
2018.04,"298,700","311,000","230,800","268,800","409,600",,3.5%,1.6%,2.3%,2.8%,6.1%,,,,,,
2018.05,"305,200","319,500","238,400","276,100","413,400",,3.3%,0.8%,2.1%,3.8%,4.9%,,,,,,
2018.06,"313,600","337,800","246,800","282,300","418,700",,2.8%,2.5%,1.4%,2.3%,4.5%,,,,,,
2018.07,"309,200","339,200","240,000","275,900","415,100",,3.0%,4.7%,1.0%,2.1%,4.3%,,,,,,
2018.08,"305,500","336,200","236,900","269,600","414,600",,3.4%,4.5%,1.6%,3.1%,4.0%,,,,,,
2018.09,"297,300","321,200","228,700","263,100","408,900",,2.3%,3.2%,0.9%,2.5%,2.9%,,,,,,
2018.10,"295,300","317,100","227,200","261,100","406,700",,2.4%,2.6%,1.9%,3.0%,2.0%,,,,,,
2018.11,"297,300","323,700","227,600","263,100","408,400",,2.5%,4.1%,1.2%,2.6%,2.6%,,,,,,
2018.12,"294,600","317,000","222,300","264,200","405,600",,2.0%,5.2%,-0.4%,1.9%,2.1%,,,,,,
2019.01,"288,900","316,100","219,400","253,600","401,200",,2.2%,3.3%,0.6%,1.8%,3.1%,,,,,,
2019.02,"289,300","308,500","217,900","256,700","403,800",,2.8%,2.2%,4.1%,2.1%,3.0%,,,,,,
2019.03,"298,400","312,300","229,800","266,700","412,000",,2.7%,2.4%,3.5%,1.7%,3.0%,,,,,,
2019.04,"306,100","321,400","238,700","275,300","417,300",,2.5%,3.3%,3.4%,2.4%,1.9%,,,,,,
2019.05,"316,300","333,100","249,400","285,500","424,900",,3.6%,4.3%,4.6%,3.4%,2.8%,,,,,,
2019.06,"323,500","347,300","259,100","290,800","427,500",,3.2%,2.8%,5.0%,3.0%,2.1%,,,,,,
2019.07,"318,800","336,600","254,700","286,400","426,300",,3.1%,-0.8%,6.1%,3.8%,2.7%,,,,,,
2019.08,"317,000","344,400","250,500","281,200","426,100",,3.8%,2.4%,5.7%,4.3%,2.8%,,,,,,
2019.09,"309,400","332,000","240,200","274,600","422,700",,4.1%,3.4%,5.0%,4.4%,3.4%,,,,,,
2019.10,"308,900","329,000","237,200","275,000","425,400",,4.6%,3.8%,4.4%,5.3%,4.6%,,,,,,
2019.11,"309,800","331,900","237,400","274,900","427,300",,4.2%,2.5%,4.3%,4.5%,4.6%,,,,,,
2019.12,"312,300","335,500","236,900","281,200","426,500",,6.0%,5.8%,6.6%,6.4%,5.2%,,,,,,
2020.01,"303,900","336,700","227,700","267,500","420,400",,5.2%,6.5%,3.8%,5.5%,4.8%,,,,,,
2020.02,"307,000","324,200","231,400","275,800","425,400",,6.1%,5.1%,6.2%,7.4%,5.3%,,,,,,
2020.03,"317,000","329,500","246,500","285,300","433,700",,6.2%,5.5%,7.3%,7.0%,5.3%,,,,,,
2020.04,"322,200","341,300","255,400","289,600","432,600",,5.3%,6.2%,7.0%,5.2%,3.7%,,,,,,
2020.05,"320,000","354,900","253,700","282,900","426,600",,1.2%,6.5%,1.7%,-0.9%,0.4%,,,,,,
2020.06,"331,400","359,400","262,800","296,600","441,300",,2.4%,3.5%,1.4%,2.0%,3.2%,,,,,,
2020.07,"340,900","357,300","272,700","308,600","453,900",,6.9%,6.1%,7.1%,7.8%,6.5%,,,,,,
2020.08,"345,500","371,600","276,300","310,400","456,400",,9.0%,7.9%,10.3%,10.4%,7.1%,,,,,,
2020.09,"346,500","375,800","272,800","309,900","463,500",,12.0%,13.2%,13.6%,12.9%,9.7%,,,,,,
2020.10,"348,300","377,600","271,600","313,800","465,200",,12.8%,14.8%,14.5%,14.1%,9.4%,,,,,,
2020.11,"346,400","377,200","268,800","310,900","464,500",,11.8%,13.6%,13.2%,13.1%,8.7%,,,,,,
2020.12,"345,400","380,600","264,400","310,200","463,500",,10.6%,13.4%,11.6%,10.3%,8.7%,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
