Average Sales Price of Existing Single-Family Homes,,,,,,,,,,,,,,,,,
United States and Each Region ,,,,,,,,,,,,,,,,,
Annual and Monthly Data:  1989 to present,,,,,,,,,,,,,,,,,
(Not seasonally adjusted),,,,,,,,,,,,,,,,,
Existing Home Sales Program © 2021,,,,,,,,,,,,,,,,,
National Association of REALTORS ® Research Division,,,,,,,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,Year over Year % Change,,,,,,,,,,
,U.S.,Northeast,Midwest,South,West,,U.S.,Northeast,Midwest,South,West,,,,,,
2003,"225,000","254,800","178,200","199,100","294,000",,7.2%,11.7%,5.8%,7.2%,6.3%,,,,,,
2004,"245,800","283,100","186,600","217,400","328,100",,9.2%,11.1%,4.7%,9.2%,11.6%,,,,,,
2005,"267,400","306,000","201,000","231,800","368,800",,8.8%,8.1%,7.7%,6.6%,12.4%,,,,,,
2006,"269,500","306,000","202,600","230,800","378,100",,0.8%,0.0%,0.8%,-0.4%,2.5%,,,,,,
2007,"266,200","313,300","196,100","225,900","372,500",,-1.2%,2.4%,-3.2%,-2.1%,-1.5%,,,,,,
2008,"241,700","301,200","178,100","212,000","316,800",,-9.2%,-3.9%,-9.2%,-6.2%,-15.0%,,,,,,
2009,"217,000","279,300","168,700","194,700","261,100",,-10.2%,-7.3%,-5.3%,-8.2%,-17.6%,,,,,,
2010,"220,600","282,200","170,700","196,500","270,200",,1.7%,1.0%,1.2%,0.9%,3.5%,,,,,,
2011,"214,300","277,000","166,900","192,800","256,500",,-2.9%,-1.8%,-2.2%,-1.9%,-5.1%,,,,,,
2012,"225,800","277,400","174,100","202,500","282,900",,5.4%,0.1%,4.3%,5.0%,10.3%,,,,,,
2013,"245,700","288,100","187,200","219,500","321,600",,8.8%,3.9%,7.5%,8.4%,13.7%,,,,,,
2014,"255,500","291,700","196,700","227,600","338,000",,4.0%,1.2%,5.1%,3.7%,5.1%,,,,,,
2015,"267,300","299,900","207,100","238,500","355,000",,4.6%,2.8%,5.3%,4.8%,5.0%,,,,,,
2016,"276,900","302,000","215,400","247,900","371,900",,3.6%,0.7%,4.0%,3.9%,4.8%,,,,,,
2017,"290,200","312,000","226,800","259,500","391,700",,4.8%,3.3%,5.3%,4.7%,5.3%,,,,,,
2018,"299,400","322,600","231,000","267,000","408,000",,3.2%,3.4%,1.9%,2.9%,4.2%,,,,,,
2019,"310,200","332,200","241,500","276,800","421,300",,3.6%,3.0%,4.5%,3.7%,3.3%,,,,,,
2020,"334,500","361,600","262,000","299,400","448,700",,7.8%,8.9%,8.5%,8.2%,6.5%,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
1989.01,"113,000","141,200","80,100","97,800","155,700",,,,,,,,,,,,
1989.02,"118,700","139,700","82,500","113,100","154,400",,,,,,,,,,,,
1989.03,"116,600","149,000","81,100","104,000","154,600",,,,,,,,,,,,
1989.04,"118,300","150,300","82,800","104,200","158,200",,,,,,,,,,,,
1989.05,"118,800","149,300","84,400","104,300","159,700",,,,,,,,,,,,
1989.06,"118,900","157,600","89,400","104,000","150,700",,,,,,,,,,,,
1989.07,"120,600","150,900","89,200","106,100","158,200",,,,,,,,,,,,
1989.08,"121,100","158,300","89,400","106,100","157,300",,,,,,,,,,,,
1989.09,"120,100","152,400","87,200","104,400","158,900",,,,,,,,,,,,
1989.10,"117,200","149,200","86,300","102,400","153,200",,,,,,,,,,,,
1989.11,"119,200","159,000","86,200","102,700","156,900",,,,,,,,,,,,
1989.12,"118,500","154,200","90,500","102,700","151,900",,,,,,,,,,,,
1990.01,"118,600","141,100","88,500","104,200","160,100",,5.0%,-0.1%,10.5%,6.5%,2.8%,,,,,,
1990.02,"118,800","143,800","87,900","106,200","155,900",,0.1%,2.9%,6.5%,-6.1%,1.0%,,,,,,
1990.03,"120,100","152,900","87,500","106,300","156,300",,3.0%,2.6%,7.9%,2.2%,1.1%,,,,,,
1990.04,"119,600","146,400","91,200","104,800","155,200",,1.1%,-2.6%,10.1%,0.6%,-1.9%,,,,,,
1990.05,"119,900","147,200","90,400","104,300","157,900",,0.9%,-1.4%,7.1%,0.0%,-1.1%,,,,,,
1990.06,"124,200","154,400","95,300","111,400","156,100",,4.5%,-2.0%,6.6%,7.1%,3.6%,,,,,,
1990.07,"122,600","151,500","94,000","107,700","158,400",,1.7%,0.4%,5.4%,1.5%,0.1%,,,,,,
1990.08,"119,400","164,000","94,600","102,200","146,800",,-1.4%,3.6%,5.8%,-3.7%,-6.7%,,,,,,
1990.09,"120,100","145,400","91,100","106,100","155,900",,0.0%,-4.6%,4.5%,1.6%,-1.9%,,,,,,
1990.10,"116,700","144,100","87,900","102,400","151,800",,-0.4%,-3.4%,1.9%,0.0%,-0.9%,,,,,,
1990.11,"115,900","146,300","87,600","101,400","150,200",,-2.8%,-8.0%,1.6%,-1.3%,-4.3%,,,,,,
1990.12,"115,900","143,600","89,700","100,600","151,100",,-2.2%,-6.9%,-0.9%,-2.0%,-0.5%,,,,,,
1991.01,"123,000","148,300","91,800","105,100","169,700",,3.7%,5.1%,3.7%,0.9%,6.0%,,,,,,
1991.02,"122,600","148,100","90,400","106,800","166,300",,3.2%,3.0%,2.8%,0.6%,6.7%,,,,,,
1991.03,"125,700","157,300","92,700","110,500","165,400",,4.7%,2.9%,5.9%,4.0%,5.8%,,,,,,
1991.04,"129,700","162,600","94,700","110,700","176,200",,8.4%,11.1%,3.8%,5.6%,13.5%,,,,,,
1991.05,"131,700","164,400","95,900","114,200","176,700",,9.8%,11.7%,6.1%,9.5%,11.9%,,,,,,
1991.06,"132,200","166,600","100,000","115,000","172,500",,6.4%,7.9%,4.9%,3.2%,10.5%,,,,,,
1991.07,"134,000","165,300","100,000","116,100","179,100",,9.3%,9.1%,6.4%,7.8%,13.1%,,,,,,
1991.08,"131,700","170,400","99,500","112,800","173,200",,10.3%,3.9%,5.2%,10.4%,18.0%,,,,,,
1991.09,"130,700","160,400","95,900","114,800","173,400",,8.8%,10.3%,5.3%,8.2%,11.2%,,,,,,
