Average Sales Price of Existing Condo Homes,,,,,,,,,,,,,,,,,,,,,,,,,,
United States and Each Region ,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual and Monthly Data:  1999 to present,,,,,,,,,,,,,,,,,,,,,,,,,,
(Not seasonally adjusted),,,,,,,,,,,,,,,,,,,,,,,,,,
Existing Home Sales Program © 2021,,,,,,,,,,,,,,,,,,,,,,,,,,
National Association of REALTORS ® Research Division,,,,,,,,,,,,,,,,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,,,,,,,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,,,,,,,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Year over Year % Change,,,,,,,,,,,,,,,,,,,
,U.S.,Northeast,Midwest,South,West,,U.S.,Northeast,Midwest,South,West,,,,,,,,,,,,,,,
2010.03,"213,000","265,600","194,900","165,300","205,400",,1.0%,4.0%,-1.6%,-1.1%,-0.2%,,,,,,,,,,,,,,,
2010.04,"211,300","261,300","193,600","167,300","203,000",,0.1%,3.2%,-1.5%,-0.3%,-3.9%,,,,,,,,,,,,,,,
2010.05,"219,500","277,800","192,900","167,100","215,900",,1.5%,3.5%,-3.3%,-2.8%,6.0%,,,,,,,,,,,,,,,
2010.06,"221,400","288,600","198,300","166,600","203,200",,-1.0%,3.6%,-1.4%,-6.3%,-4.8%,,,,,,,,,,,,,,,
2010.07,"222,200","291,600","198,100","166,300","202,500",,0.3%,5.2%,-1.2%,-5.1%,-3.7%,,,,,,,,,,,,,,,
2010.08,"218,600","291,900","193,400","157,700","200,000",,-0.6%,5.2%,-1.7%,-8.0%,-4.8%,,,,,,,,,,,,,,,
2010.09,"212,400","276,300","186,600","155,500","205,300",,-1.8%,4.3%,-3.5%,-11.1%,-3.1%,,,,,,,,,,,,,,,
2010.10,"207,100","263,400","185,000","154,100","204,200",,-3.3%,0.3%,-2.2%,-10.9%,-3.3%,,,,,,,,,,,,,,,
2010.11,"208,700","273,500","179,700","154,400","198,900",,-0.9%,5.4%,-5.4%,-8.9%,-2.0%,,,,,,,,,,,,,,,
2010.12,"212,700","288,000","180,400","155,800","191,700",,-3.8%,5.9%,-13.9%,-10.1%,-8.8%,,,,,,,,,,,,,,,
2011.01,"197,400","269,800","170,800","139,500","177,800",,-7.8%,-1.4%,-16.8%,-9.4%,-12.6%,,,,,,,,,,,,,,,
2011.02,"197,900","267,000","163,000","145,600","183,600",,-6.6%,-2.3%,-15.7%,-7.9%,-7.0%,,,,,,,,,,,,,,,
2011.03,"200,700","265,900","169,800","148,700","189,300",,-5.8%,0.1%,-12.9%,-10.0%,-7.8%,,,,,,,,,,,,,,,
2011.04,"208,400","277,000","173,100","163,400","186,300",,-1.4%,6.0%,-10.6%,-2.3%,-8.2%,,,,,,,,,,,,,,,
2011.05,"210,400","283,200","175,100","155,100","194,600",,-4.1%,1.9%,-9.2%,-7.2%,-9.9%,,,,,,,,,,,,,,,
2011.06,"217,800","291,600","174,600","166,700","202,500",,-1.6%,1.0%,-12.0%,0.1%,-0.3%,,,,,,,,,,,,,,,
2011.07,"214,400","287,300","175,000","160,800","199,400",,-3.5%,-1.5%,-11.7%,-3.3%,-1.5%,,,,,,,,,,,,,,,
2011.08,"217,400","292,900","173,300","152,900","218,100",,-0.5%,0.3%,-10.4%,-3.0%,9.1%,,,,,,,,,,,,,,,
2011.09,"212,200","278,200","169,800","154,200","218,900",,-0.1%,0.7%,-9.0%,-0.8%,6.6%,,,,,,,,,,,,,,,
2011.10,"201,900","255,300","155,000","157,300","216,800",,-2.5%,-3.1%,-16.2%,2.1%,6.2%,,,,,,,,,,,,,,,
2011.11,"208,100","271,000","157,800","159,300","215,700",,-0.3%,-0.9%,-12.2%,3.2%,8.4%,,,,,,,,,,,,,,,
2011.12,"206,800","264,600","156,400","161,500","218,000",,-2.8%,-8.1%,-13.3%,3.7%,13.7%,,,,,,,,,,,,,,,
2012.01,"200,300","258,900","153,000","155,300","206,300",,1.5%,-4.0%,-10.4%,11.3%,16.0%,,,,,,,,,,,,,,,
2012.02,"198,000","255,600","145,000","157,000","206,300",,0.1%,-4.3%,-11.0%,7.8%,12.4%,,,,,,,,,,,,,,,
2012.03,"208,500","259,100","161,800","165,700","225,400",,3.9%,-2.6%,-4.7%,11.4%,19.1%,,,,,,,,,,,,,,,
2012.04,"218,100","273,600","165,700","174,900","232,000",,4.7%,-1.2%,-4.3%,7.0%,24.5%,,,,,,,,,,,,,,,
2012.05,"230,500","290,300","173,600","186,000","243,500",,9.6%,2.5%,-0.9%,19.9%,25.1%,,,,,,,,,,,,,,,
2012.06,"232,100","301,700","178,100","184,100","229,300",,6.6%,3.5%,2.0%,10.4%,13.2%,,,,,,,,,,,,,,,
2012.07,"229,300","291,300","176,100","175,900","247,100",,6.9%,1.4%,0.6%,9.4%,23.9%,,,,,,,,,,,,,,,
2012.08,"228,600","290,700","173,500","173,500","249,400",,5.2%,-0.8%,0.1%,13.5%,14.4%,,,,,,,,,,,,,,,
2012.09,"221,000","277,500","169,900","162,100","253,100",,4.1%,-0.3%,0.1%,5.1%,15.6%,,,,,,,,,,,,,,,
2012.10,"223,100","271,900","168,600","175,700","257,500",,10.5%,6.5%,8.8%,11.7%,18.8%,,,,,,,,,,,,,,,
2012.11,"228,400","282,800","160,800","183,200","262,200",,9.8%,4.4%,1.9%,15.0%,21.6%,,,,,,,,,,,,,,,
2012.12,"229,500","284,700","170,200","181,500","257,800",,11.0%,7.6%,8.8%,12.4%,18.3%,,,,,,,,,,,,,,,
2013.01,"215,800","267,000","154,000","170,800","248,900",,7.7%,3.1%,0.7%,10.0%,20.6%,,,,,,,,,,,,,,,
2013.02,"219,700","265,400","154,000","180,200","258,600",,11.0%,3.8%,6.2%,14.8%,25.4%,,,,,,,,,,,,,,,
2013.03,"232,400","278,300","164,800","188,200","279,300",,11.5%,7.4%,1.9%,13.6%,23.9%,,,,,,,,,,,,,,,
2013.04,"240,000","285,000","180,900","194,800","282,800",,10.0%,4.2%,9.2%,11.4%,21.9%,,,,,,,,,,,,,,,
2013.05,"246,700","295,200","186,500","199,300","286,400",,7.0%,1.7%,7.4%,7.2%,17.6%,,,,,,,,,,,,,,,
2013.06,"256,800","311,600","191,400","209,600","289,500",,10.6%,3.3%,7.5%,13.9%,26.3%,,,,,,,,,,,,,,,
2013.07,"254,600","307,600","191,900","202,300","296,100",,11.0%,5.6%,9.0%,15.0%,19.8%,,,,,,,,,,,,,,,
2013.08,"256,100","307,200","192,800","205,600","298,600",,12.0%,5.7%,11.1%,18.5%,19.7%,,,,,,,,,,,,,,,
2013.09,"248,100","293,900","186,300","199,200","296,100",,12.3%,5.9%,9.7%,22.9%,17.0%,,,,,,,,,,,,,,,
2013.10,"245,400","290,000","182,400","198,300","294,900",,10.0%,6.7%,8.2%,12.9%,14.5%,,,,,,,,,,,,,,,
2013.11,"245,400","286,700","180,500","201,000","298,300",,7.4%,1.4%,12.3%,9.7%,13.8%,,,,,,,,,,,,,,,
2013.12,"248,600","294,400","186,500","201,100","294,900",,8.3%,3.4%,9.6%,10.8%,14.4%,,,,,,,,,,,,,,,
2014.01,"239,100","290,300","175,200","186,300","285,000",,10.8%,8.7%,13.8%,9.1%,14.5%,,,,,,,,,,,,,,,
2014.02,"237,700","279,600","169,800","189,100","297,900",,8.2%,5.4%,10.3%,4.9%,15.2%,,,,,,,,,,,,,,,
2014.03,"249,500","291,900","187,500","200,400","304,300",,7.4%,4.9%,13.8%,6.5%,9.0%,,,,,,,,,,,,,,,
2014.04,"254,300","294,700","193,800","203,500","313,100",,6.0%,3.4%,7.1%,4.5%,10.7%,,,,,,,,,,,,,,,
2014.05,"260,300","308,500","200,800","205,900","308,600",,5.5%,4.5%,7.7%,3.3%,7.8%,,,,,,,,,,,,,,,
2014.06,"263,400","312,700","207,600","208,500","308,300",,2.6%,0.4%,8.5%,-0.5%,6.5%,,,,,,,,,,,,,,,
2014.07,"262,500","312,900","201,700","208,200","308,900",,3.1%,1.7%,5.1%,2.9%,4.3%,,,,,,,,,,,,,,,
2014.08,"260,700","312,900","203,100","198,800","311,000",,1.8%,1.9%,5.3%,-3.3%,4.2%,,,,,,,,,,,,,,,
2014.09,"254,400","296,600","191,800","207,100","307,200",,2.5%,0.9%,3.0%,4.0%,3.7%,,,,,,,,,,,,,,,
2014.10,"251,600","288,300","191,300","205,700","309,600",,2.5%,-0.6%,4.9%,3.7%,5.0%,,,,,,,,,,,,,,,
2014.11,"250,500","289,100","186,800","202,200","311,500",,2.1%,0.8%,3.5%,0.6%,4.4%,,,,,,,,,,,,,,,
2014.12,"251,300","288,100","190,500","205,700","309,600",,1.1%,-2.1%,2.1%,2.3%,5.0%,,,,,,,,,,,,,,,
2015.01,"241,500","270,000","189,200","196,200","305,400",,1.0%,-7.0%,8.0%,5.3%,7.2%,,,,,,,,,,,,,,,
2015.02,"240,500","269,300","182,800","194,800","308,400",,1.2%,-3.7%,7.7%,3.0%,3.5%,,,,,,,,,,,,,,,
2015.03,"252,100","275,700","201,000","207,700","321,800",,1.0%,-5.5%,7.2%,3.6%,5.8%,,,,,,,,,,,,,,,
2015.04,"258,200","289,800","203,500","209,400","324,400",,1.5%,-1.7%,5.0%,2.9%,3.6%,,,,,,,,,,,,,,,
2015.05,"265,700","303,800","209,200","213,000","326,600",,2.1%,-1.5%,4.2%,3.4%,5.8%,,,,,,,,,,,,,,,
2015.06,"271,800","314,200","214,300","215,700","331,700",,3.2%,0.5%,3.2%,3.5%,7.6%,,,,,,,,,,,,,,,
2015.07,"266,200","306,600","209,200","208,200","331,100",,1.4%,-2.0%,3.7%,0.0%,7.2%,,,,,,,,,,,,,,,
2015.08,"265,100","308,100","208,500","206,900","325,200",,1.7%,-1.5%,2.7%,4.1%,4.6%,,,,,,,,,,,,,,,
2015.09,"258,200","287,100","200,900","210,500","330,200",,1.5%,-3.2%,4.7%,1.6%,7.5%,,,,,,,,,,,,,,,
2015.10,"256,200","290,900","198,100","202,900","325,600",,1.8%,0.9%,3.6%,-1.4%,5.2%,,,,,,,,,,,,,,,
2015.11,"258,400","290,500","198,400","210,600","327,300",,3.2%,0.5%,6.2%,4.2%,5.1%,,,,,,,,,,,,,,,
2015.12,"258,900","289,500","198,500","212,300","329,900",,3.0%,0.5%,4.2%,3.2%,6.6%,,,,,,,,,,,,,,,
2016.01,"253,700","287,400","191,000","204,800","323,400",,5.1%,6.4%,1.0%,4.4%,5.9%,,,,,,,,,,,,,,,
2016.02,"249,600","273,400","193,700","204,600","323,900",,3.8%,1.5%,6.0%,5.0%,5.0%,,,,,,,,,,,,,,,
2016.03,"258,400","284,100","201,400","207,400","339,600",,2.5%,3.0%,0.2%,-0.1%,5.5%,,,,,,,,,,,,,,,
2016.04,"268,400","296,800","212,700","215,100","346,500",,4.0%,2.4%,4.5%,2.7%,6.8%,,,,,,,,,,,,,,,
2016.05,"274,000","306,800","217,800","218,500","348,800",,3.1%,1.0%,4.1%,2.6%,6.8%,,,,,,,,,,,,,,,
2016.06,"278,100","312,900","221,600","221,900","350,300",,2.3%,-0.4%,3.4%,2.9%,5.6%,,,,,,,,,,,,,,,
2016.07,"275,100","311,800","215,900","217,000","348,500",,3.3%,1.7%,3.2%,4.2%,5.3%,,,,,,,,,,,,,,,
2016.08,"272,800","310,300","210,600","212,400","351,900",,2.9%,0.7%,1.0%,2.7%,8.2%,,,,,,,,,,,,,,,
2016.09,"271,100","303,000","208,900","216,500","352,100",,5.0%,5.5%,4.0%,2.9%,6.6%,,,,,,,,,,,,,,,
2016.10,"267,600","295,700","205,800","216,900","348,700",,4.4%,1.7%,3.9%,6.9%,7.1%,,,,,,,,,,,,,,,
2016.11,"271,700","302,100","210,700","218,800","351,100",,5.1%,4.0%,6.2%,3.9%,7.3%,,,,,,,,,,,,,,,
2016.12,"269,500","303,400","211,900","215,900","341,000",,4.1%,4.8%,6.8%,1.7%,3.4%,,,,,,,,,,,,,,,
2017.01,"264,900","293,600","208,400","214,800","339,100",,4.4%,2.2%,9.1%,4.9%,4.9%,,,,,,,,,,,,,,,
2017.02,"263,100","289,900","202,600","215,800","340,600",,5.4%,6.0%,4.6%,5.5%,5.2%,,,,,,,,,,,,,,,
2017.03,"274,200","301,300","216,500","222,300","354,700",,6.1%,6.1%,7.5%,7.2%,4.4%,,,,,,,,,,,,,,,
2017.04,"281,200","308,400","226,300","226,100","364,000",,4.8%,3.9%,6.4%,5.1%,5.1%,,,,,,,,,,,,,,,
2017.05,"285,100","316,300","224,300","233,400","362,700",,4.1%,3.1%,3.0%,6.8%,4.0%,,,,,,,,,,,,,,,
2017.06,"291,800","330,000","229,900","231,600","368,200",,4.9%,5.5%,3.7%,4.4%,5.1%,,,,,,,,,,,,,,,
2017.07,"288,300","326,100","224,900","228,700","366,100",,4.8%,4.6%,4.2%,5.4%,5.1%,,,,,,,,,,,,,,,
2017.08,"285,700","320,100","221,200","227,600","369,200",,4.7%,3.2%,5.0%,7.2%,4.9%,,,,,,,,,,,,,,,
2017.09,"282,700","313,800","218,700","225,200","369,000",,4.3%,3.6%,4.7%,4.0%,4.8%,,,,,,,,,,,,,,,
2017.10,"281,200","308,000","215,300","221,800","380,300",,5.1%,4.2%,4.6%,2.3%,9.1%,,,,,,,,,,,,,,,
2017.11,"285,500","319,700","212,700","229,900","374,300",,5.1%,5.8%,0.9%,5.1%,6.6%,,,,,,,,,,,,,,,
2017.12,"284,400","318,100","219,700","220,300","377,100",,5.5%,4.8%,3.7%,2.0%,10.6%,,,,,,,,,,,,,,,
2018.01,"281,300","318,600","213,100","216,800","372,300",,6.2%,8.5%,2.3%,0.9%,9.8%,,,,,,,,,,,,,,,
2018.02,"275,100","301,300","211,700","214,300","374,700",,4.6%,3.9%,4.5%,-0.7%,10.0%,,,,,,,,,,,,,,,
2018.03,"284,600","314,600","222,700","221,600","380,000",,3.8%,4.4%,2.9%,-0.3%,7.1%,,,,,,,,,,,,,,,
2018.04,"290,900","320,900","226,700","230,500","385,700",,3.4%,4.1%,0.2%,1.9%,6.0%,,,,,,,,,,,,,,,
2018.05,"291,900","325,900","224,600","230,400","383,200",,2.4%,3.0%,0.1%,-1.3%,5.7%,,,,,,,,,,,,,,,
2018.06,"298,700","339,900","232,400","230,400","386,200",,2.4%,3.0%,1.1%,-0.5%,4.9%,,,,,,,,,,,,,,,
2018.07,"294,500","337,700","228,000","223,000","383,400",,2.2%,3.6%,1.4%,-2.5%,4.7%,,,,,,,,,,,,,,,
2018.08,"292,300","336,600","218,400","225,200","380,200",,2.3%,5.2%,-1.3%,-1.1%,3.0%,,,,,,,,,,,,,,,
2018.09,"285,700","316,000","218,700","222,300","384,900",,1.1%,0.7%,0.0%,-1.3%,4.3%,,,,,,,,,,,,,,,
2018.10,"282,700","317,200","209,800","223,900","375,000",,0.5%,3.0%,-2.6%,0.9%,-1.4%,,,,,,,,,,,,,,,
2018.11,"286,300","318,700","216,000","229,700","375,800",,0.3%,-0.3%,1.6%,-0.1%,0.4%,,,,,,,,,,,,,,,
2018.12,"287,400","323,000","213,900","232,000","374,300",,1.1%,1.5%,-2.6%,5.3%,-0.7%,,,,,,,,,,,,,,,
2019.01,"282,300","317,200","212,200","225,700","368,800",,0.4%,-0.4%,-0.4%,4.1%,-0.9%,,,,,,,,,,,,,,,
2019.02,"281,300","310,700","213,800","224,900","372,600",,2.3%,3.1%,1.0%,4.9%,-0.6%,,,,,,,,,,,,,,,
2019.03,"289,500","318,400","223,400","232,900","381,700",,1.7%,1.2%,0.3%,5.1%,0.4%,,,,,,,,,,,,,,,
2019.04,"296,200","331,700","232,400","234,300","382,800",,1.8%,3.4%,2.5%,1.6%,-0.8%,,,,,,,,,,,,,,,
2019.05,"301,100","338,100","231,300","237,700","392,100",,3.2%,3.7%,3.0%,3.2%,2.3%,,,,,,,,,,,,,,,
2019.06,"304,200","347,800","235,400","239,100","386,300",,1.8%,2.3%,1.3%,3.8%,0.0%,,,,,,,,,,,,,,,
2019.07,"299,900","342,700","229,900","232,100","387,200",,1.8%,1.5%,0.8%,4.1%,1.0%,,,,,,,,,,,,,,,
2019.08,"298,100","339,900","228,000","231,600","385,800",,2.0%,1.0%,4.4%,2.8%,1.5%,,,,,,,,,,,,,,,
2019.09,"291,700","324,700","222,000","231,700","384,500",,2.1%,2.8%,1.5%,4.2%,-0.1%,,,,,,,,,,,,,,,
2019.10,"293,500","324,300","222,600","234,700","390,600",,3.8%,2.2%,6.1%,4.8%,4.2%,,,,,,,,,,,,,,,
2019.11,"294,500","331,700","218,000","231,300","391,700",,2.9%,4.1%,0.9%,0.7%,4.2%,,,,,,,,,,,,,,,
2019.12,"300,400","335,300","225,100","239,200","397,200",,4.5%,3.8%,5.2%,3.1%,6.1%,,,,,,,,,,,,,,,
2020.01,"294,700","336,300","216,500","233,200","383,700",,4.4%,6.0%,2.0%,3.3%,4.0%,,,,,,,,,,,,,,,
2020.02,"295,600","328,500","217,400","239,900","391,600",,5.1%,5.7%,1.7%,6.7%,5.1%,,,,,,,,,,,,,,,
2020.03,"308,000","342,700","239,200","246,400","399,600",,6.4%,7.6%,7.1%,5.8%,4.7%,,,,,,,,,,,,,,,
2020.04,"310,300","349,300","243,600","246,400","395,300",,4.8%,5.3%,4.8%,5.2%,3.3%,,,,,,,,,,,,,,,
2020.05,"296,300","332,300","229,700","238,300","377,500",,-1.6%,-1.7%,-0.7%,0.3%,-3.7%,,,,,,,,,,,,,,,
2020.06,"305,100","346,600","229,600","242,100","393,100",,0.3%,-0.3%,-2.5%,1.3%,1.8%,,,,,,,,,,,,,,,
2020.07,"311,800","348,600","239,400","250,000","403,600",,4.0%,1.7%,4.1%,7.7%,4.2%,,,,,,,,,,,,,,,
2020.08,"315,400","350,100","243,900","256,100","405,600",,5.8%,3.0%,7.0%,10.6%,5.1%,,,,,,,,,,,,,,,
2020.09,"314,000","344,900","237,700","257,200","412,400",,7.6%,6.2%,7.1%,11.0%,7.3%,,,,,,,,,,,,,,,
2020.10,"314,500","345,200","234,500","259,600","414,300",,7.2%,6.4%,5.3%,10.6%,6.1%,,,,,,,,,,,,,,,
2020.11,"313,100","347,600","228,400","259,100","411,000",,6.3%,4.8%,4.8%,12.0%,4.9%,,,,,,,,,,,,,,,
2020.12,"314,700","352,500","229,600","257,600","410,300",,4.8%,5.1%,2.0%,7.7%,3.3%,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
