Average Sales Price of Existing Condo Homes,,,,,,,,,,,,,,,,,,,,,,,,,,
United States and Each Region ,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual and Monthly Data:  1999 to present,,,,,,,,,,,,,,,,,,,,,,,,,,
(Not seasonally adjusted),,,,,,,,,,,,,,,,,,,,,,,,,,
Existing Home Sales Program © 2021,,,,,,,,,,,,,,,,,,,,,,,,,,
National Association of REALTORS ® Research Division,,,,,,,,,,,,,,,,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,,,,,,,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,,,,,,,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Year over Year % Change,,,,,,,,,,,,,,,,,,,
,U.S.,Northeast,Midwest,South,West,,U.S.,Northeast,Midwest,South,West,,,,,,,,,,,,,,,
2000.09,"143,000","186,100","132,500","110,600","173,200",,5.4%,19.9%,-3.3%,4.2%,-0.4%,,,,,,,,,,,,,,,
2000.10,"134,900","127,300","148,700","108,000","199,800",,3.4%,-2.7%,8.7%,0.6%,12.8%,,,,,,,,,,,,,,,
2000.11,"140,700","135,800","141,000","115,700","210,200",,3.2%,-6.9%,6.7%,5.5%,15.1%,,,,,,,,,,,,,,,
2000.12,"138,300","140,200","152,100","106,000","191,700",,1.1%,6.6%,9.3%,-3.7%,5.6%,,,,,,,,,,,,,,,
2001.01,"154,500","171,800","148,600","128,500","196,400",,9.4%,15.2%,9.4%,9.0%,4.8%,,,,,,,,,,,,,,,
2001.02,"144,500","159,100","151,100","115,000","183,500",,6.2%,14.6%,10.5%,-5.9%,6.9%,,,,,,,,,,,,,,,
2001.03,"143,600","135,800","140,600","129,600","203,600",,3.1%,-2.6%,2.6%,9.4%,5.7%,,,,,,,,,,,,,,,
2001.04,"141,500","148,900","144,900","106,900","224,400",,1.4%,-3.4%,-1.6%,-5.2%,16.4%,,,,,,,,,,,,,,,
2001.05,"143,100","153,500","162,100","122,400","185,100",,7.4%,19.0%,17.3%,13.3%,-13.4%,,,,,,,,,,,,,,,
2001.06,"151,800","158,000","159,200","130,800","211,400",,7.5%,4.5%,7.2%,11.0%,8.0%,,,,,,,,,,,,,,,
2001.07,"146,500","153,400","163,400","121,000","173,300",,11.7%,13.7%,10.8%,11.2%,2.3%,,,,,,,,,,,,,,,
2001.08,"157,600","169,800","162,800","124,700","196,400",,15.1%,19.5%,6.0%,15.4%,7.7%,,,,,,,,,,,,,,,
2001.09,"147,000","165,300","158,600","121,000","163,700",,2.8%,-11.2%,19.7%,9.4%,-5.5%,,,,,,,,,,,,,,,
2001.10,"150,400","145,300","156,300","121,700","216,800",,11.5%,14.1%,5.1%,12.7%,8.5%,,,,,,,,,,,,,,,
2001.11,"149,300","142,500","160,900","117,700","213,400",,6.1%,4.9%,14.1%,1.7%,1.5%,,,,,,,,,,,,,,,
2001.12,"163,000","180,500","159,400","124,400","214,700",,17.9%,28.7%,4.8%,17.4%,12.0%,,,,,,,,,,,,,,,
2002.01,"167,000","166,300","163,800","140,800","212,700",,8.1%,-3.2%,10.2%,9.6%,8.3%,,,,,,,,,,,,,,,
2002.02,"169,400","167,800","166,200","139,000","223,700",,17.2%,5.5%,10.0%,20.9%,21.9%,,,,,,,,,,,,,,,
2002.03,"171,900","171,300","167,700","145,300","221,500",,19.7%,26.1%,19.3%,12.1%,8.8%,,,,,,,,,,,,,,,
2002.04,"172,400","182,100","173,500","135,100","239,400",,21.8%,22.3%,19.7%,26.4%,6.7%,,,,,,,,,,,,,,,
2002.05,"171,000","190,600","173,800","140,200","213,600",,19.5%,24.2%,7.2%,14.5%,15.4%,,,,,,,,,,,,,,,
2002.06,"182,300","202,500","178,200","148,900","231,700",,20.1%,28.2%,11.9%,13.8%,9.6%,,,,,,,,,,,,,,,
2002.07,"169,200","183,900","172,500","140,500","189,600",,15.5%,19.9%,5.6%,16.1%,9.4%,,,,,,,,,,,,,,,
2002.08,"182,000","198,000","180,600","147,500","210,100",,15.5%,16.6%,10.9%,18.3%,7.0%,,,,,,,,,,,,,,,
2002.09,"173,200","184,600","173,200","142,900","203,100",,17.8%,11.7%,9.2%,18.1%,24.1%,,,,,,,,,,,,,,,
2002.10,"178,200","168,100","188,200","142,400","242,800",,18.5%,15.7%,20.4%,17.0%,12.0%,,,,,,,,,,,,,,,
2002.11,"182,300","179,600","175,200","151,100","235,600",,22.1%,26.0%,8.9%,28.4%,10.4%,,,,,,,,,,,,,,,
2002.12,"188,600","198,600","190,200","150,200","228,900",,15.7%,10.0%,19.3%,20.7%,6.6%,,,,,,,,,,,,,,,
