Inventory and Months Supply of Existing Single-Family Homes,,,,,,,
United States,,,,,,,
"Annual and monthly, 1982 to current",,,,,,,
(Not Seasonally Adjusted),,,,,,,
Existing Home Sales Program © 2021,,,,,,,
National Association of REALTORS ® Research Division,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,
,,,,,,,
,,,,,,,
,Inventory,Months Supply,,,,,
1990.12,"1,920,000",8.8,,,,,
1991.01,"1,990,000",9.1,,,,,
1991.02,"2,030,000",8.7,,,,,
1991.03,"2,080,000",8.8,,,,,
1991.04,"2,170,000",8.9,,,,,
1991.05,"2,230,000",8.7,,,,,
1991.06,"2,170,000",8.5,,,,,
1991.07,"2,260,000",9.2,,,,,
1991.08,"2,250,000",9.5,,,,,
1991.09,"2,260,000",9.5,,,,,
1991.10,"2,150,000",9.3,,,,,
1991.11,"2,120,000",9.1,,,,,
1991.12,"1,990,000",8.4,,,,,
1992.01,"2,170,000",8.8,,,,,
1992.02,"2,190,000",8.3,,,,,
1992.03,"2,170,000",8.2,,,,,
1992.04,"2,190,000",8.3,,,,,
1992.05,"2,250,000",8.7,,,,,
1992.06,"2,240,000",8.9,,,,,
1992.07,"2,150,000",8.5,,,,,
1992.08,"2,160,000",8.6,,,,,
1992.09,"2,090,000",8.2,,,,,
1992.10,"2,160,000",8.0,,,,,
1992.11,"1,990,000",7.2,,,,,
1992.12,"1,760,000",6.1,,,,,
1993.01,"1,830,000",6.5,,,,,
1993.02,"1,900,000",7.1,,,,,
1993.03,"1,900,000",7.3,,,,,
1993.04,"1,950,000",7.5,,,,,
1993.05,"1,960,000",7.2,,,,,
1993.06,"1,820,000",6.5,,,,,
1993.07,"1,870,000",6.5,,,,,
1993.08,"1,890,000",6.5,,,,,
1993.09,"1,770,000",6.0,,,,,
1993.10,"1,780,000",6.0,,,,,
1993.11,"1,730,000",5.6,,,,,
1993.12,"1,520,000",4.7,,,,,
1994.01,"1,520,000",4.8,,,,,
1994.02,"1,560,000",5.2,,,,,
1994.03,"1,590,000",5.2,,,,,
1994.04,"1,690,000",5.4,,,,,
1994.05,"1,700,000",5.5,,,,,
